"ID","Spanish","English"
1,"lluvia","rain"
2,"maguey","agave"
3,"petate","straw mat"
4,"cuatro","four"
5,"pluma","feather"
6,"cola","tail"
7,"cera","wax"
8,"nariz","nose"
9,"palabra","word"
10,"está cerca","near"
11,"árbol","tree"
12,"venado","deer"
13,"manteca","lard"
14,"olor","smell"
15,"tortilla","tortilla"
16,"vomita","vomits"
17,"flojo","lazy"
18,"cama","bed"
19,"comal","griddle"
20,"culpa","sin"
21,"frijol","bean"
22,"agua","water"
23,"río","river"
24,"lodo","mud"
25,"hermano de hombre","brother of man"
26,"tres","three"
27,"diente","tooth"
28,"cinco","five"
29,"amargo","bitter"
30,"carne","meat"
31,"rojo","red"
32,"se fue","(he) went"
33,"siete","seven"
34,"hilo","thread"
35,"animal","animal"
36,"se acaba","it finishes"
37,"blanquillo","egg"
38,"espuma","foam"
39,"sangre","blood"
40,"marido","husband"
41,"sal","salt"
42,"red","net bag"
43,"jícara","gourd"
44,"calabaza","squash"
45,"tejón coatí","coati"
46,"comida","food"
47,"salado","salty"
48,"huipil","blouse"
49,"trabajo","work"
50,"algodón","cotton"
51,"viento ","wind"
52,"hombre","man"
53,"redondon","round"
54,"horno","oven"
55,"cajón","box, drawer"
56,"zancudo","mosquito"
57,"esperar","wait for"
58,"podrido","rotten"
59,"agarrar","grab"
60,"tendón","tendon"
61,"soplar","blow"
62,"cuarta","handspan"
63,"dueño","owner"
64,"poner (huevo)","lay (egg)"
65,"grande (sg.)","big (sg.)"
66,"cuello","neck"
67,"va a venir","will come"
68,"cuerno","horn"
69,"culebra","snake"
70,"feo","ugly"
71,"cerro","hill"
72,"armadillo","armadillo"
73,"chueco","crooked"
74,"año","year"
75,"ceja","eyebrow"
76,"pus","pus"
77,"demonio","demon"
78,"amarillo","yellow"
79,"coser","sew"
80,"va a cargar","will carry"
81,"aquel","that"
82,"abajo","below"
83,"toda la noche","all night"
84,"caliente","hot"
85,"maíz","grain of corn"
86,"pared","wall"
87,"temprano","early"
88,"abierto","open"
89,"ocho","eight"
90,"jitomate","tomato"
91,"ejote","green bean"
92,"mitad","half"
93,"caña","cane"
94,"olla","clay pot"
95,"aguardiente","liquor"
96,"miel","honey"
97,"sobaco","armpit"
98,"espiga","tassel"
99,"gente","people"
100,"pueblo","town"
101,"humo","smoke"
102,"comer","eat"
103,"gavilan","hawk"
104,"verdad","truth"
105,"lumbre","fire"
106,"seis","six"
107,"uña","fingernail"
108,"rastrojo","cornstalk"
109,"masa","cornmeal"
110,"hijo","child"
111,"catarro","cold, phlegm"
112,"bueno","good"
113,"porque","because"
114,"este mismo","this one"
115,"ya viene","is coming"
116,"basura","trash"
117,"gato","cat"
118,"nopal","prickly pear"
119,"pie","foot"
120,"corta","cuts"
121,"quince","fifteen"
122,"tripas","guts"
123,"diez","ten"
124,"frio","cold"
125,"huarache","sandal"
126,"horcon","housepost"
127,"nombre","name"
128,"cacao","cacao"
129,"oreja","ear"
130,"sabroso","tasty"
131,"cerrado","closed"
132,"pasado mañana","day after tomorrow"
133,"dulce","sweet"
134,"abora","now"
135,"agujero","hole"
136,"tiene miedo","afraid"
137,"pobre","poor"
138,"dos","two"
139,"alacran","scorpion"
140,"salir","go out"
141,"pintar","paint"
142,"rata","rat"
143,"hinchazon","swelling"
144,"grano","pimple"
145,"truena","it thunders"
146,"arco iris","rainbow"
147,"pajaro","bird"
148,"rana","frog"
149,"ombligo","navel"
150,"orina","urine"
151,"chachalaca","chachalaca"
152,"liso","smooth"
153,"chico","little"
154,"dia","day"
155,"cuando","when"
156,"llano","plain"
157,"como","how"
158,"cargar","carry"
159,"cucaracha","cockroach"
160,"pegameuto","glue"
161,"enfermedad","sickness"
162,"ver","see"
163,"despacio","slow"
164,"casa","house"
165,"mamey","mamey"
166,"moler","grind"
167,"ala","wing"
168,"banquito","stool"
169,"milpa","cornfield"
170,"ayer","yesterday"
171,"otro","other"
172,"peine","comb"
173,"se nacio","be born"
174,"sabio","smart"
175,"piedra","stone"
176,"boca","mouth"
177,"yo","I"
178,"rocio","dew"
179,"hierba","brush"
180,"surco","furrow"
181,"calzon","trousers"
182,"sacerdote","priest"
183,"fierro","brand"
184,"sabra","will know"
185,"ardilla","squirrel"
186,"floja","loose"
187,"pesado","heavy"
188,"tobaco","tobacco"
