#,Glosa/Gloss,Palabra/Word,Notas y observaciones
242,"daughter, (su) hija",,
243,"uncle, (su) tío",,
244,"aunt, (su) tía",,
245,"grandson, (su) nieto",,
246,"granddaughter, (su) nieta",,
247,"cousin (female), (su) prima",,
248,"cousin (male), (su) primo",,
249,"co-father, (su) compadre",,
250,"co-mother, (su) comadre",,
251,flat (está parejo),,
252,strong (fuerte),,
253,weak (débil),,
254,tasty (sabroso),,
255,heavy (pesado),,
256,full (lleno),,
257,empty (vacío),,
258,clean (limpio),,
259,dirty (sucio),,
260,poor (pobre),,
261,rich (rico),,
262,closed (cerrado),,
263,open (abierto),,
264,dry (seco),,
265,wet (mojado),,
266,raw (crudo),,
267,toasted (tostado),,
268,soft (blando),,
269,hard (duro),,
270,new (nuevo),,
271,"old, used (of thing) (viejo de cosa)",,
272,alive (vivo),,
273,sharp (filoso),,
274,rough (rasposo),,
275,rotten (podrido),,
276,crooked (chueco),,
277,lazy (flojo),,
278,ugly (feo),,
279,pretty (bonito),,
280,(está) cerca (close),,
281,(está) lejos (far),,
282,round (redondo),,
283,below (abajo),,
284,above (arriba),,
285,slowly (despacio),,
286,quickly (rápido),,
287,early (temprano),,
288,trash (basura),,
289,woven blouse/dress (huipil),,
290,hawk (gavilán),,
291,cat (gato),,
292,smell (olor),,
293,urine (orina),,
294,wall (pared),,
295,cleared field (rastrojo),,
296,planting row (surco),,
297,ditch (zanja),,
298,(maize) spike (espiga),,
299,"owner, boss (dueño)",,
300,illnes (enfermedad),,
301,priest (secerdote),,
302,glue (pegamento),,
303,housepost (horcón),,
304,hole (agujero),,
305,rainbow (arco iris),,
306,"stool, seat (banquito)",,
307,half (mitad),,
308,handspan (cuarta de mano),,
309,"husband, (su) marido",,
310,"wife, (su) esposa",,
311,"fingernail, (su) uña",,
312,tripe (tripas),,
313,"eyebrow, (su) ceja",,
314,tendon (tendón),,
315,armpit (sobaco),,
316,wise (sabio),,
317,mosquito (zancudo),,
318,smooth (liso),,
319,"trunk, box (baúl, cajón)",,
320,lizard (lagartija),,
321,rabbit (conejo),,
322,eagle (águila),,
323,flint (pedernal),,
324,"monkey (chango, mono)",,
325,arrow (flecha),,
326,shadow (sombra),,
327,dream (sueño),,
328,leafcutter ant (arriera),,
329,queen leafcutter ant (chicatana),,
330,goosefoot (epazote),,
331,coati (tejón),,
332,skunk (zorrillo),,
333,gallo (rooster),,
334,pig (marrano),,
335,horse (caballo),,
336,fussy (delicado),,
337,shiny (brillante),,
338,happy (alegre),,
339,"nut, pecan (nuez)",,
340,pine torch (ocote),,or pine tree (palo ocote)
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
