"JOSS","DURR","SWME","EWC","Spanish","English"
106,"NA",35,181,"seis","six"
107,91,69,311,"uña","fingernail"
108,"NA",26,295,"rastrojo","cleared field"
109,"NA","NA",71,"masa","corn dough"
110,54,48,241,"hijo, hija","child"
111,"NA",77,"NA","catarro","cold, phlegm"
112,60,"NA",155,"bueno","good"
113,"NA","NA","NA","porque","because"
114,"NA","NA","NA","este mismo","this one"
115,"NA","NA","NA","ya viene","is coming"
116,"NA","NA",288,"basura","trash"
117,"NA","NA",291,"gato","cat"
118,"NA","NA",123,"nopal","pickly pear cactus"
119,84,"NA",216,"pie","foot"
120,79,"NA","NA","cortar","to cut"
121,"NA","NA",190,"quince","fifteen"
122,"NA","NA",312,"tripas","tripe"
123,"NA","NA",185,"diez","ten"
124,59,51,152,"frío","cold"
125,66,32,111,"huarache","sandal"
126,"NA","NA",303,"horcón","housepost"
127,"NA","NA",227,"nombre","name"
128,"NA",41,99,"cacao","cacao"
129,56,"NA",205,"oreja","ear"
130,"NA","NA",254,"sabroso","tasty"
131,"NA","NA",262,"cerrado","closed"
132,"NA","NA",131,"pasado mañana","day after tomorrow"
133,87,"NA",166,"dulce","sweet"
134,27,17,134,"ahora, hoy","now, today"
135,41,"NA",304,"agujero","hole"
136,"NA","NA","NA","tiene miedo","afraid"
137,104,64,260,"pobre","poor"
138,89,42,177,"dos","two"
139,"NA","NA",61,"alacrán","scorpion"
140,"NA","NA","NA","salir","go out"
141,"NA","NA","NA","pintar","to paint"
142,92,"NA","NA","rata","rat"
143,"NA","NA",125,"hinchazón","swelling"
144,"NA",47,85,"grano","pimple, rash"
145,"NA","NA","NA","truena","it thunders"
146,"NA","NA",305,"arco iris","rainbow"
147,37,"NA",12,"pájaro","bird"
148,36,"NA",45,"rana","frog"
149,"NA","NA",213,"ombligo","navel"
150,"NA","NA",293,"orina","urine"
151,"NA","NA","NA","chachalaca","chachalaca"
152,"NA","NA",318,"liso","smooth"
153,101,"NA",153,"pequeño, chico","small, little"
154,63,"NA",55,"día, fecha","day, date"
155,"NA",11,"NA","cuando","when"
156,"NA","NA",126,"llanura, llano","plain, flatland"
157,"NA","NA","NA","cómo","how"
158,"NA","NA","NA","cargar","carry"
159,"NA","NA",127,"cucaracha","cockroach"
160,"NA","NA",302,"pegameuto","glue"
161,"NA","NA",300,"enfermedad","illness, sickness"
162,"NA","NA","NA","ver","see"
163,"NA","NA",285,"despacio","slowly"
164,28,"NA",25,"casa","house"
165,"NA","NA",128,"mamey","custard apple"
166,"NA","NA","NA","moler","grind"
167,"NA","NA",229,"ala","wing"
168,32,"NA",306,"banquito","stool, seat"
169,"NA","NA",2,"milpa","cornfield"
170,29,12,132,"ayer","yesterday"
171,"NA",16,"NA","otro","other"
172,"NA","NA",82,"peine","comb"
173,"NA","NA","NA","se nacio","be born"
174,"NA","NA",316,"sabio","wise"
175,74,28,28,"piedra","stone, rock"
176,10,9,206,"boca","mouth"
177,"NA","NA","NA","yo","I"
178,"NA",52,135,"rocio","dew"
179,85,36,136,"hierba","herbaceous plant"
180,"NA","NA",296,"surco","planting row"
181,"NA","NA","NA","calzon","trousers"
182,"NA","NA",301,"sacerdote","priest"
183,50,72,87,"fierro","metal"
184,"NA","NA","NA","sabra","will know"
185,"NA",59,137,"ardilla","squirrel"
186,"NA","NA","NA","floja","loose"
187,"NA",50,255,"pesado","heavy"
188,"NA","NA","NA","tobaco","tobacco"
"NA",5,"NA",202,"mano","hand "
"NA",6,"NA",231,"ropa","clothes"
"NA",8,"NA","NA","montaña","mountain"
"NA",11,"NA",210,"hueso","bone"
"NA",12,4,22,"chile","chili pepper"
