"EWC","JOSS","DURR","SWME","Spanish","English"
266,"NA","NA",54,"crudo","raw, crude"
174,"NA","NA",55,"claro","clear"
277,17,"NA",56,"flojo","lazy"
"NA","NA","NA",57,"temazcal","sweat bath"
137,185,"NA",59,"ardilla","squirrel"
78,"NA","NA",60,"tlacuache","(o)possum"
31,"NA","NA",61,"tomate","tomato"
"NA","NA","NA",63,"celoso","jealous"
"NA","NA","NA",65,"nixtamal","nixtamal"
172,"NA","NA",66,"alto","tall"
"NA","NA","NA",70,"frondoso","leafy, lush, dense"
"NA","NA","NA",71,"amplio","wide"
330,"NA","NA",73,"epazote","goosefoot"
101,5,"NA",74,"pluma","feather"
314,60,"NA",75,"tendón","tendon"
"NA",111,"NA",77,"catarro","cold, phlegm"
327,"NA","NA",78,"sueño","dream"
"NA",13,"NA",79,"manteca","lard"
"NA","NA","NA",82,"pozole","pozole"
"NA","NA","NA",83,"nadar","swim"
"NA","NA","NA",84,"puerta","door"
74,"NA","NA",86,"chapulín","grasshopper"
23,1,"NA","NA","lluvia","rain"
19,2,"NA","NA","maguey","century plant, agave"
230,6,"NA","NA","cola","tail"
95,7,"NA","NA","cera","wax"
207,8,"NA","NA","nariz","nose"
292,14,"NA","NA","olor","smell"
"NA",16,"NA","NA","vomita","vomits"
51,18,"NA","NA","cama, lecho","bed"
105,24,"NA","NA","lodo","mud"
178,26,"NA","NA","tres","three"
167,29,"NA","NA","amargo","bitter"
"NA",32,"NA","NA","se fue","(he) went"
"NA",36,"NA","NA","se acaba","it finishes"
107,38,"NA","NA","espuma","foam"
309,40,"NA","NA","marido","husband "
24,41,"NA","NA","sal","salt"
83,42,"NA","NA","red","net, mesh"
26,44,"NA","NA","calabaza","squash"
331,45,"NA","NA","tejón","badger"
"NA",46,"NA","NA","comida","food"
168,47,"NA","NA","salado","salty"
"NA",51,"NA","NA","viento ","wind"
282,53,"NA","NA","redondo","round"
"NA",55,"NA","NA","cajón","box, drawer"
317,56,"NA","NA","zancudo","mosquito"
"NA",57,"NA","NA","esperar","wait for"
275,58,"NA","NA","podrido","rotten"
"NA",59,"NA","NA","agarrar","grab"
"NA",61,"NA","NA","soplar","blow"
299,63,"NA","NA","dueño","owner, boss"
"NA",64,"NA","NA","poner (huevo)","lay (egg)"
214,66,"NA","NA","cuello","neck"
"NA",67,"NA","NA","va a venir","will come"
228,68,"NA","NA","cuerno","horn"
278,70,"NA","NA","feo","ugly"
34,71,"NA","NA","cerro","hill, mountain"
92,72,"NA","NA","armadillo","armadillo"
276,73,"NA","NA","chueco","crooked"
313,75,"NA","NA","ceja","eyebrow "
93,76,"NA","NA","pus, materia","pus"
118,77,"NA","NA","demonio","demon, devil"
"NA",79,"NA","NA","coser","sew"
"NA",80,"NA","NA","va a cargar","will carry"
"NA",81,"NA","NA","aquel","that"
283,82,"NA","NA","abajo","below"
"NA",83,"NA","NA","toda la noche","all night"
151,84,"NA","NA","está caliente","hot"
287,87,"NA","NA","temprano","early"
263,88,"NA","NA","abierto","open"
183,89,"NA","NA","ocho","eight"
"NA",90,"NA","NA","jitomate","tomato"
119,91,"NA","NA","ejote","green bean"
307,92,"NA","NA","mitad","half"
"NA",95,"NA","NA","aguardiente","liquor"
89,96,"NA","NA","miel","honey"
315,97,"NA","NA","sobaco","armpit"
298,98,"NA","NA","espiga","maize spike, tassel"
290,103,"NA","NA","gavilán","hawk"
"NA",104,"NA","NA","verdad","truth"
7,105,"NA","NA","lumbre, fuego","fire"
71,109,"NA","NA","masa","corn dough"
"NA",113,"NA","NA","porque","because"
"NA",114,"NA","NA","este mismo","this one"
"NA",115,"NA","NA","ya viene","is coming"
288,116,"NA","NA","basura","trash"
291,117,"NA","NA","gato","cat"
123,118,"NA","NA","nopal","pickly pear cactus"
190,121,"NA","NA","quince","fifteen"
312,122,"NA","NA","tripas","tripe"
185,123,"NA","NA","diez","ten"
303,126,"NA","NA","horcón","housepost"
227,127,"NA","NA","nombre","name"
254,130,"NA","NA","sabroso","tasty"
262,131,"NA","NA","cerrado","closed"
131,132,"NA","NA","pasado mañana","day after tomorrow"
"NA",136,"NA","NA","tiene miedo","afraid"
61,139,"NA","NA","alacrán","scorpion"
"NA",140,"NA","NA","salir","go out"
"NA",141,"NA","NA","pintar","to paint"
125,143,"NA","NA","hinchazón","swelling"
"NA",145,"NA","NA","truena","it thunders"
305,146,"NA","NA","arco iris","rainbow"
213,149,"NA","NA","ombligo","navel"
293,150,"NA","NA","orina","urine"
"NA",151,"NA","NA","chachalaca","chachalaca"
318,152,"NA","NA","liso","smooth"
126,156,"NA","NA","llanura, llano","plain, flatland"
"NA",157,"NA","NA","cómo","how"
"NA",158,"NA","NA","cargar","carry"
127,159,"NA","NA","cucaracha","cockroach"
302,160,"NA","NA","pegameuto","glue"
300,161,"NA","NA","enfermedad","illness, sickness"
"NA",162,"NA","NA","ver","see"
