__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflectional class by affixation,Stem alternation,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Tone of IRR=CPL,Tone of CPL=INCPL
3943,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,False,,False,True,ku²naaʔ²a³,fall (night),entrar la noche,intr,Bimoraic,n/a,—,ku²naaʔ²a³,ku²naaʔ²a³,ku²naaʔ²a³,—,—,—,23,23,23,True,True
3944,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²nu²,weave,tejer,intr,Bimoraic,n/a,—,ku²nu²,ku¹nu¹,ku³nu³,—,—,—,22,11,33,False,False
3945,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²nda¹a¹,get ready,arreglarse,intr,Trimoraic,n/a,—,ku²nda¹a¹,ku²nda¹a¹,ku²nda³a¹,—,—,—,211,211,231,True,False
3946,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹ndi²tsin¹,get light,amanecer,intr,Trimoraic,n/a,—,ku¹ndi²tsin¹,ku¹ndi²tsin¹,ku³ndi³tsin²,—,—,—,121,121,332,True,False
3947,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²ntyiʔ¹i²,grind,moler,intr,Trimoraic,n/a,—,ku²ntyiʔ¹i²,ku¹ntyiʔ¹i²,ku³ntyiʔ²i¹,—,—,—,212,112,321,False,False
3948,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹ñi¹,sit down,sentarse,intr,Bimoraic,n/a,—,ku¹ñi¹,ku¹ñi¹,ku²ñi³,—,—,—,11,11,23,True,False
3949,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹ñi¹,be necessary,ser necesario,intr,Bimoraic,n/a,—,ku¹ñi¹,ku¹ñi¹,ku²ñi³,—,—,—,11,11,23,True,False
3950,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹sa¹ma²,eat food,comer comida,intr,Trimoraic,n/a,—,ku¹sa¹ma²,ku¹sa¹ma²,ku³sa²ma³,—,—,—,112,112,323,True,False
3951,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹ta²xin²,shut up,callarse,intr,Trimoraic,n/a,—,ku¹ta²xin²,ku¹ta²xin²,ku³ta³xin³,—,—,—,122,122,333,True,False
3952,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kuʔ¹bi¹,be sick,estar enfermo,intr,Bimoraic,n/a,—,kuʔ¹bi¹,kuʔ¹bi¹,kuuʔ²bi³,—,—,—,11,11,23,True,False
3953,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku²un²,"reduce, lower",bajarse,intr,Bimoraic,n/a,—,ku²un²,ku¹un²,ku³un³,—,—,—,22,12,33,False,False
