__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflectional class by affixation,Stem alternation,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Tone of IRR=CPL,Tone of CPL=INCPL
3864,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kiʔ²in²,take,tomar,tr,Bimoraic,n/a,—,kiʔ²in²,kiʔ²in²,kiʔ³in³,—,—,—,22,22,33,True,False
3865,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kɨʔ²bɨ²,enter,entrar,tr,Bimoraic,n/a,—,kɨʔ²bɨ²,kɨʔ²bɨ²,kɨʔ³bɨ²,—,—,—,22,22,32,True,False
3866,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kɨ¹tɨ²,water,regar,tr,Bimoraic,n/a,—,kɨ¹tɨ²,kɨ¹tɨ²,kɨ³tɨ³,—,—,—,12,12,33,True,False
3867,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,sa²ma²,change,cambiar,tr,Bimoraic,n/a,—,sa²ma²,sa²ma²,sa³ma³,—,—,—,22,22,33,True,False
3868,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,suʔ¹u²,steal,robar,tr,Bimoraic,n/a,—,suʔ¹u²,suʔ¹u²,suʔ³u³,—,—,—,12,12,33,True,False
3869,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,taʔ¹an¹,bump into,topar,tr,Bimoraic,n/a,—,taʔ¹an¹,taʔ¹an¹,taaʔ²an³,—,—,—,11,11,23,True,False
3870,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta²an²,knead,amasar,tr,Bimoraic,n/a,—,ta²an²,ta²an²,ta³an³,—,—,—,22,22,33,True,False
3871,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,taʔ²ñi²,smell,oler,tr,Bimoraic,n/a,—,taʔ²ñi²,taʔ²ñi²,taʔ³ñi³,—,—,—,22,22,33,True,False
3872,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,taʔ¹bi²,break,quebrar,tr,Bimoraic,n/a,—,taʔ¹bi²,taʔ¹bi²,taʔ³bi³,—,—,—,12,12,33,True,False
3873,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta¹ndaʔ¹a²,push,empujar,tr,Trimoraic,n/a,—,ta¹ndaʔ¹a²,ta¹ndaʔ¹a²,ta³ndaʔ³a³,—,—,—,112,112,333,True,False
3874,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta¹tu²,roll,enrollar,tr,Bimoraic,n/a,—,ta¹tu²,ta¹tu²,ta³tu³,—,—,—,12,12,33,True,False
3875,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta²tsi²,send,mandar,tr,Bimoraic,n/a,—,ta²tsi²,ta²tsi²,ta³tsi³,—,—,—,22,22,33,True,False
3876,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta¹tsi¹,sow,sembrar,tr,Bimoraic,n/a,—,ta¹tsi¹,ta¹tsi¹,ta³tsi³,—,—,—,11,11,33,True,False
3877,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta²ba²,take out,sacar,tr,Bimoraic,n/a,—,ta²ba²,ta²ba²,ta³ba³,—,—,—,22,22,33,True,False
3878,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta²bi²,spin,hilar,tr,Bimoraic,n/a,—,ta²bi²,ta²bi²,ta³bi³,—,—,—,22,22,33,True,False
3879,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti²ka²a²,hang,colgar,tr,Trimoraic,n/a,—,ti²ka²a²,ti²ka²a²,ti³ka³a³,—,—,—,222,222,333,True,False
3880,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti²ntyi²i²,put,poner,tr,Trimoraic,n/a,—,ti²ntyi²i²,ti²ntyi²i²,ti³ntyi³i³,—,—,—,222,222,333,True,False
3881,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tɨʔ¹bɨ²,suck,chupar,tr,Bimoraic,n/a,—,tɨʔ¹bɨ²,tɨʔ¹bɨ²,tɨʔ²bɨ³,—,—,—,12,12,23,True,False
3882,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tɨ²ɨn²,grab,agarrar,tr,Bimoraic,n/a,—,tɨ²ɨn²,tɨ²ɨn²,tɨ³ɨn³,—,—,—,22,22,33,True,False
3883,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tɨ²bɨ¹,blow,soplar,tr,Bimoraic,n/a,—,tɨ²bɨ¹,tɨ²bɨ¹,tɨ²bɨ³,—,—,—,21,21,23,True,False
3884,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tuʔ²un²,pull up,arrancar,tr,Bimoraic,n/a,—,tuʔ²un²,tuʔ²un²,tuʔ³un³,—,—,—,22,22,33,True,False
3885,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tu¹tsi²,peck,picotear,tr,Bimoraic,n/a,—,tu¹tsi²,tu¹tsi²,tu³tsi³,—,—,—,12,12,33,True,False
3886,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,tu¹tsi²,shoot,disparar,tr,Bimoraic,n/a,—,tu¹tsi²,tu¹tsi²,tu³tsi³,—,—,—,12,12,33,True,False
3887,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kaʔ²ntya¹,break,romper,tr,Bimoraic,n/a,ka+,kaʔ²ntya¹,tsaʔ²ntya¹,tsaaʔ²ntya³,—,—,—,21,21,23,True,False
3888,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kuʔ²ñi¹,tie up,amarrar,tr,Bimoraic,n/a,ku+,kuʔ²ñi¹,tsaʔ²ñi¹,tsaaʔ²ñi³,—,—,—,21,21,23,True,False
3889,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ba¹ka¹,scratch,rayar,tr,Bimoraic,n/a,ba+,ba¹ka¹,tsa²ka²,tsa³ka³,—,—,—,11,22,33,False,False
3890,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kuʔ¹ba¹,allow,permitir,tr,Bimoraic,n/a,ku+,kuʔ¹ba¹,tsaʔ¹a¹,tsaʔ³a²,—,—,—,11,11,32,True,False
3891,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kaʔ²mi²,burn,quemar,tr,Bimoraic,n/a,ka+,kaʔ²mi²,tsaʔ²mi²,tsaʔ³mi³,—,—,—,22,22,33,True,False
3892,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kaʔ¹ñi²,kill,matar,tr,Bimoraic,n/a,ka+,kaʔ¹ñi²,tsaʔ¹ñi²,tsaʔ³ñi³,—,—,—,12,12,33,True,False
3893,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²nɨ¹,destroy,destruir,tr,Bimoraic,n/a,ka+,ka²nɨ¹,tsa²nɨ¹,tsa²nɨ³,—,—,—,21,21,23,True,False
3894,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,kua²ñi²,step on,pisar,tr,Bimoraic,n/a,ku+,kua²ñi²,tsa²ñi²,tsa²ñi³,—,—,—,22,22,23,True,False
3895,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²kin¹,position,colocar,tr,Bimoraic,n/a,ka+,ka²kin¹,tsa²kin¹,tsa²kin³,—,—,—,21,21,23,True,False
3896,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²tɨ²,throw,tirar,tr,Bimoraic,n/a,ka+,ka²tɨ²,tsa²tɨ²,tsa³tɨ³,—,—,—,22,22,33,True,False
3897,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,ka²tya¹,dig,excavar,tr,Bimoraic,n/a,ka+,ka²tya¹,tsa²tya¹,tsa²tya³,—,—,—,21,21,23,True,False
