IDlist,GLOSS,ID,English,tlah11,pied12,flor12,mont12,bate11,asun11
1,madre,NA,NA,NA,NA,NA,NA,NA,NA
2,mamá!,NA,NA,NA,NA,NA,NA,NA,NA
3,"padre, papá",296,father,tata,tájtě,táta,tatá,tatà ,NA
4,papá!,NA,NA,NA,NA,NA,NA,NA,NA
5,hijo/hija,207,offspring,se'è,sè'e,se'é,jàya ,sè'e,NA
6,hijo,NA,NA,NA,NA,NA,NA,NA,NA
7,hija,NA,NA,NA,NA,NA,NA,NA,NA
8,hermana/hermano de otro genero,386,sister (of man)/brother (of woman),kuva,kò'va,kò'vì,kìva,NA,NA
9,hermano de hombre,110,brother (of man),yani,ñañî,ñanì,ñanì,ñanì,NA
10,hermana de mujer,387,sister (of woman),ku'vì,ku'ù,ku'ì,kìvì,NA,NA
11,tía,727,aunt,xixi,xixi,xíxi,,NA,NA
12,tío,726,uncle,xito,xito,xito,xitò,NA,NA
13,hombre,127,man,tàa,tsiàja ,tsiàja,tyàa,chàa,NA
14,mujer,819,woman,sí'i,NA,si'i,NA,NA,NA
14,mujer,877,woman,ñá'a,NA,NA,NA,NA,NA
15,dueño,169,owner,xto'o,xìto'ô,nà xi'ìn ña'à,sìtoò,sto'o,NA
16,sacerdote,260,priest,sùtu,sujtù,sùjtù,jùtì,sùtù,jùtyi
17,sangre,121,blood,nìín,nìjǐ,nìjǐ,nììn,nìín,NA
18,hueso,367,bone,leké,ìkin,ikǐ,lasa,íkí ché'é,NA
19,pelo,378,hair,ixin,ixǐ,ijxǐ,ixì,ixî,NA
20,cara,311,face,nùú,nùjǔ,nùjǔn,nòò,nùún,NA
21,lengua,690,tongue,yáǎ,yajǎ,yajǎ,,NA,NA
22,diente,112,tooth,ñù'un,nù'u,nù'un,nò'on,nù'un,NA
23,boca,255,mouth,yu'ú,yu'ǔ,yu'ǔ,yu'ù,yu'ú,NA
24,oreja,223,ear,sò'o,sò'o,sò'o,jò'o,só'o,NA
25,nariz,97,nose,xìtín,xitsǐn,xijtsǐn,xìtì,xìchǐ,NA
26,cuello ,171,neck,sùkú,sokǔn,sojkǔn,jìkò,sùkǔ,NA
27,mano,294,hand,nda'á,nta'ǎ,nta'ǎ,ndaà,nda'á,NA
