NewID#,ID#,Español,English,Preguntas/Notas,TLHP,TLHP_toneless,TLHP_notas,SMP/PiedraAzul,IPA_SMP/Piedra Azul,SMP/PiedraAzul_toneless,SMP_notas,San Marco de la Flor (SMP),,SMP,SSM,SSM_toneless,SSM_notas,SMD/Carmen,SMD/Carmen_toneless,SMD_notas,SJM (La Batea),SJM_toneless,SJM_notas,UDC,UDC_toneless,SMA,SMA_toneless,SFH,SFH_toneless,SFH,SFH,GDM,GDM_toneless,SMP/SIR,SMP/SIR_toneless,SMC,SMC_toneless,SMP/P,SMP/P_toneless,SMD/Javier,SMD/Javier_toneless,TDV,TDV_toneless,TDV_notas,Joss_notes,Joss_Dur,Joss_Mix,Joss_Pera,Joss_Metl,pMx,Joss#,Dürr,Dürr tone,Dürr#,Camp#,Kauf#,SMD/Erika,SMD/Erika_toneless,,,
73,72,casa,house,,ve'e,ve'e,,ve'e,,ve'e,,ve'e,,,ve'e,ve'e,,ve'e,ve'e,,ve'e,ve'e,,,,ve'è,ve'e,,,,,,,,,,,,,,,,,,,veʔe,beʔe,veʔe,béʔē,weʔyi,164,wéʔyí,A.A,28,,,,,,,
74,73,calabaza,squash,different kind than other calabaza?,ikín,ikin,calabaza en general,ikǐn,ihkin,ikin,,ijkǐn,,,yikì,yiki,,yikìn,yikin,,íki,iki,,,,yíkì,yiki,,,,,,,,,,,,,,,,,,,žikĩ,iki,ʔikĩ,---,yɨkɨ̃ʔ,44,,,,,,,,,,
75,74,piojo,louse,,tìkú,tiku,,tsiukǔ,,tsiuku,,tsiǔkǔ,,,tiyúkù,tiyuku,,txìki,txiki,,chukǔ,chuku,,,,tiyuku,tiyuku,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
76,75,sabio,wise,noun or adj?,stu'va,stu'va,,—,,—,,nà xku'á,,,tìsaví,tisavi,,txà xíní túnì,txa xini tuni,,ntsitsî inî,nditsi ini,,,,tisà'vi,tisa'vi,,,,,,,,,,,,,,,,,,,--,--,--,--,tuʔwe,174,,,,,,,,,,
77,76,tomatillo,tomatillo,,tnàná sòó,tnana soo,,tsìnanǎ sóó,,tsinana soo,,tsìnanǎ sóó,,,tìnanà jò'ó,tinana jo'o,,txìnana sòó,txinana soo,,tinana sòó,tinana soo,,,,tinana kwií,tinana kwii,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
78,77,humo,smoke,,yu'mà,yu'ma,,i'màn,,i'man,,ì'mân,,,ñìmà,ñima,,ñù'mà,ñu'ma,,ñu'ma`,ñu'ma`,,,,ni'mà,ni'ma,,,,,,,,,,,,,,,,,,,ñũʔmã,ñũʔmã,ʔĩʔmã,ñũʔmã,yuʔwẽ,101,,,,,,,,,,
79,78,tomate,tomato,merge 76 & 78?,tnàná,tnana,,tsìnanǎ,,tsinana,,tsìnanǎ,,,tìnanà,tinana,,txìnana,txinana,,tinǎna,tinana,,,,tinaná,tinana,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
80,79,jitomate,red tomato,,tnàná kwá'a,tnana kwa'a,,tsìnanǎ kuá'a,,tsinana kua'a,,tsìnanǎ kua'a,,,tìnanà kuaá,tinana kuaa,,txìnana ntxe'e,txinana ntxe'e,,tinâna sòo,tinana soo,,,,tinaná ndyà'ì,tinana ndya'i,,,,,,,,,,,,,,,,,,,či nãnã,ti nãnã,c̢i nãnã,--,tɨ lanaʔ,90,,,,,,,,,,
81,80,nuez,pecan,see #81,tìkí ,tiki ,,tsìkí,tsihki,tsiki,,tsìkí,,,tyájìn,tyajin,,txìkín,txikin,,tǐki,tiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
82,81,semilla,seed,,si'và,si'va,,si'và,,si'va,,si'và,,,tiyíkì,tiyiki,,sò'và,so'va,,si'và (Abel);tikǐ (Yessica),si'va (Abel);tiki (Yessica),,,,tiyikí,tiyiki,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
83,82,carne,meat,,kùñu,kuñu,,koñû,,koñu,,koñô,,,kòño,koño,,kùñu,kuñu,,kǔñù,kuñu,,,,kùñù,kuñu,,,,,,,,,,,,,,,,,,,kũñũ,kũñũ,kõñõ,kũñũ,koyõ,30,kòyón,B.A,51,,,,,,,
84,83,feo,ugly,,kini,kini,también: malo/sucio,kini,,kini,,kini,,,kini,kini,,kini,kini,,kini,kini,,,,kini,kini,,,,,,,,,,,,,,,,,,,kinĩ,kinĩ,kinĩ,kĩnĩ,kini,70,,,,,,,,,,
85,84,estrella,star,,tkìmi,tkimi,,tsiujǔn,,tsiujun,,tsiùjǔn,,,tìtóòn,titoon,,txìñù,txiñu,,chuùn,chuun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
86,85,raíz,root,,tyò'o,tyo'o,,tsiò'o,,tsio'o,,tsiò'o,,,yò'ò,yo'o,,yò'o,yo'o,,yo'ó,yo'o,,,,yo'ò,yo'o,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
87,86,mecate,rope,,yo'ó,yo'o,,yo'ǒ,,yo'o,,yo'ǒ,,,yo'ò,yo'o,,yo'ò,yo'o,,yo'ó,yo'o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,yóʔóʔ,A.Aʔ,14,,,,,,,
88,87,arena,sand,,yùti,yuti,,yùtsí,,yutsi,,yùtsí,,,ñòtí,ñoti,,nùtxí,nutxi,,yǔti,yuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
89,88,flor,flower,,ita,ita,,ijtâ,ihta,ita,,ita,,,ítà,ita,,ita,ita,,ità,ita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,ítà,A.B,42,,,,,,,
90,89,pueblo,village,,ñuun,ñuun,,ñuù,,ñuu,,ñuù,,,ñoò,ñoo,,ñuu,ñuu,,ñǔun,ñuun,,,,,,,,,,,,,,,,ñuu,ñuu,,,,,,,ñũũ,ñũũ,ñũũ,--,yuũ,100,yúùn,AB,39,,,,,,,
91,90,gente,people,,yùví,yuvi,,nàyìvǐ,,nayivi,,nàyìvǐ ,,,nà yivì,na yivi,,nàyivi,nayivi,,nivǐ,nivi,,,,,,,,,,,,,,,,,,,,,,,,nã živi,nĩbi,ñã živi,yuubi,yẽ yɨwɨʔ,99,,,,,,,,,,
92,91,petate,sleeping mat,,yuví,yuvi,,yivǐ,yihvi,yivi,,yijvǐ,,,yivì,yivi,,yivì,yivi,,yuvǐ,yuvi,,,,,,,,,,,,,,,,,,,,,,,,ž̌ibi,yubi,ž̌iʔbi,yubi,yuwiʔ,3,yúwíʔ,A.Aʔ,9,,,,,,,
93,92,cuatro,four,,kòmí,komi,,kòmǐ,kohmi,komi,,kòjmǐ,,,kòmì,komi,,kòmì,komi,,kùmǐ,kumi,,,,,,,,,,,,,,,,,,,,,,,,kũmĩ,kũmĩ,kõÕmĩ,kũbĩ,kɨwĩʔ,4,kɨ̀wìnʔ,B.Bʔ,62,,,,,,,
94,93,pluma,feather,,tùmi,tumi,,tǒmî,,tomi,,tǒmî,,,tòmi,tomi,,tùmi,tumi,,tùmì,tumi,,,,,,,,,,,,,,,,,,,,,,,,tũmĩ,tũmĩ,tõmĩ,tũmĩ,towĩ,5,,,,,,,,,,
95,94,cola,tail,,ndo'ó,ndo'o,,nto'ǒ,,nto'o,,nto'ǒ,,,ndo'ò,ndo'o,,nto'ò,nto'o,,ndo'ó,ndo'o,,,,,,,,,,,,,,,,,,,,,,,,[ndoʔo],[ndoʔo],[ndoʔo],sũʔmã,luʔwẽʔ,6,,,,,,,,,,
96,95,cera,wax,,yùmá,yuma,,ìmǎ,ihma,ima,,ìjmǎ,,,nìmà,nima,,ñùmà,ñuma,,ñùmǎ,ñuma,,,,,,,,,,,,,,,,,,,,,,,,ñũmã̃,ñũmã̃,ʔĩĨmã,---,yuwẽʔ,7,,,,,,,,,,
97,96,nariz,nose,,xìtín,xitin,,xitsǐn,ʃihtsjn,xitsin,,xijtsǐn,,,xìtì,xiti,,xìtxì,xitxi,,xìchǐ,xichi,,,,,,,,,,,,,,,,,,,,,,,,šiči,š̢ityi,šicĩ,---,sitĩʔ,8,,,,,,,,,,
98,97,cerca/próximo,close/near,,yachi,yachi,,yatsin,jahtsjn,yatsin,,yajtsin,,,yati,yati,,yatxi,yatxi,,yachi,yachi,,,,,,,,,,,,,,,,,,,,,,,,žači,yatyi,yac̢ĩ,---,yetĩ,10,,,,,,,,,,
99,98,tipo de madera,type of wood,TLHP; Esta madera es el soporte principal que lleva la casa de madera que construyen a mano.,ndàva,ndava,,ntáva,,ntava,,víga,,,—,—,,—,—,,ndàva,ndava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
100,99,venado,deer,,isu,isu,,usû,,usu,,usû,,,sìkuaà,sikuaa,,isi,isi,,isù,isu,,,,,,,,,,,,,,,,,,,,,,,,ʔisi,isu,ʔusu,,isu,12,ísù,A.B,43,,,,,,,
101,100,manteca,grease,,xà'an,xa'an,,xǎ'ân,,xa'an,,xǎ'ân,,,xà'án,xa'an,,shà'an,sha'an,,xǎ'àn,xa'an,,,,,,,,,,,,,,,,,,,,,,,,š̌ãʔã,š̌ãʔã,š̌ãʔã,,seʔẽ,13,,,,,,,,,,
102,101,olor,smell,,xikò,xiko,,xikò,ʃihko,xiko,,xá'àn,,,xikò,xiko,,xá'àn,xa'an,,xikò,xiko,,,,,,,,,,,,,,,,,,,,,,,,šiko,š̢iko,šiko,,siko,14,,,,,,,,,,
103,102,tortilla,tortilla,,xìtá,xita,,xìtǎ,ʃihta,xita,,xìtǎ,,,xìtà,xita,,shìtà,shita,,stàá,staa,,,,,,,,,,,,,,,,,,,,,,,,šita,staa,šita,,sitaʔ,15,sìtàʔ,B.Bʔ,68,,,,,,,
104,104,flojo,lazy,,xúxan,xuxan,,xúxan,,xuxan,,xúxan,,,júsá,jusa,,kúshí,kushi,,kukuxà,kukuxa,,,,,,,,,,,,,,,,,,,,,,,,ku šušã,ku kuši / ndi kuʔndu,kušu,šušã,suxẽʔ,17,,,,,,,,,,
105,105,cama,bed,,xìto,xito,,xìto,ʃihto,xito,,xìjto,,,sìto,sito,,xìto,xito,,tsìto,tsito,,,,,,,,,,,,,,,,,,,,,,,,šito,čito,šito,---,xito,18,,,,,,,,,,
106,106,comal,griddle,,xìyó,xiyo,,xìyǒ,ʃihjo,xiyo,,xìjyǒ,,,—,—,,xòò,xoo,,tsiòó,tsioo,,,,,,,,,,,,,,,,,,,,,,,,šyoo,č̌ioo,šixyo,---,xiyoʔ,19,xìyòʔ,B.Bʔ,70,,,,,,,
107,107,culpa,guilt,,kwàchi,kwachi,,kuachi,kwahtʃi,kuachi,,kuàjchi,,,kuàchi,kuachi,,kuàchi,kuachi,,kwàchi,kwachi,,,,,,,,,,,,,,,,,,,,,,,,kwači,kwatyi,kwači,kwači,kweti,20,,,,,,,,,,
108,108,río,river,,ìta,ita,,ìtsia,ihtsia,itsia,,ìjtsia,,,yùtya,yutya,,yìtxa,yitxa,,yùcha,yucha,,,,,,,,,,,,,,,,,,,,,,,,ž̌iča,yutya,ʔic̢a,itya,yute,23,yùté,B.A,58,,,,,,,
109,109,lodo,mud,,ndà'ì,nda'i,,ntsia'yì,,ntsia'yi,,ntsia'yì,,,ndyàyì,ndyayi,,lò'lò,lo'lo,,nchà'ì,ncha'i,,,,,,,,,,,,,,,,,,ntxe'ì,ntxe'i,,,,,nčaʔi,ndyaʔi,nčaʔyi,ndyaʔyu,ndeʔyu,24,,,,,,,,,,
110,110,hermano de hombre,brother (of man),,yani,yani,,ñañî,,ñañi,,ñanì,,,ñanì,ñani,,ñani,ñani,,ñanì,ñani,,,,,,,,,,,,,,,,,,ñani,ñani,,,,,ñãnĩ,ñãnĩ,ñãnĩ,---,yeni,25,yénì,A.B,40,,,,,,iyo to'va ña'à,
111,111,tres,three,,ùnì,uni,,ònì,,oni,,ònì,,,ònì,oni,,ùnì,uni,,ùnì,uni,,,,,,,,,,,,,,,,,,ùnì,uni,,,,,ũnĩ,ũnĩ,ũnĩ,---,oni,26,,,,,,,,,ii tivi ntsia,
112,112,diente,tooth,,ñù'un,ñu'un,,nù'u,,nu'u,,nù'un,,,nò'on,no'on,,nù'un,nu'un,,nù'un,nu'un,,,,,,,,,,,,,,,,,,nù'un,nu'un,,,,,nũʔũ,nũʔũ,nũʔũ,---,noʔo,27,nòʔó,B.A,57,,,,,,ñà xiì ntsie'e va'a ,
113,113,cinco,five,,ù'ùn,u'un,,ù'ùn,,u'un,,ù'ùn,,,ò'òn,o'on,,ùn'ùn,un'un,,ù'ùn,u'un,,,,,,,,,,,,,,,,,,,,,,,,ʔũʔũ,ũʔũ,ʔũʔũ,---,oʔõ,28,òʔòn,B.B,90,,,,,,chiko'yó,
114,114,trabajo,work,what is the difference to the other trabajo? TLHP solo tenemos una palabra para trabajo.,chiñu,chiñu,,chiñu,,chiñu,1 of 2 forms,chiñu,verbo,,chiño,chiño,,chuun,chuun,,chuun,chuun,,,,,,,,,,,,,,,,,,,,,,,,čũũ,tyũũ,tu ndoʔo,---,tiyõ,49,tíyón,A.A,16,,,,,,iyì chintsie-ì yo'ò,
115,,trabajo,work,what is the difference to the other trabajo?,—,—,,chuun,,chuun,2 of 2 forms,chuun,nombre,,—,—,,—,—,,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ndatu'un xi'ì-nà,kunajan ntsia'ì
116,115,rojo,red,,kwá'a,kwa'a,,kuá'a,,kua'a,,kuá'a,,,kua'á,kua'a,,kuá'á,kua'a,,kwaá o kwá'à ??,kwaa o kwa'a ??,,,,,,,,,,,,,,,,,,,,,,,,kwaʔa,kwaʔa,kwaʔa,kwaʔa,kweʔe,31,kweʔe,modified,102,,,,,,,
117,117,siete,seven,,ùxà,uxa,,ùxà,,uxa,,ùxà,,,ùsà,usa,,ìxà,ixa,,ùtsà,utsa,,,,,,,,,,,,,,,,,,,,,,,,ʔiša,uča,ʔuša,---,uxe,33,,,,,,,,,,
118,118,hilo,thread,,yù'và,yu'va,,yi'và,,yi'va,,yi'và,,,yìvà,yiva,,yò'và,yo'va,,yù'à,yu'a,,,,,,,,,,,,,,,,,,,,,,,,žuʔwa,yuʔwa,žiʔba,---,yuʔwe,34,yùʔwè,B.B,86,,,,,,,
119,119,cangrejo,crab,,kolo yòó,kolo yoo,,—,,—,,tijéra,,,tìkulaskó,tikulasko,,txìyòó,txiyoo,,chò'o xîín,cho'o xiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
120,121,espuma,foam,Hay diferencia entre éste y el de 881?,ñùñùn,ñuñun,,chìkìñù,,chikiñu,"881, es lo mismo",chìkìñù,,,chi'ìñò,chi'iño,,chìñù,chiñu,,tiñun`,tiñun`,,,,,,,,,,,,,,,,,,,,,,,,čĩñũ,tiñũ,č̢i kiñũ,lolo,tɨ iyũ,38,,,,,,,,,,
121,122,sangre,blood,,nìín,niin,,nìjǐ,,niji,,nìjǐ,,,nììn,niin,,nìì,nii,,nìín,niin,,,,,,,,,,,,,,,,,,,,,,,,nĩĩ,nĩĩ,nĩĨĩ,n(ĩ)ĩĩ,nɨyɨ̃ʔ,39,,,,,,,,,,
122,124,red,mesh,,yáti,yati,,yujñǔ,juhɲu,yuñu,,—,,,tiyivá,tiyiva,,yátí,yati,,ñunǔ, ----,,,,,,,,,,,,,,,,,,,,,,,,ñũñũ,ñũnũ,ñũŨnũ,---,yonoʔ,42,,,,,,,,,,
123,125,tejón,coati,,----,------,,—,,—,,—,,,tìyìyì,tiyiyi,,yii,yii,,iì,ii,,,,,,,,,,,,,,,,,,,,,,,,žii,ii,žii,ĩĩ`,yɨyɨ,45,,,,,,,,,,
124,126,huipil,woven blouse,,sa'má ndá'vi,sa'ma nda'vi,(no es positivo),—,,—,,—,,,—,—,,shìkùn,shikun,,sa'mǎ kwitsì,sa'ma kwitsi,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,,sikõ,48,,,,,,,,,,
125,127,caliente,hot,,i'ní,i'ni,,i'ní,,i'ni,,i'ní,,,iní,ini,,ì'ní,i'ni,,i'ní,i'ni,,,,,,,,,,,,,,,,,,,,,,,,ʔĩʔnĩ,ĩʔnĩ,ʔĩʔnĩ,--,iʔniʔ,84,,,,,,,,,,
126,128,caña,(sugar)cane,,ndòó,ndoo,,ntòjǒ,ntoho,ntojo,,ntojǒ,,,ndòò,ndoo,,ntòò,ntoo,,ndòó,ndoo,,,,,,,,,,,,,,,,,,,,,,,,ndoo,ndoo,ndoo̥o,--,ndooʔ,93,ndòòʔ,BBʔ,67,,,,,,,
127,129,hombre,man,,tàa,taa,,tsiàja ,tsiaha,tsiaja ,,tsiàja,,,tyàa,tyaa,,txàa,txaa,,chàa,chaa,,,,,,,,,,,,,,,,,,,,,,,,čaa,tyaa,č̢̢yaxa,tyaa,teye,52,tèyé,B.A,47,,,,,,,
128,130,redondo ,round,,tìkwìta,tikwita,,tsìkàtsià,tsikahtsia,tsikatsia,,konto tsìduu,,,tìkàtyá,tikatya,,txìrònà,txirona,,tikùcha ,tikucha ,puede llevar la ti o no. No hay diferencia.,,,,,,,,,,,,,,,,,,,,,,,boʔlo,ti kutya,[koʔndo],---,kute,53,,,,,,,,,,
129,131,comida,food,,ña'an xíxi-ná,ña'an xixi-na,solo es descripción de la palabra,—,,—,,ña'an xixe,,,—,—,,[comídá],[comida],,ncheyǐ ,ncheyi ,,,,,,,,,,,,,,,,,,,,,,,,ñã ka sãʔã,ndyayu,ndyažu,---,ndeyuʔ,46,,,,,,,,,,
130,132,horno,oven,,xitùn,xitun,,xìtùn,ʃihtun,xitun,,—,,,sìtò,sito,,xìtùn,xitun,in the ground,tsìtù,tsitu,,,,,,,,,,,,,,,,,,,,,,,,šitũ,čitu,---,---,xitũ,54,,,,,,,,,,
131,133,hormiga arriera,leafcutter ant,,lasu'ú,lasu'u,,—,,—,,--,,,tikùjùú,tikujuu,,txokó arriéró,txoko arriero,,chokó súú,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
132,134,chicatana,queen leafcutter ant,,xindòkò,xindoko,,—,,—,,xìnto'ko,,,xindokò,xindoko,,—,—,,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
133,135,hormiga roja que pica,red ant that bites,,tyòkó kwá'a,tyoko kwa'a,,tsiòkó kuà'a,,tsioko kua'a,,tsòko kuà'a,,,tikùñòó,tikuñoo,,—,—,,cho᷄ko kwá'à,cho᷄ko kwa'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
134,136,tigre/jaguar,jaguar,,ndgá'a,ndga'a,,ntsiká'á,,ntsika'a,,ntsika'a,,,ndikuiìn,ndikuiin,,ntxíkuààn ntxíkuin,ntxikuaan ntxikuin,,ndikáa,ndikaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,137,otro felino,other wild feline,,—,—,,ntsi'ì,,ntsi'i,pumas,—,,,ndikaa,ndikaa,Leon de la sierra,—,—,,---,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
136,139,mentira,lie,,vatá,vata,,tú'un,,tu'un,,tú'un,,,toón,toon,,ña tù'ún,ña tu'un,,sùña ndàà,suña ndaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
137,140,rama,branch,,nda'á itú,nda'a itu,,ntukû,ntu˧hku,ntuku,,ntujku ,,,ndaá yitò,ndaa yito,,nta'a itùn,nta'a itun,,nda'á yùtû,nda'a yutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
138,141,pequeño (pl.),small (pl.),,válí,vali,,—,,—,,lo'o,,,loò,loo,,válí,vali,,kwáchi,kwachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
139,142,empinado,steep,,ndichi,ndichi,,nchichî,,nchichi,,nùún nchíchi,,,ndichì,ndichi,,nchichi,nchichi,,nchichì,nchichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
140,143,pulque,pulque,,ndixi,ndixi,,—,,—,,ra kuxìn,,,ndíxí,ndixi,,ntxishi,ntxishi,,ndixì,ndixi,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
141,145,sapo,toad,nocturnal only?,---,---,,karkakǎ,karkahka,karkaka,,sapo,,,—,—,,—,—,,---,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
142,146,sapo,toad,,lápó,lapo,,síkui,sih˥kwi˧,sikui,,síjkui,,,—,—,,[sápó],[sapo],,likwì,likwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
143,147,agrio,sour,,iyá,iya,,iyá,,iya,,iyá,,,iyá,iya,,iyá,iya,,iyá,iya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
144,149,gato montes,wild cat,,vilú ikú,vilu iku,,chútu yukú,tʃuhtu juhku,chutu yuku,,chújtu yujkǔ,,,chitó yukú,chito yuku,,chítí yikí,chiti yiki,,vílú yuk,vilu yuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
145,150,comadre,co-mother,,máli,mali,,{máli},,{mali},,máli,,,{malí},{mali},,{cúmárí},{cumari},,márî,mari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
146,151,duro,hard,solid,te'é,te'e,,tsié'é,,tsie'e,,tsie'é,,,kásí,kasi,,txé'é,txe'e,,kátsi,katsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
147,152,camino,path,,ichí,ichi,,ichǐ,,ichi,,ichǐ,,,ichì,ichi,,ichì,ichi,,ichǐ,ichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,ítíʔ,A.Aʔ,15,,,,,,,
148,153,rocío,dew,,kaxin,kaxin,yúyú 'brisa',yúyú,,yuyu,,yúyú es brisa / yìva cuando hace mucho frio como,,,yúyú,yuyu,,yíyí,yiyi,,yúyú,yuyu,,,,,,,,,,,,,,,,,,,,,,,,žiži,yuyu,žužu,--,yuyuʔ,178,,,,,,,,,,
149,154,zopilote,vulture,,pe'lo,pe'lo,,tsìkǒxìjǐ,,tsikoxiji,,tsìkòxìjǐ,,,tì kàká,ti kaka,,lònchi,lonchi,,lóchí,lochi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
150,155,nube,cloud,,vìkó,viko,,vìkǒ,βihko,viko,,vìjkǒ,,,vìkò,viko,,vìkò,viko,,vìkǒ,viko,,,,vikò,viko,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
151,156,olote,corncob,,sàñá,saña,,sanǐ,,sani,,sanǐ,,,jàníì,janii,,sànii,sanii,,sáyǐn,sayin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
152,157,murciélago,bat,,chínáká,chinaka,,chináká,,chinaka,,chináka,,,chirrìì,chirrii,,txìñùù sò'o la'là,txiñuu so'o la'la,,tsikúchǐ,tsikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
153,158,masa,dough,,yùxán,yuxan,,ixǎn,,ixan,,ixǎn,,,yusà,yusa,,yixàn,yixan,,yútsa,yutsa, ,,,,,,,,,,,,,,,,,,,,,,,žišã,yuča,ʔišã,--,yuxẽʔ,109,,,,,,,,,,
154,159,abeja,bee,what is the difference to the other abeja?,ñùñú,ñuñu,,ñùñǔ,ɲuhɲũ,ñuñu,,ñùjñǔ,,,tíñoñò,tiñoño,was prev. BMB,ñùñù,ñuñu,,ñùñǔ,ñuñu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
155,160,panal,beehive,al vapor se le dice igual #648,yòkò,yoko,,yokò,,yoko,,yokò,,,yókò,yoko,,yokò,yoko,,yòkǒ,yoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
156,161,viuda negra,black widow,,xindòkò tùún,xindoko tuun,,tsiu'ún,,tsiu'un,,tsiù'ún,,,tì ñoón,ti ñoon,,—,—,,tindǒǒ,tindoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
157,162,tlacuache,possum,,xàko,xako,,xàko,,xako,,xàjkó,,,sákua,sakua,,lánko,lanko,,tsóko,tsoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
158,163,chapulín,grasshopper,,tìka,tiki,,tsikâ,,tsika,,tsikâ,,,ndìtíì,nditii,,txìka,txika,,tìká,tika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
159,164,temblor (v.),earthquake (v.),,tâan,taan,,tájan,,tajan,verbo (IPFV),tájan,,,táan,taan,,táan,taan,,tâan,taan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
160,166,lagartija,lizard,ask Yésica if her word means 'lagarto' or 'lagartija',melá,mela,,milá ,,mila ,,la'lò,,,míla,mila,,mí'la,mi'la,,tsilikwákú,tsilikwaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
161,167,chayote,chayote squash,,nañá,naña,,nañǎ,nahɲa,naña,,najñǎ,,,tináñà,tinaña,,nañà,naña,,nañǎ,naña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
162,168,iguana,iguana,,chichí níí,chichi nii,,chíchín,,chichin,,chìchí,,,chìníi,chinii,,txìshìí,txishii,,tǐchí,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
163,169,víbora de cascabel,rattlesnake,,kòó kàà,koo kaa,,xàyo,,xayo,,xàyo,,,kòò kàá,koo kaa,,kòò káá,koo kaa,,kòó tsa'á,koo tsa'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
164,170,paloma,dove,,sàtà,sata,,sàta,,sata,,sàta,,,nakuàá,nakuaa,,làtá,lata,,sáta,sata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
165,172,ataúd,coffin,,xàtún,xatun,,xàtǔn,,xatun,,xàtǔn ndǐi,,,sàtò,sato,,xàtùn ntxìi,xatun ntxii,,tsàtu,tsatu,,,,,,,,,,,,,,,,,,,,,,,,šatũ,čatu,satũ,---,xetũʔ,55,,,,,,,,,,
166,173,zancudo,mosquito,,ndyáá,ndyaa,,ntà'íxí  ,,nta'ixi  ,etymology may be 'ndá'ǎ ixǐ' (arm hair),nta'ixì,,,tìkuiín,tikuiin,,ntxiyá'á,ntxiya'a,,tikwàín,tikwain,,,,,,,,,,,,,,,,,,,,,,,,či kwañĩ / [nči žaʔa,[tyuku too] / ti kwãĩ,[nda iši],---,tɨ kweyɨ̃ʔ,56,,,,,,,,,,
167,177,tendón/cable ,tendon,,tùchi,tuchi,,tùchî,,tuchi,,tùchi,,,tùchi,tuchi,,tùchi,tuchi,,tùchi,tuchi,,,,,,,,,,,,,,,,,,,,,,,,tuči,tutyi,c̢i tũʔũ,---,tuti,60,,,,,,,,,,
168,179,cuarta de mano,handwidth measure,,iin nda'á,iin nda'a,,iin ntá'ǎ,,iin nta'a,,iin nta'a,,,iin ndaà,iin ndaa,,iin nta'à,iin nta'a,,iin nda'á,iin nda'a,,,,,,,,,,,,,,,,,,,,,,,,---,too,---,---,too,62,tóó,AA,17,,,,,,,
