NewID#,ID#,Español,English,Preguntas/Notas,TLHP,TLHP_toneless,TLHP_notas,SMP/PiedraAzul,IPA_SMP/Piedra Azul,SMP/PiedraAzul_toneless,SMP_notas,San Marco de la Flor (SMP),,SMP,SSM,SSM_toneless,SSM_notas,SMD/Carmen,SMD/Carmen_toneless,SMD_notas,SJM (La Batea),SJM_toneless,SJM_notas,UDC,UDC_toneless,SMA,SMA_toneless,SFH,SFH_toneless,SFH,SFH,GDM,GDM_toneless,SMP/SIR,SMP/SIR_toneless,SMC,SMC_toneless,SMP/P,SMP/P_toneless,SMD/Javier,SMD/Javier_toneless,TDV,TDV_toneless,TDV_notas,Joss_notes,Joss_Dur,Joss_Mix,Joss_Pera,Joss_Metl,pMx,Joss#,Dürr,Dürr tone,Dürr#,Camp#,Kauf#,SMD/Erika,SMD/Erika_toneless,,,
41,38,año,year,,kwiyà,kwiya,,kuiyà,,kuiya,,kuìyà,kuiya,,kuìyà,kuiya,,kuìà,kuia,,kwìyà,kwiya,,,,kwiyá,kwiya,kwìyà,,,,,,,,,,kuìyà,kuiya,,,,,,,kwia,kwia,kwia,--,kwiya,74,kwìyà,B.B,81,,,,,,,
42,40,maíz,corn (in grain),,nùní,nuni,,nùnǐ,nuhni,nuni,,nùjnǐ,nujni,,nònì,noni,,nùnì,nuni,,nùnǐ,nuni,,,,nùní,nuni,nùñì,,,,,,,,,,nùjnií,nujnii,,,xhōb,xhōb,,,nũnĩ,nũnĩ,nũu̥nĩ,nũnĩ,noniʔ,85,nònìʔ,B.Bʔ,73,,,,,,,
43,41,milpa,cornfield,,itu,itu,,utû,uhtu,utu,,ujtû,ujtu,,itì,iti,,iti,iti,,itù,itu,,,,ityi,ityi,úti,,,,,,,,,,utu,utu,,,gēel,gēel,,,ʔiti,itu,ʔuu̥tu,ĩtũ,itu,169,,,,,,,,,,
44,42,luna,moon,,yóǒ,yoo,,yòjǒ,,yojo,,yòjǒ,yojo,,yòò,yoo,,yòò,yoo,,yòó,yoo,,,,yóò,yoo,yòò,,,,,,,,,,yòjoó,yojoo,,,gūbîdx,gūbidx,,,,,,,,-,yòòʔ,BBʔ,75,,,,,,,
45,43,frijol,beans,,nduchí,nduchi,,ntuchǐ,ntuhtʃi,ntuchi,,ntujchǐ,ntujchi,,nduchì,nduchi,,ntuchì,ntuchi,,nduchǐ,nduchi,,,,ndyúchì,ndyuchi,ndùchì,,,,,,,,,,ntùchií,ntuchii,,,,,,,nduči,ndutyi,nduči,---,ndutiʔ,21,ndútíʔ,A.Aʔ,2,,,,,,,
46,45,madera/árbol,wood/tree,,itú,itu,,itǔn,ihtun,ijtun,,ijtǔn,ijton,,yitò,yito,,itùn,itun,,yutǔ,yutu,,,,yíto,yito,yitò,,,,,,,,,,,,,,,,,,itũ,yutũ,ʔĩtũ,yutũ,yutũʔ,11,yútúnʔ,A.Aʔ,7,,,,,,,
47,46,leña,firewood,,tutún,tutun,,totǔn,tohtun,totun,,tojtǔn,tojtun,,titò,tito,,tutùn,tutun,,tutǔ,tutu,,,,tyíto,tyito,totò,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
48,47,puente,bridge,,[puénte],[puente],,[puentè],,[puente],,kuénte,kuente,,[puenté],[puente],,[puénté],[puente],,vìtǔ,vitu,,,,---,---,puénté,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
49,48,bule,gourd jug,bulu? jug,yoo,yoo,,[vulù],,[vulu],[vulì],vatayoò,vatayoon,,[vulù],[vulu],,[bulì],[buli],,yoò,yoo,,,,"vulì, yoo","vuli, yoo",rìyá'à,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
50,49,arriba,above,,nìnú,ninu,,nìjnu,,nijnu,,nìjnu,nijnu,,nìno,nino,,nìnu,ninu,,kǔchì,kuchi,,,,nìnò,nino,nìnó,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
