ID	Name	Location	Subgroup	Latitude	Longitude	ISO639P3code
45	esta11	San Martín del Estado	Mixtec	17.56721	-98.17607	
46	este11	Santa Catarina Estetla	Mixtec	17.02627	-97.0974	mil
47	flor11	San Francisco de las Flores	Mixtec	17.777	-98.031	
48	flor12	San Marcos de la Flor	Mixtec	17.418889	-98.268611	jmx
49	gran11	San Miguel El Grande	Mixtec	17.04688	-97.62248	mig
50	gran11	San Miguel El Grande (Alcozáuca)	Mixtec	17.24389	-98.23722	xta
51	guad11	Guadalupe Villahermosa (El Portesuelo)	Mixtec	17.75898	-98.01539	
52	huen11	Santo Domingo Huendio	Mixtec	17.25296	-97.5054	xtm
53	huaj11	Heroica Ciudad de Huajuapan de León	Mixtec	17.80698	-97.776062	miu
54	huaz11	Santa María Huazolotitlán	Mixtec	16.3019	-97.91488	
55	huit11	San Antonio Huitepec	Mixtec	16.9476	-97.1236	mxs
56	itun11	Santa Cruz Itundujia	Mixtec	16.77876	-97.59753	mce
57	itun12	San Martín Itunyoso	Triqui	17.22887	-97.88125	trq
58	ixpa11	Ixpantepec Nieves	Mixtec	17.50717	-98.04556	mks
59	ixta11	Santiago Ixtayutla	Mixtec	16.5774	-97.5759	vmj
60	ixta12	Santiago Ixtaltepec	Mixtec	17.54171	-97.11437	
61	ixta13	San Miguel Ixtapam	Mixtec	18.80685	-100.15039	
62	jami11	Santiago Jamiltepec	Mixtec	16.2279	-97.8417	mxt
63	jate11	San Francisco Jaltepetongo	Mixtec	17.38592	-97.26345	
64	jica11	Santa María Jicaltepec	Mixtec	16.38086	-98.04128	mio
65	jica12	San Pedro Jicayán	Mixtec	16.45235	-98.0151	
66	jica13	El Jicaral	Mixtec	17.12602	-98.196842	jmx
67	joco11	San Pedro Jocotipac	Mixtec	17.7687	-97.07983	
68	juxt11	Santiago Juxtlahuaca	Mixtec	17.3518	-98.0146	vmc
69	lore11	San Lorenzo	Mixtec	17.66757	-98.11901	
70	mech11	Santa Catarina Mechoacán	Mixtec	16.33471	-97.83626	mih
71	metl11	Metlatónoc	Mixtec	17.1947	-98.3514	mxv
72	mica11	El Rosario Micaltepec	Mixtec	18.04537	-97.85057	
73	mitl11	Santiago Mitlatongo	Mixtec	17.16	-97.1757	vmm
74	mixt11	San Juan Mixtepec	Mixtec	17.3317	-97.8791	mix
75	moli11	San Pedro Molinos	Mixtec	17.10495	-97.54152	mig
76	mont11	San Antonino Monte Verde	Mixtec	17.53375	-97.72149	xtn
77	mont12	San Sebastián del Monte	Mixtec	17.6793	-98.02259	mks
78	mont13	Santa Lucía Monteverde	Mixtec	16.9969	-97.6277	mdv
79	mont14	San Agustín Monte Lobos	Mixtec	17.63031	-97.28821	
80	more11	San Luis Morelia	Mixtec	17.70342	-98.21456	vmx
81	ndua11	San Antonio Nduayaco	Mixtec	17.68547	-97.14745	mip
82	nica11	San Sebastián Nicananduta	Mixtec	17.51737	-97.68345	xtn
83	nuch11	San Jorge Nuchita	Mixtec	17.65569	-98.10499	mks
84	numi11	San Juan Ñumi	Mixtec	17.39759	-97.70603	xtn
85	nund11	Santa Cruz Nundaco	Mixtec	17.17339	-97.72325	
86	nund12	Santiago Nundiche	Mixtec	17.3312	-97.67444	xtn
87	nund13	Santo Domingo Nundo	Mixtec	17.60855	-97.68566	
88	nuti11	Santa María Nutio	Mixtec	16.48542	-97.90405	
89	nuxa11	Santo Domingo Nuxaá	Mixtec	17.21663	-97.12285	
90	nuxi11	San Andrés Nuxiño	Mixtec	17.23883	-97.10497	
91	nuyo11	Santiago Nuyoó	Mixtec	17.0147	-97.76674	meh
92	ocot11	Santo Tomás Ocotepec	Mixtec	17.14419	-97.76322	mie
93	papa11	Santa María Pápalo	Cuicatec	17.26813	-96.56338	cux
94	pena11	Magdalena Peñasco	Mixtec	17.2837	-97.5413	xtm
95	pena12	San Mateo Peñasco	Mixtec	17.15127	-97.53321	xtm
96	peno11	Santa María Peñoles	Mixtec	17.07959	-97.00272	mil
97	peno11	Santa María Peñoles	Mixtec	17.0671	-97.0101	mil
98	pera11	San Martín Peras	Mixtec	17.35912	-98.23725	jmx
99	petl11	Petlacalancingo	Mixtec	17.37597	-98.49096	xta
100	pied11	San Miguel Piedras	Mixtec	16.9944	-97.2056	xtp
101	pied12	Piedra Azul	Mixtec	17.380833	-98.185833	NA
102	pina11	San Juan Piñas	Mixtec	17.22264	-98.14487	jmx
103	pino11	Santiago Pinotepa Nacional	Mixtec	16.3043	-97.9966	mio
104	pino12	Pinotepa de Don Luis	Mixtec	16.42666	-97.97647	mio
105	plan11	Plan de Guadalupe	Mixtec	17.21731	-97.7826	mim
106	poto11	Potoichan	Mixtec	17.42233	-98.72009	mim
107	prog11	San Miguel Progreso	Mixtec	17.1743	-97.79838	
108	prog12	San Jerónimo Progreso	Mixtec	17.44616	-98.15466	mks
109	prom01	Proto-Mixtec	Mixtec			
110	prot01	Proto-Trique	Mixtec			
111	reye11	Santos Reyes Tepejillo	Mixtec	17.43262	-97.93997	
112	sayu11	San Francisco Sayultepec	Mixtec	16.59537	-98.12933	mio
