IDlist	CATEGORY	GLOSS	CONCEPTICON_ID	CONCEPT	SIMILARITY
1	kinship	mother	1216	MOTHER	2
2	kinship	mother!, mom!		MOTHER VOCATIVE	4
3	kinship	father	1217	FATHER	2
4	kinship	father!, dad!		FATHER VOCATIVE	4
5	kinship	son/daughter, child	1801	CHILD (DESCENDANT)	4
6	kinship	son	1620	SON	2
7	kinship	daughter	1357	DAUGHTER	2
8	kinship	cross-sex sibling		CROSS-SEX SIBLING	
9	kinship	brother of man	559	BROTHER (OF MAN)	
10	kinship	sister of woman		SISTER (OF WOMAN)	
11	kinship	aunt	1272	AUNT	2
12	kinship	uncle	1327	UNCLE	2
13	person	man	1554	MAN	2
14	person	woman	962	WOMAN	2
15	person	owner, boss	1036	OWNER	4
16	person	priest	852	PRIEST	2
17	body	blood	946	BLOOD	2
18	body	bone	1394	BONE	2
19	body	hair	1040	HAIR	2
20	body	face	1560	FACE	2
21	body	tongue	1205	TONGUE	2
22	body	tooth	1380	TOOTH	2
23	body	mouth	674	MOUTH	2
24	body	ear	1247	EAR	2
25	body	nose	1221	NOSE	2
26	body	neck	1333	NECK	2
27	body	hand	1277	HAND	2
28	body	fingernail	1258	FINGERNAIL	2
29	body	back	1291	BACK	2
30	body	stomach, belly	2114	BELLY OR STOMACH	4
31	body	intestine, guts	1991	INTESTINES	4
32	body	foot	1301	FOOT	2
33	body	disease, illness, sickness	1986	DISEASE	4
34	body	medicine, remedy	1372	MEDICINE	4
35	body	swelling	1903	SWELLING	2
36	body	pimple	1809	PIMPLE	2
37	body	pus	1808	PUS	2
38	body	urine	1142	URINE	2
39	clothing	cloth, clothes	1895	CLOTHES	2
40	clothing	sandal, sandals		SANDAL	4
41	clothing	pants	809	TROUSERS	2
42	clothing	blouse, woven blouse		BLOUSE (WOVEN)	
43	living	village, town	3609	TOWN OR VILLAGE	4
44	living	house	1252	HOUSE	2
45	living	path, road, trail	2252	PATH	2
46	living	post	281	POST	2
47	living	mat, sleeping mat, straw mat	195	MAT	4
48	living	bed	1663	BED	2
49	living	stool, chair	2058	STOOL	4
50	animal	animal	619	ANIMAL	2
51	animal	bird	937	BIRD	2
52	animal	fish	227	FISH	2
53	animal	snake	730	SNAKE	2
54	animal	frog	503	FROG	2
55	animal	hawk	307	HAWK	2
56	animal	scorpion	1538	SCORPION	2
57	animal	cockroach	1575	COCKROACH	2
58	animal	grasshopper	607	GRASSHOPPER	2
59	animal	bee	665	BEE	2
60	animal	mouse, rat	2139	MUROID (MOUSE OR RAT)	2
61	animal	deer	1936	DEER	2
62	animal	squirrel	1628	SQUIRREL	2
63	animal	skunk		SKUNK	
64	animal	(o)possum	470	POSSUM	4
65	animal	raccoon	828	RACCOON	2
66	animal	rabbit	1136	RABBIT	2
67	animal	vulture	1185	VULTURE	2
68	animal	dog	2009	DOG	2
69	animal	cat	1208	CAT	2
70	animal	rooster	1511	ROOSTER	2
71	animal	hen, chicken	1514	HEN	4
72	animal	pig	1337	PIG	2
73	animal	horse	615	HORSE	2
74	animal	sheep	1331	SHEEP	2
75	animal	ant	587	ANT	2
76	animal	horn (anatomy)	1393	HORN (ANATOMY)	2
77	animal	feather	1201	FEATHER	2
78	animal	wing	1257	WING	2
79	animal	tail	1220	TAIL	2
80	plant	tree	906	TREE	2
81	plant	herb		HERBACEOUS PLANT	4
82	plant	grass	606	GRASS	2
83	plant	flower	239	FLOWER	2
84	plant	maguey, century plant		MAGUEY	
85	plant	root	670	ROOT	2
86	plant	thorn	124	THORN	2
87	corn	grain of corn	506	CORN	
88	corn	cornfield	449	CORN FIELD	
89	corn	fresh ear of corn		EAR OF CORN (FRESH)	
90	corn	nixtamal		NIXTAMAL	
91	corn	cornmeal, corn dough		CORN DOUGH	
92	corn	tortilla		TORTILLA	
93	corn	cleared field, cornstalk		CORN STALK	
94	corn	furrow, planting row	1794	FURROW	4
95	corn	tassel, maize spike		TASSEL	
96	food	bean	832	BEAN	2
97	food	green bean		GREEN BEAN	
98	food	chili pepper	919	CHILI PEPPER	2
99	food	salt	1274	SALT	2
100	food	squash	864	PUMPKIN	2
101	food	chayote squash		CHAYOTE	
102	food	sugar cane	146	SUGAR CANE	2
103	food	honey	942	HONEY	2
104	food	fat, lard, grease	1282	FAT (FROM ANIMALS)	4
105	food	egg	744	EGG	2
106	food	tomato	986	TOMATO	2
107	food	edible tuber	159	SWEET POTATO	
108	food	avocado	3725	AVOCADO	2
