IDlist	GLOSS	SearchComment	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
164	ocho		unā [C]	5167				atat11	alexander1980gramatica
165	nueve		ɨɨn [C]	5168				atat11	alexander1980gramatica
166	diez		uxī [C]	5169				atat11	alexander1980gramatica
167	quince		xahūn [C]	5170				atat11	alexander1980gramatica
168	veinte		ocō [C]	5171				atat11	alexander1980gramatica
169	pobre		ndáhú [B]	5172				atat11	alexander1980gramatica
170	rico		cúcá [B]	5173				atat11	alexander1980gramatica
171	frío		$					atat11	alexander1980gramatica
172	caliente		jihní [B]	5174				atat11	alexander1980gramatica
173	grande.SG		cáhnu [A]	5175				atat11	alexander1980gramatica
174	grande.PL		náhnu [A]	5176				atat11	alexander1980gramatica
175	chico.SG		lulí [B]	5177				atat11	alexander1980gramatica
176	pequeño.PL, chico.PL		$					atat11	alexander1980gramatica
177	largo.SG		cáni [A]	5178				atat11	alexander1980gramatica
178	largo.PL		náni [A]	5179				atat11	alexander1980gramatica
179	bueno		vāha [A]	5180				atat11	alexander1980gramatica
180	dulce		$					atat11	alexander1980gramatica
181	salado		ñɨ́ɨ́ [C]	5181				atat11	alexander1980gramatica
182	amargo		$					atat11	alexander1980gramatica
183	sabroso		asɨ̄n [C]	5182				atat11	alexander1980gramatica
184	ancho		$					atat11	alexander1980gramatica
185	nuevo		$					atat11	alexander1980gramatica
186	flojo		$					atat11	alexander1980gramatica
187	feo, bravo		xeēn [C]	5183				atat11	alexander1980gramatica
188	celoso		$					atat11	alexander1980gramatica
189	cerca de, está cerca		yajni [A]	5184				atat11	alexander1980gramatica
190	lejos		jícá [B]	5185				atat11	alexander1980gramatica
191	pesado		vēyɨ [A]	5186				atat11	alexander1980gramatica
192	crudo		$					atat11	alexander1980gramatica
193	liso		$					atat11	alexander1980gramatica
194	despacio		cuéé [B]	5187				atat11	alexander1980gramatica
195	ayer		icu [A]	5188				atat11	alexander1980gramatica
196	año		cuiyā [C]	5189				atat11	alexander1980gramatica
197	ahora, hoy		vijna [A]	5190				atat11	alexander1980gramatica
198	noche	as a time reference, i.e. the night of the party	$					atat11	alexander1980gramatica
199	de noche	when it is dark outside	ñuú [B]	5191				atat11	alexander1980gramatica
200	día	as a time reference, i.e. the day of the party	quɨvɨ̄ [C]	5192				atat11	alexander1980gramatica
201	todo el día	when it is light outside	ndiáca [A]	5193				atat11	alexander1980gramatica
202	medio, algunos		sava [A]	5194				atat11	alexander1980gramatica
203	dinero		xūhún [B]	5195				atat11	alexander1980gramatica
204	trabajo		jniñu [A]	5196				atat11	alexander1980gramatica
205	palabra		jnūhun [A]	5197				atat11	alexander1980gramatica
206	culpa		$					atat11	alexander1980gramatica
207	sueño		$					atat11	alexander1980gramatica
208	cuándo		na [A]	5198				atat11	alexander1980gramatica
209	canción		yaa [C]	5199				atat11	alexander1980gramatica
