IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	si'i [A]					pena11	hollenbach2017diccionario
1	madre	náà [BA]					pena11	hollenbach2017diccionario
2	mamá!	náà [BA]					pena11	hollenbach2017diccionario
3	padre	táà [BA]					pena11	hollenbach2017diccionario
3	padre	yuva [A]					pena11	hollenbach2017diccionario
4	papá!	táà [BA]					pena11	hollenbach2017diccionario
5	hijo/hija	sà'ya					pena11	hollenbach2017diccionario
6	hijo	sàyìi [A]	sà-yìi	child-male			pena11	hollenbach2017diccionario
7	hija	sàsí'í	sà-sí'í	child-female			pena11	hollenbach2017diccionario
8	hermana/hermano de otro genero	kù'va					pena11	hollenbach2017diccionario
8	hermana/hermano de otro genero	kù'a					pena11	hollenbach2017diccionario
9	hermano de hombre	ñanì					pena11	hollenbach2017diccionario
10	hermana de mujer	ku'ù {BA}					pena11	hollenbach2017diccionario
11	tía	xixì					pena11	hollenbach2017diccionario
12	tío	xitò					pena11	hollenbach2017diccionario
13	hombre	tèe					pena11	hollenbach2017diccionario
14	mujer	ña'a					pena11	hollenbach2017diccionario
15	dueño	ito'ò [BA]					pena11	hollenbach2017diccionario
15	dueño	jito'ò [BA]	ji-to'ò				pena11	hollenbach2017diccionario
16	sacerdote	sutù [BA]					pena11	hollenbach2017diccionario
17	sangre	niñì [BA]					pena11	hollenbach2017diccionario
18	hueso	yiki [A]					pena11	hollenbach2017diccionario
19	cabello	ixi [A]					pena11	hollenbach2017diccionario
20	cara	nuù [BA]					pena11	hollenbach2017diccionario
21	lengua	yáà [BA]					pena11	hollenbach2017diccionario
22	diente	nù'u					pena11	hollenbach2017diccionario
23	boca	yu'u [M]					pena11	hollenbach2017diccionario
24	oreja	sò'o {A}					pena11	hollenbach2017diccionario
25	nariz	xitnì [BA]					pena11	hollenbach2017diccionario
26	cuello	sukùn [BA]					pena11	hollenbach2017diccionario
27	mano	nda'a [A]					pena11	hollenbach2017diccionario
28	uña	tníì [BA]					pena11	hollenbach2017diccionario
29	espalda	yatà [BA]					pena11	hollenbach2017diccionario
30	panza, estómago	chìi					pena11	hollenbach2017diccionario
31	tripas	jitì {BA}					pena11	hollenbach2017diccionario
32	pie	ja'à [BA]					pena11	hollenbach2017diccionario
33	enfermedad	kue'è {BA}					pena11	hollenbach2017diccionario
34	medicina	jàtàtná [B]	jà-tàtná	caus?-medicine?			pena11	hollenbach2017diccionario
34	medicina	tatnà [BA]					pena11	hollenbach2017diccionario
35	hinchazón	kueñu					pena11	hollenbach2017diccionario
36	grano, roncha	ndì'yi					pena11	hollenbach2017diccionario
37	pus	ndakua [A]					pena11	hollenbach2017diccionario
38	orina	ndèxèxé [B]					pena11	hollenbach2017diccionario
39	tela, ropa	sa'ma [A]					pena11	hollenbach2017diccionario
40	huarache	ndijàn {BA}					pena11	hollenbach2017diccionario
41	pantalón	lóò					pena11	hollenbach2017diccionario
42	huipil	xikìn [BA]					pena11	hollenbach2017diccionario
43	pueblo	ñuù					pena11	hollenbach2017diccionario
44	casa	ve'e					pena11	hollenbach2017diccionario
45	camino	ichi [A]					pena11	hollenbach2017diccionario
46	horcón	si'ìn					pena11	hollenbach2017diccionario
47	petate	yuu [A]					pena11	hollenbach2017diccionario
48	cama, lecho	jìto					pena11	hollenbach2017diccionario
49	banquito	teyù {BA}					pena11	hollenbach2017diccionario
50	animal	kiti [A]					pena11	hollenbach2017diccionario
51	pájaro	lásaà	lá-saà	animal?-bird			pena11	hollenbach2017diccionario
52	pez, pescado	tiaka [A]					pena11	hollenbach2017diccionario
53	culebra, serpiente	koò [BA]					pena11	hollenbach2017diccionario
54	rana	sa'và {BA}					pena11	hollenbach2017diccionario
55	gavilán	xí'ñá [A]					pena11	hollenbach2017diccionario
56	alacrán	tìsu'mà [BA]	tì-su'mà	animal-tail			pena11	hollenbach2017diccionario
57	cucaracha	laté'yá [A]	la-té'yá	animal?-cockroach			pena11	hollenbach2017diccionario
58	chapulín	tìka {A}					pena11	hollenbach2017diccionario
59	abeja	ñuñù [BA]					pena11	hollenbach2017diccionario
60	ratón, rata	tnìñi [A]					pena11	hollenbach2017diccionario
61	venado	isù {BA}					pena11	hollenbach2017diccionario
62	ardilla	kuèñu					pena11	hollenbach2017diccionario
63	zorrillo	láñi'ì {BA}	lá-ñi'ì	animal?-fox?			pena11	hollenbach2017diccionario
64	tlacuache, zarigüeya	jákó [A]					pena11	hollenbach2017diccionario
65	mapache	ma'à					pena11	hollenbach2017diccionario
66	conejo	isò					pena11	hollenbach2017diccionario
67	zopilote, águila	tiókó [A]					pena11	hollenbach2017diccionario
68	perro	lá-inà	lá-inà	animal?-dog			pena11	hollenbach2017diccionario
69	gato	vílú [A]					pena11	hollenbach2017diccionario
70	gallo	lí'li					pena11	hollenbach2017diccionario
70	gallo	lí'i					pena11	hollenbach2017diccionario
71	gallina	tíla					pena11	hollenbach2017diccionario
72	marrano, puerco	chíkinì	chí-kinì	?-pig			pena11	hollenbach2017diccionario
72	marrano, puerco	kuchi			yes	Spanish	pena11	hollenbach2017diccionario
72	marrano, puerco	kinì					pena11	hollenbach2017diccionario
73	caballo	kueyú [B]		old Sp. loan	yes	Colonial Spanish	pena11	hollenbach2017diccionario
74	borrego, oveja	ndíkachi	ndí-kachi	?-cotton			pena11	hollenbach2017diccionario
75	hormiga	tioko [A]					pena11	hollenbach2017diccionario
76	cuerno	ndiki [A]					pena11	hollenbach2017diccionario
77	pluma	tnùmi					pena11	hollenbach2017diccionario
78	ala	ndijìn [BA]					pena11	hollenbach2017diccionario
79	cola	su'mà [BA]					pena11	hollenbach2017diccionario
80	árbol, palo	yutnu [A]					pena11	hollenbach2017diccionario
81	hierba sin uso, maleza	yì'i {A}					pena11	hollenbach2017diccionario
