IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
184	ancho, amplio	gachra'⁴					chic12	good1978diccionario
185	nuevo	naca⁵					chic12	good1978diccionario
186	flojo	rumi⁵³					chic12	good1978diccionario
187	feo	$					chic12	good1978diccionario
188	celoso	xico'⁴⁵					chic12	good1978diccionario
189	cerca	nichrun'⁴⁵					chic12	good1978diccionario
190	lejos	gan'⁵					chic12	good1978diccionario
191	pesado	a'i⁴⁵					chic12	good1978diccionario
192	crudo	'ui⁵³					chic12	good1978diccionario
193	liso	nu'ui³					chic12	good1978diccionario
194	despacio	nanaj⁴					chic12	good1978diccionario
195	ayer	guquï³					chic12	good1978diccionario
196	año	yo'³o					chic12	good1978diccionario
197	ahora, hoy	yyaj⁵⁴					chic12	good1978diccionario
198	noche	yan'⁵anj³					chic12	good1978diccionario
199	de noche	$					chic12	good1978diccionario
200	día	güi³					chic12	good1978diccionario
201	de día	guni'yanj⁴an					chic12	good1978diccionario
202	mitad	da'aj⁵					chic12	good1978diccionario
203	dinero	san'anj⁴an					chic12	good1978diccionario
204	trabajo	sun³⁴					chic12	good1978diccionario
205	palabra	nuguan'⁴an					chic12	good1978diccionario
206	culpa	gaquïn'⁴ïn					chic12	good1978diccionario
207	sueño	nnej³e					chic12	good1978diccionario
208	cuándo	aman⁴					chic12	good1978diccionario
209	canción, música	chra'³a					chic12	good1978diccionario
