IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
130	hole	yáve					prog12	shields1988syntactic
131	net	$					prog12	shields1988syntactic
132	soap	$					prog12	shields1988syntactic
133	ring	$					prog12	shields1988syntactic
134	moon	yoo					prog12	shields1988syntactic
135	cloud	$					prog12	shields1988syntactic
136	lightning	$					prog12	shields1988syntactic
137	water	tikwií					prog12	shields1988syntactic
138	rain god	xavi					prog12	shields1988syntactic
139	river	yutā					prog12	shields1988syntactic
140	dew	$					prog12	shields1988syntactic
141	mountain	yúku					prog12	shields1988syntactic
142	plain, flatland, lowland	$					prog12	shields1988syntactic
143	stone	yuu					prog12	shields1988syntactic
144	cotton	kāchī					prog12	shields1988syntactic
145	metal	kaā					prog12	shields1988syntactic
146	paper	tūtū					prog12	shields1988syntactic
147	lime (material)	$					prog12	shields1988syntactic
148	wax	ñima					prog12	shields1988syntactic
149	mud	ndahyi					prog12	shields1988syntactic
150	foam	$					prog12	shields1988syntactic
151	dust	$					prog12	shields1988syntactic
152	red	ndī-kwáhá	kwáhá	only as part of a verb  ‘become red'			prog12	shields1988syntactic
153	green	kwíi					prog12	shields1988syntactic
154	yellow	kwáán					prog12	shields1988syntactic
155	black	$					prog12	shields1988syntactic
156	white	yāā					prog12	shields1988syntactic
157	one	īn					prog12	shields1988syntactic
158	two	ivi					prog12	shields1988syntactic
159	three	uni					prog12	shields1988syntactic
160	four	komi					prog12	shields1988syntactic
161	five	uhun					prog12	shields1988syntactic
162	six	iñu					prog12	shields1988syntactic
163	seven	usa					prog12	shields1988syntactic
164	eight	una					prog12	shields1988syntactic
165	nine	in					prog12	shields1988syntactic
166	ten	ushu					prog12	shields1988syntactic
167	fifteen	sahun					prog12	shields1988syntactic
168	twenty	oko					prog12	shields1988syntactic
169	poor	ndahví					prog12	shields1988syntactic
170	rich	kwiká					prog12	shields1988syntactic
171	cold	$					prog12	shields1988syntactic
172	hot	xáā					prog12	shields1988syntactic
173	big.SG	káhnū					prog12	shields1988syntactic
174	big.PL	náhnū					prog12	shields1988syntactic
175	small.SG	lōhō					prog12	shields1988syntactic
176	small.PL	válí					prog12	shields1988syntactic
177	long.SG	kānī					prog12	shields1988syntactic
178	long.PL	nānī					prog12	shields1988syntactic
179	good	vahā					prog12	shields1988syntactic
180	sweet	tó-vixi 	vixi	only as part of ‘soda pop'			prog12	shields1988syntactic
181	salty	$					prog12	shields1988syntactic
182	bitter	$					prog12	shields1988syntactic
183	tasty, delicious	axyā					prog12	shields1988syntactic
184	wide	$					prog12	shields1988syntactic
185	new	$					prog12	shields1988syntactic
186	lazy	xúsá					prog12	shields1988syntactic
187	ugly	kīnī					prog12	shields1988syntactic
188	jealous	$					prog12	shields1988syntactic
189	near	yātī					prog12	shields1988syntactic
190	far	shíká					prog12	shields1988syntactic
191	heavy	$					prog12	shields1988syntactic
192	raw	$					prog12	shields1988syntactic
193	smooth	vīí					prog12	shields1988syntactic
194	slow	$					prog12	shields1988syntactic
195	yesterday	kūnī					prog12	shields1988syntactic
196	year	kwyaa					prog12	shields1988syntactic
197	now, today	vītī					prog12	shields1988syntactic
198	night	ñūú					prog12	shields1988syntactic
199	night time	ñūú					prog12	shields1988syntactic
200	day	ndīví					prog12	shields1988syntactic
201	day time	ndūú					prog12	shields1988syntactic
202	half, middle	xāvā					prog12	shields1988syntactic
203	money	xyuhún					prog12	shields1988syntactic
204	work	chūūn					prog12	shields1988syntactic
205	word	tuhūn					prog12	shields1988syntactic
206	fault, blame, sin	$					prog12	shields1988syntactic
207	dream	$					prog12	shields1988syntactic
208	when	ndáhmā					prog12	shields1988syntactic
209	song, music	$					prog12	shields1988syntactic
