IDlist	CATEGORY	GLOSS	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	kinship	madre	$					huen11	becerra-roldan2015un-estudio
2	kinship	mamá!	$					huen11	becerra-roldan2015un-estudio
3	kinship	padre	$					huen11	becerra-roldan2015un-estudio
4	kinship	papá!	$					huen11	becerra-roldan2015un-estudio
5	kinship	hijo/hija	sé'e	20313				huen11	becerra-roldan2015un-estudio
6	kinship	hijo	$					huen11	becerra-roldan2015un-estudio
7	kinship	hija	$					huen11	becerra-roldan2015un-estudio
8	kinship	hermana/hermano de otro genero	$					huen11	becerra-roldan2015un-estudio
9	kinship	hermano de hombre	ñánì	20314				huen11	becerra-roldan2015un-estudio
10	kinship	hermana de mujer	$					huen11	becerra-roldan2015un-estudio
11	kinship	tía	xixi	20315	tones not marked!			huen11	becerra-roldan2015un-estudio
12	kinship	tío	xítò	20316				huen11	becerra-roldan2015un-estudio
13	person	hombre	tee	20317				huen11	becerra-roldan2015un-estudio
14	person	mujer	ja'àn	20318				huen11	becerra-roldan2015un-estudio
15	person	dueño	jìì tó'ò	20319				huen11	becerra-roldan2015un-estudio
16	person	sacerdote	sútù	20320				huen11	becerra-roldan2015un-estudio
17	body	sangre	níñi	20321				huen11	becerra-roldan2015un-estudio
18	body	hueso	yíkì	20322				huen11	becerra-roldan2015un-estudio
19	body	pelo	$					huen11	becerra-roldan2015un-estudio
20	body	cara	nùù	20323				huen11	becerra-roldan2015un-estudio
21	body	lengua	yaa	20324				huen11	becerra-roldan2015un-estudio
22	body	diente	nú'ù	20325				huen11	becerra-roldan2015un-estudio
23	body	boca	yú'ù	20326				huen11	becerra-roldan2015un-estudio
24	body	oreja	só'o	20327				huen11	becerra-roldan2015un-estudio
25	body	nariz	xitnìn	20328				huen11	becerra-roldan2015un-estudio
26	body	cuello	súkùn	20329				huen11	becerra-roldan2015un-estudio
27	body	mano	ndá'à	20330				huen11	becerra-roldan2015un-estudio
28	body	uña	tníín	20331				huen11	becerra-roldan2015un-estudio
29	body	espalda	xàta	20332				huen11	becerra-roldan2015un-estudio
30	body	panza, barriga	$					huen11	becerra-roldan2015un-estudio
31	body	tripa, tripas	xítì	20333				huen11	becerra-roldan2015un-estudio
32	body	pie	xa'à	20334				huen11	becerra-roldan2015un-estudio
33	body	enfermedad	kué'e	20335				huen11	becerra-roldan2015un-estudio
34	body	medicina	$					huen11	becerra-roldan2015un-estudio
35	body	hinchazón	kuíñu	20336				huen11	becerra-roldan2015un-estudio
36	body	grano	ndí'yì	20337				huen11	becerra-roldan2015un-estudio
37	body	pus, materia	ndakuà	20338				huen11	becerra-roldan2015un-estudio
38	body	orina	ndùtè xéxe	20339	water-pee			huen11	becerra-roldan2015un-estudio
39	clothing	tela, ropa	$					huen11	becerra-roldan2015un-estudio
40	clothing	huarache	$					huen11	becerra-roldan2015un-estudio
41	clothing	pantalón	$					huen11	becerra-roldan2015un-estudio
42	clothing	huipil	$					huen11	becerra-roldan2015un-estudio
43	living	pueblo	ñúu	20340				huen11	becerra-roldan2015un-estudio
44	living	casa	vé'e	20341				huen11	becerra-roldan2015un-estudio
45	living	camino	$					huen11	becerra-roldan2015un-estudio
46	living	horcón	sí'ìn	20342				huen11	becerra-roldan2015un-estudio
47	living	petate	yùú	20343				huen11	becerra-roldan2015un-estudio
48	living	cama, lecho	xítò	20344				huen11	becerra-roldan2015un-estudio
49	living	banquito	téyù	20345				huen11	becerra-roldan2015un-estudio
50	animal	animal	kítì	20346				huen11	becerra-roldan2015un-estudio
51	animal	pájaro	tì saa	20347				huen11	becerra-roldan2015un-estudio
52	animal	pez, pescado	$					huen11	becerra-roldan2015un-estudio
53	animal	culebra, serpiente	koo	20348				huen11	becerra-roldan2015un-estudio
54	animal	rana	sa'va	20349	tones not marked			huen11	becerra-roldan2015un-estudio
55	animal	gavilán	xí'ñà	20350				huen11	becerra-roldan2015un-estudio
56	animal	alacrán	ti sú'mà	20351				huen11	becerra-roldan2015un-estudio
57	animal	cucaracha	ti té'a	20352				huen11	becerra-roldan2015un-estudio
58	animal	chapulín	$					huen11	becerra-roldan2015un-estudio
59	animal	abeja	ñuñu	20353	tones not marked			huen11	becerra-roldan2015un-estudio
60	animal	rata	tníñì	20354				huen11	becerra-roldan2015un-estudio
61	animal	venado	ísù	20355				huen11	becerra-roldan2015un-estudio
62	animal	ardilla	$		tones not marked			huen11	becerra-roldan2015un-estudio
63	animal	zorrillo	xi'in	20356				huen11	becerra-roldan2015un-estudio
64	animal	tlacuache	$		tones not marked			huen11	becerra-roldan2015un-estudio
