IDlist	CATEGORY	GLOSS	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
89	corn	elote	nyixi	4239				colo11	stark1986diccionario
90	corn	nixtamal	nùñì tsaahá	4240				colo11	stark1986diccionario
91	corn	masa	yutsan	4241				colo11	stark1986diccionario
92	corn	tortilla	ìxtà	4242				colo11	stark1986diccionario
92	corn	tortilla	xìtà	4243				colo11	stark1986diccionario
93	corn	rastrojo, totomostle	yàmà	4244				colo11	stark1986diccionario
94	corn	surco	yúcun	4245				colo11	stark1986diccionario
95	corn	espiga	yoco	4246				colo11	stark1986diccionario
96	food	frijol	ndutyi	4247				colo11	stark1986diccionario
97	food	ejote	nyítyì	4248				colo11	stark1986diccionario
98	food	chile	yaha	4249				colo11	stark1986diccionario
99	food	sal	ñɨ̀ɨ̀	4250				colo11	stark1986diccionario
100	food	calabaza	yɨquɨn	4251				colo11	stark1986diccionario
101	food	chayote	$					colo11	stark1986diccionario
102	food	caña	ndòò	4252				colo11	stark1986diccionario
103	food	miel	ndutya ñúñù	4253	water-bee			colo11	stark1986diccionario
104	food	manteca	xáhàn	4254				colo11	stark1986diccionario
105	food	huevo	ndɨ̀vɨ̀	4255				colo11	stark1986diccionario
106	food	tomate, jitomate	tinana	4256				colo11	stark1986diccionario
106	food	tomate, jitomate	tɨnana	4257				colo11	stark1986diccionario
107	food	camote	yáhmi	4258				colo11	stark1986diccionario
108	food	aguacate	nyúcu	4259				colo11	stark1986diccionario
109	food	plátano	tyityà	4260				colo11	stark1986diccionario
110	food	nopal	vìhnyà	4261				colo11	stark1986diccionario
111	food	mamey	nyica	4262				colo11	stark1986diccionario
111		zapote negro	tyitya	4263				colo11	stark1986diccionario
112	food	chirimoya	ndoco tinúú	4264	soursop-?			colo11	stark1986diccionario
113	food	hongo	$					colo11	stark1986diccionario
114	food	carne	cúñu	4265				colo11	stark1986diccionario
115	cooking	comal	tsìyò	4266				colo11	stark1986diccionario
116	cooking	olla	quɨsɨ	4267				colo11	stark1986diccionario
117	cooking	horno	tsìtùn	4268				colo11	stark1986diccionario
118	cooking	lumbre, fuego	ñúhù	4269				colo11	stark1986diccionario
119	cooking	ceniza	nyaà	4270				colo11	stark1986diccionario
120	cooking	carbón	$					colo11	stark1986diccionario
121	cooking	humo	yuhmà	4271				colo11	stark1986diccionario
122	cooking	basura	tsáhan	4272				colo11	stark1986diccionario
123	cooking	plato	còhò	4273				colo11	stark1986diccionario
124	container	jícara	yatsin	4274				colo11	stark1986diccionario
124	container	jícara	yatsi	4275				colo11	stark1986diccionario
125	container	canasta	tyìcà	4276				colo11	stark1986diccionario
125		tenate	ndòhò	4277				colo11	stark1986diccionario
126	container	caja (de dinero)	tsàtùn	4278				colo11	stark1986diccionario
127	thing	hilo	yùhvà	4279				colo11	stark1986diccionario
128	thing	peine	cùcà	4280				colo11	stark1986diccionario
129	thing	mecate, raíz	yoho	4281				colo11	stark1986diccionario
130	thing	agujero, hoyo	yávi	4282				colo11	stark1986diccionario
131	thing	red	trayá	4283				colo11	stark1986diccionario
131		bolsa hecha como una red	yunu	4284				colo11	stark1986diccionario
132	thing	jabón	nàmà	4285				colo11	stark1986diccionario
133	thing	anillo	xehe	4286				colo11	stark1986diccionario
134	nature	luna	yòò	4287				colo11	stark1986diccionario
135	nature	nube	vìcò	4288				colo11	stark1986diccionario
136	nature	rayo, relámpago	$					colo11	stark1986diccionario
137	nature	agua, líquido	ndutya	4289				colo11	stark1986diccionario
138	nature	lluvia	sàvì	4290				colo11	stark1986diccionario
139	nature	río	yutya	4291				colo11	stark1986diccionario
140	nature	rocío	catsin	4292				colo11	stark1986diccionario
141	nature	cerro	yucu	4293				colo11	stark1986diccionario
142	nature	llano	ndúhvà	4294				colo11	stark1986diccionario
143	nature	piedra	yùù	4295				colo11	stark1986diccionario
144	material	algodón	càtyì	4296				colo11	stark1986diccionario
145	material	metal, campana	càà	4297				colo11	stark1986diccionario
146	material	papel	tútu	4298				colo11	stark1986diccionario
147	material	cal	cacà	4299				colo11	stark1986diccionario
148	material	cera	yùmà	4300				colo11	stark1986diccionario
149	material	lodo, tierra	nyàhyù	4301				colo11	stark1986diccionario
150	material	espuma	tiñùù	4302				colo11	stark1986diccionario
151	material	polvo	yutyi	4303				colo11	stark1986diccionario
152	color	rojo	cuaahá	4304				colo11	stark1986diccionario
153	color	verde	cuíí	4305				colo11	stark1986diccionario
154	color	amarillo	cuaán	4306				colo11	stark1986diccionario
155	color	negro	tuun	4307				colo11	stark1986diccionario
156	color	blanco	cuitsín	4308				colo11	stark1986diccionario
157	number	uno	iin	4309				colo11	stark1986diccionario
158	number	dos	uvi	4310				colo11	stark1986diccionario
159	number	tres	uñi	4311				colo11	stark1986diccionario
160	number	cuatro	cumi	4312				colo11	stark1986diccionario
161	number	cinco	uhun	4313				colo11	stark1986diccionario
162	number	seis	iñu	4314				colo11	stark1986diccionario
163	number	siete	utsa	4315				colo11	stark1986diccionario
164	number	ocho	una	4316				colo11	stark1986diccionario
165	number	nueve	ɨɨn	4317				colo11	stark1986diccionario
166	number	diez	utsi	4318				colo11	stark1986diccionario
167	number	quince	tsahun	4319				colo11	stark1986diccionario
168	number	veinte	oco	4320				colo11	stark1986diccionario
169	property	pobre	ndaahví	4321				colo11	stark1986diccionario
170	property	rico	cúcá	4322				colo11	stark1986diccionario
171	property	frío	vitsin	4323				colo11	stark1986diccionario
172	property	caliente	ihñí	4324				colo11	stark1986diccionario
173	property	grande.SG	cahnu	4325				colo11	stark1986diccionario
174	property	grande.PL	nahnu	4326				colo11	stark1986diccionario
175	property	pequeño.SG, chico.SG	tyuvaa	4327				colo11	stark1986diccionario
175	property	pequeño.SG, chico.SG	lúhlu	4328				colo11	stark1986diccionario
176	property	pequeño.PL, chico.PL	$					colo11	stark1986diccionario
177	property	largo.SG, lejos	cañi	4329				colo11	stark1986diccionario
178	property	largo.PL	nañi	4330				colo11	stark1986diccionario
179	property	bueno	vaha	4331				colo11	stark1986diccionario
180	property	dulce	vixì	4332				colo11	stark1986diccionario
181	property	salado	ùhvà	4333				colo11	stark1986diccionario
182	property	amargo	ùvà	4334				colo11	stark1986diccionario
183	property	sabroso	àsɨ̀n	4335				colo11	stark1986diccionario
184	property	ancho	quiihín	4336				colo11	stark1986diccionario
185	property	nuevo	tsàà	4337				colo11	stark1986diccionario
186	property	flojo, perezoso	jutsan	4338				colo11	stark1986diccionario
187	property	feo	ndasɨ́	4339				colo11	stark1986diccionario
188	property	celoso	$					colo11	stark1986diccionario
189	property	cerca	yatyin	4340				colo11	stark1986diccionario
190	property	lejos	cañi	4341				colo11	stark1986diccionario
191	property	pesado	vee	4342				colo11	stark1986diccionario
192	property	crudo	yɨhɨ	4343				colo11	stark1986diccionario
193	property	liso	$	4344				colo11	stark1986diccionario
194	property	despacio (indica desprecio)	láya	4345				colo11	stark1986diccionario
194	property	despacio	vayɨ́	4346				colo11	stark1986diccionario
194	property	despacio	cueé	4347				colo11	stark1986diccionario
195	time	ayer	icu	4348				colo11	stark1986diccionario
196	time	año	cuìyà	4349				colo11	stark1986diccionario
197	time	ahora, hoy	vityin	4350				colo11	stark1986diccionario
198	time	noche	tsacuaa	4351				colo11	stark1986diccionario
199	time	toda la noche	ñiñu	4352				colo11	stark1986diccionario
200	time	día	quɨ̀vɨ̀	4353				colo11	stark1986diccionario
201	time	todo el día	nduví	4354				colo11	stark1986diccionario
202	abstract	mitad	sava	4355				colo11	stark1986diccionario
203	abstract	dinero	xùhùn	4356				colo11	stark1986diccionario
204	abstract	trabajo, mandado	tyiñu	4357				colo11	stark1986diccionario
205	abstract	palabra	tuhun	4358				colo11	stark1986diccionario
206	abstract	culpa, pecado	cuatyí	4359				colo11	stark1986diccionario
207	abstract	sueño	ñúmaahná	4360				colo11	stark1986diccionario
207	abstract	sueño	ñímaahná	4361				colo11	stark1986diccionario
208	abstract	cuándo	ámá	4362				colo11	stark1986diccionario
208	abstract	cuándo	jámá	4363				colo11	stark1986diccionario
209	abstract	canción, música; danza	yáa	4364				colo11	stark1986diccionario
