IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
138	rain (precipitation)	savi					jami11	johnson1988syntactic
139	river	yūtya					jami11	johnson1988syntactic
140	dew	$					jami11	johnson1988syntactic
141	mountain, hill	yūkū					jami11	johnson1988syntactic
142	plain, lowland	nduhva					jami11	johnson1988syntactic
143	rock	yuu					jami11	johnson1988syntactic
144	cotton	$					jami11	johnson1988syntactic
145	metal	kāa					jami11	johnson1988syntactic
146	paper	tutu					jami11	johnson1988syntactic
147	lime (material)	$					jami11	johnson1988syntactic
148	wax	ñuma					jami11	johnson1988syntactic
149	mud	ndyahyu					jami11	johnson1988syntactic
150	foam	$					jami11	johnson1988syntactic
151	dust	$					jami11	johnson1988syntactic
152	red	$					jami11	johnson1988syntactic
153	green	$					jami11	johnson1988syntactic
154	yellow	$					jami11	johnson1988syntactic
155	black	tōōn					jami11	johnson1988syntactic
156	white	kwīchín					jami11	johnson1988syntactic
157	one	ɨ̄ɨ̄n		also nóō from Spanish uno			jami11	johnson1988syntactic
158	two	uvi					jami11	johnson1988syntactic
159	three	uñi					jami11	johnson1988syntactic
160	four	kumi					jami11	johnson1988syntactic
161	five	ohon					jami11	johnson1988syntactic
162	six	iñu					jami11	johnson1988syntactic
163	seven	ucha					jami11	johnson1988syntactic
164	eight	un̄a					jami11	johnson1988syntactic
165	nine	ɨɨn					jami11	johnson1988syntactic
166	ten	uchi					jami11	johnson1988syntactic
167	fifteen	chahun					jami11	johnson1988syntactic
168	twenty	oko					jami11	johnson1988syntactic
169	poor	ndāhví					jami11	johnson1988syntactic
170	rich	tyāyɨ̄ɨ̄					jami11	johnson1988syntactic
171	cold	$					jami11	johnson1988syntactic
172	hot	īhñí					jami11	johnson1988syntactic
173	big.SG	kāhnú					jami11	johnson1988syntactic
174	big.PL	nāhnú					jami11	johnson1988syntactic
175	small.SG	lúhlū					jami11	johnson1988syntactic
176	small.PL	ndyihi					jami11	johnson1988syntactic
176	small.PL	kwātyi					jami11	johnson1988syntactic
176	small.PL	kwatyaa					jami11	johnson1988syntactic
177	long.SG	kāñí					jami11	johnson1988syntactic
178	long.PL	nāñí					jami11	johnson1988syntactic
179	good	vāha					jami11	johnson1988syntactic
180	sweet	vishi					jami11	johnson1988syntactic
181	salty	$					jami11	johnson1988syntactic
182	bitter	$					jami11	johnson1988syntactic
183	delicious	asɨn					jami11	johnson1988syntactic
184	wide	$					jami11	johnson1988syntactic
185	new	$					jami11	johnson1988syntactic
186	lazy	sūchān					jami11	johnson1988syntactic
187	ugly	kīñī					jami11	johnson1988syntactic
188	jealous	$					jami11	johnson1988syntactic
189	near	$					jami11	johnson1988syntactic
190	far	$					jami11	johnson1988syntactic
191	heavy	$					jami11	johnson1988syntactic
