IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
104	grasa, manteca	xahan					chay11	pensinger1974diccionario
105	huevo	ndɨ̀vɨ̀					chay11	pensinger1974diccionario
106	tomate, jitomate	tinana	ti-nana	round?-?			chay11	pensinger1974diccionario
107	camote	ñahmi					chay11	pensinger1974diccionario
108	aguacate	tyītyí					chay11	pensinger1974diccionario
109	plátano	tyitya					chay11	pensinger1974diccionario
110	nopal	$					chay11	pensinger1974diccionario
111	mamey	ndyica					chay11	pensinger1974diccionario
111	zapote negro	ndyicoho	ndyi-coho	not sure about segmentation			chay11	pensinger1974diccionario
112	chirimoya	ndoco		unsure, only in one sentential example			chay11	pensinger1974diccionario
113	hongo	sehye tutyehe	sehye-tu-tyehe	unsure about parts			chay11	pensinger1974diccionario
114	carne	coño					chay11	pensinger1974diccionario
115	comal de barro	siyo					chay11	pensinger1974diccionario
116	olla	quɨzɨ					chay11	pensinger1974diccionario
117	horno	$					chay11	pensinger1974diccionario
118	lumbre, fuego	ñūhù					chay11	pensinger1974diccionario
119	ceniza	ñiyaa	ñi-yaa				chay11	pensinger1974diccionario
120	carbón	toon					chay11	pensinger1974diccionario
121	humo	ñuhma					chay11	pensinger1974diccionario
122	basura	mihin					chay11	pensinger1974diccionario
123	plato	coho					chay11	pensinger1974diccionario
124	jícara	yasi					chay11	pensinger1974diccionario
125	canasta	tyica zoho	tyica-zoho	chiquihuite-?			chay11	pensinger1974diccionario
125	tenate	ndòhò					chay11	pensinger1974diccionario
126	caja	satu					chay11	pensinger1974diccionario
127	hilo	yuhva					chay11	pensinger1974diccionario
128	peine	cuca					chay11	pensinger1974diccionario
129	mecate, cuerda, lazo	yōhō					chay11	pensinger1974diccionario
130	hoyo	yāvì					chay11	pensinger1974diccionario
131	red	tɨraya	tɨ-raya				chay11	pensinger1974diccionario
131	bolsa hecha como una red	yono					chay11	pensinger1974diccionario
132	jabón	nàmà					chay11	pensinger1974diccionario
133	anillo	xehe					chay11	pensinger1974diccionario
134	luna	yoo					chay11	pensinger1974diccionario
135	nube	vico					chay11	pensinger1974diccionario
136	rayo, relámpago	tasa					chay11	pensinger1974diccionario
137	agua	ndutya					chay11	pensinger1974diccionario
138	lluvia	zavi					chay11	pensinger1974diccionario
139	río	yūù					chay11	pensinger1974diccionario
140	rocío	yuyu					chay11	pensinger1974diccionario
141	cerro	yucu					chay11	pensinger1974diccionario
142	llano	nduhva					chay11	pensinger1974diccionario
143	piedra	yuu					chay11	pensinger1974diccionario
144	algodón	catyi					chay11	pensinger1974diccionario
145	metal, campana, cubeta	caa					chay11	pensinger1974diccionario
146	papel	tutu					chay11	pensinger1974diccionario
147	cal	caca					chay11	pensinger1974diccionario
148	cera	ñuma					chay11	pensinger1974diccionario
149	lodo	ndyahyu					chay11	pensinger1974diccionario
150	espuma	tɨ̀nɨ̀					chay11	pensinger1974diccionario
151	polvo	ñiyaca	ñi-yaca				chay11	pensinger1974diccionario
152	rojo	cuaha					chay11	pensinger1974diccionario
153	verde	ñiyɨhɨ	ñi-yɨhɨ				chay11	pensinger1974diccionario
153	verde	cuii					chay11	pensinger1974diccionario
154	amarillo	cuaan					chay11	pensinger1974diccionario
155	negro	toon					chay11	pensinger1974diccionario
156	blanco	cuisi					chay11	pensinger1974diccionario
157	uno	ɨɨn					chay11	pensinger1974diccionario
158	dos	uu					chay11	pensinger1974diccionario
159	tres	uñi					chay11	pensinger1974diccionario
160	cuatro	cumi					chay11	pensinger1974diccionario
161	cinco	ohon					chay11	pensinger1974diccionario
162	seis	iñu					chay11	pensinger1974diccionario
163	siete	usa					chay11	pensinger1974diccionario
164	ocho	uña					chay11	pensinger1974diccionario
165	nueve	ɨɨn					chay11	pensinger1974diccionario
166	diez	usi					chay11	pensinger1974diccionario
167	quince	sahun					chay11	pensinger1974diccionario
168	veinte	oco					chay11	pensinger1974diccionario
169	pobre	ndahvi					chay11	pensinger1974diccionario
170	rico	cuca					chay11	pensinger1974diccionario
171	frío	visi					chay11	pensinger1974diccionario
172	está caliente, caliente	ihñi					chay11	pensinger1974diccionario
173	grande.SG	cahnu					chay11	pensinger1974diccionario
174	grande.PL	nahnu					chay11	pensinger1974diccionario
175	pequeño.SG, chico.SG	luhlu					chay11	pensinger1974diccionario
176	pequeño.PL, chico.PL	$					chay11	pensinger1974diccionario
177	largo.SG	cañi					chay11	pensinger1974diccionario
178	largo.PL	nañi					chay11	pensinger1974diccionario
179	bueno	vaha					chay11	pensinger1974diccionario
180	dulce	vixi					chay11	pensinger1974diccionario
181	salado	ùhvà					chay11	pensinger1974diccionario
182	amargo	uva					chay11	pensinger1974diccionario
183	sabroso	azi					chay11	pensinger1974diccionario
184	ancho	coho					chay11	pensinger1974diccionario
185	nuevo	sāá					chay11	pensinger1974diccionario
186	flojo, perezoso, vago	susa					chay11	pensinger1974diccionario
186	flojo (de cosas)	taya					chay11	pensinger1974diccionario
187	feo	quini					chay11	pensinger1974diccionario
188	celoso	cuiño					chay11	pensinger1974diccionario
189	cerca	yatyi					chay11	pensinger1974diccionario
190	lejos	sica					chay11	pensinger1974diccionario
191	pesado	vee					chay11	pensinger1974diccionario
192	crudo, inmaduro	yɨhɨ					chay11	pensinger1974diccionario
193	liso, resbaloso	ndɨhvɨ					chay11	pensinger1974diccionario
194	despacio, lento	cuee					chay11	pensinger1974diccionario
195	ayer	icu					chay11	pensinger1974diccionario
196	año	cuiya					chay11	pensinger1974diccionario
