IDlist	CATEGORY	GLOSS	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
182	property	bitter	ùvà	20758				yucu17	salazar2020yucunani
183	property	tasty, delicious	àsǐ	20759				yucu17	salazar2020yucunani
184	property	wide	ntíkà	20760				yucu17	salazar2020yucunani
185	property	new	tsaâ	20761				yucu17	salazar2020yucunani
186	property	lazy	kú'ntú	20762				yucu17	salazar2020yucunani
187	property	ugly	kini	20763				yucu17	salazar2020yucunani
188	property	jealous	$					yucu17	salazar2020yucunani
189	property	near	yachi	20764				yucu17	salazar2020yucunani
190	property	far	tsíka	20765				yucu17	salazar2020yucunani
191	property	heavy	vèe	20766				yucu17	salazar2020yucunani
192	property	raw	í'i	20767				yucu17	salazar2020yucunani
193	property	smooth	ntiǐ	20768				yucu17	salazar2020yucunani
194	property	slow	kuéen	20769				yucu17	salazar2020yucunani
195	time	yesterday	kúní	20770				yucu17	salazar2020yucunani
196	time	year	kuìà	20771				yucu17	salazar2020yucunani
197	time	now, today	vichi	20772				yucu17	salazar2020yucunani
198	time	night	tsikuàá	20773				yucu17	salazar2020yucunani
199	time	night time	$					yucu17	salazar2020yucunani
200	time	day, date	kìí	20774				yucu17	salazar2020yucunani
201	time	day time	$					yucu17	salazar2020yucunani
202	abstract	half, middle	sava	20775				yucu17	salazar2020yucunani
203	abstract	money	xǔ'un	20776				yucu17	salazar2020yucunani
204	abstract	work	chuun	20777				yucu17	salazar2020yucunani
205	abstract	word	tù'un	20778				yucu17	salazar2020yucunani
206	abstract	fault, blame, sin	kuàchi	20779				yucu17	salazar2020yucunani
207	abstract	nap, sleepiness	mǎnà	20780				yucu17	salazar2020yucunani
208	abstract	when	$					yucu17	salazar2020yucunani
209	abstract	song, music	yaà	20781				yucu17	salazar2020yucunani
