IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	nāna					yoso11	farris1992syntactic
2	mother!, mom!	$					yoso11	farris1992syntactic
3	father	tāta					yoso11	farris1992syntactic
4	father!, dad!	papá		Sp. loan	yes	Spanish	yoso11	farris1992syntactic
5	son/daughter, child	sēhē					yoso11	farris1992syntactic
6	son	$					yoso11	farris1992syntactic
7	daughter	$					yoso11	farris1992syntactic
8	cross-sex sibling	kwāhā					yoso11	farris1992syntactic
9	brother of man	ñānī					yoso11	farris1992syntactic
10	sister of woman	kūhu					yoso11	farris1992syntactic
11	aunt	shīshī					yoso11	farris1992syntactic
12	uncle	shīto					yoso11	farris1992syntactic
13	man	chaa					yoso11	farris1992syntactic
14	woman	ñāhā					yoso11	farris1992syntactic
15	owner, boss	shīīn					yoso11	farris1992syntactic
16	priest	sūtū					yoso11	farris1992syntactic
17	blood	$					yoso11	farris1992syntactic
18	bone	yɨ̄kɨ̄					yoso11	farris1992syntactic
19	hair	īshī					yoso11	farris1992syntactic
20	face	nūu					yoso11	farris1992syntactic
21	tongue	$					yoso11	farris1992syntactic
22	tooth	$					yoso11	farris1992syntactic
23	mouth	yūhū					yoso11	farris1992syntactic
24	ear	soho					yoso11	farris1992syntactic
25	nose	shiNni					yoso11	farris1992syntactic
26	neck	$					yoso11	farris1992syntactic
27	hand	ndāhā					yoso11	farris1992syntactic
28	fingernail	$					yoso11	farris1992syntactic
29	back	xāta					yoso11	farris1992syntactic
30	stomach	chii					yoso11	farris1992syntactic
31	intestine, guts	$					yoso11	farris1992syntactic
32	foot	xaha					yoso11	farris1992syntactic
33	disease, illness, sickness	kwēhē					yoso11	farris1992syntactic
34	medicine, remedy	tāNna					yoso11	farris1992syntactic
35	swelling	$					yoso11	farris1992syntactic
36	pimple	$					yoso11	farris1992syntactic
37	pus	$					yoso11	farris1992syntactic
38	urine	$					yoso11	farris1992syntactic
39	cloth	sāhmā					yoso11	farris1992syntactic
40	sandal, sandals	ndíÑña					yoso11	farris1992syntactic
41	pants	$					yoso11	farris1992syntactic
42	blouse, woven blouse	$					yoso11	farris1992syntactic
43	town	ñūu					yoso11	farris1992syntactic
44	house	vehe					yoso11	farris1992syntactic
45	path, road, trail	īchī					yoso11	farris1992syntactic
46	beam	vītu					yoso11	farris1992syntactic
47	mat, sleeping mat, straw mat	$					yoso11	farris1992syntactic
48	bed	$					yoso11	farris1992syntactic
49	stool, chair	$					yoso11	farris1992syntactic
50	animal	kɨ̄tɨ̄					yoso11	farris1992syntactic
51	bird	$					yoso11	farris1992syntactic
52	fish	chaká					yoso11	farris1992syntactic
53	snake	kōo					yoso11	farris1992syntactic
54	frog	$					yoso11	farris1992syntactic
55	hawk	$					yoso11	farris1992syntactic
56	scorpion	tɨ̄suhmā	tɨ̄-suhmā	animal-tail			yoso11	farris1992syntactic
57	cockroach	$					yoso11	farris1992syntactic
58	grasshopper	$					yoso11	farris1992syntactic
59	bee	$					yoso11	farris1992syntactic
60	rat	chotō					yoso11	farris1992syntactic
60	mouse	lúsū					yoso11	farris1992syntactic
61	deer	īsu					yoso11	farris1992syntactic
62	squirrel	$					yoso11	farris1992syntactic
63	skunk	chɨ̄hɨ̄n		listed as part of a name			yoso11	farris1992syntactic
64	(o)possum	$					yoso11	farris1992syntactic
65	raccoon	$					yoso11	farris1992syntactic
66	rabbit	isō					yoso11	farris1992syntactic
67	vulture	$					yoso11	farris1992syntactic
68	dog	īna					yoso11	farris1992syntactic
69	cat	$					yoso11	farris1992syntactic
70	rooster	$					yoso11	farris1992syntactic
71	chicken	chuun					yoso11	farris1992syntactic
72	pig	kɨ̄nɨ̄					yoso11	farris1992syntactic
73	horse	kwāyū			yes	Colonial Spanish	yoso11	farris1992syntactic
74	sheep	rɨ̄ɨ					yoso11	farris1992syntactic
75	ant	$					yoso11	farris1992syntactic
76	horn (anatomy)	ndɨ́kɨ́					yoso11	farris1992syntactic
77	feather	$					yoso11	farris1992syntactic
78	wing	$					yoso11	farris1992syntactic
79	tail	suhma		only listed as part of a compound			yoso11	farris1992syntactic
80	tree, stick	yūNnū					yoso11	farris1992syntactic
81	herb	$					yoso11	farris1992syntactic
82	grass	$					yoso11	farris1992syntactic
83	flower	ītā					yoso11	farris1992syntactic
84	maguey, century plant	$					yoso11	farris1992syntactic
85	root	$					yoso11	farris1992syntactic
86	thorn	īñū					yoso11	farris1992syntactic
87	grain of corn	nūni					yoso11	farris1992syntactic
88	cornfield	ītū					yoso11	farris1992syntactic
89	fresh ear of corn	ndɨ̄shɨ̄					yoso11	farris1992syntactic
90	nixtamal	$					yoso11	farris1992syntactic
91	cornmeal, corn dough	$					yoso11	farris1992syntactic
92	tortilla	staa					yoso11	farris1992syntactic
93	cleared field, cornstalk	$					yoso11	farris1992syntactic
94	furrow, planting row	$					yoso11	farris1992syntactic
95	tassel, maize spike	$					yoso11	farris1992syntactic
96	bean, eye	ndūchī					yoso11	farris1992syntactic
97	green bean	$					yoso11	farris1992syntactic
98	chili pepper	yaha					yoso11	farris1992syntactic
99	salt	n̄ɨ̄ɨ					yoso11	farris1992syntactic
100	squash	$					yoso11	farris1992syntactic
101	chayote squash	$					yoso11	farris1992syntactic
