IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
152	rojo	kuá'á					alac11	zylstra2012gramatica
153	verde	kuii̠					alac11	anderson2006vocabulario
154	amarillo	kuáán					alac11	zylstra2012gramatica
155	negro	to̠ón					alac11	zylstra2012gramatica
156	blanco	yaa					alac11	zylstra2012gramatica
157	uno	ñii					alac11	zylstra2012gramatica
158	dos	o̠vi̠					alac11	zylstra2012gramatica
159	tres	u̠ni̠					alac11	zylstra2012gramatica
160	cuatro	ko̠mi̠					alac11	zylstra2012gramatica
161	cinco	o̠'o̠n					alac11	zylstra2012gramatica
162	seis	i̠ño̠					alac11	zylstra2012gramatica
163	siete	u̠xa̠					alac11	zylstra2012gramatica
164	ocho	o̠na̠					alac11	zylstra2012gramatica
165	nueve	i̠i̠n					alac11	zylstra2012gramatica
166	diez	u̠xu̠					alac11	zylstra2012gramatica
167	quince	xa̠'u̠n					alac11	zylstra2012gramatica
168	veinte	o̠ko̠					alac11	zylstra2012gramatica
169	pobre	ndá'ví					alac11	zylstra2012gramatica
170	rico	kuíká					alac11	zylstra2012gramatica
171	frío	vi̠xin					alac11	zylstra2012gramatica
172	está caliente, caliente	ñi'ní					alac11	zylstra2012gramatica
173	grande.SG	ká'no					alac11	zylstra2012gramatica
173	grande.SG	chée					alac11	zylstra2012gramatica
174	grande.PL	ná'no					alac11	zylstra2012gramatica
175	pequeño.SG	lo'o					alac11	zylstra2012gramatica
176	pequeño.PL	válí					alac11	zylstra2012gramatica
176	pequeño.PL	kuálí					alac11	zylstra2012gramatica
177	largo.SG	káni̠					alac11	zylstra2012gramatica
178	largo.PL	náni̠					alac11	zylstra2012gramatica
179	bueno	va̠'a					alac11	zylstra2012gramatica
180	dulce	visi		only in an example			alac11	zylstra2012gramatica
181	salado	yo̠'va̠					alac11	zylstra2012gramatica
182	amargo	yo̠va̠					alac11	anderson2006vocabulario
183	sabroso	ya̠si̠n					alac11	anderson2006vocabulario
184	ancho	$					alac11	zylstra2012gramatica
185	nuevo	xa̠á					alac11	zylstra2012gramatica
186	flojo	xúxán					alac11	zylstra2012gramatica
187	feo	kini					alac11	zylstra2012gramatica
188	celoso	$					alac11	zylstra2012gramatica
189	cerca	yatin					alac11	zylstra2012gramatica
190	lejos	xíká					alac11	zylstra2012gramatica
191	pesado	veé					alac11	zylstra2012gramatica
192	crudo	yí'í					alac11	anderson2006vocabulario
193	liso	$					alac11	zylstra2012gramatica
194	despacio	kueé					alac11	zylstra2012gramatica
195	ayer	koni					alac11	zylstra2012gramatica
196	año	kui̠ya̠					alac11	zylstra2012gramatica
197	ahora, hoy	vitin					alac11	zylstra2012gramatica
198	noche	ñoó					alac11	zylstra2012gramatica
199	de noche	$					alac11	zylstra2012gramatica
200	día	ki̠vi̠					alac11	zylstra2012gramatica
201	de día	ndiví					alac11	zylstra2012gramatica
202	mitad	sava					alac11	zylstra2012gramatica
203	dinero	si̠'ún					alac11	zylstra2012gramatica
204	trabajo	chiño					alac11	zylstra2012gramatica
205	palabra	to̠'on					alac11	zylstra2012gramatica
206	culpa	kua̠chi					alac11	zylstra2012gramatica
207	sueño	$					alac11	zylstra2012gramatica
208	cuándo	ama					alac11	zylstra2012gramatica
209	canción, música	$					alac11	zylstra2012gramatica
