IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
46	horcón	du³gʷã³ˀã⁴ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
47	petate	wːe³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
48	cama, lecho	na³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
49	banquito, banco, silla	re³ɡa³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
50	animal	ʃu³ku³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
51	pájaro	ʃa³ta³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
52	pez, pescado	ʃu³kʷa³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
53	culebra, serpiente	ʃu³kʷa³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
54	rana	ʃi²ri³kɨ³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
55	gavilán	ʃi³nũ³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
56	alacrán	ʃa³kɨ̃³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
57	cucaracha	ʃi²ra³kɨ̃³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
58	chapulín	nãʔnĩ³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
59	abeja	ʃu³tã³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
60	ratón, rata	ʃu³tu³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
61	venado	ʃu³ta³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
62	ardilla	ʃu³wa⁴					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
63	zorrillo	ʃa³ˀã³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
64	tlacuache	ta⁴kɨ̃¹ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
64	tlacuache	tna⁴kɨ̃¹ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
65	mapache	ɡu³ju³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
66	conejo	ʃa³to³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
67	zopilote	ʃa³ʈʂu³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
68	perro	ʃu³we³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
69	gato	ʃi³lu³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
70	gallo	de⁴ʔlo¹ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
71	gallina	ʃu³tʃe³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
72	marrano, puerco, cerdo	ʃa³ka³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
73	caballo	gʷa⁴ju³			yes	Colonial Spanish	chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
74	borrego, oveja	ma³tsi³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
75	hormiga	ʃu³kʷa³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
76	cuerno	si³ku³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
77	pluma	to³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
78	ala	si³ɡa²tʃi³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
79	cola	du³ne³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
80	árbol, palo	ʈʂũ³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
81	hierba	ko³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
82	pasto	ʈʂĩ³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
83	flor	ja³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
84	maguey	wːe³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
85	raíz	ja³ˀa³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
86	espina	tã³²ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
