IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
14	woman	ñā̧ʔā̧ 					gran11	durr1987preliminary																																																								
14	woman	ñā̧ʔà̧					xaya11	durr1987preliminary																																																								
14	woman	ñāʔà					cahu11	durr1987preliminary																																																								
14	woman	ñā̧ʔá̧					mixt11	durr1987preliminary																																																								
14	woman	ñá̧ʔà̧					prog12	durr1987preliminary																																																								
14	woman	ñà̧ʔà̧					jica11	durr1987preliminary																																																								
18	bone	žɨ̀kɨ̀	žɨ̀kɨ̀	deleted stress mark			diux11	durr1987preliminary																																																								
18	bone	žɨ̀kɨ̀					peno11	durr1987preliminary																																																								
18	bone	žɨ̄kɨ̄					atat11	durr1987preliminary																																																								
18	bone	žɨ̄kɨ̄ 					gran11	durr1987preliminary																																																								
18	bone	ìkìʔ					ayut11	durr1987preliminary																																																								
18	bone	īkí					metl11	durr1987preliminary																																																								
18	bone	yīkī					cahu11	durr1987preliminary																																																								
20	face	núú					peno11	durr1987preliminary																																																								
20	face	nú̧ǔ̧					coat11	durr1987preliminary																																																								
20	face	nùù					moli11	durr1987preliminary																																																								
20	face	nùù					ocot11	durr1987preliminary																																																								
20	face	nūù					atat11	durr1987preliminary																																																								
20	face	nūù 					gran11	durr1987preliminary																																																								
20	face	nùù					xaya11	durr1987preliminary																																																								
20	face	nò̧ò̧					cahu11	durr1987preliminary																																																								
20	face	nùú					mixt11	durr1987preliminary																																																								
20	face	nùù					prog12	durr1987preliminary																																																								
20	face	nú̧ú̧					jica11	durr1987preliminary																																																								
20	face	nùù					chay11	durr1987preliminary																																																								
21	tongue	žâá					peno11	durr1987preliminary																																																								
21	tongue	žáá					ocot11	durr1987preliminary																																																								
21	tongue	žáá					atat11	durr1987preliminary																																																								
21	tongue	žáā					gran11	durr1987preliminary																																																								
21	tongue	žáà					caca11	durr1987preliminary																																																								
21	tongue	yàá					xaya11	durr1987preliminary																																																								
21	tongue	yáà					ayut11	durr1987preliminary																																																								
21	tongue	láà					alac11	durr1987preliminary																																																								
21	tongue	yáá					cahu11	durr1987preliminary																																																								
21	tongue	yâá					mixt11	durr1987preliminary																																																								
21	tongue	žáà					prog12	durr1987preliminary																																																								
22	tooth	nú̧ʔù̧					peno11	durr1987preliminary																																																								
22	tooth	nù̧ʔú̧					coat11	durr1987preliminary																																																								
22	tooth	nù̧ʔū̧					moli11	durr1987preliminary																																																								
22	tooth	Nù̧ʔū̧					atat11	durr1987preliminary																																																								
22	tooth	nù̧ʔū̧					gran11	durr1987preliminary																																																								
22	tooth	nò̧ʔō̧					caca11	durr1987preliminary																																																								
22	tooth	nò̧ʔō̧					cahu11	durr1987preliminary																																																								
23	mouth	žùʔù					peno11	durr1987preliminary																																																								
23	mouth	šùʔù					coat11	durr1987preliminary																																																								
23	mouth	žūʔū 					moli11	durr1987preliminary																																																								
23	mouth	žūʔú					ocot11	durr1987preliminary																																																								
23	mouth	žūʔū					atat11	durr1987preliminary																																																								
23	mouth	žūʔū 					gran11	durr1987preliminary																																																								
23	mouth	žūʔū 					caca11	durr1987preliminary																																																								
23	mouth	yùʔúʔ					ayut11	durr1987preliminary																																																								
23	mouth	yūʔù					alac11	durr1987preliminary																																																								
23	mouth	yùʔū					metl11	durr1987preliminary																																																								
23	mouth	yǖʔǖ					cahu11	durr1987preliminary																																																								
23	mouth	yūʔú					mixt11	durr1987preliminary																																																								
23	mouth	žǘʔǜ					prog12	durr1987preliminary																																																								
23	mouth	yūʔū					chay11	durr1987preliminary																																																								
24	ear	đò'ʔó	đòʔó	deleted stress mark			diux11	durr1987preliminary																																																								
24	ear	đóʔò					peno11	durr1987preliminary																																																								
24	ear	sòʔō					atat11	durr1987preliminary																																																								
24	ear	sòʔō					gran11	durr1987preliminary																																																								
24	ear	đòʔō					caca11	durr1987preliminary																																																								
24	ear	sōʔò					ayut11	durr1987preliminary																																																								
24	ear	sòʔō					alac11	durr1987preliminary																																																								
24	ear	sòʔō					cahu11	durr1987preliminary																																																								
24	ear	sóʔó					jica11	durr1987preliminary																																																								
27	hand	ⁿdàʔà					peno11	durr1987preliminary																																																								
27	hand	ⁿdàʔà					coat11	durr1987preliminary																																																								
27	hand	ⁿdāʔā 					moli11	durr1987preliminary																																																								
27	hand	ⁿdāʔá					ocot11	durr1987preliminary																																																								
27	hand	ⁿdāʔā					atat11	durr1987preliminary																																																								
27	hand	ⁿdāʔā 					gran11	durr1987preliminary																																																								
27	hand	ⁿdāʔà 					xaya11	durr1987preliminary																																																								
