IDlist,GLOSS,VALUE,FORM,ID,NOTES,LOAN,LOAN_SOURCE,DOCULECT,SOURCE
75,hormiga,tio¹ko⁴,,242,,,,yolo11,amith2020yoloxochitl
76,cuerno,ndi³ki⁴,,243,,,,yolo11,amith2020yoloxochitl
77,pluma,tu¹mi³²,,244,,,,yolo11,amith2020yoloxochitl
78,ala,ndi¹xin⁴,,245,,,,yolo11,amith2020yoloxochitl
79,cola,su'¹ma⁴,,246,,,,yolo11,amith2020yoloxochitl
80,árbol,i³tun⁴,,247,,,,yolo11,amith2020yoloxochitl
81,hierba,$,,,,,,yolo11,amith2020yoloxochitl
82,"sacate, pasto",i³ta²,,248,same as 80,,,yolo11,amith2020yoloxochitl
83,flor,i³ta²,,249,same as 79,,,yolo11,amith2020yoloxochitl
84,maguey,$,,,,,,yolo11,amith2020yoloxochitl
85,raíz,tio'¹o³,,250,,,,yolo11,amith2020yoloxochitl
86,espina,i³ñu⁴,,251,,,,yolo11,amith2020yoloxochitl
87,maíz desgranado,nu¹ni⁴,,252,,,,yolo11,amith2020yoloxochitl
88,milpa,i³tu²,,253,,,,yolo11,amith2020yoloxochitl
89,elote,ndi³xi⁴,,254,,,,yolo11,amith2020yoloxochitl
90,nixtamal,xa'⁴a²,,255,,,,yolo11,amith2020yoloxochitl
91,masa,yu³xan⁴,,256,,,,yolo11,amith2020yoloxochitl
92,tortilla,is¹ta⁴,,257,,,,yolo11,amith2020yoloxochitl
93,rastrojo,ya¹ma⁴,,258,"guamile, terreno de sembrado después de haberse levantado la cosecha quedando el puro rastrojo",,,yolo11,amith2020yoloxochitl
94,surco,yu³kun²,,259,,,,yolo11,amith2020yoloxochitl
95,espiga,yo³ko⁴,,260,,,,yolo11,amith2020yoloxochitl
96,frijol(es),ndu³chi⁴,,261,,,,yolo11,amith2020yoloxochitl
97,"ejote, vaina",ndi³chi²,,262,,,,yolo11,amith2020yoloxochitl
98,chile,ya'³a⁴,,263,,,,yolo11,amith2020yoloxochitl
99,sal,i¹in⁴,,264,,,,yolo11,amith2020yoloxochitl
100,calabaza,i³kin⁴,,265,,,,yolo11,amith2020yoloxochitl
101,chayote,$,,,,,,yolo11,amith2020yoloxochitl
102,caña dulce,ndo¹o⁴,,267,,,,yolo11,amith2020yoloxochitl
103,miel,ñu¹ñu⁴,,268,,,,yolo11,amith2020yoloxochitl
104,manteca,xa'³an²,,269,,,,yolo11,amith2020yoloxochitl
105,huevo,ndi¹bi⁴,,270,,,,yolo11,amith2020yoloxochitl
106,tomate,ti¹na³na⁴,,271,,,,yolo11,amith2020yoloxochitl
107,camote,ya'³mi²,,272,,,,yolo11,amith2020yoloxochitl
108,aguacate,ti¹⁴chi³,,273,,,,yolo11,amith2020yoloxochitl
109,plátano,chi³ta²,,274,see also 109,,,yolo11,amith2020yoloxochitl
110,nopal,mi'¹nda⁴,,275,,,,yolo11,amith2020yoloxochitl
111,"mamey, zapote",ndi³ka⁴,,276,in other pueblos: plátano,,,yolo11,amith2020yoloxochitl
112,chirimoya,$,,,,,,yolo11,amith2020yoloxochitl
113,hongo,xi'¹i⁴,,277,,,,yolo11,amith2020yoloxochitl
114,carne,ku³ñu²,,278,,,,yolo11,amith2020yoloxochitl
115,comal,xi¹yo⁴,,279,,,,yolo11,amith2020yoloxochitl
116,olla,ki¹si³,,280,,,,yolo11,amith2020yoloxochitl
117,horno,$,,,,,,yolo11,amith2020yoloxochitl
118,"lumbre, fuego",ñu'³u²,,281,,,,yolo11,amith2020yoloxochitl
119,ceniza,ya¹a⁴,,282,,,,yolo11,amith2020yoloxochitl
120,carbón,tu¹un⁴,,283,,,,yolo11,amith2020yoloxochitl
121,humo,yu'¹ma¹,,284,,,,yolo11,amith2020yoloxochitl
122,basura,mi'¹⁴i⁴,,285,,,,yolo11,amith2020yoloxochitl
123,plato,ko'¹o⁴,,286,,,,yolo11,amith2020yoloxochitl
124,jícara redonda,ya³xin⁴,,287,,,,yolo11,amith2020yoloxochitl
125,tenate,ndo'¹o⁴,,288,canastita en que se sirven las tortillas calientes,,,yolo11,amith2020yoloxochitl
126,cajón,xa¹tun⁴,,289,,,,yolo11,amith2020yoloxochitl
127,hilo,yu'¹ba¹,,290,,,,yolo11,amith2020yoloxochitl
128,peine,bi¹ka¹,,291,,,,yolo11,amith2020yoloxochitl
129,mecate,yo'³o⁴,,292,,,,yolo11,amith2020yoloxochitl
