IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	sīhí					alac11	zylstra1991syntactic
2	mother!, mom!	nāná					alac11	zylstra1991syntactic
3	father	yīvā					alac11	zylstra1991syntactic
4	father!, dad!	$					alac11	zylstra1991syntactic
5	son/daughter, child	sāhya					alac11	zylstra1991syntactic
6	son	$					alac11	zylstra1991syntactic
7	daughter	$					alac11	zylstra1991syntactic
8	cross-sex sibling	kīhvā					alac11	zylstra1991syntactic
9	brother of man	ñānī					alac11	zylstra1991syntactic
10	sister of woman	kihvi					alac11	zylstra1991syntactic
11	aunt	sīsī					alac11	zylstra1991syntactic
12	uncle	sītō					alac11	zylstra1991syntactic
13	man	taā					alac11	zylstra1991syntactic
14	woman	ñáha					alac11	zylstra1991syntactic
15	owner, boss	shi-tóhó	shi-tóhó	?-respect			alac11	zylstra1991syntactic
16	priest	sutu					alac11	zylstra1991syntactic
17	blood	$					alac11	zylstra1991syntactic
18	bone	yīki					alac11	zylstra1991syntactic
19	hair	īsí					alac11	zylstra1991syntactic
20	face	noo					alac11	zylstra1991syntactic
21	tongue	$					alac11	zylstra1991syntactic
22	tooth	$					alac11	zylstra1991syntactic
23	mouth	yūhu					alac11	zylstra1991syntactic
24	ear	sohō					alac11	zylstra1991syntactic
25	nose	$					alac11	zylstra1991syntactic
26	neck	$					alac11	zylstra1991syntactic
27	hand	ndāha					alac11	zylstra1991syntactic
28	fingernail	$					alac11	zylstra1991syntactic
29	back	sata					alac11	zylstra1991syntactic
30	stomach	tishīn					alac11	zylstra1991syntactic
31	intestine, guts	$					alac11	zylstra1991syntactic
32	foot	shaha					alac11	zylstra1991syntactic
33	sickness	kwehe					alac11	zylstra1991syntactic
34	medicine	tatan					alac11	zylstra1991syntactic
35	swelling	$					alac11	zylstra1991syntactic
36	pimple	$					alac11	zylstra1991syntactic
37	pus	$					alac11	zylstra1991syntactic
38	urine	$					alac11	zylstra1991syntactic
39	clothes	tīkoto					alac11	zylstra1991syntactic
40	sandal, sandals	$					alac11	zylstra1991syntactic
41	pants	$					alac11	zylstra1991syntactic
42	blouse, woven blouse	$					alac11	zylstra1991syntactic
43	town	ñōō					alac11	zylstra1991syntactic
44	house	vēhē					alac11	zylstra1991syntactic
45	road	yīchi					alac11	zylstra1991syntactic
46	post	$					alac11	zylstra1991syntactic
47	mat, sleeping mat, straw mat	$					alac11	zylstra1991syntactic
48	bed	$					alac11	zylstra1991syntactic
49	chair	tāyi					alac11	zylstra1991syntactic
50	animal	kīti					alac11	zylstra1991syntactic
51	bird	sāā					alac11	zylstra1991syntactic
52	fish	ti-yaká	ti-yaká	animal-fish			alac11	zylstra1991syntactic
53	snake	$					alac11	zylstra1991syntactic
54	frog	$					alac11	zylstra1991syntactic
55	hawk	$					alac11	zylstra1991syntactic
56	scorpion	$					alac11	zylstra1991syntactic
57	cockroach	$					alac11	zylstra1991syntactic
58	grasshopper	$					alac11	zylstra1991syntactic
59	bee	tí-ñoño	tí-ñoño	animal-honey			alac11	zylstra1991syntactic
60	mouse	tiín					alac11	zylstra1991syntactic
61	deer	yūsū					alac11	zylstra1991syntactic
62	squirrel	$					alac11	zylstra1991syntactic
63	skunk	$					alac11	zylstra1991syntactic
64	(o)possum	$					alac11	zylstra1991syntactic
65	raccoon	$					alac11	zylstra1991syntactic
66	rabbit	yīsōn		Sp. conejo	yes	Spanish	alac11	zylstra1991syntactic
66	rabbit	lēsōn		Sp. conejo	yes	Spanish	alac11	zylstra1991syntactic
67	vulture	$					alac11	zylstra1991syntactic
68	dog	īnā					alac11	zylstra1991syntactic
69	cat	míshtón					alac11	zylstra1991syntactic
70	rooster	ndūshú chée		chicken big:male			alac11	zylstra1991syntactic
71	chicken	ndūshú					alac11	zylstra1991syntactic
72	pig	kīni					alac11	zylstra1991syntactic
73	horse	kwáyí		Sp. caballo	yes	Spanish	alac11	zylstra1991syntactic
74	sheep	ndī-kāchī		animal?-cotton			alac11	zylstra1991syntactic
75	ant	$					alac11	zylstra1991syntactic
76	horn (anatomy)	ndiki					alac11	zylstra1991syntactic
77	feather	$					alac11	zylstra1991syntactic
78	wing	$					alac11	zylstra1991syntactic
79	tail	$					alac11	zylstra1991syntactic
80	tree	yīton					alac11	zylstra1991syntactic
81	herb	$					alac11	zylstra1991syntactic
82	grass	$					alac11	zylstra1991syntactic
83	flower	yītā					alac11	zylstra1991syntactic
84	maguey, century plant	$					alac11	zylstra1991syntactic
85	root	$					alac11	zylstra1991syntactic
86	thorn	$					alac11	zylstra1991syntactic
87	corn	noni					alac11	zylstra1991syntactic
88	cornfield	yūtū					alac11	zylstra1991syntactic
89	fresh ear of corn	$					alac11	zylstra1991syntactic
90	nixtamal	$					alac11	zylstra1991syntactic
91	corn dough	yūshan					alac11	zylstra1991syntactic
92	tortilla	sita					alac11	zylstra1991syntactic
93	cleared field, cornstalk	$					alac11	zylstra1991syntactic
94	furrow, planting row	$					alac11	zylstra1991syntactic
95	tassel, maize spike	$					alac11	zylstra1991syntactic
96	bean	ndūchu					alac11	zylstra1991syntactic
97	green bean	$					alac11	zylstra1991syntactic
98	chili pepper	yāha					alac11	zylstra1991syntactic
99	salt	ñii					alac11	zylstra1991syntactic
100	squash	yīkin					alac11	zylstra1991syntactic
101	chayote squash	$					alac11	zylstra1991syntactic
102	sugar cane	$					alac11	zylstra1991syntactic
103	honey	ñoño					alac11	zylstra1991syntactic
104	grease	sahān					alac11	zylstra1991syntactic
105	egg	ndivi					alac11	zylstra1991syntactic
106	tomato	nāñā		don't know what the difference is to the other one			alac11	zylstra1991syntactic
106	tomato	ti-nānā	ti-nānā	?			alac11	zylstra1991syntactic
107	edible tuber	$					alac11	zylstra1991syntactic
108	avocado	tichí					alac11	zylstra1991syntactic
109	banana	$					alac11	zylstra1991syntactic
110	prickly pear cactus	ton-vihndá		wood-?			alac11	zylstra1991syntactic
111	mamey	$					alac11	zylstra1991syntactic
112	custard apple	$					alac11	zylstra1991syntactic
113	mushroom	$					alac11	zylstra1991syntactic
114	meat	kuñō					alac11	zylstra1991syntactic
115	griddle	$					alac11	zylstra1991syntactic
116	pot	kisī					alac11	zylstra1991syntactic
117	oven	$					alac11	zylstra1991syntactic
118	fire	n̄ōho					alac11	zylstra1991syntactic
119	ash	$					alac11	zylstra1991syntactic
120	charcoal	$					alac11	zylstra1991syntactic
121	smoke	ñihma					alac11	zylstra1991syntactic
122	trash	mihí					alac11	zylstra1991syntactic
123	plate	$					alac11	zylstra1991syntactic
124	gourd, gourd bowl	$					alac11	zylstra1991syntactic
125	basket	$					alac11	zylstra1991syntactic
126	box	káxá		Sp. caja	yes	Spanish	alac11	zylstra1991syntactic
127	thread	$					alac11	zylstra1991syntactic
128	comb	$					alac11	zylstra1991syntactic
129	rope	yóho					alac11	zylstra1991syntactic
