IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
89	elote	ntíxi					abas11	galindo-sanchez2009vocabulario																																																								
90	nixtamal	tsá'á					abas11	galindo-sanchez2009vocabulario																																																								
91	masa	yutsa					abas11	galindo-sanchez2009vocabulario																																																								
92	tortilla	staa					abas11	galindo-sanchez2009vocabulario																																																								
93	rastrojo	$					abas11	galindo-sanchez2009vocabulario																																																								
94	surco	yuku					abas11	galindo-sanchez2009vocabulario																																																								
95	espiga	yòko					abas11	galindo-sanchez2009vocabulario																																																								
96	frijol(es)	ntuchi					abas11	galindo-sanchez2009vocabulario																																																								
97	ejote	nchichi					abas11	galindo-sanchez2009vocabulario																																																								
98	chile	ya'a					abas11	galindo-sanchez2009vocabulario																																																								
99	sal	iìn					abas11	galindo-sanchez2009vocabulario																																																								
100	calabaza	iki					abas11	galindo-sanchez2009vocabulario																																																								
101	chayote	naña					abas11	galindo-sanchez2009vocabulario																																																								
102	caña	ntòò					abas11	galindo-sanchez2009vocabulario																																																								
103	miel	ntuxi					abas11	galindo-sanchez2009vocabulario																																																								
104	manteca	xa'an					abas11	galindo-sanchez2009vocabulario																																																								
105	huevo	ntívi					abas11	galindo-sanchez2009vocabulario																																																								
106	tomate	$					abas11	galindo-sanchez2009vocabulario																																																								
107	camote	ña'mi		listed as ña'mi vixi ‘camote dulce'			abas11	galindo-sanchez2009vocabulario																																																								
108	aguacate	tichi					abas11	galindo-sanchez2009vocabulario																																																								
109	plátano	nchikà					abas11	galindo-sanchez2009vocabulario																																																								
110	nopal	mi'ncha					abas11	galindo-sanchez2009vocabulario																																																								
111	mamey, zapote	$					abas11	galindo-sanchez2009vocabulario																																																								
112	chirimoya	$					abas11	galindo-sanchez2009vocabulario																																																								
113	hongo	tsi'i					abas11	galindo-sanchez2009vocabulario																																																								
114	carne	kuñu					abas11	galindo-sanchez2009vocabulario																																																								
115	comal	tsio					abas11	galindo-sanchez2009vocabulario																																																								
116	olla	kìsi					abas11	galindo-sanchez2009vocabulario																																																								
117	horno	tsìtù					abas11	galindo-sanchez2009vocabulario																																																								
118	lumbre, fuego	ñu'un					abas11	galindo-sanchez2009vocabulario																																																								
119	ceniza	yàà					abas11	galindo-sanchez2009vocabulario																																																								
120	carbón	$					abas11	galindo-sanchez2009vocabulario																																																								
121	humo	ñu'ma					abas11	galindo-sanchez2009vocabulario																																																								
122	basura	mi'í					abas11	galindo-sanchez2009vocabulario																																																								
123	plato	ko'o					abas11	galindo-sanchez2009vocabulario																																																								
124	jícara	yatsi					abas11	galindo-sanchez2009vocabulario																																																								
125	tenate	nto'ó					abas11	galindo-sanchez2009vocabulario																																																								
126	caja, cajón	$					abas11	galindo-sanchez2009vocabulario																																																								
127	hilo	yu'va					abas11	galindo-sanchez2009vocabulario																																																								
128	peine	kuika					abas11	galindo-sanchez2009vocabulario																																																								
129	cuerda	yo'o					abas11	galindo-sanchez2009vocabulario																																																								
130	hoyo	yavi					abas11	galindo-sanchez2009vocabulario																																																								
131	red	$					abas11	galindo-sanchez2009vocabulario																																																								
132	jabón	nama					abas11	galindo-sanchez2009vocabulario																																																								
133	anillo	xe'e					abas11	galindo-sanchez2009vocabulario																																																								
134	luna	yòò					abas11	galindo-sanchez2009vocabulario																																																								
135	nube	víkò					abas11	galindo-sanchez2009vocabulario																																																								
136	rayo, relámpago	$					abas11	galindo-sanchez2009vocabulario																																																								
137	agua	chikui					abas11	galindo-sanchez2009vocabulario																																																								
138	lluvia	savi					abas11	galindo-sanchez2009vocabulario																																																								
139	río	yùcha					abas11	galindo-sanchez2009vocabulario																																																								
140	rocío	$					abas11	galindo-sanchez2009vocabulario																																																								
141	cerro	$					abas11	galindo-sanchez2009vocabulario																																																								
142	llanura, llano	$					abas11	galindo-sanchez2009vocabulario																																																								
143	piedra	yùù					abas11	galindo-sanchez2009vocabulario																																																								
144	algodón	kàchi					abas11	galindo-sanchez2009vocabulario																																																								
145	fierro	kaa					abas11	galindo-sanchez2009vocabulario																																																								
146	papel	tutu					abas11	galindo-sanchez2009vocabulario																																																								
147	cal	kàkà					abas11	galindo-sanchez2009vocabulario																																																								
148	cera	ñùma					abas11	galindo-sanchez2009vocabulario																																																								
149	lodo	nchá'í					abas11	galindo-sanchez2009vocabulario																																																								
150	espuma	$					abas11	galindo-sanchez2009vocabulario																																																								
151	polvo	yaka					abas11	galindo-sanchez2009vocabulario																																																								
152	rojo	kua'a					abas11	galindo-sanchez2009vocabulario																																																								
153	verde	kui					abas11	galindo-sanchez2009vocabulario																																																								
154	amarillo	kuan					abas11	galindo-sanchez2009vocabulario																																																								
155	negro	ncha'í					abas11	galindo-sanchez2009vocabulario																																																								
156	blanco	yaa					abas11	galindo-sanchez2009vocabulario																																																								
157	uno	in					abas11	galindo-sanchez2009vocabulario																																																								
158	dos	uvi					abas11	galindo-sanchez2009vocabulario																																																								
159	tres	ùni					abas11	galindo-sanchez2009vocabulario																																																								
160	cuatro	kùmi					abas11	galindo-sanchez2009vocabulario																																																								
161	cinco	u'un					abas11	galindo-sanchez2009vocabulario																																																								
162	seis	ìñu					abas11	galindo-sanchez2009vocabulario																																																								
163	siete	utsa					abas11	galindo-sanchez2009vocabulario																																																								
164	ocho	ùna					abas11	galindo-sanchez2009vocabulario																																																								
165	nueve	ììn					abas11	galindo-sanchez2009vocabulario																																																								
166	diez	utsi					abas11	galindo-sanchez2009vocabulario																																																								
167	quince	tsa'un					abas11	galindo-sanchez2009vocabulario																																																								
168	veinte	oko					abas11	galindo-sanchez2009vocabulario																																																								
169	pobre	nta'vi					abas11	galindo-sanchez2009vocabulario																																																								
170	rico	$					abas11	galindo-sanchez2009vocabulario																																																								
171	hace frío	vítsi					abas11	galindo-sanchez2009vocabulario																																																								
172	está caliente, caliente	i'ni					abas11	galindo-sanchez2009vocabulario																																																								
173	grande.SG	ka'nu					abas11	galindo-sanchez2009vocabulario																																																								
174	grande.PL	$					abas11	galindo-sanchez2009vocabulario																																																								
175	pequeño.SG, chico.SG	luu					abas11	galindo-sanchez2009vocabulario																																																								
176	pequeño.PL, chico.PL	$					abas11	galindo-sanchez2009vocabulario																																																								
177	largo.SG	kani					abas11	galindo-sanchez2009vocabulario																																																								
178	largo.PL	$					abas11	galindo-sanchez2009vocabulario																																																								
179	bueno	va'a					abas11	galindo-sanchez2009vocabulario																																																								
180	dulce	vixi					abas11	galindo-sanchez2009vocabulario																																																								
181	salado	u'a					abas11	galindo-sanchez2009vocabulario																																																								
182	amargo	uva					abas11	galindo-sanchez2009vocabulario																																																								
183	sabroso	ási					abas11	galindo-sanchez2009vocabulario																																																								
184	ancho	ntika					abas11	galindo-sanchez2009vocabulario																																																								
185	nuevo	tsaà					abas11	galindo-sanchez2009vocabulario																																																								
186	flojo	$					abas11	galindo-sanchez2009vocabulario																																																								
187	feo	kíni					abas11	galindo-sanchez2009vocabulario																																																								
188	celoso	kuiñu					abas11	galindo-sanchez2009vocabulario																																																								
189	cerca de, está cerca	yachi					abas11	galindo-sanchez2009vocabulario																																																								
190	está lejos, lejos	$					abas11	galindo-sanchez2009vocabulario																																																								
191	pesado	vee					abas11	galindo-sanchez2009vocabulario																																																								
192	crudo	i'i					abas11	galindo-sanchez2009vocabulario																																																								
193	liso, resbaloso	ntii					abas11	galindo-sanchez2009vocabulario																																																								
194	despacio	kue kueni ~ kueni kueni	kueni				abas11	galindo-sanchez2009vocabulario																																																								
195	ayer	kúni					abas11	galindo-sanchez2009vocabulario																																																								
196	año	kuia					abas11	galindo-sanchez2009vocabulario																																																								
197	ahora, hoy	vichi					abas11	galindo-sanchez2009vocabulario																																																								
198	noche	tsikua					abas11	galindo-sanchez2009vocabulario																																																								
199	de noche, toda la noche	$					abas11	galindo-sanchez2009vocabulario																																																								
200	día	kii					abas11	galindo-sanchez2009vocabulario																																																								
201	de día, todo el día	ntuu					abas11	galindo-sanchez2009vocabulario																																																								
202	mitad	sava					abas11	galindo-sanchez2009vocabulario																																																								
203	dinero	xu'un					abas11	galindo-sanchez2009vocabulario																																																								
204	trabajo	chuun					abas11	galindo-sanchez2009vocabulario																																																								
205	palabra	tu'un					abas11	galindo-sanchez2009vocabulario																																																								
206	culpa	$					abas11	galindo-sanchez2009vocabulario																																																								
207	sueño	mà'na					abas11	galindo-sanchez2009vocabulario																																																								
208	cuándo	na					abas11	galindo-sanchez2009vocabulario																																																								
209	música	yáá					abas11	galindo-sanchez2009vocabulario																																																								
