IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
104	fat, lard, grease	$					copa11	hollenbach1992syntactic
105	egg, fruit	chrux³					copa11	hollenbach1992syntactic
106	tomato	$					copa11	hollenbach1992syntactic
107	tuber	yume³²					copa11	hollenbach1992syntactic
108	avocado	$					copa11	hollenbach1992syntactic
109	banana	nato³²					copa11	hollenbach1992syntactic
110	prickly pear cactus	$					copa11	hollenbach1992syntactic
111	mamey	$					copa11	hollenbach1992syntactic
112	custard apple	rkoo³²					copa11	hollenbach1992syntactic
113	mushroom	$					copa11	hollenbach1992syntactic
114	meat, flesh	nee³¹					copa11	hollenbach1992syntactic
115	griddle	$					copa11	hollenbach1992syntactic
116	(clay) pot	shrux³					copa11	hollenbach1992syntactic
117	oven, box	chruun⁵					copa11	hollenbach1992syntactic
118	fire	yahan³²					copa11	hollenbach1992syntactic
119	ash	yax³					copa11	hollenbach1992syntactic
120	charcoal	ruhwih³					copa11	hollenbach1992syntactic
121	smoke	katseh³					copa11	hollenbach1992syntactic
122	garbage, trash	$					copa11	hollenbach1992syntactic
123	plate	$					copa11	hollenbach1992syntactic
124	gourd	yachruh³					copa11	hollenbach1992syntactic
125	palm basket	yoo⁴					copa11	hollenbach1992syntactic
126	box, oven	chruun⁵		same as oven, see 117			copa11	hollenbach1992syntactic
127	thread	yuhwex³²					copa11	hollenbach1992syntactic
128	comb	$					copa11	hollenbach1992syntactic
129	rope	neh³					copa11	hollenbach1992syntactic
130	hole	$					copa11	hollenbach1992syntactic
131	net bag	nanx³					copa11	hollenbach1992syntactic
132	soap	yumih³					copa11	hollenbach1992syntactic
133	ring	$					copa11	hollenbach1992syntactic
134	moon	yawii³					copa11	hollenbach1992syntactic
135	cloud	$					copa11	hollenbach1992syntactic
136	lightning	$					copa11	hollenbach1992syntactic
137	water	na³²					copa11	hollenbach1992syntactic
138	rain (precipitation)	maan³¹					copa11	hollenbach1992syntactic
139	river	chraa⁵					copa11	hollenbach1992syntactic
140	dew	$					copa11	hollenbach1992syntactic
141	mountain	kix³²					copa11	hollenbach1992syntactic
142	plain	taa³					copa11	hollenbach1992syntactic
143	rock, cliff	yuwex³²					copa11	hollenbach1992syntactic
144	cotton	kachix³²					copa11	hollenbach1992syntactic
145	metal	agah³					copa11	hollenbach1992syntactic
146	paper	yanx³					copa11	hollenbach1992syntactic
147	lime (material)	$					copa11	hollenbach1992syntactic
148	wax	yanx⁵					copa11	hollenbach1992syntactic
149	mud	sigih³					copa11	hollenbach1992syntactic
150	foam	$					copa11	hollenbach1992syntactic
151	dust	$					copa11	hollenbach1992syntactic
152	red	maree¹³					copa11	hollenbach1992syntactic
153	green	maree³¹					copa11	hollenbach1992syntactic
154	yellow	mii⁵					copa11	hollenbach1992syntactic
155	black	maruu³¹					copa11	hollenbach1992syntactic
156	white	katsii¹					copa11	hollenbach1992syntactic
157	one	yoho²					copa11	hollenbach1992syntactic
157	one	ho²					copa11	hollenbach1992syntactic
158	two	wix¹					copa11	hollenbach1992syntactic
159	three	wahnux¹					copa11	hollenbach1992syntactic
160	four	kahanx¹³					copa11	hollenbach1992syntactic
161	five	uhunh¹					copa11	hollenbach1992syntactic
161	five	hunh¹					copa11	hollenbach1992syntactic
162	six	watanh¹					copa11	hollenbach1992syntactic
163	seven	ichix²					copa11	hollenbach1992syntactic
163	seven	chix²					copa11	hollenbach1992syntactic
164	eight	itunx²					copa11	hollenbach1992syntactic
164	eight	tunx²					copa11	hollenbach1992syntactic
165	nine	uun²					copa11	hollenbach1992syntactic
166	ten	ichih²					copa11	hollenbach1992syntactic
166	ten	chih²					copa11	hollenbach1992syntactic
167	fifteen	shnuh²					copa11	hollenbach1992syntactic
168	twenty	iko²					copa11	hollenbach1992syntactic
168	twenty	ko²					copa11	hollenbach1992syntactic
169	poor	nike¹³					copa11	hollenbach1992syntactic
170	rich person	ruhwee³²		I think this a tone-derived form of the stative verb			copa11	hollenbach1992syntactic
171	cold	$					copa11	hollenbach1992syntactic
172	hot	yahaan¹³					copa11	hollenbach1992syntactic
173	big	shix¹		not marked for number			copa11	hollenbach1992syntactic
173	big	kahaan¹		don't know what the difference is to the other one			copa11	hollenbach1992syntactic
175	small.SG	nii³		not marked for number			copa11	hollenbach1992syntactic
176	small.PL	$					copa11	hollenbach1992syntactic
177	long.SG	$					copa11	hollenbach1992syntactic
178	long.PL	$					copa11	hollenbach1992syntactic
179	good	zah¹					copa11	hollenbach1992syntactic
180	sweet	tsih¹					copa11	hollenbach1992syntactic
181	salty	$					copa11	hollenbach1992syntactic
182	bitter	eh¹					copa11	hollenbach1992syntactic
183	tasty, pleasing	shianh¹					copa11	hollenbach1992syntactic
184	wide	kashrah¹					copa11	hollenbach1992syntactic
185	new	naka¹					copa11	hollenbach1992syntactic
186	lazy person	rmii³¹		could also be a tone-derived form from the stative verb			copa11	hollenbach1992syntactic
187	ugly, bad	nix³²					copa11	hollenbach1992syntactic
188	jealous	$					copa11	hollenbach1992syntactic
189	near	nichrunh¹					copa11	hollenbach1992syntactic
190	far	ganh¹					copa11	hollenbach1992syntactic
191	heavy	hee¹					copa11	hollenbach1992syntactic
192	raw	$					copa11	hollenbach1992syntactic
193	smooth	nuhwe¹³					copa11	hollenbach1992syntactic
194	slow	$					copa11	hollenbach1992syntactic
195	yesterday	kii³					copa11	hollenbach1992syntactic
196	year	yoh³					copa11	hollenbach1992syntactic
197	now, today	yax¹³					copa11	hollenbach1992syntactic
198	night	nii³¹					copa11	hollenbach1992syntactic
199	night time	$					copa11	hollenbach1992syntactic
200	day	gwii³					copa11	hollenbach1992syntactic
201	day time	$					copa11	hollenbach1992syntactic
202	half, side, part	yanex¹					copa11	hollenbach1992syntactic
203	money	sahanx³²					copa11	hollenbach1992syntactic
204	work	zuun³²					copa11	hollenbach1992syntactic
205	word	na³na¹					copa11	hollenbach1992syntactic
206	blame	kakunh³					copa11	hollenbach1992syntactic
207	dream	$					copa11	hollenbach1992syntactic
208	when	$					copa11	hollenbach1992syntactic
209	song, music	$					copa11	hollenbach1992syntactic
