IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
3	padre, papá	tata					tlah11	oxnard2020																																																								
3	padre, papá	tájtě					pied12	oxnard2020																																																								
3	padre, papá	táta					flor12	oxnard2020																																																								
3	padre, papá	tatá					mont12	oxnard2020																																																								
3	padre, papá	tatà 					mixt11	oxnard2020																																																								
5	hijo/hija	se'è					tlah11	oxnard2020																																																								
5	hijo/hija	sè'e					pied12	oxnard2020																																																								
5	hijo/hija	se'é					flor12	oxnard2020																																																								
5	hijo/hija	jàya 					mont12	oxnard2020																																																								
5	hijo/hija	sè'e					mixt11	oxnard2020																																																								
8	hermana/hermano de otro genero	kuva					tlah11	oxnard2020																																																								
8	hermana/hermano de otro genero	kò'va					pied12	oxnard2020																																																								
8	hermana/hermano de otro genero	kò'vì					flor12	oxnard2020																																																								
8	hermana/hermano de otro genero	kìva					mont12	oxnard2020																																																								
9	hermano de hombre	yani					tlah11	oxnard2020																																																								
9	hermano de hombre	ñañî					pied12	oxnard2020																																																								
9	hermano de hombre	ñanì					flor12	oxnard2020																																																								
9	hermano de hombre	ñanì					mont12	oxnard2020																																																								
9	hermano de hombre	ñanì					mixt11	oxnard2020																																																								
10	hermana de mujer	ku'vì					tlah11	oxnard2020																																																								
10	hermana de mujer	ku'ù					pied12	oxnard2020																																																								
10	hermana de mujer	ku'ì					flor12	oxnard2020																																																								
10	hermana de mujer	kìvì					mont12	oxnard2020																																																								
11	tía	xixi					tlah11	oxnard2020																																																								
11	tía	xixi					pied12	oxnard2020																																																								
11	tía	xíxi					flor12	oxnard2020																																																								
12	tío	xito					tlah11	oxnard2020																																																								
12	tío	xito					pied12	oxnard2020																																																								
12	tío	xito					flor12	oxnard2020																																																								
12	tío	xitò					mont12	oxnard2020																																																								
13	hombre	tàa					tlah11	oxnard2020																																																								
13	hombre	tsiàja 					pied12	oxnard2020																																																								
13	hombre	tsiàja					flor12	oxnard2020																																																								
13	hombre	tyàa					mont12	oxnard2020																																																								
13	hombre	chàa					mixt11	oxnard2020																																																								
14	mujer	sí'i					tlah11	oxnard2020																																																								
14	mujer	si'i					flor12	oxnard2020																																																								
14	mujer	ñá'a					tlah11	oxnard2020																																																								
15	dueño	xto'o					tlah11	oxnard2020																																																								
15	dueño	xìto'ô					pied12	oxnard2020																																																								
15	dueño	nà xi'ìn ña'à	nà-xi'ìn-ña'à	thing-?-thing			flor12	oxnard2020																																																								
15	dueño	sìtoò	sì-toò				mont12	oxnard2020																																																								
15	dueño	sto'o	s-to'o				mixt11	oxnard2020																																																								
16	sacerdote	sùtu					tlah11	oxnard2020																																																								
16	sacerdote	sujtù					pied12	oxnard2020																																																								
16	sacerdote	sùjtù					flor12	oxnard2020																																																								
16	sacerdote	jùtì					mont12	oxnard2020																																																								
16	sacerdote	sùtù					mixt11	oxnard2020																																																								
17	sangre	nìín					tlah11	oxnard2020																																																								
17	sangre	nìjǐ					pied12	oxnard2020																																																								
17	sangre	nìjǐ					flor12	oxnard2020																																																								
17	sangre	nììn					mont12	oxnard2020																																																								
17	sangre	nìín					mixt11	oxnard2020																																																								
18	hueso	leké					tlah11	oxnard2020																																																								
18	hueso	ìkin					pied12	oxnard2020																																																								
18	hueso	ikǐ					flor12	oxnard2020																																																								
18	hueso	lasa					mont12	oxnard2020																																																								
18	hueso	íkí ché'é	íkí-ché'é				mixt11	oxnard2020																																																								
19	pelo	ixin					tlah11	oxnard2020																																																								
19	pelo	ixǐ					pied12	oxnard2020																																																								
19	pelo	ijxǐ					flor12	oxnard2020																																																								
19	pelo	ixì					mont12	oxnard2020																																																								
19	pelo	ixî					mixt11	oxnard2020																																																								
20	cara	nùú					tlah11	oxnard2020																																																								
20	cara	nùjǔ					pied12	oxnard2020																																																								
20	cara	nùjǔn					flor12	oxnard2020																																																								
20	cara	nòò					mont12	oxnard2020																																																								
20	cara	nùún					mixt11	oxnard2020																																																								
21	lengua	yáǎ					tlah11	oxnard2020																																																								
21	lengua	yajǎ					pied12	oxnard2020																																																								
21	lengua	yajǎ					flor12	oxnard2020																																																								
22	diente	ñù'un					tlah11	oxnard2020																																																								
22	diente	nù'u					pied12	oxnard2020																																																								
22	diente	nù'un					flor12	oxnard2020																																																								
22	diente	nò'on					mont12	oxnard2020																																																								
22	diente	nù'un					mixt11	oxnard2020																																																								
23	boca	yu'ú					tlah11	oxnard2020																																																								
23	boca	yu'ǔ					pied12	oxnard2020																																																								
23	boca	yu'ǔ					flor12	oxnard2020																																																								
23	boca	yu'ù					mont12	oxnard2020																																																								
23	boca	yu'ú					mixt11	oxnard2020																																																								
24	oreja	sò'o					tlah11	oxnard2020																																																								
24	oreja	sò'o					pied12	oxnard2020																																																								
24	oreja	sò'o					flor12	oxnard2020																																																								
24	oreja	jò'o					mont12	oxnard2020																																																								
24	oreja	só'o					mixt11	oxnard2020																																																								
25	nariz	xìtín					tlah11	oxnard2020																																																								
25	nariz	xitsǐn					pied12	oxnard2020																																																								
25	nariz	xijtsǐn					flor12	oxnard2020																																																								
25	nariz	xìtì					mont12	oxnard2020																																																								
25	nariz	xìchǐ					mixt11	oxnard2020																																																								
26	cuello 	sùkú					tlah11	oxnard2020																																																								
26	cuello 	sokǔn					pied12	oxnard2020																																																								
26	cuello 	sojkǔn					flor12	oxnard2020																																																								
26	cuello 	jìkò					mont12	oxnard2020																																																								
26	cuello 	sùkǔ					mixt11	oxnard2020																																																								
27	mano	nda'á					tlah11	oxnard2020																																																								
27	mano	nta'ǎ					pied12	oxnard2020																																																								
27	mano	nta'ǎ					flor12	oxnard2020																																																								
27	mano	ndaà					mont12	oxnard2020																																																								
27	mano	nda'á					mixt11	oxnard2020																																																								
28	uña	chiǐ					tlah11	oxnard2020																																																								
28	uña	chíjǐn					pied12	oxnard2020																																																								
28	uña	chíjǐn					flor12	oxnard2020																																																								
28	uña	chiín					mont12	oxnard2020																																																								
28	uña	chîín					mixt11	oxnard2020																																																								
29	espalda	sàtá					tlah11	oxnard2020																																																								
29	espalda	sàjtǎ					pied12	oxnard2020																																																								
29	espalda	sàtǎ					flor12	oxnard2020																																																								
29	espalda	sàtà					mont12	oxnard2020																																																								
29	espalda	sàta					mixt11	oxnard2020																																																								
30	estómago	tìxin					tlah11	oxnard2020																																																								
30	estómago	nchìxìn					pied12	oxnard2020																																																								
30	estómago	xìtsivà					flor12	oxnard2020																																																								
30	estómago	tìsi					mont12	oxnard2020																																																								
31	tripa	siti					tlah11	oxnard2020																																																								
31	tripa	xitsîn					pied12	oxnard2020																																																								
31	tripa	xitsi					flor12	oxnard2020																																																								
31	tripa	sutì					mont12	oxnard2020																																																								
31	tripa	tsitì					mixt11	oxnard2020																																																								
32	pie	xa'á					tlah11	oxnard2020																																																								
32	pie	xà'ǎ					pied12	oxnard2020																																																								
32	pie	xa'ǎ					flor12	oxnard2020																																																								
32	pie	sà'à					mont12	oxnard2020																																																								
32	pie	tsa'á					mixt11	oxnard2020																																																								
33	enfermedad	kuè'è					tlah11	oxnard2020																																																								
33	enfermedad	kuè'è					pied12	oxnard2020																																																								
33	enfermedad	kuè'è					flor12	oxnard2020																																																								
33	enfermedad	kuè'è					mont12	oxnard2020																																																								
33	enfermedad	kwè'è					mixt11	oxnard2020																																																								
34	medicina	tàtán					tlah11	oxnard2020																																																								
34	medicina	tàjtǎn					pied12	oxnard2020																																																								
34	medicina	tàjtǎn					flor12	oxnard2020																																																								
35	hinchazón	kwiñu					tlah11	oxnard2020																																																								
35	hinchazón	kuiñu					pied12	oxnard2020																																																								
35	hinchazón	kuiñu					flor12	oxnard2020																																																								
35	hinchazón	kuiñu					mont12	oxnard2020																																																								
35	hinchazón	kwiñu					mixt11	oxnard2020																																																								
36	grano 	ndì'i					tlah11	oxnard2020																																																								
36	grano 	ntsì'i					pied12	oxnard2020																																																								
36	grano 	ntsi'í					flor12	oxnard2020																																																								
36	grano 	ndì'i					mont12	oxnard2020																																																								
36	grano 	ndì'in					mixt11	oxnard2020																																																								
37	pus	lakwá					tlah11	oxnard2020																																																								
37	pus	ntajkuà					pied12	oxnard2020																																																								
37	pus	ndajkua					flor12	oxnard2020																																																								
37	pus	ndakuà					mont12	oxnard2020																																																								
37	pus	ndakwà					mixt11	oxnard2020																																																								
38	orina	láxa					tlah11	oxnard2020																																																								
38	orina	lǎxa					pied12	oxnard2020																																																								
38	orina	láxa					flor12	oxnard2020																																																								
38	orina	tìlàlá	tì-làlá	liquid-?			mont12	oxnard2020																																																								
38	orina	nché xàxà	nché-xàxà				mixt11	oxnard2020																																																								
39	ropa	samá					tlah11	oxnard2020																																																								
39	ropa	tsiǎà					pied12	oxnard2020																																																								
39	ropa	tsiǎà					flor12	oxnard2020																																																								
