IDlist	CATEGORY	GLOSS	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
175	property	pequeño.SG, chico.SG	lo'o	20278				dura11	hernandez2020san-martin
176	property	pequeño.PL, chico.PL	válí	20279				dura11	hernandez2020san-martin
177	property	largo.SG	kánì	20280				dura11	hernandez2020san-martin
178	property	largo.PL	nánì	20281				dura11	hernandez2020san-martin
179	property	bueno	và'a	20282				dura11	hernandez2020san-martin
180	property	dulce	vìshì	20283				dura11	hernandez2020san-martin
181	property	salado	ò'và	20284				dura11	hernandez2020san-martin
182	property	amargo	òvà	20285				dura11	hernandez2020san-martin
183	property	sabroso	àsì	20286				dura11	hernandez2020san-martin
184	property	ancho	ntxíkà	20287				dura11	hernandez2020san-martin
185	property	nuevo	xàá	20288				dura11	hernandez2020san-martin
186	property	flojo	kúshí	20289				dura11	hernandez2020san-martin
187	property	feo	kini	20290				dura11	hernandez2020san-martin
188	property	celoso	kuíñú	20291				dura11	hernandez2020san-martin
189	property	cerca de, está cerca	yatxi	20292				dura11	hernandez2020san-martin
190	property	está lejos, lejos	xíká	20293				dura11	hernandez2020san-martin
191	property	pesado	vèe	20294				dura11	hernandez2020san-martin
192	property	crudo	yí'í	20295				dura11	hernandez2020san-martin
193	property	liso	ntxi'ví	20296				dura11	hernandez2020san-martin
194	property	despacio	kueé	20297				dura11	hernandez2020san-martin
195	time	ayer	kuni	20298				dura11	hernandez2020san-martin
196	time	año	kuìà	20299				dura11	hernandez2020san-martin
197	time	ahora, hoy	vitxi	20300				dura11	hernandez2020san-martin
198	time	noche	xìkuaa	20301				dura11	hernandez2020san-martin
199	time	de noche	ñùú	20302				dura11	hernandez2020san-martin
200	time	día, fecha	kìì	20303				dura11	hernandez2020san-martin
201	time	de día	ntiví	20304				dura11	hernandez2020san-martin
202	abstract	mitad	sava	20305				dura11	hernandez2020san-martin
203	abstract	dinero	shù'ún	20306				dura11	hernandez2020san-martin
204	abstract	trabajo	chuun	20307				dura11	hernandez2020san-martin
205	abstract	palabra	tù'un	20308				dura11	hernandez2020san-martin
206	abstract	culpa	kuàchi	20309				dura11	hernandez2020san-martin
207	abstract	sueño	mà'ná	20310				dura11	hernandez2020san-martin
208	abstract	cuándo	ñama	20311				dura11	hernandez2020san-martin
209	abstract	canción, música	yaa	20312				dura11	hernandez2020san-martin
