IDlist	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
89	elote	nna³¹ kkoj²		21642	milpa+?			itun12	ChristianDiCanio
89	elote	tsi³²		21643				itun12	ChristianDiCanio
90	nixtamal	$						itun12	ChristianDiCanio
91	masa, pozole rojo	kkanh³		21644				itun12	ChristianDiCanio
91	masa	kkij²		21645				itun12	ChristianDiCanio
92	tortilla	cchra³		21646				itun12	ChristianDiCanio
93	rastrojo	$						itun12	ChristianDiCanio
94	surco de la milpa	tu³kwanj⁵		21647				itun12	ChristianDiCanio
94	surco, barranco	chi³nej⁵		21648				itun12	ChristianDiCanio
95	espiga (de milpa)	kka³²		21649				itun12	ChristianDiCanio
96	frijol(es)	ru³ne³²		21650				itun12	ChristianDiCanio
97	ejote	ne³tan³		21651				itun12	ChristianDiCanio
98	chile	ya³haj³		21652				itun12	ChristianDiCanio
99	sal	yan³²		21653				itun12	ChristianDiCanio
100	calabaza	kkan³		21654				itun12	ChristianDiCanio
101	chayote	ni³tin³²		21655				itun12	ChristianDiCanio
102	caña	yo³²		21656				itun12	ChristianDiCanio
103	miel	ka³tsih³		21657				itun12	ChristianDiCanio
104	manteca	cna³min³²		21658				itun12	ChristianDiCanio
105	huevo	cchruj³		21659				itun12	ChristianDiCanio
106	jitomate	na³sin³		21660				itun12	ChristianDiCanio
106	tomate	ri³nij²		21661				itun12	ChristianDiCanio
107	camote	mmi³²		21662				itun12	ChristianDiCanio
108	aguacate	ru⁴ne⁴³		21663				itun12	ChristianDiCanio
109	plátano	na³to³²		21664				itun12	ChristianDiCanio
110	nopal	ti³ni³²		21665				itun12	ChristianDiCanio
111	mamey	na³to³² ro¹hoj¹		21666	banana-?			itun12	ChristianDiCanio
111	zapote, anona	re³ko³²		21667				itun12	ChristianDiCanio
112	chirimoya	$						itun12	ChristianDiCanio
113	hongo	ra³han³		21668				itun12	ChristianDiCanio
114	carne	nne³¹		21669				itun12	ChristianDiCanio
115	comal	cho³²		21670				itun12	ChristianDiCanio
116	olla	chruj³		21671				itun12	ChristianDiCanio
117	horno, caja	chrunj⁵		21672	same as 126			itun12	ChristianDiCanio
118	fuego, luz	ya³han³²		21673				itun12	ChristianDiCanio
119	ceniza	yyaj³		21674				itun12	ChristianDiCanio
120	carbón	ru³hbhih³		21675				itun12	ChristianDiCanio
121	humo	ka³seh³		21676				itun12	ChristianDiCanio
122	basura	ya³ko¹		21677				itun12	ChristianDiCanio
123	plato	ko³ho³		21678				itun12	ChristianDiCanio
124	jícara	a³ruh³		21679				itun12	ChristianDiCanio
124	jícara, cucharón	ya³tu¹		21680				itun12	ChristianDiCanio
125	canasta	chu³ku⁴ti⁴³		21681				itun12	ChristianDiCanio
125	tenate	yo⁴		21682				itun12	ChristianDiCanio
126	caja	chrunj⁵		21683	same as 117			itun12	ChristianDiCanio
127	hilo	yu³hbej³		21684				itun12	ChristianDiCanio
128	peine	$						itun12	ChristianDiCanio
129	mecate	nneh³		21685				itun12	ChristianDiCanio
130	agujero, hoyo	yu³huj²		21686				itun12	ChristianDiCanio
131	red	$						itun12	ChristianDiCanio
132	jabón	mmih³		21687				itun12	ChristianDiCanio
133	anillo	se³hej²		21688				itun12	ChristianDiCanio
134	luna, mes	ya³bi³²		21689				itun12	ChristianDiCanio
135	nube	nga³		21690				itun12	ChristianDiCanio
136	rayo, relámpago	tu⁴hbej⁴		21691				itun12	ChristianDiCanio
137	agua	nne³²		21692				itun12	ChristianDiCanio
