IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
110,itun,child,hijo,seʔe
111,itun,"cold, phlegm",catarro,sayu
112,itun,good,bueno,ƀaʔa
113,itun,because,porque,NA
114,itun,this one,este mismo,ma̧a̧
115,itun,is coming,ya viene,[kee]
116,itun,trash,basura,[saʔwɨ]
117,itun,cat,gato,ƀilu
118,itun,prickly pear,nopal,mi̧ʔⁿde
119,itun,foot,pie,yeʔe
120,itun,cut,cortar,yȩʔⁿde
121,itun,fifteen,quince,xʸȩʔu̧
122,itun,guts,tripas,yɨtɨ
123,itun,ten,diez,uxi
124,itun,cold,frío,ƀixi̧
125,itun,sandal,huarache,ⁿdixʸȩ
126,itun,housepot,horcón,sɨ̧ʔɨ̧
127,itun,name,nombre,sɨwɨ
128,itun,cacao,cacao,NA
129,itun,ear,oreja,soʔo
130,itun,tasty,sabroso,asɨ̧
131,itun,closed,cerrado,[ⁿdiʔyu]
131,itun,closed,cerrado,[kasɨ]
132,itun,day after tomorrow,pasado mañana,isa
133,itun,sweet,dulce,ƀiši
134,itun,now,ahora,ƀita̧
135,itun,hole,agujero,yawɨ
135,itun,hole,agujero,žawɨ
136,itun,afraid,tiene miedo,yuʔu
137,itun,poor,pobre,ⁿdaʔwɨ
138,itun,two,dos,ɨwɨ
139,itun,scorpion,alacrán,tɨ su̧ʔma̧
140,itun,go out,salir,keyi
140,itun,go out,salir,[ka̧nȩ]
141,itun,paint,pintar,kaʔyu
142,itun,rat,rata,tɨ̧ņɨ̧
143,itun,swelling,hinchazón,kʷi̧i̧
144,itun,pimple,grano,ⁿdɨʔyɨ
145,itun,it thunders,truena,ka̧ʔⁿdɨ
146,itun,rainbow,arco iris,ti ko ƀȩʔⁿde
147,itun,bird,pájaro,saa
148,itun,frog,rana,saʔƀa
149,itun,navel,ombligo,čelu
149,itun,navel,ombligo,šȩⁿdu
150,itun,urine,orina,te šeše
151,itun,chachalaca,chachalaca,laxʸa̧
152,itun,smooth,lisa,[ⁿdɨɨ]
152,itun,smooth,lisa,ⁿdɨʔƀɨ
153,itun,little,chico,[čala]
153,itun,little,chico,lulu
154,itun,day,día,kɨwɨ
155,itun,when,cuándo,na̧ma̧
156,itun,plain,llano,[ⁿduʔƀe]
157,itun,how,cómo,ⁿdɨšɨ
158,itun,carry,cargar,iso
159,itun,cockroach,cucaracha,tɨ teʔya
160,itun,glue,pegamento,ⁿdeka
161,itun,sickness,enfermedad,kʷeʔyi
162,itun,see,ver,[ito]
163,itun,slow,despacio,kʷee
164,itun,house,casa,ƀiʔi
165,itun,mamey,mamey,ⁿdika yeʔe
166,itun,grind,moler,ⁿdiko
167,itun,wing,ala,tɨ ⁿdixʸȩ
168,itun,stool,banquito,teyu
169,itun,cornfield,milpa,itu
170,itun,yesterday,ayer,iku
171,itun,other,otro,tuku
172,itun,comb,peine,kuka
173,itun,be born,se nació,kaku
174,itun,smart,sabio,[ⁿdaxʸa̧]
175,itun,stone,piedra,yuu
176,itun,mouth,boca,yuʔu
177,itun,I,yo,ru̧ʔu̧
178,itun,dew,rocío,yuyu
179,itun,brush,hierba,yuku
180,itun,furrow,surco,yuku̧
181,itun,trousers,calzón,[so̧no̧ kaʔa]
182,itun,priest,sacerdote,sutu
183,itun,brand,fierro,tu̧ni̧
184,itun,will know,sabrá,ku̧nī̧
185,itun,squirrel,ardilla,kʷȩņu̧
186,itun,loose,floja,taya
187,itun,heavy,pesado,ƀeyi
188,itun,tobacco,tobaco,i̧no̧
1,yolt,rain,lluvia,(ku̧u̧) saƀi
2,yolt,agave,maguey,žaƀi
3,yolt,straw mat,petate,žuu
4,yolt,four,cuatro,ku̧u̧
5,yolt,feather,pluma,tNu̧u̧
6,yolt,tail,cola,su̧ʔma̧
7,yolt,wax,cera,ņu̧ma̧
8,yolt,nose,nariz,šitNi̧
9,yolt,word,palabra,tNu̧ʔu̧
10,yolt,near,está cerca,žatNi̧
11,yolt,tree,árbol,žutNu̧
12,yolt,deer,venado,isu
13,yolt,lard,manteca,ša̧ʔa̧
14,yolt,smell,olor,šiko
15,yolt,tortilla,tortilla,staa
16,yolt,vomits,vomita,ⁿduša̧
17,yolt,lazy,flojo,[ⁿdɨ kuši]
18,yolt,bed,cama,šito
19,yolt,griddle,comal,šižo
20,yolt,sin,culpa,kʷači
21,yolt,bean,frijol,ⁿduči
22,yolt,water,agua,ⁿdutʸa
23,yolt,river,río,žutʸa
24,yolt,mud,lodo,ⁿdeʔežu
25,yolt,man's brother,hermano de h.,ņa̧ni̧
26,yolt,three,tres,u̧ni̧
27,yolt,tooth,diente,nu̧ʔu̧
28,yolt,five,cinco,u̧ʔu̧
29,yolt,bitter,amargo,uƀa
30,yolt,meat,carne,ku̧ņu̧
31,yolt,red,rojo,kʷaʔa
32,yolt,(he) went,se fue,kʷa̧ʔa̧
33,yolt,seven,siete,uša
34,yolt,thread,hilo,žuʔuƀa
35,yolt,animal,animal,kɨtɨ
36,yolt,it finishes,se acaba,ⁿdɨʔɨ
37,yolt,egg,blanquillo,ⁿdɨƀɨ
38,yolt,foam,espuma,či̧ņu̧
39,yolt,blood,sangre,nɨ̧́ņɨ̧́
40,yolt,husband,marido,žɨɨ
41,yolt,salt,sal,ņɨ̧ɨ̧
42,yolt,net bag,red,ņu̧nu̧
43,yolt,gourd,jícara,žaši̧
44,yolt,squash,calabaza,žɨkɨ̧
45,yolt,coati,tejón coatí,žɨžɨ
46,yolt,food,comida,ⁿdežu
47,yolt,salty,salado,uʔwa
48,yolt,blouse,huipil,NA
49,yolt,work,trabajo,tNi̧ņo̧
50,yolt,cotton,algodón,kači
51,yolt,wind,viento,tači
52,yolt,man,hombre,tíaa
53,yolt,round,redondon,[ti̧ luu]
54,yolt,oven,horno,šitNu̧
55,yolt,box / drawer,cajón,[nu̧ ⁿdo̧o]
56,yolt,mosquito,zancudo,tɨ kʷaņɨ̧̄
57,yolt,wait for,esperar,ⁿdʸatu
58,yolt,rotten,podrido,teʔežu
59,yolt,grab,agarrar,tNɨ̧ɨ̧
60,yolt,tendon,tendón,tuči
61,yolt,blow,soplar,tɨ̄ƀɨ
62,yolt,handspan,cuarta,NA
63,yolt,owner,dueño,ši toʔo
64,yolt,lay (egg),poner (huevo),šaka̧
65,yolt,big (sg.),grande (sg.),kaʔnu̧
66,yolt,neck,cuello,suku̧
67,yolt,will come,va a venir,kiši
68,yolt,horn,cuerno,ⁿdɨkɨ
69,yolt,snake,culebra,koo
70,yolt,ugly,feo,kɨnɨ̧
71,yolt,hill,cerro,žuku
72,yolt,armadillo,armadillo,žakʷi̧
73,yolt,crooked,chueco,[škaku]
74,yolt,year,año,kʷiia
75,yolt,eyebrow,ceja,suka
76,yolt,pus,pus,lakʷa
77,yolt,demon,demonio,[xaʔuʔƀi]
78,yolt,yellow,amarillo,kʷa̧a̧
79,yolt,sew,coser,kʷɨkɨ
80,yolt,will carry,va a cargar,kɨ ko ⁿdiso
81,yolt,that,aquel,žukʷa̧
82,yolt,below,abajo,[ⁿde ƀee]
83,yolt,all night,toda la noche,ni̧ņu̧ ni̧
84,yolt,hot,caliente,ni̧ʔni̧
85,yolt,grain of corn,maíz,nu̧ni̧
86,yolt,wall,pared,[ika]
86,yolt,wall,pared,tɨ na̧ma̧=đe ađoƀe
87,yolt,early,temprano,nɨ̧ ņa̧ʔa̧
88,yolt,open,abierto,nu̧ņa̧
89,yolt,eight,ocho,u̧na̧
90,yolt,tomato,jitomate,tɨ na̧na̧
91,yolt,green bean,ejote,ⁿdiči
92,yolt,half,mitad,saƀa
93,yolt,cane,caña,ⁿdoo
94,yolt,clay pot,olla,kɨsɨ
95,yolt,liquor,aguardiente,ⁿdɨṣ̌ɨ
96,yolt,honey,miel,ⁿduši
97,yolt,armpit,sobaco,či šeʔe
98,yolt,tassel,espiga,žoko
99,yolt,people,gente,ņa̧ žɨƀɨ
100,yolt,town,pueblo,ņu̧u̧
101,yolt,smoke,humo,ņu̧ʔma̧
102,yolt,eat,comer,žaši
102,yolt,eat,comer,yaši
103,yolt,hawk,gavilán,[ši̧ʔņa̧]
103,yolt,hawk,gavilán,[žaʔa]=gavilán=águila
104,yolt,truth,verdad,ⁿdiša̧ᵑ
105,yolt,fire,lumbre,ņu̧ʔu̧
106,yolt,six,seis,i̧ņu̧
107,yolt,fingernail,uņa,tNi̧ņo̧
108,yolt,cornstalk,rastrojo,ņa̧ma̧
109,yolt,cornmeal,masa,žuša̧
110,yolt,child,hijo,seʔe
111,yolt,"cold, phlegm",catarro,sažu
112,yolt,good,bueno,ƀaʔa
112,yolt,good,bueno,ƀoʔo
113,yolt,because,porque,NA
114,yolt,this one,este mismo,ma̧a̧
115,yolt,is coming,ya viene,ƀaši-ni̧
116,yolt,trash,basura,mi̧ʔi̧
117,yolt,cat,gato,ƀilu
118,yolt,prickly pear,nopal,ƀīʔⁿdʸa
119,yolt,foot,pie,šaʔa
120,yolt,cut,cortar,ša̧ʔⁿdaʸa
121,yolt,fifteen,quince,ši o̧ʔo̧
122,yolt,guts,tripas,šɨtɨ
123,yolt,ten,diez,uši
124,yolt,cold,frío,ƀiši̧
125,yolt,sandal,huarache,ⁿdiša
126,yolt,housepot,horcón,sɨ̧ʔɨ̧ņɨ̧
127,yolt,name,nombre,sɨwɨ
128,yolt,cacao,cacao,NA
129,yolt,ear,oreja,soʔo
130,yolt,tasty,sabroso,asu̧
131,yolt,closed,cerrado,[ⁿdiʔžu]
132,yolt,day after tomorrow,pasado mañana,isa
133,yolt,sweet,dulce,xa ƀiši
134,yolt,now,ahora,ƀitNa̧
135,yolt,hole,agujero,NA
136,yolt,afraid,tiene miedo,žuʔu
137,yolt,poor,pobre,ⁿdaʔƀi
138,yolt,two,dos,uu
139,yolt,scorpion,alacrán,tɨ su̧ʔma̧
140,yolt,go out,salir,[kȩⁿta]
140,yolt,go out,salir,[ka̧na̧]
141,yolt,paint,pintar,kaʔu
142,yolt,rat,rata,nɨ̧ņɨ̧
143,yolt,swelling,hinchazón,kʷɨ̧ņɨ̧
144,yolt,pimple,grano,ⁿdɨʔɨžɨ
145,yolt,it thunders,truena,ka̧ʔa̧ⁿdɨ
146,yolt,rainbow,arco iris,[ku kɨžɨ]
147,yolt,bird,pájaro,ti saa
148,yolt,frog,rana,saʔƀa
149,yolt,navel,ombligo,[šɨtɨ koʔli]
150,yolt,urine,orina,NA
151,yolt,chachalaca,chachalaca,laša
152,yolt,smooth,lisa,[ⁿdɨɨ]
153,yolt,little,chico,lulu
154,yolt,day,día,kɨƀɨ
155,yolt,when,cuándo,na̧ ʔa̧ma̧
156,yolt,plain,llano,[ⁿduʔƀa]
157,yolt,how,cómo,na̧ša
158,yolt,carry,cargar,ⁿdiso
159,yolt,cockroach,cucaracha,tɨ teʔe
160,yolt,glue,pegamento,[ašnɨ̧ɨ̧]
161,yolt,sickness,enfermedad,kʷeʔe
162,yolt,see,ver,ⁿdeʔe
163,yolt,slow,despacio,kʷee
164,yolt,house,casa,ƀeʔe
165,yolt,mamey,mamey,NA
166,yolt,grind,moler,ⁿdiko
167,yolt,wing,ala,ⁿdiši̧
168,yolt,stool,banquito,težu
169,yolt,cornfield,milpa,itu
170,yolt,yesterday,ayer,iku
171,yolt,other,otro,NA
172,yolt,comb,peine,kuka
173,yolt,be born,se nació,kaku
174,yolt,smart,sabio,NA
175,yolt,stone,piedra,žuu
176,yolt,mouth,boca,žuʔu
177,yolt,I,yo,[na̧sʸa̧]
178,yolt,dew,rocío,žužu
179,yolt,brush,hierba,žuku
180,yolt,furrow,surco,NA
181,yolt,trousers,calzón,NA
182,yolt,priest,sacerdote,sutu
183,yolt,brand,fierro,[kaa]
184,yolt,will know,sabrá,ko ka ši̧ni̧
184,yolt,will know,sabrá,[koto]
185,yolt,squirrel,ardilla,kʷa̧ņu̧
186,yolt,loose,floja,NA
187,yolt,heavy,pesado,ƀee
188,yolt,tobacco,tobaco,i̧no̧
1,yutn,rain,lluvia,đau
2,yutn,agave,maguey,yau
3,yutn,straw mat,petate,žuu
4,yutn,four,cuatro,xu̧mi̧
5,yutn,feather,pluma,nu̧mi̧
6,yutn,tail,cola,đu̧ʔma̧
7,yutn,wax,cera,ņu̧mȩ
8,yutn,nose,nariz,đi̧ni̧
9,yutn,word,palabra,nu̧ʔu̧
10,yutn,near,está cerca,NA
11,yutn,tree,árbol,ņu̧nu̧
12,yutn,deer,venado,iđu
13,yutn,lard,manteca,đȩʔȩ
14,yutn,smell,olor,[ņȩʔȩ]
15,yutn,tortilla,tortilla,đita
16,yutn,vomits,vomita,NA
17,yutn,lazy,flojo,NA
18,yutn,bed,cama,[kama]
19,yutn,griddle,comal,iyo
20,yutn,sin,culpa,NA
21,yutn,bean,frijol,ⁿduči
22,yutn,water,agua,ⁿdute
23,yutn,river,río,yute
24,yutn,mud,lodo,[lođo]
25,yutn,man's brother,hermano de h.,NA
26,yutn,three,tres,u̧ni̧
27,yutn,tooth,diente,NA
28,yutn,five,cinco,o̧ʔo̧
29,yutn,bitter,amargo,NA
30,yutn,meat,carne,xo̧ņo̧
31,yutn,red,rojo,kʷeʔe
32,yutn,(he) went,se fue,[ņȩʔȩ]
33,yutn,seven,siete,uxʸa
34,yutn,thread,hilo,yuʔƀe
35,yutn,animal,animal,kɨtɨ
36,yutn,it finishes,se acaba,NA
37,yutn,egg,blanquillo,ⁿdɨwɨ
38,yutn,foam,espuma,ti̧ ņu̧
39,yutn,blood,sangre,nɨ̧ņɨ̧
40,yutn,husband,marido,žɨɨ
41,yutn,salt,sal,ņɨ̧ɨ̧
42,yutn,net bag,red,ņo̧no̧
43,yutn,gourd,jícara,[ņȩ ⁿdaʔa]
44,yutn,squash,calabaza,yuxɨ̧
45,yutn,coati,tejón coatí,[texo̧]
46,yutn,food,comida,NA
47,yutn,salty,salado,NA
48,yutn,blouse,huipil,NA
49,yutn,work,trabajo,ni̧o̧
50,yutn,cotton,algodón,kači
51,yutn,wind,viento,tači
52,yutn,man,hombre,tee
53,yutn,round,redondon,tɨ kute
54,yutn,oven,horno,NA
55,yutn,box / drawer,cajón,[kaxa]
56,yutn,mosquito,zancudo,[čuʔxu̧]
57,yutn,wait for,esperar,ⁿdetu
58,yutn,rotten,podrido,teʔžu
59,yutn,grab,agarrar,[xa̧ʔa̧]
60,yutn,tendon,tendón,NA
61,yutn,blow,soplar,NA
62,yutn,handspan,cuarta,NA
63,yutn,owner,dueño,NA
64,yutn,lay (egg),poner (huevo),NA
65,yutn,big (sg.),grande (sg.),xa̧ʔnu̧
66,yutn,neck,cuello,đuʔxu̧
67,yutn,will come,va a venir,kii
67,yutn,will come,va a venir,[ⁿdisu]
68,yutn,horn,cuerno,[kaču]
69,yutn,snake,culebra,NA
70,yutn,ugly,feo,NA
71,yutn,hill,cerro,yuku
72,yutn,armadillo,armadillo,NA
73,yutn,crooked,chueco,NA
74,yutn,year,año,kʷia
75,yutn,eyebrow,ceja,NA
76,yutn,pus,pus,ⁿdakʷa
77,yutn,demon,demonio,NA
78,yutn,yellow,amarillo,[xʷi̧i̧]
79,yutn,sew,coser,kɨkɨ
80,yutn,will carry,va a cargar,kʷiđo
81,yutn,that,aquel,xa̧(a̧)
82,yutn,below,abajo,NA
83,yutn,all night,toda la noche,NA
84,yutn,hot,caliente,NA
85,yutn,grain of corn,maíz,nu̧ni̧
86,yutn,wall,pared,[ye ⁿdoʔo]
87,yutn,early,temprano,[ⁿdu ƀȩʔȩ]
88,yutn,open,abierto,[xa̧ʔa̧]
89,yutn,eight,ocho,u̧na̧
90,yutn,tomato,jitomate,NA
91,yutn,green bean,ejote,NA
92,yutn,half,mitad,đaƀa
93,yutn,cane,caña,ⁿdoo
94,yutn,clay pot,olla,NA
95,yutn,liquor,aguardiente,[gʷarđʸente]
96,yutn,honey,miel,ⁿduđi
97,yutn,armpit,sobaco,či đaʔi
98,yutn,tassel,espiga,NA
99,yutn,people,gente,ņa̧ žiu
100,yutn,town,pueblo,ņu̧u̧
101,yutn,smoke,humo,ņu̧ʔmȩ
102,yutn,eat,comer,yee
102,yutn,eat,comer,žee
103,yutn,hawk,gavilán,NA
104,yutn,truth,verdad,NA
105,yutn,fire,lumbre,ņu̧ʔu̧
106,yutn,six,seis,i̧ņu̧
107,yutn,fingernail,uņa,ņɨ̧ɨ̧
108,yutn,cornstalk,rastrojo,NA
109,yutn,cornmeal,masa,ņu̧ni̧
110,yutn,child,hijo,đaʔa
111,yutn,"cold, phlegm",catarro,NA
112,yutn,good,bueno,NA
113,yutn,because,porque,NA
114,yutn,this one,este mismo,NA
115,yutn,is coming,ya viene,ƀee
116,yutn,trash,basura,NA
117,yutn,cat,gato,ƀilu
118,yutn,prickly pear,nopal,NA
119,yutn,foot,pie,šeʔe
120,yutn,cut,cortar,ža̧ʔaⁿde
121,yutn,fifteen,quince,ņu̧ʔu̧
121,yutn,fifteen,quince,ņo̧ʔo̧
122,yutn,guts,tripas,[čii]
123,yutn,ten,diez,uši
124,yutn,cold,frío,mi̧i̧
125,yutn,sandal,huarache,ⁿǰi̧i̧ᵑ
126,yutn,housepot,horcón,NA
127,yutn,name,nombre,[na̧ na̧nu̧ⁿ]
128,yutn,cacao,cacao,[kakau]
129,yutn,ear,oreja,đoʔo
130,yutn,tasty,sabroso,NA
131,yutn,closed,cerrado,[kađi]
132,yutn,day after tomorrow,pasado mañana,NA
133,yutn,sweet,dulce,ƀiđi
134,yutn,now,ahora,NA
135,yutn,hole,agujero,NA
136,yutn,afraid,tiene miedo,yuu
137,yutn,poor,pobre,ⁿdaʔu
138,yutn,two,dos,uu
139,yutn,scorpion,alacrán,NA
140,yutn,go out,salir,NA
141,yutn,paint,pintar,NA
142,yutn,rat,rata,[čoto]
143,yutn,swelling,hinchazón,NA
144,yutn,pimple,grano,ⁿdɨʔžɨ
145,yutn,it thunders,truena,ka̧ʔⁿdɨ
146,yutn,rainbow,arco iris,NA
147,yutn,bird,pájaro,či đaa
148,yutn,frog,rana,[ŗa̧na̧]
149,yutn,navel,ombligo,NA
150,yutn,urine,orina,NA
151,yutn,chachalaca,chachalaca,NA
152,yutn,smooth,lisa,NA
153,yutn,little,chico,luči
154,yutn,day,día,[ni̧ ⁿduu]
155,yutn,when,cuándo,[na̧ ore]
156,yutn,plain,llano,yođo
157,yutn,how,cómo,[i̧ ⁿǰii]
158,yutn,carry,cargar,kʷiđo
159,yutn,cockroach,cucaracha,NA
160,yutn,glue,pegamento,NA
161,yutn,sickness,enfermedad,kʷeʔe
162,yutn,see,ver,NA
163,yutn,slow,despacio,kʷee-ni̧
164,yutn,house,casa,ƀeʔe
165,yutn,mamey,mamey,NA
166,yutn,grind,moler,NA
167,yutn,wing,ala,NA
168,yutn,stool,banquito,[šile]
169,yutn,cornfield,milpa,[ƀiyu]
170,yutn,yesterday,ayer,iku
171,yutn,other,otro,[ƀeneᵑka]
172,yutn,comb,peine,NA
173,yutn,be born,se nació,NA
174,yutn,smart,sabio,NA
175,yutn,stone,piedra,žuu
176,yutn,mouth,boca,NA
177,yutn,I,yo,soʔo
178,yutn,dew,rocío,NA
179,yutn,brush,hierba,NA
180,yutn,furrow,surco,NA
181,yutn,trousers,calzón,NA
182,yutn,priest,sacerdote,NA
183,yutn,brand,fierro,NA
184,yutn,will know,sabrá,xi̧ni̧
185,yutn,squirrel,ardilla,[arđiya]
186,yutn,loose,floja,NA
187,yutn,heavy,pesado,ƀee
188,yutn,tobacco,tobaco,NA
1,sind,rain,lluvia,đau
2,sind,agave,maguey,žau
3,sind,straw mat,petate,žuu
4,sind,four,cuatro,ku̧mi̧
5,sind,feather,pluma,nu̧mȩ
6,sind,tail,cola,đu̧ʔmȩ
7,sind,wax,cera,ņu̧mȩ
8,sind,nose,nariz,đi̧ni̧
9,sind,word,palabra,nu̧ʔu̧
10,sind,near,está cerca,ža̧ni̧
11,sind,tree,árbol,žu̧no̧
12,sind,deer,venado,iđu
13,sind,lard,manteca,đȩʔȩ
14,sind,smell,olor,điko
15,sind,tortilla,tortilla,đita
16,sind,vomits,vomita,ⁿdu̧ņȩ
17,sind,lazy,flojo,na̧ đu̧ņȩ
18,sind,bed,cama,ito
19,sind,griddle,comal,i(y)o
20,sind,sin,culpa,kʷeči
21,sind,bean,frijol,ⁿduči
22,sind,water,agua,ⁿdute
23,sind,river,río,žute
24,sind,mud,lodo,ⁿdeʔžu
25,sind,man's brother,hermano de h.,ņa̧ni̧
26,sind,three,tres,u̧ni̧
27,sind,tooth,diente,no̧ʔo̧
28,sind,five,cinco,o̧ʔo̧
29,sind,bitter,amargo,[atu]
30,sind,meat,carne,ko̧ņo̧
31,sind,red,rojo,kʷeʔe
32,sind,(he) went,se fue,kʷa̧ʔa̧
33,sind,seven,siete,uṣ̌a
33,sind,seven,siete,usʸa
34,sind,thread,hilo,žuʔwe
35,sind,animal,animal,kɨtɨ (tata)
36,sind,it finishes,se acaba,ⁿdɨʔɨ
37,sind,egg,blanquillo,ⁿdɨwɨ
38,sind,foam,espuma,ti̧ņu̧
39,sind,blood,sangre,nɨ̧ņɨ̧
40,sind,husband,marido,žɨɨ
41,sind,salt,sal,ņɨ̧ɨ̧
42,sind,net bag,red,ņo̧no̧
43,sind,gourd,jícara,[ņa̧ ⁿdaʔa]
44,sind,squash,calabaza,žɨɨŋ
45,sind,coati,tejón coatí,žɨžɨ
46,sind,food,comida,ⁿdežu
47,sind,salty,salado,uʔwa
48,sind,blouse,huipil,NA
49,sind,work,trabajo,ni̧o̧
50,sind,cotton,algodón,kači
51,sind,wind,viento,tači
52,sind,man,hombre,tee
53,sind,round,redondon,tɨ kute
54,sind,oven,horno,i̧nu̧=ƀƀQ
55,sind,box / drawer,cajón,ženu̧
56,sind,mosquito,zancudo,tɨ kʷeņi̧
57,sind,wait for,esperar,ⁿdetu(ņa̧ʔi̧)
58,sind,rotten,podrido,teʔžu
59,sind,grab,agarrar,nɨ̧ɨ̧
60,sind,tendon,tendón,tuči
61,sind,blow,soplar,tɨwɨ
62,sind,handspan,cuarta,too
63,sind,owner,dueño,i toʔo
64,sind,lay (egg),poner (huevo),[ņȩni̧]
65,sind,big (sg.),grande (sg.),kaʔnu̧
66,sind,neck,cuello,đu̧u̧ᵑ
67,sind,will come,va a venir,kii
68,sind,horn,cuerno,ⁿdɨkɨ
69,sind,snake,culebra,koo
70,sind,ugly,feo,[loko kaa]
71,sind,hill,cerro,žuku
72,sind,armadillo,armadillo,žaᵐpi
73,sind,crooked,chueco,[žoʔo]
74,sind,year,año,kʷia
75,sind,eyebrow,ceja,[nȩȩ]
75,sind,eyebrow,ceja,[đu̧u̧ᵑ]
76,sind,pus,pus,NA
77,sind,demon,demonio,kʷi̧ʔņa
78,sind,yellow,amarillo,kʷa̧a̧
79,sind,sew,coser,kɨku(i)
80,sind,will carry,va a cargar,kʷiđo
81,sind,that,aquel,žaa
82,sind,below,abajo,[čii]
83,sind,all night,toda la noche,(ņa̧) ni̧u̧
84,sind,hot,caliente,i̧ʔni̧
85,sind,grain of corn,maíz,nu̧ni̧
86,sind,wall,pared,[žeʔe ⁿdoʔo]
87,sind,early,temprano,nȩʔȩ
88,sind,open,abierto,na̧nɨ̧
89,sind,eight,ocho,u̧na̧
90,sind,tomato,jitomate,tɨ đa̧na̧
91,sind,green bean,ejote,ⁿǰiči
92,sind,half,mitad,đawa
93,sind,cane,caña,ⁿdoo
94,sind,clay pot,olla,kɨđɨ
95,sind,liquor,aguardiente,ⁿdɨđi=mezcal
96,sind,honey,miel,ⁿduđi
97,sind,armpit,sobaco,či đeʔe
98,sind,tassel,espiga,žoko
99,sind,people,gente,ņa̧ žɨu
100,sind,town,pueblo,ņu̧u̧
101,sind,smoke,humo,ņu̧ʔmȩ
102,sind,eat,comer,žee(i)
103,sind,hawk,gavilán,[đi̧ʔa̧]
103,sind,hawk,gavilán,[žaʔa]
103,sind,hawk,gavilán,tađu̧
104,sind,truth,verdad,[ⁿdaa]
105,sind,fire,lumbre,ņu̧ʔu̧
106,sind,six,seis,i̧ņu̧
107,sind,fingernail,uņa,nɨ̧ņɨ̧
108,sind,cornstalk,rastrojo,ņo̧ ņa̧ma̧
109,sind,cornmeal,masa,ņu̧ņȩ
110,sind,child,hijo,đaʔža
111,sind,"cold, phlegm",catarro,[kʷe đi̧ni̧]
112,sind,good,bueno,waʔa
113,sind,because,porque,NA
114,sind,this one,este mismo,mȩi̧
115,sind,is coming,ya viene,[kii]
116,sind,trash,basura,mi̧ʔi̧
117,sind,cat,gato,wilu
118,sind,prickly pear,nopal,wi̧ʔⁿde
119,sind,foot,pie,žeʔe
120,sind,cut,cortar,ža̧ʔⁿde
121,sind,fifteen,quince,ņȩʔu̧
122,sind,guts,tripas,itɨ
123,sind,ten,diez,uši
124,sind,cold,frío,ku mi̧i̧
125,sind,sandal,huarache,ⁿǰi̧i̧ᵑ
126,sind,housepot,horcón,đɨ̧ʔɨ̧ᵑ
127,sind,name,nombre,đɨwɨ
128,sind,cacao,cacao,đuʔwa
129,sind,ear,oreja,đoʔo
130,sind,tasty,sabroso,[že waʔa]
130,sind,tasty,sabroso,ađi
131,sind,closed,cerrado,ⁿdeđɨ
132,sind,day after tomorrow,pasado mañana,iđa
133,sind,sweet,dulce,wiđi
134,sind,now,ahora,wi̧na̧
135,sind,hole,agujero,žau
136,sind,afraid,tiene miedo,žuʔu
137,sind,poor,pobre,ⁿdaʔwi
138,sind,two,dos,uwi
139,sind,scorpion,alacrán,koo đu̧ʔmȩ
140,sind,go out,salir,kee
140,sind,go out,salir,[ka̧ni̧]
141,sind,paint,pintar,ⁿda kaʔžu
142,sind,rat,rata,čɨ nɨ̧ņɨ̧
143,sind,swelling,hinchazón,kʷi̧o̧
144,sind,pimple,grano,ⁿdɨʔžɨ
145,sind,it thunders,truena,(ni) ka̧ʔⁿdɨ
146,sind,rainbow,arco iris,koo ža̧ʔⁿǰi
147,sind,bird,pájaro,či đaa
148,sind,frog,rana,laʔwa
149,sind,navel,ombligo,[tɨ koʔo]
150,sind,urine,orina,te đeđe
151,sind,chachalaca,chachalaca,či ⁿda̧i̧
152,sind,smooth,lisa,[ⁿdɨɨ]
152,sind,smooth,lisa,ⁿdɨʔwɨ=resƀalarse
153,sind,little,chico,(ⁿdiči)luči
154,sind,day,día,[ⁿduu]
154,sind,day,día,kɨwɨ
155,sind,when,cuándo,na̧ʔa̧ma̧
156,sind,plain,llano,[nu̧ ⁿdaa]
156,sind,plain,llano,žođo
157,sind,how,cómo,[na̧ ⁿǰee]
158,sind,carry,cargar,iđo
159,sind,cockroach,cucaracha,[čoʔo kaa]
160,sind,glue,pegamento,NA
161,sind,sickness,enfermedad,kʷiʔi
162,sind,see,ver,ⁿdeʔe koto
163,sind,slow,despacio,kʷee
164,sind,house,casa,weʔe
165,sind,mamey,mamey,ⁿǰika ⁿdaa
166,sind,grind,moler,ⁿǰiko
167,sind,wing,ala,ⁿǰi̧i̧ᵑ
168,sind,stool,banquito,težu
169,sind,cornfield,milpa,[wižu]
170,sind,yesterday,ayer,iku
171,sind,other,otro,tuku
172,sind,comb,peine,kuka
173,sind,be born,se nació,kaku
174,sind,smart,sabio,NA
175,sind,stone,piedra,žuu
176,sind,mouth,boca,žuʔu
177,sind,I,yo,suʔu
178,sind,dew,rocío,žužu
179,sind,brush,hierba,[kuʔu]
180,sind,furrow,surco,žuu
181,sind,trousers,calzón,žetu
182,sind,priest,sacerdote,đutu
183,sind,brand,fierro,[fieŗu]
184,sind,will know,sabrá,i̧ni̧
185,sind,squirrel,ardilla,kʷȩņu̧
186,sind,loose,floja,ka taža
187,sind,heavy,pesado,wee
188,sind,tobacco,tobaco,i̧no̧=cigarro
1,pied,rain,lluvia,đawi
2,pied,agave,maguey,žawi
3,pied,straw mat,petate,žuu
