IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
46,p-mixtec,food,comida,ⁿdeyuʔ
47,p-mixtec,salty,salado,oʔwe
48,p-mixtec,blouse,huipil,siko
49,p-mixtec,work,trabajo,tiyo
50,p-mixtec,cotton,algodón,katiʔ
51,p-mixtec,wind,viento,tatiʔ
52,p-mixtec,man,hombre,teye
53,p-mixtec,round,redondon,kute
54,p-mixtec,oven,horno,xity
55,p-mixtec,box / drawer,cajón,xetu̧ʔ
56,p-mixtec,mosquito,zancudo,tɨ kʷeyɨʔ
57,p-mixtec,wait for,esperar,ⁿdetuʔ
58,p-mixtec,rotten,podrido,teʔyu
59,p-mixtec,grab,agarrar,tɨɨ̧ʔ
60,p-mixtec,tendon,tendón,tuti
61,p-mixtec,blow,soplar,tɨwɨ
62,p-mixtec,handspan,cuarta,too
63,p-mixtec,owner,dueño,xi toʔo
64,p-mixtec,lay (egg),poner (huevo),xeki̧
65,p-mixtec,big (sg.),grande (sg.),kaʔnuʔ
66,p-mixtec,neck,cuello,suku̧ʔ
67,p-mixtec,will come,va a venir,kixi
68,p-mixtec,horn,cuerno,nđɨkɨʔ
69,p-mixtec,snake,culebra,kooʔ
70,p-mixtec,ugly,feo,kini
71,p-mixtec,hill,cerro,yukuʔ
72,p-mixtec,armadillo,armadillo,yakʷi̧ʔ
73,p-mixtec,crooked,chueco,yakʷeʔ
74,p-mixtec,year,año,kʷiya
75,p-mixtec,eyebrow,ceja,sɨkʷa
76,p-mixtec,pus,pus,lakʷa
77,p-mixtec,demon,demonio,kʷiʔna
78,p-mixtec,yellow,amarillo,kʷaa̧
79,p-mixtec,sew,coser,ku ɨku
80,p-mixtec,will carry,va a cargar,ku iso
81,p-mixtec,that,aquel,yuku a̧
82,p-mixtec,below,abajo,nino
83,p-mixtec,all night,toda la noche,niyu
84,p-mixtec,hot,caliente,iʔniʔ
85,p-mixtec,grain of corn,maíz,noniʔ
86,p-mixtec,wall,pared,nawa̧
87,p-mixtec,early,temprano,neʔe
88,p-mixtec,open,abierto,nuneʔ
89,p-mixtec,eight,ocho,one
90,p-mixtec,tomato,jitomate,tɨ lanaʔ
91,p-mixtec,green bean,ejote,ⁿditi
92,p-mixtec,half,mitad,sawa
93,p-mixtec,cane,caña,ⁿdooʔ
94,p-mixtec,clay pot,olla,kɨsɨ
95,p-mixtec,liquor,aguardiente,ⁿdɨsɨ
96,p-mixtec,honey,miel,ⁿdusi
97,p-mixtec,armpit,sobaco,leʔyiʔ
98,p-mixtec,tassel,espiga,yokoʔ
99,p-mixtec,people,gente,ye yɨwɨʔ
100,p-mixtec,town,pueblo,yuu̧
101,p-mixtec,smoke,humo,yuʔwȩ
102,p-mixtec,eat,comer,xexiʔ
103,p-mixtec,hawk,gavilán,tasu̧ʔ
104,p-mixtec,truth,verdad,ⁿdixe
105,p-mixtec,fire,lumbre,yuʔu̧
106,p-mixtec,six,seis,iyo̧
107,p-mixtec,fingernail,uņa,tiyi̧ʔ
108,p-mixtec,cornstalk,rastrojo,yawa̧ʔ
109,p-mixtec,cornmeal,masa,yuxȩʔ
110,p-mixtec,child,hijo,saʔyi
111,p-mixtec,"cold, phlegm",catarro,sayu
112,p-mixtec,good,bueno,waʔa
113,p-mixtec,because,porque,wati
114,p-mixtec,this one,este mismo,weyȩ
115,p-mixtec,is coming,ya viene,wexi
116,p-mixtec,trash,basura,wiʔiʔ
117,p-mixtec,cat,gato,wiluʔ
118,p-mixtec,prickly pear,nopal,wiʔⁿdeʔ
119,p-mixtec,foot,pie,xeʔe
120,p-mixtec,cut,cortar,xeʔⁿde
121,p-mixtec,fifteen,quince,xeʔu̧ <uxioʔo̧
122,p-mixtec,guts,tripas,xɨtɨ
123,p-mixtec,ten,diez,uxi
124,p-mixtec,cold,frío,wixi̧
125,p-mixtec,sandal,huarache,ⁿdixȩʔ
126,p-mixtec,housepot,horcón,sɨʔɨ̧
127,p-mixtec,name,nombre,sɨwɨʔ
128,p-mixtec,cacao,cacao,sɨʔwa
129,p-mixtec,ear,oreja,loʔo
130,p-mixtec,tasty,sabroso,asɨ̧ʔ
131,p-mixtec,closed,cerrado,ⁿdesɨ
132,p-mixtec,day after tomorrow,pasado mañana,isa
133,p-mixtec,sweet,dulce,wisi̧
134,p-mixtec,now,ahora,witi̧
