IDlist,GLOSS,VALUE,DOCULECT,IDjoss,CODEjoss
6,hijo/hija,sèʔyā,yucu12,110,yuci
6,hijo/hija,hèʔē,yucu13,110,yucñ
6,hijo/hija,sèʔē,yucu15,110,yuco
6,hijo/hija de varón,đeʔi,yucu16,110,yucq
6,hijo/hija de hembra,seʔe,yucu16,110,yucq
6,hijo/hija,đaʔa,yuta11,110,yutn
6,hijo/hija,đaʔža,yuta12,110,yuta
6,hijo/hija,seʔe,zaca11,110,zac
6,hijo/hija,đeʔe,zapo11,110,zap
9,hermano de hombre,ña̧ñi̧,acat11,25,acat
9,hermano de hombre,ņa̧ni̧,achi11,25,achi
9,hermano de hombre,ña̧ni̧,adeq11,25,adeq
9,hermano de hombre,ña̧ni̧,ahue11,25,ahue
9,hermano de hombre,ya̧ni̧,alac11,25,alac
9,hermano de hombre,ña̧ni̧,alac11,25,alac
9,hermano de hombre,ña̧ni̧,alco11,25,alco
9,hermano de hombre,ña̧ni̧,amat11,25,amat
9,hermano de hombre,ña̧ni̧,apas11,25,apas
9,hermano de hombre,ša̧ni̧,apoa11,25,apoa
9,hermano de hombre,ⁿdi-ya̧ni̧,apoa11,25,apoa
9,hermano de hombre,ņa̧ni̧,atat11,25,atat
9,hermano de hombre,ña̧ni̧,aten11,25,aten
9,hermano de hombre,ya̧ni̧,atoy11,25,atoy
9,hermano de hombre,ña̧ni̧,ayut11,25,ayut
9,hermano de hombre,ña̧ni̧,brav11,25,cruz
9,hermano de hombre,ña̧ni̧,caca11,25,cac
9,hermano de hombre,ña̧ni̧,cahu11,25,cah
9,hermano de hombre,ņa̧ni̧,chal11,25,chal
9,hermano de hombre,ya̧ñi̧,chay11,25,chay
9,hermano de hombre,ña̧ni̧,chay12,25,chap
9,hermano de hombre,ña̧ni̧,chaz11,25,chaz
9,hermano de hombre,ša̧ni̧(-ni̧),chic11,25,chic
9,hermano de hombre,ña̧ni̧,chig11,25,chig
9,hermano de hombre,ȩni̧,coat11,25,coat
9,hermano de hombre,ña̧ni̧,coic11,25,coi
9,hermano de hombre,ya̧ñi̧,colo11,25,colo
9,hermano de hombre,ña̧ni̧,coso11,25,cos
9,hermano de hombre,ña̧ni̧,coxc11,25,cant
9,hermano de hombre,ya̧ñu̧,cris11,25,cris
9,hermano de hombre,ža̧ñu̧,cris11,25,cris
9,hermano de hombre,ña̧ni̧,cuat11,25,cuat
9,hermano de hombre,ža̧ni̧,cuau11,25,cuau
9,hermano de hombre,ña̧ni̧,cuil11,25,cui
9,hermano de hombre,ya̧ni̧,cuya11,25,cuya
9,hermano de hombre,ña̧ni̧,dura11,25,durz
9,hermano de hombre,ña̧ni̧,esta11,25,silm
9,hermano de hombre,ña̧ni̧,este11,25,este
9,hermano de hombre,ña̧ni̧,flor11,25,flor
9,hermano de hombre,ņa̧nī̧,gran11,25,mig
9,hermano de hombre,ña̧ni̧,guad11,25,guad
9,hermano de hombre,ya̧ñi̧,huaz11,25,huaz
9,hermano de hombre,y̧a̧ni̧,huit11,25,huit
9,hermano de hombre,ņa̧ni̧,huit11,25,huit
9,hermano de hombre,yȩni̧,itun11,25,itun
9,hermano de hombre,ña̧ñi̧,ixta11,25,ixty
9,hermano de hombre,ña̧ni̧,ixta12,25,ixtl
9,hermano de hombre,ña̧ni̧,ixta13,25,ixtp
9,hermano de hombre,ya̧ñi̧,jami11,25,jam
9,hermano de hombre,ya̧ni̧,jica11,25,jict
9,hermano de hombre,ya̧ni̧,jica12,25,jicy
9,hermano de hombre,ša̧ni̧-đa,joco11,25,joco
9,hermano de hombre,ña̧ni̧,juxt11,25,juxt
9,hermano de hombre,ya̧ñi̧,lore11,25,lor
9,hermano de hombre,ya̧ñi̧,mech11,25,mech
9,hermano de hombre,ña̧ni̧,mica11,25,mic
9,hermano de hombre,ña̧ni̧,mixt11,25,mix
9,hermano de hombre,ņa̧ni̧,moli11,25,moli
9,hermano de hombre,ņa̧ni̧,mont13,25,verd
9,hermano de hombre,ña̧ni̧,mont14,25,lobo
9,hermano de hombre,ña̧ni̧,more11,25,mor
9,hermano de hombre,ša̧ni̧,ndua11,25,ndua
9,hermano de hombre,ña̧ni̧,nuch11,25,nuch
9,hermano de hombre,kʷaʔni,nund11,25,ndac
9,hermano de hombre,ņa̧ni̧,nund12,25,ndi
9,hermano de hombre,ña̧ni̧,nund13,25,ndo
9,hermano de hombre,ña̧ni̧,nuxa11,25,nuxa
9,hermano de hombre,ña̧ni̧,nuxi11,25,nuxi
9,hermano de hombre,ņā̧nī̧,nuyo11,25,nuyo
9,hermano de hombre,ņā̧nì̧,ocot11,25,oco
9,hermano de hombre,ņa̧ni̧,pena12,25,peña
9,hermano de hombre,ña̧̧ni̧̧,peno11,25,peño
9,hermano de hombre,ņa̧ni̧,pied11,25,pied
9,hermano de hombre,ya̧ni̧,pino11,25,pinn
9,hermano de hombre,ya̧ni̧,pino12,25,pinl
9,hermano de hombre,ņa̧ni̧,prog11,25,prog
9,hermano de hombre,ña̧ni̧,prog12,25,silp
9,hermano de hombre,yeni,prom01,25,p-mixtec
9,hermano de hombre,ña̧ni̧,reye11,25,rey
9,hermano de hombre,ya̧ñi̧,sayu11,25,sayu
9,hermano de hombre,ņa̧ni̧,sind11,25,sind
9,hermano de hombre,ņa̧ni̧,sini11,25,sinc
9,hermano de hombre,ña̧ni̧,soya11,25,soy
9,hermano de hombre,ña̧ni̧,tama11,25,tamj
9,hermano de hombre,ña̧ni̧,tama12,25,tams
9,hermano de hombre,ņa̧ni̧,tata11,25,tata
9,hermano de hombre,ñā̧ñī̧(-ī̧),teco11,25,teco
9,hermano de hombre,ņa̧ni̧,teit11,25,teit
9,hermano de hombre,ña̧ni̧,tepe11,25,tepj
9,hermano de hombre,ña̧ni̧,tepe12,25,tept
9,hermano de hombre,ña̧ni̧,tepo11,25,tepo
9,hermano de hombre,ña̧ni̧,tida11,25,tida
9,hermano de hombre,ỹa̧ni̧,tila11,25,til
9,hermano de hombre,ña̧ni̧,tila11,25,til
9,hermano de hombre,ņa̧ni̧,tlac11,25,tlac
9,hermano de hombre,ña̧ni̧,tlac12,25,tlam
9,hermano de hombre,ña̧ni̧,tlal11,25,tlal
9,hermano de hombre,ņa̧ni̧,tlaz11,25,tlaz
9,hermano de hombre,ña̧ni̧,tona11,25,ton
9,hermano de hombre,ña̧ni̧,toto12,25,tot
9,hermano de hombre,ña̧ñi̧,tutu11,25,tut
9,hermano de hombre,ña̧ni̧,xaya11,25,jer
9,hermano de hombre,ñā̧nī̧,xaya12,25,xay
9,hermano de hombre,ņa̧ni̧,yolo11,25,yolt
9,hermano de hombre,ña̧ni̧,yolo12,25,yolx
9,hermano de hombre,ņa̧ni̧,yoso11,25,yoso
9,hermano de hombre,ņa̧ni̧,yucu11,25,yuca
9,hermano de hombre,ņà̧nī̧,yucu12,25,yuci
9,hermano de hombre,ña̧ni̧,yucu13,25,yucñ
9,hermano de hombre,žā̧nì̧,yucu15,25,yuco
9,hermano de hombre,ña̧ni̧,yucu16,25,yucq
9,hermano de hombre,ña̧ni̧,zaca11,25,zac
9,hermano de hombre,ña̧ni̧,zapo11,25,zap
