mtree2_name,mtree2_code
"Mixtec, Coatzospan",miz
Tezoatlán,mxb-tez
Yucu Ñuti,mxb-yuc
"Mixtec, Tezoatlán",mxb
Yosoñama,xtn-yos
Monte Verde Mixtec,xtn-mon
"Mixtec, Northern Tlaxiaco",xtn
Plan de Guadalupe,mim-pla
Atlamajalcingo del Monte,mim-atl
Potoichan,mim-pot
Cuatzoquitengo,mim-cua
Tototepec,mim-tot
"Mixtec, Alacatlatzala",mim
San Agustín Tlacotepec,xtm-saa
San Cristóbal Amoltepec Mixtec,xtm-sac
San Miguel Achiutla Mixtec,xtm-sag
San Mateo Peñasco Mixtec,xtm-sam
Santo Domingo Heundío Mixtec,xtm-san
"Mixtec, Magdalena Peñasco",xtm
Xochapa Mixtec,xta-xoc
Petlacalancingo Mixtec,xta-pet
"Mixtec, Alcozauca",xta
Coicoyán,jmx-coi
San Juan Piñas,jmx-saj
San Martín Peras,jmx-san
"Mixtec, Western Juxtlahuaca",jmx
"Mixtec, Chazumba",xtb
"Mixtec, Yutanduchi",mab
"Mixtec, Diuxi-Tilantongo",xtd
Santa Maria Tataltepec,xtj-san
"Mixtec, San Juan Teita",xtj
"Mixtec, Huitepec",mxs
Santa María Pápalo,cux-san
"Cuicatec, Tepeuxila",cux
"Mixtec, Amoltepec",mbz
Yucuhiti,meh-yuc
Nuyoo,meh-nuy
"Mixtec, Southwestern Tlaxiaco",meh
"Mixtec, Jamiltepec",mxt
"Mixtec, Tlazoyaltepec",mqh
"Mixtec, Sinicahua",xti
"Mixtec, Metlatónoc",mxv
San Simón Zahuatlán,mks-san
"Mixtec, Silacayoapan",mks
"Mixtec, Tijaltepec",xtl
"Mixtec, Santa María Zacatepec",mza
"Mixtec, Southeastern Nochixtlán",mxy
"Mixtec, San Juan Colorado",mjc
"Mixtec, San Miguel Piedras",xtp
"Mixtec, Sindihui",xts
"Mixtec, Tacahua",xtt
"Mixtec, Cuyamecalco",xtu
"Mixtec, Yoloxochitl",xty
Santa María Acatepec,mtu-san
"Mixtec, Tututepec",mtu
"Mixtec, Santa Lucía Monteverde",mdv
San Mateo Tepantepec,mil-sam
Santa María Peñoles,mil-san
Santiago Tlazoyaltepec,mil-sat
"Mixtec, Peñoles",mil
"Mixtec, Tidaá",mtx
"Mixtec, Itundujia",mce
"Mixtec, Yosondúa",mpm
"Mixtec, Juxtlahuaca",vmc
"Mixtec, Yucuañe",mvg
"Mixtec, Atatláhuca",mib
Santa Catarina Yosonotu,mie-san
"Mixtec, Ocotepec",mie
Santa Catarina Ticuá,mig-sac
Santa María Yosoyúa,mig-sam
San Miguel Chalcatongo,mig-san
San Pedro Molinos,mig-sap
"Mixtec, San Miguel el Grande",mig
"Mixtec, Chayuco",mih
"Mixtec, Ixtayutla",vmj
"Mixtec, Chigmecatitlán",mii
"Mixtec, Mitlatongo",vmm
"Mixtec, Pinotepa Nacional",mio
"Mixtec, Soyaltepec",vmq
"Mixtec, Apasco-Apoala",mip
"Mixtec, Northwest Oaxaca",mxa
"Mixtec, Southern Puebla",mit
"Mixtec, Cacaloxtepec",miu
"Mixtec, Tamazola",vmx
"Mixtec, Mixtepec",mix
"Mixtec, Ayutla",miy
