ID,village_name,latitude,longitude,glottolog_name,glottocode,glottolog_level,gl_super,gl_macroarea,gl_latitude,gl_longitude,glottolog_group,isocode,josserand_group,josserand_subgroup,josserand_code,egland_name,egland_perc,egland_level,egland_super,mtree_name,mtree_code,mtree_codealt,mtree_latitude,mtree_longitude,mtree_comments,coordinate comparison
tezo11,Tezoatlán de Segura y Luna,17.6155,-97.9002,Tezoatlán Mixtec ,tezo1238,language,,North America,17.6155,-97.9002,Tezoatlán,mxb,,,,,,,,,,,,,,
tezo11,Tezoatlán de Segura y Luna,17.65084,-97.809724,Tezoatlán ,tezo1239,dialect,tezo1238,South America,NA,NA,Tezoatlán,,,,,,,,,,,,,,,
tida11,San Pedro Tidaa,17.4142,-97.3333,Tidaá Mixtec ,tida1235,language,,North America,17.4142,-97.3333,Northern Alta,mtx,Eastern Alta,,tida,Tidaa,60,language,,,,,,,,
tija11,San Pablo Tijaltepec,17.1539,-97.4578,Tijaltepec Mixtec ,tija1235,language,,North America,17.1539,-97.4578,Western Alta,xtl,,,,,,,,,,,,,,
tlaz11,Santiago Tlazoyaltepec,17.02704,-96.9783,Tlazoyaltepec Mixtec ,tlaz1235,language,,North America,17.007,-96.9783,Eastern Alta,mqh,,,,,,,,,,,,,,
toto11,Tototepec,17.43238,-98.58289,Tototepec ,toto1307,dialect,alac1244,South America,NA,NA,Guerrero,,,,,,,,,,,,,,,
tutu11,San Pedro Tututpec,16.11351,-97.5597,Tututepec Mixtec ,tutu1243,language,,North America,16.154,-97.5597,Coast (East),mtu,Coast,East,tut,Tututepec,61,language,,,,,,,,
,GROUP,17.3003,-98.2096,Western Juxtlahuaca Mixtec,west2643,language,,North America,17.3003,-98.2096,Southern Baja,jmx,Southern Baja,,,,,,,,,,,,,
xoch11,Xochapa,17.38134,-98.44988,Xochapa Mixtec ,xoch1238,dialect,alco1235,South America,NA,NA,Guerrero,,,,,,,,,,,,,,,
yolo12,Yoloxochitl,16.8059,-98.6293,Yoloxochitl Mixtec ,yolo1241,language,,North America,16.8059,-98.6293,Guerrero,xty,Guerrero,,yolx,,,,,,,,,,,
yoso14,San Pedro Yosoñama,17.427198,-97.772669,Yosoñama ,yoso1238,dialect,nort2985,South America,NA,NA,Western Alta,,,,,,,,,,,,,,not found,
yoso11,Santiago Yosondua,16.9042,-97.5018,Yosondúa Mixtec ,yoso1239,language,,North America,16.9042,-97.5018,Western Alta,mpm,Western Alta,,yoso,Yosondúa,70,language,,Yosondúa,mig,mxy,16.92,-97.58,,gl lat and long better
yucu12,Santa María Yucuhuiti,17.03036,-97.782372,Yucuhiti ,yucu1249,dialect,,South America,NA,NA,Western Alta,,Western Alta,,yuci,Yucuhuiti,84,dialect,Nuyoo,,,,,,,
yucu11,San Bartolomé Yucuañe,17.2832,-97.4285,Yucuañe Mixtec ,yucu1250,language,,North America,17.2832,-97.4285,Western Alta,mvg,Western Alta,,yuca,Yucuañe,77,dialect,Ñumí,,,,,,,
yucu13,Yucuñuti de Benito Juárez,17.63409,-97.89151,Yucu Ñuti ,yucu1251,dialect,tezo1238,South America,NA,NA,Tezoatlán,,Tezoatlan,,yucñ,Yucuñuti,79,dialect,Silacayoapan,,,,,,,
yuta11,Yutanduchi de Guerrero,17.0311,-97.2293,Yutanduchi Mixtec ,yuta1240,language,,North America,17.0311,-97.2293,Eastern Alta,mab,Eastern Alta,Teozacoalco,yutn,,,,,,,,,,,
adeq11,Santa Catarina Adéquez,17.436875,-97.146954,,,,,,,,,,Northeastern Alta,,adeq,,,,,,,,,,,
ahue11,San Miguel Ahuehuetitlán,17.67151,-98.32045,,,,,,,,,,Western Baja,,ahue,S. Miguel Ahuehuetitlán,79,dialect,Silacayoapan,,,,,,,
amat11,San Miguel Amatitlán,17.89179,-98.02529,,,,,,,,,,Central Baja,,amat,,,,,,,,,,,
aten11,San Agustín Atenango,17.61188,-98.01527,,,,,,,,,,Central Baja,,aten,Atenango,80,dialect,Silacayoapan,,,,,,,
atoy11,San Pedro Atoyac,16.48865,-97.9864,,,,,,,,,,Coast,West,atoy,Atoyac,80,dialect,Jicaltepec,,,,,,,
brav11,Santa Cruz de Bravo,17.58093,-98.22383,,,,,,,,,,Guerrero,,cruz,,,,,,,,,,,
cahu11,Cahuatachi,17.41506,-98.53192,,,,,,,,,,Guerrero,,cah,"Cahuatache, Gro.",76,dialect,Silacayoapan,,,,,,,
chay12,San Pedro Chayuco,17.215337,-97.994157,,,,,,,,,,Southern Baja,,chap,,,,,,,,,,,
chic11,San Miguel Chicahua,17.63719,-97.19479,,,,,,,,,,Northeastern Alta,,chic,Chicahua,87,dialect,Apoala,,,,,,,
coso11,Cosoltepec,18.14291,-97.79059,,,,,,,,,,Northern Baja,,cos,Cosoltepec,89,dialect,Chazumba,,,,,,,
coxc11,San Pedro Coxcaltepec Cántaros,17.49922,-97.13893,,,,,,,,,,Northeastern Alta,,cant,,,,,,,,,,,
cris11,San Cristóbal (Jamiltepec),16.484646,-97.866683,,,,,,,,,,Coast,East/Acatepec,cris,S. Cristóbal,60,language,,,,,,,,
cuau11,Santa Ana Cuauhtémoc,17.983789,-96.794388,,,,,,,,,,Northern Alta,,cuau,Sta. Ana Cuauhtémoc,25,language,,,,,,,,
cuil11,Santiago Cuilapan de Guerrero,17.04496,-97.75798,,,,,,,,,,Northeastern Alta,,cui,,,,,,,,,,,
dura11,San Martín Duraznos,17.30502,-98.10188,,,,,,,,,,Southern Baja,,durz,,,,,,,,,,,
esta11,San Martín del Estado,17.567206,-98.176075,,,,,,,,,,Western Baja,,silm,,,,,,,,,,,
este11,Santa Catarina Estetla,17.026267,-97.097397,,,,,,,,,,Eastern Alta,,este,Estetla,14,language,,,,,,,,
flor11,San Francisco de las Flores,17.777,-98.030997,,,,,,,,,,Central Baja,,flor,,,,,,,,,,,
guad11,Guadalupe Portezuelo/Villahermosa,17.75898,-98.01539,,,,,,,,,,Central Baja,,guad,Guadalupe Portezuelo,65,language,,,,,,,,
huaz11,Santa María Huazolotitlán,16.3019,-97.91488,,,,,,,,,,Coast,East,huaz,Huazolotitlán,71,dialect,Jicaltepec,,,,,,,
ixpa11,Ixpantepec Nieves,17.50717,-98.04556,,,,,,,,,,Southern Baja,,ixpn,Nieves Ixpautepec,94,dialect,Silacayoapan,,,,,,,
ixta12,Santiago Ixtaltepec,17.54171,-97.11437,,,,,,,,,,Northeastern Alta,Apoala,ixtl,Ixtaltepec,90,dialect,Apoala,,,,,,,
ixta13,San Miguel Ixtapan,18.806848,-100.150393,,,,,,,,,,Northern Baja,,ixtp,,,,,,,,,,,
jate11,San Francisco Jatepetongo,17.38592,-97.263451,,,,,,,,,,Northeastern Alta/Eastern Alta,,jalt,,,,,,,,,,,
jica11,Santa María Jicaltepec,16.380859,-98.041283,,,,,,,,,,Coast,West,jict,Jicaltepec,74,language,,Jicaltepec,miz,mxj,16.33,-98,,gl lat and long better
jica12,San Pedro Jicayán,16.45235,-98.0151,,,,,,,,,,Coast,West,jicy,Jicayán,82,dialect,Jicaltepec,,,,,,,
joco11,San Pedro Jocotipac,17.7687,-97.07983,,,,,,,,,,Northeastern Alta,Apoala,joco,Jocotipac,92,dialect,Apoala,,,,,,,
lore11,San Lorenzo,17.667572,-98.119008,,,,,,,,,,Coast,,lor,S. Lorenzo,81,dialect,Jicaltepec,,,,,,,
mech11,Santa Catarina Mechoacán,16.33471,-97.836258,,,,,,,,,,Coast,East,mech,Mechoacán,99,dialect,Cristóbal,,,,,,,
mica11,Rosario Micaltepec,18.04537,-97.85057,,,,,,,,,,Northern Baja,,mic,,,,,,,,,,,
mont12,San Sebastián del Monte,17.679297,-98.022585,,,,,,,,,,Central Baja,,mont,,,,,,,,,,,
mont14,San Agustín Montelobos,17.630313,-97.28821,,,,,,,,,,Northeastern Alta,,lobo,,,,,,,,,,,
more11,San Luís Morelia,17.703422,-98.214561,,,,,,,,,,Central Baja,,mor,,,,,,,,,,,
ndua11,San Antonio Nduayaco,17.685467,-97.147449,,,,,,,,,,Northeastern Alta,Apoala,ndua,,,,,,,,,,,
nica11,San Sebastián Nicananduta,17.517371,-97.68345,,,,,,,,,,,,,Nicananduta,93,dialect,Ñumí,,,,,,,
nuch11,San Jorge Nuchita,17.655689,-98.104987,,,,,,,,,,Central Baja,,nuch,S. Jorge Nuchita,98,dialect,Silacayoapan,,,,,,,
numi11,San Juan Ñumi,17.397591,-97.706027,,,,,,,,,,Western Alta,,ñumi,Ñumi,NA,language,,,,,,,,
nund11,Santa Cruz Nundaco,17.173393,-97.723248,,,,,,,,,,Western Alta,,ndac,,,,,,,,,,,
nund12,Santiago Nundichi,17.331084,-97.674173,,,,,,,,,,Western Alta,,ndi,,,,,,,,,,,
nund13,Santo Domingo Nundó,17.608554,-97.685656,,,,,,,,,,Eastern Alta/Tezoatlan,,ndo,,,,,,,,,,,
nund14,Santiago Nundiche,17.331204,-97.674441,,,,,,,,,,,,,Nunduchi,100,dialect,Ñumí,,,,,,,
nuti11,Santa María Nutío,16.485418,-97.904054,,,,,,,,,,Coast,East,nuti,,,,,,,,,,,
nuxa11,Santo Domingo Nuxaa,17.216634,-97.122853,,,,,,,,,,Eastern Alta,,nuxa,Nuxaa,30,language,,,,,,,,
nuxi11,San Andrés Nuxiño,17.238831,-97.104973,,,,,,,,,,Eastern Alta,,nuxi,,,,,,,,,,,
pino12,Pinotepa de Don Luís,16.426656,-97.976474,,,,,,,,,,Coast,West,pinl,Don Luis,84,dialect,Jicaltepec,,,,,,,
prog11,San Miguel Progreso,17.1743,-97.798385,,,,,,,,,,Western Alta,,prog,,,,,,,,,,,
prog12,San Jerónimo Progreso,17.446156,-98.154656,,,,,,,,,,Southern Baja,,silp,,,,,,,,,,,
reye11,Santos Reyes Tepejillo,17.43262,-97.93997,,,,,,,,,,Southern Baja,,rey,S. R. Tepejillo,77,dialect,Silacayoapan,,,,,,,
sayu11,San Francisco de Asís Sayultepec,16.595369,-98.129332,,,,,,,,,,Coast,West,sayu,Sayultepec,88,dialect,Jicaltepec,,,,,,,
soso11,San Jerónimo Sosola,17.366567,-97.032952,,,,,,,,,,Northeastern Alta,,soso,,,,,,,,,,,
tama12,Santiago Tamazola,17.670415,-98.221596,,,,,,,,,,Western Baja,,tams,Stgo. Tamazola,89,dialect,Silacayoapan,,,,,,,
teco11,San Sebastián Tecomaxtlahuaca,17.345681,-98.031197,,,,,,,,,,Southern Baja,,teco,Tecomastlahuaca,81,dialect,Silacayoapan,,,,,,,
tejo11,Los Tejocotes,17.313416,-97.896091,,,,,,,,,,Mixtepec,,tejc,,,,,,,,,,,
tepa11,Tepango,20.002419,-97.796221,,,,,,,,,,Southern Baja,,,,,,,,,,,,,
tepe13,Tepejillo,18.052651,-97.839056,,,,,,,,,,Northern Baja,,tepj,Tepejillo,86,dialect,Chazumba,,,,,,,
tepe14,San Antonia Tepetla,16.541818,-98.065777,,,,,,,,,,Coast,West,tept,Tepetlapa,89,dialect,Jicaltepec,,,,,,,
tepo11,San Pedro y San Pablo Teposcolula,17.511667,-97.488832,,,,,,,,,,Eastern Alta,,tepo,,,,,,,,,,,
tind11,Santa María Tindú,17.489536,-97.935582,,,,,,,,,,,,,Tindú,71,dialect,Silacayoapan,,,,,,,
tlac12,San Miguel Tlacotepec,17.455115,-98.005524,,,,,,,,,,Southern Baja,,tlam,,,,,,,,,,,
tlal11,Santa Catarina Tlaltempan,18.614852,-98.088665,,,,,,,,,,Northern Baja,,tlal,,,,,,,,,,,
tona11,Santa María Tonahuixtla,18.200567,-97.894372,,,,,,,,,,Northern Baja,,ton,Tonahuixtla,91,dialect,Chazumba,,,,,,,
toto12,Santa María Totoltepec de Guerrero,18.22581,-97.85526,,,,,,,,,,Northern Baja,,tot,,,,,,,,,,,
xaya11,San Jerónimo Xayacatlán,18.22159,-97.91563,,,,,,,,,,Northern Baja,,jer,,,,,,,,,,,
xaya12,Xayacatlán de Bravo,18.235295,-97.974348,,,,,,,,,,Northern Baja,,xay,Xayacatlán de Bravo,87,dialect,Chazumba,,,,,,,
yucu14,San Pedro Yucunama,17.562208,-97.482912,,,,,,,,,,Eastern Alta,,ynam,,,,,,,,,,,
yucu15,Santa María Yucunicoco,17.237196,-97.918059,,,,,,,,,,Mixtepec,,yuco,Yucunicoco,51,language,,,,,,,,
