"ID"	"DOCULECT"	"CONCEPT"	"GLOSS"	"VALUE"	"FORM"	"IDlist"	"CONCEPTICON_ID"	"LOAN"	"LOAN_SOURCE"	"SOURCE"	"FLOATTONE"	"VARIETY_CODE"
458	"AyutlalosLibresMixtec"	"BIRD"	"bird"	"saa"	"saa"	51	937	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4613	"AyutlalosLibresMixtec"	"BIRD"	"bird"	"sàà"	"sàà"	51	937	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
8500	"AyutlalosLibresMixtec"		"pájaro"	"saa"	"saa"	51		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
459	"AyutlalosLibresMixtec"	"FISH"	"fish"	"t-yakāh"	"t-yakāh"	52	227	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4627	"AyutlalosLibresMixtec"	"FISH"	"fish"	"tʸàkáʔ"	"tʸàkáʔ"	52	227	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
460	"AyutlalosLibresMixtec"	"SNAKE"	"snake"	"kōoh"	"kōoh"	53	730	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4639	"AyutlalosLibresMixtec"	"SNAKE"	"snake"	"kōòʔ"	"kōòʔ"	53	730	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
8616	"AyutlalosLibresMixtec"	"SNAKE"	"culebra"	"kōoʔ"	"kōoʔ"	53	730	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
8707	"AyutlalosLibresMixtec"	"FROG"	"rana"	"saʔwa"	"saʔwa"	54	503	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
8839	"AyutlalosLibresMixtec"		"gavilán"	"tāsuʔ"	"tāsuʔ"	55		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
461	"AyutlalosLibresMixtec"	"SCORPION"	"scorpion"	"ti-sūhma"	"ti-sūhma"	56	1538	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
