Grapheme	IPA	FREQUENCY	CODEPOINTS
i	i	7377	U+0069
a	a	6395	U+0061
u	u	4928	U+0075
n	n	4689	U+006e
t	t	4366	U+0074
ʔ	ʔ	3828	U+0294
k	k	3752	U+006b
u̧	u̧	2828	U+0075 U+0327
y	y	2532	U+0079
ñ	ɲ	2385	U+00f1
i̧	i̧	2155	U+0069 U+0327
s	s	1882	U+0073
o	o	1825	U+006f
e	e	1767	U+0065
ⁿd	ⁿd	1574	U+207f U+0064
-	NULL	1535	U+002d
a̧	a̧	1525	U+0061 U+0327
ž	ž	1257	U+017e
č	č	1246	U+010d
m	m	1221	U+006d
kʷ	kʷ	1189	U+006b U+02b7
š	š	1084	U+0161
ƀ	v	1065	U+0180
ì	ì	957	U+00ec
x	x	940	U+0078
đ	đ	917	U+0111
à	à	764	U+00e0
d	d	760	U+0064
ɨ	ɨ	747	U+0268
á	á	726	U+00e1
w	w	725	U+0077
í	í	709	U+00ed
v	v	677	U+0076
h	h	633	U+0068
³	³	619	U+00b3
l	l	618	U+006c
’	<?>	587	U+2019
ch	ch	534	U+0063 U+0068
ī	ī	505	U+012b
ù	ù	502	U+00f9
ā	ā	479	U+0101
o̧	o̧	439	U+006f U+0327
²	²	435	U+00b2
ū	ū	403	U+016b
ú	ú	392	U+00fa
aa	aː	383	U+0061 U+0061
j	j	354	U+006a
⁴	⁴	345	U+2074
uu	uː	305	U+0075 U+0075
¹	¹	304	U+00b9
ee	eː	281	U+0065 U+0065
ɨ̧	ɨ̧	266	U+0268 U+0327
c	c	251	U+0063
ò	ò	249	U+00f2
tʸ	tʲ	241	U+0074 U+02b8
oo	oː	234	U+006f U+006f
ʔw	ʔw	228	U+0294 U+0077
ts	ts	224	U+0074 U+0073
ù̧	ù̧	215	U+00f9 U+0327
u̧u̧	u̧u̧	212	U+0075 U+0327 U+0075 U+0327
i̧i̧	i̧i̧	209	U+0069 U+0327 U+0069 U+0327
ii	iː	207	U+0069 U+0069
r	r	193	U+0072
ó	ó	192	U+00f3
i̠	i̠	186	U+0069 U+0320
ȩ	<?>	156	U+0229
a̠	a̠	155	U+0061 U+0320
ō	ō	141	U+014d
ū̧	ū̧	137	U+016b U+0327
ē	ē	137	U+0113
è	è	137	U+00e8
é	é	136	U+00e9
ì̧	ì̧	132	U+00ec U+0327
Ɂ	Ɂ	130	U+0241
kw	kʷ	129	U+006b U+0077
sh	sh	128	U+0073 U+0068
ǐ	ǐ	128	U+01d0
ȼ	<?>	116	U+023c
ī̧	ī̧	116	U+012b U+0327
a̧a̧	a̧a̧	114	U+0061 U+0327 U+0061 U+0327
