Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
a̧$	a̧	đi̧ʔña̧, ši̧ʔña̧	cahu11, juxt11, tila11, tama11, esta11, zapo11, brav11, tlac11, nuxi11, toto12, caca11, ayut11, tepe11, yoso11, tida11, peno11, achi11, coic11, cuat11, chaz11, yucu11, tepo11, teit11, soya11, alco11, cris11, more11, tlaz11, tona11, apoa11, atat11, itun11, jami11, nund12, nuxa11, ixta12, aten11, nund13, chic11, pied11, tama12, colo11, apas11, chal11, este11, dura11, coso11, acat11, yolo11, lore11, mixt11, mont13, prog11, alac11, xaya11, cuil11, teco11, ahue11, moli11, tutu11, sind11, mech11, ixpa11, huaz11, yuta11, joco11, huit11	100	U+0061 U+0327 U+0024
o$	o	oko, xito	tepo01, abas11, alac11, prog12, chic02, tlah11, yoso11, ayut11, ocot11, mont12, pied12, mixt11, diux11, jami11, flor12, coat11, conc11	100	U+006f U+0024
y	y	kwātyi, tyayu	jami11, tepo01, ayut11, prog12, conc11, yolo11, alac11, ocot11, yoso11, diux11, copa11, coat11, chic02	100	U+0079
č	č	šiči, ⁿdiča̧ʔ	gran11, tejo11, caca11, cahu11, chic11, moli11, prog12, ayut11, colo11, mixt11, atoy11, cris11, jica11, pino12, chig11, atat11, cuya11, peno11, chay11, reye11, metl11, soya11, amat11, tutu11, huaz11, mont14, tepe12, apoa11, zaca11, jami11, tepe11, nuxa11, ixta12, ixta11, apas11, joco11, dura11, zapo11, coso11, acat11, ocot11, coat11, lore11, sayu11, alac11, jica12, xaya11, chaz11, ndua11, teco11, nuti11, mech11, mica11, pino11, ixta13, diux11, huit11	100	U+010d
i̧	i̧	ni̧ñi̧, kʷi̧ñu̧	prom01, jate11, apoa11, ayut11, coxc11, achi11, atoy11, nund11, huit11, mont14, jica11, nuxi11, nund12, nuxa11, chic11, colo11, apas11, prog11, jica12, yucu11, teit11, moli11, pino11, joco11, tila11, yucu14, tepe12, tlac11, pino12, toto12, chig11, zaca11, tama11, esta11, alco11, aten11, nund13, pied11, chal11, tida11, este11, dura11, coso11, yolo11, acat11, coat11, pena12, chay11, coic11, adeq11, cuat11, xaya11, tepo11, ahue11, soya11, sind11, nuti11, brav11, diux11, yuta12, yuta11, sini11, cuil11	100	U+0069 U+0327
n$	n	īīn, uhun	ocot11, coat11, abas11, jami11, ayut11, prog12	100	U+006e U+0024
e$	e	chéle, kwehe	tepo01, chic12, chay11, coat11, alac11, ayut11, diux11, pena11, atat11, flor12, chic02, ocot11, prog12, tlah11, colo11, xoch11, pied12, tepe03, jami11, mixt11, mont12, jica13, yoso11, conc11	100	U+0065 U+0024
^i	i	ita, iñu	yolo11, ayut11, abas11, tepo01, coat11, copa11, jami11, prog12, tlah11, mont12, mixt11, flor12, pied12, conc11, ocot11, alac11, diux11, yoso11	100	U+005e U+0069
s	s	isu, yosǒ	tepo01, yolo11, chay11, mont12, tlah11, prog12, jami11, ayut11, yoso11, chic02, alac11, pied12, flor12, ocot11, mixt11, abas11, jica11, atat11, gran11	100	U+0073
a̧	a̧	ña̧ni̧, ya̧ni̧	tila11, alac11, huit11, apoa11, cris11, prog12, tepe12, tlac11, tlaz11, tata11, toto12, caca11, tona11, chig11, atat11, esta11, nund12, aten11, nund13, ixta11, tama12, yoso11, este11, coso11, chay11, mont13, achi11, yucu13, tepo11, soya11, tutu11, brav11, guad11, mica11, atoy11, sini11, juxt11, mont14, flor11, jami11, cahu11, yolo12, ixta12, pied11, yucu16, apas11, tida11, acat11, coxc11, yolo11, sayu11, chay12, coic11, jica12, cuat11, chaz11, teit11, cuau11, pino11, alco11, tlac12, tama11, gran11, tlal11, tepe11, chic11, colo11, chal11, dura11, prog11, ndua11, reye11, ahue11, sind11, joco11, cuil11, more11, jica11, pino12, nuxi11, ayut11, nuxa11, cuya11, nuch11, lore11, mixt11, pena12, adeq11, xaya11, yucu11, moli11, amat11, mech11, huaz11, ixta13	100	U+0061 U+0327
d	d	ndivi, ndāha	yolo11, coat11, prog12, ayut11, ocot11, jami11, alac11	100	U+0064
ƀ	ƀ	žiƀi, saʔƀa	prog12, coat11, jica11, metl11, mixt11, chay11, alac11, cris11, atat11, esta11, juxt11, gran11, jami11, mont12, ixta11, jica12, xaya11, moli11, more11, tejo11, yucu15, pino12, flor11, tlac12, zaca11, itun11, tlal11, nund12, aten11, nund13, yucu16, tama12, colo11, chal11, nuch11, dura11, nuyo11, ocot11, peno11, chay12, prog11, coic11, mont13, teco11, yucu13, ahue11, nuti11, amat11, guad11, ixpa11, mica11, yucu12, sini11, cuil11	100	U+0180
^š	š	šiči, šiti	coat11, ayut11, ocot11, alac11, jica11, cahu11, peno11, chay11, metl11, prog12, apoa11, chic11, nuch11, yolo11, mixt11, cuat11, ndua11, reye11, brav11, juxt11, atoy11, cris11, tepe12, tejo11, tlaz11, pino12, caca11, chig11, atat11, flor11, tlac12, gran11, jami11, esta11, aten11, mont12, nund13, ixta11, colo11, apas11, este11, dura11, nuyo11, lore11, pena12, prog11, achi11, coic11, jica12, sayu11, teco11, nuti11, tutu11, mech11, guad11, ixpa11, huaz11, pino11, joco11, diux11, sini11, nund11	100	U+005e U+0161
š	š	čaša, tiši	ayut11, coat11, metl11, yucu15, cahu11, caca11, gran11, alco11, prog12, jica11, nuxi11, chig11, itun11, colo11, acat11, ocot11, peno11, mixt11, chay12, alac11, xaya11, huaz11, cris11, more11, tepe12, tlac11, pino12, apoa11, atat11, tama11, jami11, tlal11, nuxa11, chic11, ixta11, tama12, yoso11, nuch11, dura11, yolo11, chay11, coic11, jica12, cuat11, reye11, teco11, teit11, ahue11, moli11, amat11, tutu11, mech11, brav11, diux11, mica11, yuta12, pino11, ixta13, atoy11	100	U+0161
ì	ì	kìƀì, ƀìšī	ayut11, mont12, pied12, caca11, mixt11, prog12, tlah11, alac11, moli11, peno11, coat11, xaya11, metl11, jica11, flor12, chay11, abas11, gran11, cahu11, diux11, atat11, ocot11	100	U+00ec
^č	č	či̧i̧, či-toʔo	gran11, mont14, jica11, caca11, cahu11, mixt11, alac11, prog12, cris11, more11, apoa11, atat11, flor11, ayut11, apas11, dura11, acat11, peno11, xaya11, ndua11, metl11, moli11, tutu11, ixpa11, juxt11, atoy11, tepe12, pino12, chig11, zaca11, jami11, esta11, ixta12, aten11, mont12, ixta11, colo11, chal11, yoso11, joco11, tida11, coso11, coxc11, ocot11, lore11, sayu11, coat11, chay11, chay12, coic11, jica12, adeq11, cuat11, chaz11, reye11, teco11, ahue11, soya11, amat11, mech11, brav11, guad11, mica11, huaz11, pino11, ixta13, diux11, alco11	100	U+005e U+010d
h	h	kwehe, kuhu	prog12, ocot11, jami11, ayut11, coat11	100	U+0068
^đ	đ	đutu, đaʔa	caca11, peno11, xaya11, diux11, coat11, tlaz11, nuxi11, tona11, chig11, apoa11, tama11, tepe11, nuxa11, ixta12, pied11, chic11, apas11, tida11, este11, zapo11, coso11, adeq11, chaz11, tepo11, teit11, soya11, amat11, sind11, xaya12, guad11, ixta13, huit11, tila11, jate11, tata11, toto12, flor11, tlal11, yucu16, cuya11, joco11, coxc11, ndua11, mica11, yuta12, cuau11, yuta11, cuil11	100	U+005e U+0111
x	x	xixi, vixi	copa11, yolo11, prog12, ocot11, abas11, yoso11, atat11, gran11, flor12, chic02, tlah11, pied12, moli11, mont12, mixt11, alac11, conc11, diux11	100	U+0078
^ƀ	ƀ	ƀeʔe, ƀàʔā	prog12, gran11, peno11, caca11, coat11, alac11, xaya11, metl11, moli11, jica11, atat11, mixt11, chay11, ocot11, diux11, cris11, more11, jate11, tejo11, tlac11, pino12, nuxi11, tata11, flor11, itun11, jami11, esta11, nund12, mont12, nund13, ixta11, chal11, coxc11, pena12, chay12, achi11, mont13, adeq11, jica12, prog11, ndua11, nuti11, amat11, mica11, pino11, ixta13, sini11, nund11	100	U+005e U+0180
