Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^ch	ch	chuun, chíjǐn	chic02, copa11, jami11, abas11, yoso11, mixt11, conc11, diux11, prog12, ayut11, yolo11, ocot11, coat11, tepo01, flor12, tlah11, mont12, alac11, pied12	100	U+005e U+0063 U+0068
⁴$	⁴	ñu¹ñu⁴, ndo'¹o⁴	yolo11, copa11, papa11	100	U+2074 U+0024
j	j	chíjǐn, yòjǒ	flor12, pied12, mont12, yolo11	100	U+006a
uu$	uu	žuu, yuu	tepe03, chay11, tepo01, pena11, zaca11, jami11, abas11, prog12, apoa11, atat11, gran11, aten11, nund13, chic11, apas11, chal11, adeq11, sind11, mech11, yuta12, atoy11, tila11, mont14, yucu14, jate11, tlac11, tata11, nuxi11, tlaz11, chig11, tama11, itun11, ayut11, nund12, tlal11, cahu11, nuxa11, ixta12, pied11, jica13, yoso11, tida11, este11, zapo11, huit11, coxc11, ocot11, lore11, yolo11, pena12, acat11, mont13, achi11, alac11, coic11, xaya11, ndua11, yucu11, teit11, moli11, amat11, brav11, huaz11, yuta11, joco11, diux11, sini11, nund11, alco11	100	U+0075 U+0075 U+0024
oo$	oo	koo, ⁿdoo	tepo01, chay11, alac11, chic02, tlaz11, chig11, apoa11, zaca11, jami11, tlal11, apas11, acat11, coat11, achi11, atoy11, alco11, juxt11, prog12, tila11, more11, tepe12, jica11, tlac11, pino12, nuxi11, caca11, tona11, tama11, itun11, esta11, tepe11, cahu11, nuxa11, yolo12, ixta12, pied11, chic11, ixta11, colo11, chal11, cuya11, yoso11, tida11, este11, dura11, zapo11, coso11, ocot11, lore11, mixt11, sayu11, yolo11, mont13, jica12, cuat11, adeq11, chaz11, cuil11, yucu11, tepo11, teit11, moli11, soya11, sind11, tutu11, ahue11, amat11, mech11, brav11, cuau11, huaz11, pino11, joco11, huit11	100	U+006f U+006f U+0024
^m	m	mu̧tu, mi̧stu	colo11, copa11, chic12, alac11, papa11, abas11, chay11, tepe03, zaca11, ayut11, mont12, yolo11, chic02, mixt11, xoch11, tepo01, atoy11, flor12, jica13, coat11, pied12, pena11, cris11, jica11, chig11, flor11, atat11, cahu11, nuch11, este11, ocot11, lore11, peno11, achi11, conc11, coic11, cuat11, jica12, cuil11, ahue11, nuti11, amat11, brav11, guad11, pino11, diux11, alco11	100	U+005e U+006d
ú	ú	yúyú, xúxan	diux11, coat11, colo11, peno11, prog12, tlah11, ocot11, mixt11, pied12, jica11, flor12, ayut11, conc11, jami11, mont12, yoso11, chic02, alac11, abas11, caca11, gran11, chay11	100	U+00fa
ī$	ī	ñānī, kītī	prog12, alac11, ocot11, yoso11, jami11, cahu11, coat11, conc11, metl11, atat11, ayut11, moli11, gran11, xaya11, diux11, jica11, caca11, mixt11, chay11	100	U+012b U+0024
i̧i̧$	i̧i̧	či̧i̧, ni̧i̧	juxt11, prog12, more11, tejo11, tlac11, caca11, flor11, itun11, esta11, nund12, tepe11, mont12, nund13, yucu16, tida11, dura11, coso11, acat11, mixt11, adeq11, ndua11, amat11, brav11, mica11, ixta13, cris11, tata11, toto12, tona11, chig11, apoa11, atat11, tlac12, jami11, cahu11, yolo12, ixta12, aten11, chic11, ixta11, tama12, apas11, chal11, cuya11, nuch11, joco11, zapo11, coxc11, lore11, coat11, pena12, sayu11, chay12, chay11, achi11, mont13, coic11, cuat11, xaya11, chaz11, teco11, reye11, yucu13, tepo11, ahue11, moli11, soya11, tutu11, mech11, guad11, cuau11, huaz11, ixpa11, sini11, alco11	100	U+0069 U+0327 U+0069 U+0327 U+0024
u̧u̧$	u̧u̧	ñu̧u̧, tʸu̧u̧	tepe12, yoso11, ixta12, prog12, tila11, tejo11, tlac11, tlaz11, tata11, toto12, tona11, chig11, atat11, esta11, nund12, aten11, mont12, nund13, ixta11, tama12, este11, coso11, peno11, chay11, mont13, achi11, yucu13, tepo11, tutu11, brav11, guad11, ixpa11, mica11, atoy11, nund11, huit11, juxt11, mont14, jate11, flor11, jami11, yolo12, pied11, yucu16, apas11, tida11, acat11, coxc11, yolo11, coat11, sayu11, chay12, coic11, jica12, chaz11, teit11, nuti11, cuau11, alco11, apoa11, zaca11, tama11, tlal11, tepe11, chic11, colo11, chal11, dura11, prog11, ndua11, reye11, ahue11, sind11, yuta11, joco11, cris11, more11, jica11, pino12, nuxi11, itun11, ayut11, nuxa11, cuya11, nuch11, lore11, mixt11, pena12, adeq11, yucu11, moli11, amat11, mech11, yuta12, huaz11, ixta13, diux11	100	U+0075 U+0327 U+0075 U+0327 U+0024
²$	²	ndi³chi², i³ta²	yolo11, papa11, copa11, chal11, yucu16, zaca11, alco11, prom01	100	U+00b2 U+0024
^i̧	i̧	i̧ñu̧, i̧ño̧	brav11, alco11, atoy11, jica11, toto12, chig11, apoa11, mont12, pied11, nund13, chic11, cuya11, coso11, peno11, sayu11, jica12, cuat11, sind11, amat11, pino11, joco11, diux11, juxt11, prog12, cris11, tila11, mont14, more11, tepe12, jate11, pino12, nuxi11, caca11, atat11, itun11, gran11, jami11, esta11, tlal11, nund12, prog11, nuxa11, ixta12, ixta11, colo11, apas11, chal11, este11, ixta13, acat11, coxc11, lore11, coat11, mixt11, pena12, chay11, chay12, achi11, alac11, mont13, adeq11, xaya11, chaz11, cuil11, ndua11, tepo11, moli11, nuti11, soya11, mech11, mica11, cuau11, huaz11, sini11, nund11, huit11	100	U+005e U+0069 U+0327
ù$	ù	kùʔù, tūtù	pena11, gran11, colo11, mixt11, chay11, atat11, flor12, pied12, mont12, ocot11, peno11, moli11, caca11, jica11, ayut11, tlah11, coat11, alac11, xoch11, metl11, xaya11, abas11	100	U+00f9 U+0024
o̧	o̧	ko̧ño̧, no̧ʔo̧	cahu11, soya11, zapo11, caca11, chic11, apoa11, itun11, alac11, brav11, esta11, cuat11, sind11, huaz11, cuil11, jami11, alco11, aten11, acat11, chay11, prog11, ndua11, tepo11, tutu11, mech11, joco11, cris11, mont14, jate11, flor11, zaca11, nuxa11, mont12, pied11, apas11, chal11, yoso11, lore11, yucu13, reye11, amat11, yuta11, atoy11	100	U+006f U+0327
ú$	ú	yúyú, yùú	diux11, tlah11, peno11, mixt11, ocot11, coat11, jami11, colo11, xoch11, chic02, conc11, prog12, alac11, flor12, yoso11, pied12, atat11, gran11, ayut11, mont12, abas11	100	U+00fa U+0024
¹	¹	ti¹ĩ¹ʔ, ni¹i⁴	yolo11, papa11, yucu16, alco11, chal11, zaca11, prom01	100	U+00b9
ii$	ii	ti-kʷii, te-kʷii	chic02, alac11, zaca11, more11, caca11, zapo11, xaya11, prog12, tona11, flor11, ayut11, tlal11, tepe11, dura11, coso11, coat11, sayu11, chay11, chay12, abas11, tepo01, mica11, huit11, juxt11, yucu14, tejo11, tepe03, nuxi11, toto12, chig11, flor12, esta11, cahu11, nuxa11, yolo12, ixta12, aten11, mont12, yucu16, tama12, chal11, cuya11, yoso11, ocot11, mixt11, pena12, achi11, coic11, cuat11, chaz11, reye11, teco11, yucu11, tepo11, teit11, tutu11, amat11, xaya12, brav11, cuau11, yuta11, ixta13, sini11, alco11	100	U+0069 U+0069 U+0024
tʸ	tʸ	ⁿdutʸi, ⁿdutʸa	chay11, ixta11, huaz11, jami11, nuxa11, colo11, lore11, mixt11, tutu11, mech11, juxt11, zapo11, sayu11, nuti11, nuxi11, metl11, cris11, ayut11, aten11, mont12, nuch11, yolo11, acat11, chay12, coic11, teco11, ixpa11	100	U+0074 U+02b8
¹$	¹	xi¹kun¹, ʃi¹tũ¹	yolo11, copa11, yucu16, chal11, papa11, alco11, zaca11	100	U+00b9 U+0024
^d	d	doo, dzutu	tepo01, papa11, coat11, tepe03, chic12, chic02, conc11	100	U+005e U+0064
ū$	ū	tūtū, káʔnū	atat11, yoso11, ocot11, gran11, conc11, coat11, prog12, chay11, alac11, metl11, moli11, jami11, xaya11, jica11, ayut11, diux11, caca11, mixt11, yucu12	100	U+016b U+0024
ɨ̧$	ɨ̧	nɨ̧ñɨ̧, tɨ̧ñɨ̧	tama11, yoso11, cris11, pied11, cuya11, este11, coat11, tila11, atat11, itun11, jami11, ixta11, colo11, yolo11, lore11, mont13, sind11, yuta12, cuau11, diux11, huit11, tlaz11, tata11, pino12, chal11, acat11, peno11, chay11, prom01, mech11, yucu12, jate11, nuyo11, soya11, nuti11, tutu11, huaz11, yuta11, cuil11	100	U+0268 U+0327 U+0024
^j	j	jùtù, java	prom01, zaca11, pena11, chal11, yucu16, mont12, colo11, atat11, alco11	100	U+005e U+006a
ɨ̧	ɨ̧	nɨ̧ñɨ̧, tɨ̧ñɨ̧	tama11, yoso11, este11, atat11, pied11, cuya11, yolo11, coat11, sind11, tila11, pino12, itun11, jami11, ixta11, colo11, chal11, lore11, mont13, prom01, nuti11, diux11, huit11, cris11, tata11, gran11, peno11, chay11, mech11, yuta12, cuau11, tlaz11, acat11, soya11, tutu11, huaz11, yuta11	100	U+0268 U+0327
^c	c	cañi, coho	chay11, colo11, tepo01, atat11, papa11	100	U+005e U+0063
c	c	yucu, oco	colo11, chay11, tepo01, papa11, atat11	100	U+0063
ts	ts	vitsin, ntsiká-kuá'a	flor12, pied12, colo11, mixt11, chic02, coat11, abas11, copa11, chic12, tepe03	100	U+0074 U+0073
^a	a	ađi, ama	chic12, tepo01, chay11, nuxi11, caca11, chig11, atat11, zaca11, jami11, tepe11, nuxa11, chic11, apas11, prom01, soya11, sind11, pena11, juxt11, prog12, atoy11, tila11, more11, tepe12, tejo11, jica11, tlac11, tepe03, pino12, tona11, apoa11, tama11, itun11, gran11, ayut11, esta11, ixta12, pied11, ixta11, colo11, jica13, chal11, cuya11, tida11, coso11, yolo11, chic02, acat11, coat11, lore11, mixt11, sayu11, achi11, alac11, papa11, jica12, xoch11, cuil11, chaz11, tepo11, teit11, copa11, pied12, mech11, mica11, cuau11, huaz11, pino11, yuta11, joco11, diux11, nund11, alco11	100	U+005e U+0061
ò	ò	sòʔō, sò'o	mont12, flor12, pied12, tlah11, mixt11, dura11, yucu15, peno11, prom01, ahue11, caca11, cahu11, ocot11, alac11, coic11, xaya12, prog12, tepe12, jica11, tlac12, atat11, gran11, ayut11, aten11, tama12, nuch11, nuyo11, coat11, chay11, reye11, metl11, abas11, yucu12, diux11, pena11	100	U+00f2
⁴	⁴	'i⁴yan⁴-chin²-ye⁴'en⁴, nu⁴ni⁴-d'i²v'i³yu³	papa11, yolo11, alco11, chic12	100	U+2074
r	r	ardiya, tra̧na̧	chic02, chic12, copa11, caca11, zaca11, colo11, papa11, cris11, mont14, tejo11, toto12, chig11, tlal11, tepe11, aten11, jica13, cuya11, zapo11, coat11, chay11, chay12, amat11, mica11, cuau11, yuta11, ixta13, nund11, cuil11	100	U+0072
ù̧	ù̧	nù̧ʔū̧, ʔù̧ʔù̧	yucu12, nuyo11, ocot11, yucu15, xaya12, metl11, coic11, ahue11, prog12, tlac12, nuch11, dura11, coat11, yucu13, teco11, atat11, gran11, ayut11, aten11, tama12, alac11, mixt11, peno11, chay11, reye11, moli11	100	U+00f9 U+0327
ó$	ó	ndòó, yókó	jica13, tlah11, mixt11, xoch11, yucu15, coat11, coic11, colo11, peno11, alac11, diux11, flor12, prog12, huen11, jami11, mont12, conc11, ahue11, pied12, xaya12, pena11, jica11, tepe03, chig11, tlac12, ixta12, dura11, chic02, sayu11, prom01, reye11, metl11, soya11, mech11	100	U+00f3 U+0024
ò$	ò	ⁿdōò, šītò	mont12, pena11, colo11, gran11, atat11, peno11, prog12, dura11, ocot11, chay11, alac11, yucu13, metl11, xaya12, caca11, ayut11, aten11, nuch11, xaya11, reye11, yucu12, tepe12, jica11, flor12, cahu11, nuyo11, mixt11, coat11, coic11, xoch11, teco11, abas11, moli11, pied12, guad11, ixpa11, diux11	100	U+00f2 U+0024
i̠	i̠	xi̠to, ki̠si	alac11, jica13, yuta13, xoch11, zaca11	100	U+0069 U+0320
^kw	kw	kwehe, kwáhá	diux11, mixt11, yolo11, alac11, yoso11, ayut11, tlah11, prog12, ocot11, jami11, coat11, copa11, conc11	100	U+005e U+006b U+0077
a̧a̧$	a̧a̧	kʷa̧a̧, xʷa̧a̧	tlal11, teco11, ahue11, lore11, tila11, tepe12, tejo11, tlac11, tlaz11, tata11, toto12, caca11, tona11, chig11, esta11, nund12, aten11, nund13, ixta11, tama12, yoso11, este11, coso11, peno11, mont13, achi11, alac11, yucu13, tepo11, soya11, tutu11, brav11, guad11, mica11, atoy11, sini11, nund11, huit11, juxt11, jate11, flor11, jami11, cahu11, yolo12, ixta12, pied11, yucu16, apas11, tida11, acat11, coxc11, yolo11, coat11, sayu11, chay12, jica12, cuat11, chaz11, teit11, nuti11, pino11, alco11, apoa11, tama11, gran11, tepe11, chic11, colo11, chal11, dura11, prog11, ndua11, reye11, sind11, joco11, cuil11, cris11, more11, jica11, pino12, nuxi11, itun11, nuxa11, cuya11, nuch11, mixt11, pena12, adeq11, xaya11, yucu11, moli11, amat11, mech11, huaz11, ixta13, diux11	100	U+0061 U+0327 U+0061 U+0327 U+0024
N	<?>	đi̧Nni̧, žatNi̧	yoso11, tlac11, atat11, yolo11, achi11, teit11, moli11, tama11, huit11, adeq11, tata11, nuxi11, yuta12, cuil11, coxc11, yucu11, mont14, jate11, tida11, peno11, cuau11	100	U+004e
^ts	ts	tsìtù, tsóko	pied12, colo11, yucu17, flor12, mixt11, abas11, chic02, coat11, copa11, tepe03, chic12	100	U+005e U+0074 U+0073
^ⁿǰ	ⁿǰ	ⁿǰika, ⁿǰiči	cris11, nuxi11, tlal11, nuxa11, chig11, ixta12, pied11, apas11, joco11, tida11, amat11, sind11, tlaz11, tona11, chic11, acat11, peno11, chaz11, soya11, tlac11, tepe11, coso11, ndua11, teco11, ixta13, jate11, toto12, flor11, nund13, este11, zapo11, chay12, xaya12, yuta11, huit11, cuil11	96	U+005e U+207f U+01f0
^h	h	hoʔo, hita	prog12, tepo01, yucu13, chic12, nuch11, chic02, aten11, mont12, conc11, ixpa11, colo11, copa11, more11, tepe03, chay12, papa11, flor11, zaca11, tama12, jica12, atoy11, sini11	95	U+005e U+0068
ʔⁿ	ʔⁿ	ƀi̧ʔⁿda, wi̧ʔⁿde	coat11, este11, yucu13, soya11, guad11, pied11, cuau11, yucu15, tama11, cuya11, mixt11, tila11, tepe12, tejo11, tlac11, tlaz11, caca11, tona11, chig11, atat11, esta11, aten11, ixta11, tama12, yoso11, zapo11, coso11, peno11, chay11, mont13, achi11, tepo11, tutu11, brav11, ixpa11, atoy11, huit11, juxt11, jami11, cahu11, yolo12, ixta12, apas11, tida11, acat11, yolo11, ocot11, sayu11, coic11, jica12, cuat11, chaz11, teit11, pino11, alco11, apoa11, zaca11, gran11, tepe11, chic11, colo11, dura11, prom01, reye11, teco11, ahue11, sind11, joco11, cuil11, more11, jica11, pino12, nuxi11, itun11, ayut11, nuxa11, nuch11, lore11, yucu11, moli11, mech11, xaya12, huaz11	95	U+0294 U+207f
è	è	sèʔē, kuè'è	ocot11, yucu12, pena11, nuyo11, peno11, pied12, flor12, dura11, mixt11, xaya12, atat11, tlah11, mont12, coat11, yucu17, yucu15, coic11, prom01, moli11, ixpa11, prog12, jica11, huen11, caca11, tlac12, gran11, chay11, cuat11, xaya11, xoch11, yucu13, reye11, guad11	94	U+00e8
ù̧$	ù̧	ʔù̧ʔù̧, ù̧ʔù̧	yucu15, ocot11, peno11, xaya12, nuyo11, teco11, yucu12, gran11, yucu13, atat11, aten11, guad11, dura11, reye11, ahue11, prog12, jica11, tlac12, ayut11, tama12, nuch11, acat11, mixt11, coat11, chay11, alac11, coic11, metl11, moli11, mech11, ixpa11, huaz11, diux11	93	U+00f9 U+0327 U+0024
^tʸ	tʸ	tʸaa, tʸi̧i̧	mixt11, metl11, huaz11, juxt11, jami11, ayut11, colo11, lore11, tutu11, mech11, ixta11, chay11, coic11, nuxa11, ixta12, acat11, sayu11, xaya11, nuti11, yucu15, nuxi11, toto12, tona11, tama11, tepe11, cahu11, aten11, chic11, tama12, apas11, nuch11, joco11, nuyo11, coso11, chay12, cuat11, chaz11, ndua11, teco11, soya11, xaya12, brav11, mica11, ixta13, cuil11	92	U+005e U+0074 U+02b8
ǐ$	ǐ	ichǐ, sàvǐ	mixt11, yucu17, flor12, pied12, coat11, tama12, ahue11, tlah11, tama11	90	U+01d0 U+0024
é	é	chéle, kuée	peno11, prom01, huen11, mixt11, yuta13, diux11, flor12, dura11, chic02, alac11, pied12, yucu17, pena11, yucu12, yucu15, atat11, tlah11, mont12, jica13, nuyo11, coat11, metl11, jica11, ocot11, conc11, moli11	87	U+00e9
ȩ$	<?>	ñu̧mȩ, đu̧ʔmȩ	pied11, coat11, cuau11, cuya11, sind11, itun11, este11, tama11, nuxa11, peno11, prog11, huit11, nuxi11, chic11, prom01, tepo11, yuta12, yuta11, tlaz11, tata11, apoa11, atat11, ixta12, tama12, apas11, tida11, nuyo11, mont13, yucu11, soya11, joco11	87	U+0229 U+0024
^sh	sh	shíká, shīto	copa11, ayut11, coat11, dura11, diux11, yoso11, ocot11, alac11, jami11, prog12, tepe03	85	U+005e U+0073 U+0068
a̠	a̠	va̠'a, ta̠a	alac11, jica13, xoch11, papa11, yuta13, zaca11	80	U+0061 U+0320
^r	r	ra-yɨɨ, rai	chic12, copa11, zaca11, jami11, colo11, chay11, papa11, cris11, tepe12, jica11, pino12, toto12, mont12, ixta11, yoso11, acat11, lore11, coat11, sayu11, jica12, nuti11, moli11, tutu11, amat11, mech11, huaz11, pino11, ixta13, atoy11	78	U+005e U+0072
ō$	ō	sòʔō, yōhō	atat11, alac11, cahu11, ocot11, gran11, coat11, prog12, nuyo11, yucu12, yucu15, jami11, yoso11, chay11, xaya12, jica11, tlac11, caca11, aten11, tama12, reye11, yucu13, metl11, ahue11, moli11, ixpa11	78	U+014d U+0024
ē$	ē	ƀēʔē, sèʔē	ocot11, atat11, moli11, yucu12, yucu15, nuyo11, metl11, gran11, coat11, alac11, xaya12, prog12, caca11, yoso11, mixt11, chay11, xaya11, jami11, ayut11, cahu11, conc11, coic11, yucu13, ixpa11, diux11	77	U+0113 U+0024
ì̧$	ì̧	ʔù̧nì̧, nù̧nì̧	ocot11, xaya12, peno11, teco11, yucu13, yucu15, dura11, caca11, aten11, yucu12, prog12, tlac12, ayut11, nuyo11, alac11, coic11, metl11, ahue11, jica11, ixta12, tama12, nuch11, coat11, cuat11, soya11, ixpa11	73	U+00ec U+0327 U+0024
ū̧$	ū̧	tù̧ʔū̧, nù̧ʔū̧	nuyo11, gran11, yucu12, ocot11, atat11, xaya12, moli11, yucu15, coic11, metl11, mixt11, prog12, cahu11, ayut11, aten11, chay11, reye11, teco11	72	U+016b U+0327 U+0024
ó	ó	yókó, tsóko	yuta13, alac11, coat11, mixt11, prom01, yucu17, diux11, prog12, yucu15, huen11, tlah11, mont12, jica13, peno11, yucu13, pena11, jica11, tlac11, chig11, aten11, ixta12, dura11, sayu11, chay11, papa11, xoch11, reye11, ahue11, moli11, soya11, mech11	71	U+00f3
ȼ	<?>	žuȼa, ⁿduȼa	cuau11, coat11, guad11, tejo11, apoa11, ixta12, mixt11, cuil11, mont14, apas11, joco11, chig11, chic11, dura11, zapo11, chaz11, ndua11, tlac11, tlac12, tlal11, adeq11, soya11, ixpa11	71	U+023c
ȩ	<?>	kʷȩñu̧, nȩñu̧	prom01, huit11, cuya11, itun11, coat11, tepo11, cuau11, tlac11, nuxi11, pied11, chic11, este11, yucu11, sind11, joco11, tata11, caca11, chig11, apoa11, flor11, tama11, tepe11, nuxa11, ixta12, apas11, zapo11, peno11, mont13, chaz11, teit11, soya11, brav11, yuta12, yucu12, yuta11, diux11	67	U+0229
^ⁿdʸ	ⁿdʸ	ⁿdʸaʔyu, ⁿdʸitʸi	juxt11, mixt11, colo11, zapo11, lore11, nuxa11, jami11, ixta11, chay11, mech11, huaz11, nuxi11, coat11, nuti11, tutu11, caca11, tlac12, tama11, aten11, mont12, sayu11, alac11, coic11, metl11, soya11, ixpa11	67	U+005e U+207f U+0064 U+02b8
z	z	mi̧ʔⁿza, dzidzi	tepo01, chay11, guad11, soya11, ixta12, chic11, tlac11, apas11, joco11, yoso11, cuil11	66	U+007a
³²$	³²	ʃu³tʃe³², mːĩ³²	chic12, copa11, yolo11, papa11	64	U+00b3 U+00b2 U+0024
i̠$	i̠	u̠ni̠, ku̠'vi̠	yuta13, alac11, jica13, xoch11	64	U+0069 U+0320 U+0024
à̧$	à̧	ñà̧mà̧, ʔù̧nà̧	xaya12, ocot11, nuyo11, yucu12, yucu15, peno11, nuch11, xaya11, prog12, aten11, alac11, teco11, metl11, jica11, caca11, gran11, dura11, coat11, mixt11, coic11, ahue11, moli11, ixpa11	63	U+00e0 U+0327 U+0024
ū̧	ū̧	nū̧ʔu̧, kū̧ñu̧	ocot11, yucu12, yucu15, nuyo11, xaya12, atat11, teco11, gran11, ayut11, coic11, metl11, aten11, reye11, nuch11	63	U+016b U+0327
'v	'v	ntá'vi, sa'và	dura11, jica13, tlah11, pied12, huen11, alac11, pena11, xoch11, flor12, yucu17, abas11, mixt11, zaca11	61	U+0027 U+0076
'n	'n	i'ní, ká'nu	dura11, pena11, chic12, abas11, pied12, huen11, alac11, xoch11, zaca11, flor12, tlah11, mixt11, yoso14, yucu17, jica13, diux11	61	U+0027 U+006e
ō	ō	ⁿdōò, stōò	gran11, ayut11, alac11, atat11, xaya12, yucu15, ocot11, metl11, chay11, coic11, moli11, yucu12, prog12, caca11, zaca11, jami11, cahu11, tama12, yoso11, nuch11, nuyo11, coat11, mixt11, conc11, xaya11, yucu13, reye11, teco11	61	U+014d
ī̧$	ī̧	ƀìxī̧, tù̧mī̧	metl11, gran11, xaya12, nuyo11, yucu12, yucu15, ocot11, atat11, coic11, moli11, caca11, cahu11, aten11, dura11, alac11, xaya11, yucu13, ahue11, ixpa11, alco11	61	U+012b U+0327 U+0024
'a$	'a	và'a, ya'a	yoso14, zaca11, abas11, tlah11, pied12, pena11, flor12, jica13, huen11, xoch11, mont12, yucu17, dura11, mixt11, alac11, yuta13	60	U+0027 U+0061 U+0024
ē	ē	ƀēʔē, tēe	atat11, ocot11, yucu15, gran11, ayut11, nuyo11, conc11, moli11, caca11, chay11, yucu13, metl11, xaya12, prog12, cahu11, coat11, mixt11, alac11, xaya11, yucu12, diux11	60	U+0113
'o$	'o	lo'o, sò'o	abas11, yuta13, dura11, alac11, jica13, tlah11, huen11, yoso14, flor12, pied12, pena11, xoch11, mixt11, yucu17, zaca11, mont12	59	U+0027 U+006f U+0024
^nn	nn	nnu̧ʔu̧, nnu̧u̧	chic12, yoso11, chic02, tama11, yuta12, atat11, teit11, tata11, adeq11, mont14, flor11, huit11, cuil11	57	U+005e U+006e U+006e
ì̧	ì̧	tì̧í̧, nì̧í̧	yucu15, nuyo11, ocot11, peno11, yucu12, alac11, metl11, coic11, aten11, tama12, yucu13, xaya12, prog12, caca11, tlac12, yolo12, ixta12, guad11, alco11	57	U+00ec U+0327
^ī	ī	ītā, īkū	ocot11, yoso11, atat11, gran11, conc11, metl11, moli11, prog12, xaya12, jica11, chay11, alac11, xaya11, zaca11, jami11, ayut11, dura11, mixt11, coic11, diux11	56	U+005e U+012b
a̠$	a̠	kui̠ya̠, u̠xa̠	yuta13, alac11, jica13, xoch11	56	U+0061 U+0320 U+0024
ǎ$	ǎ	nañǎ, sa'mǎ	yucu17, mixt11, pied12, flor12, coat11, ahue11, teit11, tlah11	54	U+01ce U+0024
'a	'a	c'a²v'a², xí'an	papa11, chic12, yuta13, abas11, tlah11, zaca11, dura11, mixt11, alac11, yucu17, jica13	53	U+0027 U+0061
'm	'm	ña'mi, tì-su'mà	mixt11, pena11, yucu17, tlah11, pied12, huen11, alac11, jica13, abas11, dura11, xoch11, zaca11, flor12, chic12, diux11	53	U+0027 U+006d
òò$	òò	kòò, ⁿdòò	prog12, mont12, dura11, caca11, cahu11, colo11, alac11, yucu13, abas11, aten11, ocot11, chay11, reye11, moli11, xaya12, huen11, tepe11, nuyo11, peno11, cuat11, xaya11, teco11, brav11, guad11, ixpa11, yucu12	53	U+00f2 U+00f2 U+0024
ã	ã	j̃ã³ˀã³², rã³ˀã³	chic12, zaca11, alco11, chal11, yucu16	53	U+00e3
ī̧	ī̧	kʷī̧ñū̧, ʔī̧ñū̧	nuyo11, ocot11, yucu12, yucu15, ayut11, metl11, atat11, gran11, teco11, yucu13, tlac11, tama12, nuch11, dura11, mixt11, cuat11, reye11, ahue11, moli11, xaya12, ixpa11, alco11	51	U+012b U+0327
ⁿd	ⁿd	nu̧-ⁿdaa, ku-ⁿdaʔvi	yucu15, sind11, yuta12, more11, ayut11, pied11, mont13, reye11, tepo11, yuta11, juxt11, yucu14, tejo11, tlac12, zaca11, tama11, itun11, ixta12, nund13, tama12, yoso11, nuyo11, yolo11, mixt11, peno11, achi11, prom01, xaya11, yucu13, yucu11, ahue11, soya11, nuti11, ixpa11, sini11, huit11, alco11	50	U+207f U+0064
í̧$	í̧	tì̧í̧, nì̧í̧	coic11, yucu15, peno11, ocot11, gran11, alac11, tlac12, atat11, coat11, teco11, prog12, yolo12, aten11, tama12, nuch11, mixt11, reye11, yucu13, yucu12, alco11	49	U+00ed U+0327 U+0024
o̠	o̠	so̠'o, tio̠'o	alac11, yuta13, jica13, xoch11	49	U+006f U+0320
'u	'u	tù'un, u'un	papa11, chic12, abas11, yoso14, zaca11, mixt11, dura11, tlah11, huen11, yucu17, jica13, pied12, pena11, xoch11, flor12	47	U+0027 U+0075
b	b	iba, u¹bi¹	yolo11, tepe03, zaca11, alco11, colo11, tlal11, nund12, toto12, xoch11	47	U+0062
^ì	ì	ìñù, ìvì	peno11, pied12, dura11, flor12, tlah11, mont12, colo11, ayut11, mixt11, jica11, yucu17, abas11, prog12, alac11, prom01	46	U+005e U+00ec
uu	uu	chuun, tuun	copa11, chic02, chic12, zaca11, yoso14, tepe03, toto12, atat11, flor12, ayut11, tlah11, pied11, colo11, yoso11, dura11, mixt11, prom01, abas11, tepo01, teit11, pied12, mica11, cuau11, yucu17, ixta13	46	U+0075 U+0075
^ʃ	ʃ	ʃa²ʔã², ʃu³tʃe³²	chic12, alco11, yucu16, zaca11, chal11	46	U+005e U+0283
^a̧	a̧	a̧ma̧, a̧wa̧	cris11, tepe12, jica11, pino12, toto12, chig11, apoa11, zaca11, tama11, gran11, jami11, tepe11, cahu11, yolo12, ixta12, mont12, chic11, ixta11, apas11, cuya11, este11, acat11, lore11, coat11, mixt11, sayu11, chay11, alac11, jica12, cuat11, xaya11, tepo11, nuti11, soya11, tutu11, mech11, brav11, xaya12, mica11, cuau11, huaz11, pino11, ixta13, atoy11, huit11, alco11	46	U+005e U+0061 U+0327
ɨɨ$	ɨɨ	ⁿdɨɨ, ra-yɨɨ	jami11, colo11, chay11, tila11, jate11, pino12, ixta11, acat11, lore11, coat11, mont13, cris11, mont14, tlaz11, atat11, tama11, itun11, gran11, pied11, chal11, cuya11, yoso11, este11, yolo11, nuti11, tutu11, sind11, mech11, cuau11, huaz11, diux11	45	U+0268 U+0268 U+0024
ɨ̄	ɨ̄	yɨ̄kɨ̄-tí̧í̧, kɨ̄tɨ̄	yoso11, atat11, gran11, diux11, jami11, nuyo11, yucu12, coat11, chay11, jica11, teco11	45	U+0268 U+0304
^í	í	í'i, íkú	diux11, huen11, prom01, coat11, yuta13, prog12, mixt11, pied12, metl11, dura11, tlah11, mont12, yucu17, jica13, jami11, flor12	45	U+005e U+00ed
^ȼ	<?>	ȼi-na̧na̧, ȼee	zapo11, coat11, chaz11, chig11, tlac11, cuau11, guad11, tejo11, tlac12, apoa11, tlal11, chic11, apas11, dura11, soso11, coxc11, mixt11, adeq11, joco11, cuil11	45	U+005e U+023c
