Grapheme	IPA	CLASS	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^u̧	u̧	V	u̧ni̧, u̧ñi̧	atat11, achi11, apas11, coat11, alco11, adeq11, amat11, prog12, tila11, tepe12, tejo11, tlac11, tlaz11, tata11, toto12, tona11, chig11, esta11, nund12, mont12, nund13, ixta11, yoso11, este11, coso11, chay11, mont13, alac11, tepo11, tutu11, brav11, mica11, atoy11, sini11, nund11, huit11, juxt11, mont14, jate11, flor11, jami11, yolo12, ixta12, pied11, yucu16, tida11, acat11, coxc11, yolo11, sayu11, chay12, jica12, cuat11, chaz11, teit11, nuti11, cuau11, pino11, apoa11, zaca11, tama11, gran11, tlal11, tepe11, chic11, colo11, chal11, prog11, ndua11, sind11, yuta11, joco11, cris11, yucu14, more11, jica11, pino12, nuxi11, itun11, ayut11, nuxa11, cuya11, lore11, mixt11, pena12, xaya11, yucu11, moli11, mech11, yuta12, huaz11, ixta13, diux11	100	U+005e U+0075 U+0327
ū	ū	V	yūkū, ñūú	ayut11, conc11, ocot11, jami11, yoso11, alac11, diux11, prog12, coat11	100	U+016b
ū$	ū	V	tūtū, káʔnū	atat11, yoso11, ocot11, gran11, conc11, coat11, prog12, chay11, alac11, metl11, moli11, jami11, xaya11, jica11, ayut11, diux11, caca11, mixt11, yucu12	100	U+016b U+0024
ū̧	ū̧	V	nū̧ʔu̧, kū̧ñu̧	ocot11, yucu12, yucu15, nuyo11, xaya12, atat11, teco11, gran11, ayut11, coic11, metl11, aten11, reye11, nuch11	63	U+016b U+0327
ū̧$	ū̧	V	tù̧ʔū̧, nù̧ʔū̧	nuyo11, gran11, yucu12, ocot11, atat11, xaya12, moli11, yucu15, coic11, metl11, mixt11, prog12, cahu11, ayut11, aten11, chay11, reye11, teco11	72	U+016b U+0327 U+0024
^u̠	u̠	V	u̠ni̠, u̠xa̠	jica13, xoch11, alac11	18	U+005e U+0075 U+0320
uʰ	u̥	V	suʰku̧ʔ, đuʰtu	cuau11, ayut11	3	U+0075 U+02b0
u̧ʰ	ũ̥	V	đu̧ʰku̧, su̧ʰtu	ayut11, cuau11	2	U+0075 U+0327 U+02b0
^ù	u ¹	V	ù'ùn, ùvà	mixt11, yucu17, tlah11, dura11, pied12, xaya12, flor12, abas11, colo11, chig11, xaya11	40	U+005e U+00f9
u̠	u ¹	V	su̠tu̠, ku̠'vi̠	jica13, xoch11, alac11, yuta13	39	U+0075 U+0320
u̠$	u ¹	V	su̠tu̠, yuku̠	jica13, yuta13, alac11, xoch11	20	U+0075 U+0320 U+0024
^ù̧	ũ ¹	V	ù̧ʔù̧, ù̧nì̧	xaya12, prog12, dura11, moli11, mixt11, coic11	8	U+005e U+00f9 U+0327
^ū	u ³	V	ūù, ūvi	ayut11, yoso11, prog12, ocot11, coat11, atat11, gran11	21	U+005e U+016b
^ū̧	ũ ³	V	ū̧ʔù̧	gran11, atat11	2	U+005e U+016b U+0327
^ú	u ⁵	V	úshî, úƀí	coat11, diux11, peno11, huen11, jica11	19	U+005e U+00fa
^ú̧	ũ ⁵	V	ú̧ʔú̧, ú̧ʔǔ̧	peno11, jica11, coat11	4	U+005e U+00fa U+0327
ùh	ùh	V	xùhùn, jùhmà	colo11, chay11	7	U+00f9 U+0068
ûh	ûh	V	huhûha, nitrûha	chic02	2	U+00fb U+0068
ùs	ùs	V	ʔùsà, ʔùsì	guad11, yucu13, ixpa11, aten11	5	U+00f9 U+0073
üs	üs	V	žüsa, ʔüsa	caca11, esta11, tlac12	5	U+00fc U+0073
ùsh	ùsh	V	ntùshi	dura11	1	U+00f9 U+0073 U+0068
ùsʸ	ùsʸ	V	ʔùsʸà	yucu15	1	U+00f9 U+0073 U+02b8
^uu	uu	V	uun, uun²	coat11, copa11	2	U+005e U+0075 U+0075
^uu$	uu	V	uu	chay11, tila11, yucu14, jate11, tlac11, tlaz11, tata11, nuxi11, atat11, tama11, nund12, nuxa11, ixta12, nund13, pied11, chal11, yoso11, tida11, este11, zapo11, yolo11, coxc11, ocot11, lore11, pena12, mont13, achi11, yoso14, adeq11, ndua11, yucu11, teit11, moli11, soya11, mech11, yuta12, huaz11, yuta11, joco11, diux11, sini11, nund11, huit11	44	U+005e U+0075 U+0075 U+0024
úú	úú	V	kúúhu, kúún	huen11, chic02	2	U+00fa U+00fa
úú$	úú	V	žúú, ñúú	peno11, diux11, yoso11, soya11, chic02, ixta12, jica11, chay11, colo11, achi11, atat11, pena11	19	U+00fa U+00fa U+0024
ú̧ú̧	ú̧ú̧	V	kú̧ú̧-saƀi	achi11	1	U+00fa U+0327 U+00fa U+0327
ú̧ú̧$	ú̧ú̧	V	ñú̧ú̧, nú̧ú̧	teco11, jica11, pino11, atat11, gran11	6	U+00fa U+0327 U+00fa U+0327 U+0024
ùù	ùù	V	jùùʔ, tùùn	dura11, prom01	2	U+00f9 U+00f9
ùù$	ùù	V	yùù, nùù	colo11, ocot11, peno11, chay11, alac11, xaya11, reye11, abas11, moli11, prog12, huen11, caca11, ayut11, mont12, nuyo11, dura11, xoch11, xaya12, guad11, yucu12	32	U+00f9 U+00f9 U+0024
ù̧ù̧$	ù̧ù̧	V	tù̧ù̧, tʸù̧ù̧	nuyo11, moli11, peno11, jica11, ayut11	5	U+00f9 U+0327 U+00f9 U+0327 U+0024
ûû$	ûû	V	ñûû, yûû	diux11	2	U+00fb U+00fb U+0024
üü$	üü	V	žüü, yüü	caca11, yucu16, ahue11, tlac12, nuch11, esta11	9	U+00fc U+00fc U+0024
^u̧u̧$	u̧u̧	V	u̧u̧	mica11	1	U+005e U+0075 U+0327 U+0075 U+0327 U+0024
ūū	ūū	V	lūū-čī, chūūn	prog12, yucu15	2	U+016b U+016b
ūū$	ūū	V	ñūū, žūū	prog12, ocot11, chay11, atat11, mixt11, caca11, gran11	11	U+016b U+016b U+0024
ū̧ū̧$	ū̧ū̧	V	ñū̧ū̧, čū̧ū̧	prog12, nuyo11, moli11, jica11, xaya12, yucu12, xaya11, gran11	8	U+016b U+0327 U+016b U+0327 U+0024
ùw	ùw	V	ʔùwà, ʔùwì	nuyo11, yucu15	3	U+00f9 U+0077
^ü	ʉ	V	ütü, üθü	more11, prog12, caca11, esta11	5	U+005e U+00fc
ǜ$	ʉ ¹	V	žǘkǜ, yǜkǜ	prog12, cahu11	7	U+01dc U+0024
ǚ$	ʉ ¹⁵	V	žǖkǚ, žǖʔǚ	tama12, ahue11	3	U+01da U+0024
^ǖ	ʉ ³	V	ǖhǖ	prog12	1	U+005e U+01d6 U+0068
ǖ	ʉ ³	V	žǖkǚ, žǖǘ	tama12, cahu11, prog12, more11	7	U+01d6
ǖ$	ʉ ³	V	tn-ǖsǖ, tǖtǖ	prog12, cahu11	4	U+01d6 U+0024
ǘ	ʉ ⁵	V	žǘʔǚ, žǘkǜ	prog12, ahue11	4	U+01d8
ǘ$	ʉ ⁵	V	žǖǘ	tama12	1	U+01d8 U+0024
ǜ	ʉ¹	V	yǜtā, žǜtā	cahu11, prog12	5	U+01dc
áá	áá	VT	kwáán, kuáán	alac11, prog12, dura11, chic02, pena11, atat11, yoso11, flor12	9	U+00e1 U+00e1
áá$	áá	VT	žáá, xáá	cahu11, yucu17, abas11, ahue11, ocot11, huen11, jica13, atat11, xoch11, diux11, nuch11, gran11, yoso11	15	U+00e1 U+00e1 U+0024
á̧á̧$	á̧á̧	VT	kʷá̧á̧	atat11, metl11, prog12, nuyo11, ayut11, cahu11, chay11, ixpa11, alac11, yucu12, gran11	13	U+00e1 U+0327 U+00e1 U+0327 U+0024
àà	àà	VT	ʔ-jààʔ	prom01	1	U+00e0 U+00e0
àà$	àà	VT	kàà, sàà	prog12, ayut11, tlah11, colo11, xoch11, yucu15, jica11, caca11, cahu11, nuyo11, dura11, ocot11, coat11, peno11, metl11, abas11, moli11, pied12, guad11	25	U+00e0 U+00e0 U+0024
à̧à̧$	à̧à̧	VT	kʷà̧à̧	diux11	1	U+00e0 U+0327 U+00e0 U+0327 U+0024
ââ	ââ	VT	rrâân	chic02	1	U+00e2 U+00e2
āā	āā	VT	kwāān	ayut11	1	U+0101 U+0101
āā$	āā	VT	sāā, yāā	prog12, alac11, xaya12, yoso11, metl11, nuyo11, moli11, ayut11, jica11, tlac11, yucu12, atat11	19	U+0101 U+0101 U+0024
ā̧ā̧$	ā̧ā̧	VT	kʷā̧ā̧	ayut11	1	U+0101 U+0327 U+0101 U+0327 U+0024
àh	àh	VT	tsaàha, kuyiaàha	chic02, colo11	4	U+00e0 U+0068
āh	āh	VT	ndāha, sāhmā	jami11, conc11, yoso11, ayut11, ocot11, alac11, coat11, atat11, prog12, diux11	39	U+0101 U+0068
āʰ	āʰ	VT	kāʰčiʔ, šāʰty	ayut11	2	U+0101 U+02b0
āh$	āh	VT	yahāh, t-yakāh	ayut11	9	U+0101 U+0068 U+0024
às	às	VT	tàsú̧, tàsù̧	coic11, nuyo11, tlah11, ocot11, yucu15, pied12, colo11, yucu12, alac11, pena11, metl11	12	U+00e0 U+0073
à̧s	à̧s	VT	ʔà̧sì̧	ocot11	1	U+00e0 U+0327 U+0073
ās	ās	VT	žāsí̧, tāsuʔ	yucu15, tlac12, ayut11	3	U+0101 U+0073
àw	àw	VT	sàwì	alac11	1	U+00e0 U+0077
āw	āw	VT	yāwī	cahu11	1	U+0101 U+0077
