Grapheme	IPA	CLASS	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^íí	íí	V	íín	huen11	1	U+005e U+00ed U+00ed
íí	íí	V	tníín	huen11	1	U+00ed U+00ed
íí$	íí	V	játsíí, kʷíí	colo11, mont12, cahu11	4	U+00ed U+00ed U+0024
^í̧í̧$	í̧í̧	V	í̧í̧	tlal11, cahu11, jica11	3	U+005e U+00ed U+0327 U+00ed U+0327 U+0024
í̧í̧	í̧í̧	V	nā̧-ⁿdí̧í̧-ñú̧ù̧-vā	nuyo11	1	U+00ed U+0327 U+00ed U+0327
í̧í̧$	í̧í̧	V	ní̧í̧, tí̧í̧	tlal11, nuyo11, ocot11, tepe12, yucu15, sayu11, yucu12, coic11, atat11, teco11	10	U+00ed U+0327 U+00ed U+0327 U+0024
^ìì	ìì	V	ììn	flor12, abas11, dura11, mont12, mixt11, pied12, yucu17	8	U+005e U+00ec U+00ec
ìì	ìì	V	nììn, ʔ-kʷììʔ	mont12, huen11, prom01	3	U+00ec U+00ec
ìì$	ìì	V	nìì, kʷìì	dura11, mont12, coat11, mixt11, jica11, colo11, yucu12, teco11	13	U+00ec U+00ec U+0024
^ì̧ì̧$	ì̧ì̧	V	ì̧ì̧	prog12, tepe11, moli11, cahu11, zapo11, mixt11, jica11, brav11, xaya12, caca11, tona11, chig11, xaya11, ixta13, ayut11	15	U+005e U+00ec U+0327 U+00ec U+0327 U+0024
ì̧ì̧$	ì̧ì̧	V	nì̧ì̧, ñì̧ì̧	tlac12, cahu11, reye11, ixpa11, tona11, chig11, ixta12, aten11, chic11, tama12, nuch11, zapo11, ocot11, coat11, cuat11, teco11, soya11, xaya12, guad11, cuil11	24	U+00ec U+0327 U+00ec U+0327 U+0024
īī	īī	V	shīīn	yoso11	1	U+012b U+012b
īī$	īī	V	tīī, kwīī	alac11, diux11, xaya12	3	U+012b U+012b U+0024
ī̧ī̧$	ī̧ī̧	V	čī̧ī̧, ñā̧ñī̧ī̧	teco11, cahu11, xaya12, xaya11	4	U+012b U+0327 U+012b U+0327 U+0024
ìs	ìs	V	kìsī, kìsi	mont12, yucu15, tlac12, mixt11, alac11, yucu13, metl11, caca11, flor12, ayut11, tlah11, aten11, nuyo11, dura11, ocot11, coic11, xaya11, reye11, teco11, abas11, moli11, pied12, xaya12, guad11, yucu12, yucu17, pena11	36	U+00ec U+0073
īs	īs	V	sīsī, ʔīsù	cahu11, yucu15, xaya12, alac11, nuyo11, moli11, ocot11, yucu12, xaya11, atat11	14	U+012b U+0073
ìsh	ìsh	V	vìshì	dura11	1	U+00ec U+0073 U+0068
īsh	īsh	V	vīshi, mīshtūn	ocot11, yoso11, ayut11, coat11, alac11	8	U+012b U+0073 U+0068
ìsʸ	ìsʸ	V	ʔí-ⁿdìsʸá̧	yucu15	1	U+00ec U+0073 U+02b8
ìw	ìw	V	kìwí, yìwìʔ	cahu11, yolo12, ayut11	3	U+00ec U+0077
ì̧w	ì̧w	V	nì̧wɨ	yucu12, nuyo11	2	U+00ec U+0327 U+0077
īw	īw	V	kīwɨ̀, yīwí	yucu12, nuyo11, cahu11	3	U+012b U+0077
ɨ	ɨ	V	čɨtɨ, yɨquɨ	chay11, colo11, atat11, chal11, prom01, coat11, jami11, yoso11, cuya11, acat11, chay12, cuau11, diux11, huit11, tlaz11, pino12, tama11, itun11, gran11, pied11, ixta11, yolo11, lore11, mont13, yucu11, tutu11, mech11, huaz11, cuil11	100	U+0268
ɨ$	ɨ	V	ⁿdɨʔyɨ, čɨtɨ	chay11, atat11, colo11, diux11, jami11, yoso11, coat11, tlaz11, pino12, tama11, itun11, ixta11, cuya11, nuyo11, acat11, yolo11, lore11, mont13, prom01, sind11, tutu11, mech11, cuau11, huaz11, cris11, tila11, tata11, pied11, chal11, este11, chay12, yucu11, nuti11, yuta12, yuta11, huit11	100	U+0268 U+0024
ɨ́	ɨ́	V	kɨ́đɨ̀, lɨ́ʔvɨ́	diux11, peno11, coat11, atat11, prom01, colo11, yoso11, teco11, gran11	33	U+0268 U+0301
ɨ́$	ɨ́	V	lɨ́ʔvɨ́, līʔwɨ́	colo11, prom01, atat11, coat11, gran11, nuyo11, peno11, jica11, chay11, yucu12, diux11, yoso11	21	U+0268 U+0301 U+0024
ɨ̀	ɨ̀	V	kɨ̀tɨ̀, ndɨ̀vɨ̀	peno11, colo11, prom01, chay11, diux11, coat11, atat11, gran11	31	U+0268 U+0300
ɨ̀$	ɨ̀	V	kɨ̀tɨ̀, kɨ́đɨ̀	peno11, colo11, chay11, nuyo11, diux11, yucu12, atat11, teco11, gran11	27	U+0268 U+0300 U+0024
ɨ̂	ɨ̂	V	ɨ́ɨ̂n	diux11	1	U+0268 U+0302
ɨ̂$	ɨ̂	V	kɨ́ðɨ̂	diux11	1	U+0268 U+0302 U+0024
ɨ̃	ɨ̃	V	tna⁴kɨ̃¹ʰ, ndɨ̃vɨ	chic12, yoso11	9	U+0268 U+0303
ɨ̧	ɨ̧	V	nɨ̧ñɨ̧, tɨ̧ñɨ̧	tama11, yoso11, este11, atat11, pied11, cuya11, yolo11, coat11, sind11, tila11, pino12, itun11, jami11, ixta11, colo11, chal11, lore11, mont13, prom01, nuti11, diux11, huit11, cris11, tata11, gran11, peno11, chay11, mech11, yuta12, cuau11, tlaz11, acat11, soya11, tutu11, huaz11, yuta11	100	U+0268 U+0327
ɨ̧$	ɨ̧	V	nɨ̧ñɨ̧, tɨ̧ñɨ̧	tama11, yoso11, cris11, pied11, cuya11, este11, coat11, tila11, atat11, itun11, jami11, ixta11, colo11, yolo11, lore11, mont13, sind11, yuta12, cuau11, diux11, huit11, tlaz11, tata11, pino12, chal11, acat11, peno11, chay11, prom01, mech11, yucu12, jate11, nuyo11, soya11, nuti11, tutu11, huaz11, yuta11, cuil11	100	U+0268 U+0327 U+0024
ɨ̧́	ɨ̧́	V	nɨ̧́ñɨ̧́, tnɨ̧́ñú̧	peno11, yolo11, acat11	4	U+0268 U+0327 U+0301
ɨ̧́$	ɨ̧́	V	nɨ̧́ñɨ̧́, nɨ̧̀ñɨ̧́	nuyo11, yolo11, acat11, peno11, tlaz11, atat11	6	U+0268 U+0327 U+0301 U+0024
ɨ̧̀	ɨ̧̀	V	nɨ̧̀ñɨ̧̀, tnɨ̧̀ñɨ̧̀	nuyo11, tlaz11, tutu11, peno11, mech11, chay11, huaz11	9	U+0268 U+0327 U+0300
ɨ̧̀$	ɨ̧̀	V	nɨ̧̀ñɨ̧̀, nɨ̧ñɨ̧̀	nuyo11, peno11, yucu12, nuti11, tutu11, mech11, tlaz11, chay11, pino12, huaz11, atat11, gran11	15	U+0268 U+0327 U+0300 U+0024
ɨ̧̄	ɨ̧̄	V	sɨ̧̄ʔɨ̧	yucu12, atat11	2	U+0268 U+0327 U+0304
ɨ̧̄$	ɨ̧̄	V	kʷī̧nɨ̧̄, nɨ̧ñɨ̧̄	yucu12, nuyo11, atat11	9	U+0268 U+0327 U+0304 U+0024
ɨ̄	ɨ̄	V	yɨ̄kɨ̄-tí̧í̧, kɨ̄tɨ̄	yoso11, atat11, gran11, diux11, jami11, nuyo11, yucu12, coat11, chay11, jica11, teco11	45	U+0268 U+0304
ɨ̄$	ɨ̄	V	kɨ̄tɨ̄, ⁿde-kɨƀɨ̄	atat11, gran11, yucu12, yoso11, nuyo11, coat11, chay11, diux11, jami11	32	U+0268 U+0304 U+0024
^ɨ̧̀	ɨ̃ ¹	V	ɨ̧̀ɨ̧̀	peno11, diux11	2	U+005e U+0268 U+0327 U+0300 U+0268 U+0327 U+0300 U+0024
^ɨ̄	ɨ ³	V	ɨ̄ɨn	yoso11	1	U+005e U+0268 U+0304
^ɨ̧̄	ɨ̃ ³	V	ɨ̧̄ɨ̧̀	gran11, atat11	2	U+005e U+0268 U+0327 U+0304
^ɨ́	ɨ ⁵	V	ɨ́ɨ̂n	diux11	1	U+005e U+0268 U+0301
^ɨ̧́	ɨ̃ ⁵	V	ɨ̧́ɨ̧́	peno11, diux11	2	U+005e U+0268 U+0327 U+0301 U+0268 U+0327 U+0301 U+0024
ɨʰ	ɨʰ	V	ⁿdɨʰkɨ̧	cuau11	1	U+0268 U+02b0
ɨɨ	ɨɨ	V	žɨɨŋ	sind11	1	U+0268 U+0268
ɨɨ$	ɨɨ	V	ⁿdɨɨ, ra-yɨɨ	jami11, colo11, chay11, tila11, jate11, pino12, ixta11, acat11, lore11, coat11, mont13, cris11, mont14, tlaz11, atat11, tama11, itun11, gran11, pied11, chal11, cuya11, yoso11, este11, yolo11, nuti11, tutu11, sind11, mech11, cuau11, huaz11, diux11	45	U+0268 U+0268 U+0024
ɨ́ɨ́$	ɨ́ɨ́	V	ñɨ́ɨ́	atat11	1	U+0268 U+0301 U+0268 U+0301 U+0024
ɨ̀ɨ̀$	ɨ̀ɨ̀	V	ñɨ̀ɨ̀	chay11, colo11	2	U+0268 U+0300 U+0268 U+0300 U+0024
ɨ̧ɨ̧	ɨ̧ɨ̧	V	ka-kɨ̧ɨ̧-đawi, nɨ̧ɨ̧-ni̧u̧	este11, cuya11, cuau11	3	U+0268 U+0327 U+0268 U+0327
ɨ̧ɨ̧$	ɨ̧ɨ̧	V	ñɨ̧ɨ̧, ñȩ-ñɨ̧ɨ̧	tlaz11, cuya11, coat11, cuau11, yuta11, cris11, tila11, pino12, tata11, tama11, itun11, jami11, pied11, ixta11, colo11, yoso11, este11, yolo11, lore11, mont13, sind11, yuta12, diux11, huit11	29	U+0268 U+0327 U+0268 U+0327 U+0024
ɨ̧́ɨ̧́$	ɨ̧́ɨ̧́	V	ñɨ̧́ɨ̧́	peno11, acat11	2	U+0268 U+0327 U+0301 U+0268 U+0327 U+0301 U+0024
ɨ̧̀ɨ̧̀$	ɨ̧̀ɨ̧̀	V	ñɨ̧̀ɨ̧̀	nuti11, tutu11, mech11, chay11, huaz11, yucu12	6	U+0268 U+0327 U+0300 U+0268 U+0327 U+0300 U+0024
ɨ̄ɨ̄$	ɨ̄ɨ̄	V	lɨ̄ɨ̄, tyāyɨ̄ɨ̄	jami11, yucu12, nuyo11	4	U+0268 U+0304 U+0268 U+0304 U+0024
ɨ̧ᵑ$	ɨ̧ᵑ	V	đɨ̧ʔɨ̧ᵑ	sind11	1	U+0268 U+0327 U+1d51 U+0024
^o	o	V	oko, owi	prom01, yuta13, alac11, caca11, jami11, esta11, chay11, prog12, more11, atat11, zaca11, cahu11, tlah11, yucu16, colo11, yolo11, ocot11, chay12, prog11, yoso14, cuat11, abas11, tepo01, brav11, pena11	44	U+005e U+006f
ó	ó	V	yókó, tsóko	yuta13, alac11, coat11, mixt11, prom01, yucu17, diux11, prog12, yucu15, huen11, tlah11, mont12, jica13, peno11, yucu13, pena11, jica11, tlac11, chig11, aten11, ixta12, dura11, sayu11, chay11, papa11, xoch11, reye11, ahue11, moli11, soya11, mech11	71	U+00f3
ó$	ó	V	ndòó, yókó	jica13, tlah11, mixt11, xoch11, yucu15, coat11, coic11, colo11, peno11, alac11, diux11, flor12, prog12, huen11, jami11, mont12, conc11, ahue11, pied12, xaya12, pena11, jica11, tepe03, chig11, tlac12, ixta12, dura11, chic02, sayu11, prom01, reye11, metl11, soya11, mech11	100	U+00f3 U+0024
ó̧	ó̧	V	ñó̧ō̧, ñó̧ʔò̧	caca11, cahu11	2	U+00f3 U+0327
ó̧$	ó̧	V	tnō̧ó̧, tò̧ó̧	alac11, teco11, cahu11	3	U+00f3 U+0327 U+0024
ò	ò	V	sòʔō, sò'o	mont12, flor12, pied12, tlah11, mixt11, dura11, yucu15, peno11, prom01, ahue11, caca11, cahu11, ocot11, alac11, coic11, xaya12, prog12, tepe12, jica11, tlac12, atat11, gran11, ayut11, aten11, tama12, nuch11, nuyo11, coat11, chay11, reye11, metl11, abas11, yucu12, diux11, pena11	100	U+00f2
ò$	ò	V	ⁿdōò, šītò	mont12, pena11, colo11, gran11, atat11, peno11, prog12, dura11, ocot11, chay11, alac11, yucu13, metl11, xaya12, caca11, ayut11, aten11, nuch11, xaya11, reye11, yucu12, tepe12, jica11, flor12, cahu11, nuyo11, mixt11, coat11, coic11, xoch11, teco11, abas11, moli11, pied12, guad11, ixpa11, diux11	100	U+00f2 U+0024
ò̧	ò̧	V	tò̧mī̧, kò̧mì̧	alac11, aten11, ixpa11, caca11, yucu13, cahu11, guad11	19	U+00f2 U+0327
ò̧$	ò̧	V	şā̧ʔò̧, ʔītò̧	alac11, caca11, reye11, ocot11	8	U+00f2 U+0327 U+0024
ô	ô	V	óhôn, kóôn	diux11, reye11, chic02	4	U+00f4
ô$	ô	V	víkô, koñô	diux11, flor12	5	U+00f4 U+0024
ô̧	ô̧	V	kô̧mi̧, tô̧mi̧	nuch11	2	U+00f4 U+0327
ǒ	ǒ	V	tǒmî, ti̠-sǒ'ma̠	jica13, pied12, flor12, xoch11	7	U+01d2
ǒ$	ǒ	V	yosǒ, vìkǒ	pied12, flor12, yucu17, coat11, mixt11, tlah11, more11, tama12, pena11, coic11	32	U+01d2 U+0024
õ	õ	V	i³õ¹, kɥi³õ³	yucu16	3	U+00f5
ṍ	ṍ	V	íjṍʔ	prom01	1	U+1e4d
ṍ$	ṍ	V	ⁿdí=ʔ²-kʷéjṍ, tòʔṍ	prom01	3	U+1e4d U+0024
õ̀$	õ̀	V	ʔ-kʷíjõ̀, sìkõ̀	prom01	5	U+00f5 U+0300 U+0024
^o̧	o̧	V	o̧ʔo̧, o̧na̧	caca11, cahu11, zapo11, alac11, soya11, mont12, coxc11, cuat11, tila11, jate11, nuxi11, apoa11, tama11, jami11, esta11, pied11, chic11, apas11, acat11, chay11, ndua11, tepo11, nuti11, sind11, tutu11, mech11, brav11, huaz11, yuta11, joco11, cuil11	44	U+005e U+006f U+0327
ō	ō	V	ⁿdōò, stōò	gran11, ayut11, alac11, atat11, xaya12, yucu15, ocot11, metl11, chay11, coic11, moli11, yucu12, prog12, caca11, zaca11, jami11, cahu11, tama12, yoso11, nuch11, nuyo11, coat11, mixt11, conc11, xaya11, yucu13, reye11, teco11	61	U+014d
ō$	ō	V	sòʔō, yōhō	atat11, alac11, cahu11, ocot11, gran11, coat11, prog12, nuyo11, yucu12, yucu15, jami11, yoso11, chay11, xaya12, jica11, tlac11, caca11, aten11, tama12, reye11, yucu13, metl11, ahue11, moli11, ixpa11	78	U+014d U+0024
ō̧	ō̧	V	ñō̧ò̧, tnō̧ó̧	cahu11, caca11, nuch11	4	U+014d U+0327
ō̧$	ō̧	V	nò̧ʔō̧, tnō̧ʔō̧	cahu11, alac11, caca11, nuch11	9	U+014d U+0327 U+0024
^o̠	o̠	V	o̠ko̠, o̠na̠	alac11, jica13, xoch11	6	U+005e U+006f U+0320
^ò	o ¹	V	òkò, òvà	flor12, pied12, mont12, dura11, yucu17, prom01	20	U+005e U+00f2
o̠	o ¹	V	so̠'o, tio̠'o	alac11, yuta13, jica13, xoch11	49	U+006f U+0320
o̠$	o ¹	V	o̠ko̠, yódo̠	yuta13, alac11, xoch11, jica13	34	U+006f U+0320 U+0024
^ō	o ³	V	ōko	yoso11, ayut11	2	U+005e U+014d
^ō̧	õ ³	V	ō̧ʔō̧	cahu11	1	U+005e U+014d U+0327
^ó	o ⁵	V	ókō, ókô	coat11, diux11	2	U+005e U+00f3
óh	óh	V	yóho, chóhō	diux11, prog12, chic02, coat11, alac11, colo11, atat11, jami11	15	U+00f3 U+0068
òh	òh	V	ndòhò, còhò	colo11, chay11	3	U+00f2 U+0068
ōh	ōh	V	yōhō, lōhō	ocot11, alac11, yoso11, prog12, coat11, chay11, jami11	10	U+014d U+0068
ōʰ	ōʰ	V	yōʰkoʔ	ayut11	1	U+014d U+02b0
ōh$	ōh	V	yohōh	ayut11	1	U+014d U+0068 U+0024
óó	óó	V	kóó-kāá	ixpa11	1	U+00f3 U+00f3
óó$	óó	V	kóó, ⁿdóó	peno11, jica11, diux11	9	U+00f3 U+00f3 U+0024
ó̧ó̧$	ó̧ó̧	V	kó̧ó̧	diux11	1	U+00f3 U+0327 U+00f3 U+0327 U+0024
òò	òò	V	kòò-ká, kòò-káá	guad11, tama12, prom01, teco11, nuch11	5	U+00f2 U+00f2
òò$	òò	V	kòò, ⁿdòò	prog12, mont12, dura11, caca11, cahu11, colo11, alac11, yucu13, abas11, aten11, ocot11, chay11, reye11, moli11, xaya12, huen11, tepe11, nuyo11, peno11, cuat11, xaya11, teco11, brav11, guad11, ixpa11, yucu12	53	U+00f2 U+00f2 U+0024
ò̧ò̧$	ò̧ò̧	V	nò̧ò̧	yucu12, nuyo11, cahu11	3	U+00f2 U+0327 U+00f2 U+0327 U+0024
ôô	ôô	V	chinôônha	chic02	1	U+00f4 U+00f4
ôô$	ôô	V	yôô	diux11	1	U+00f4 U+00f4 U+0024
ōō	ōō	V	tōōn	jami11	1	U+014d U+014d
ōō$	ōō	V	yōō, ñōō	alac11, yoso11, atat11	3	U+014d U+014d U+0024
ō̧ō̧$	ō̧ō̧	V	ñō̧ō̧, čō̧ō̧	alac11, caca11	2	U+014d U+0327 U+014d U+0327 U+0024
^u	u	V	uvi, una	zaca11, pena11, yolo11, prog12, atat11, colo11, coat11, abas11, jami11, ocot11, chay11, alac11, alco11, flor12, tlah11, chal11, pied12, brav11, tepe03, apoa11, chic12, esta11, tlal11, apas11, acat11, conc11, papa11, xoch11, nuti11, copa11, amat11	100	U+005e U+0075
ú	ú	V	yúyú, xúxan	diux11, coat11, colo11, peno11, prog12, tlah11, ocot11, mixt11, pied12, jica11, flor12, ayut11, conc11, jami11, mont12, yoso11, chic02, alac11, abas11, caca11, gran11, chay11	100	U+00fa
ú$	ú	V	yúyú, yùú	diux11, tlah11, peno11, mixt11, ocot11, coat11, jami11, colo11, xoch11, chic02, conc11, prog12, alac11, flor12, yoso11, pied12, atat11, gran11, ayut11, mont12, abas11	100	U+00fa U+0024
ú̧	ú̧	V	ñú̧ʔú̧, ñú̧ʔù̧	peno11, ayut11, nuyo11, yucu15, jica11, tlaz11, tona11, tlac12, tepe11, dura11, coso11, acat11, ocot11, coat11, coic11, teco11, yucu13, reye11, metl11, yucu12	31	U+00fa U+0327
ú̧$	ú̧	V	ñú̧ʔú̧, káʔnú̧	peno11, yucu15, coic11, coat11, jica11, yucu12, metl11, prog12, tepe11, nuyo11, coso11, ahue11, ocot11, tlaz11, xaya12, tama12, tona11, atat11	44	U+00fa U+0327 U+0024
ù	ù	V	kùʔù, yùkù	mixt11, tlah11, peno11, flor12, ocot11, metl11, ayut11, coat11, pied12, jica11, atat11, xaya11, abas11, moli11, caca11, gran11, chay11, mont12, cahu11, alac11, diux11	100	U+00f9
ù$	ù	V	kùʔù, tūtù	pena11, gran11, colo11, mixt11, chay11, atat11, flor12, pied12, mont12, ocot11, peno11, moli11, caca11, jica11, ayut11, tlah11, coat11, alac11, xoch11, metl11, xaya11, abas11	100	U+00f9 U+0024
ù̧	ù̧	V	nù̧ʔū̧, ʔù̧ʔù̧	yucu12, nuyo11, ocot11, yucu15, xaya12, metl11, coic11, ahue11, prog12, tlac12, nuch11, dura11, coat11, yucu13, teco11, atat11, gran11, ayut11, aten11, tama12, alac11, mixt11, peno11, chay11, reye11, moli11	100	U+00f9 U+0327
ù̧$	ù̧	V	ʔù̧ʔù̧, ù̧ʔù̧	yucu15, ocot11, peno11, xaya12, nuyo11, teco11, yucu12, gran11, yucu13, atat11, aten11, guad11, dura11, reye11, ahue11, prog12, jica11, tlac12, ayut11, tama12, nuch11, acat11, mixt11, coat11, chay11, alac11, coic11, metl11, moli11, mech11, ixpa11, huaz11, diux11	93	U+00f9 U+0327 U+0024
