ID	DOCULECT	CONCEPT	SPANISH_GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE	VARIETY_CODE
8129	SanMiguelIxtapamMixtec	PIMPLE	grano	ⁿǰiʔi	ⁿǰiʔi	36	1809			josserand1983mixtec		ixta13
8148	SantoDomingoNundoMixtec	PIMPLE	grano	ⁿǰiʔi	ⁿǰiʔi	36	1809			josserand1983mixtec		nund13
8179	SantaCatarinaTlaltempanMixtec	PIMPLE	grano	ⁿǰiʔi	ⁿǰiʔi	36	1809			josserand1983mixtec		tlal11
18783	ChigmecatitlanMixtec	SMOOTH	lisa, liso	ⁿǰiʔi	ⁿǰiʔi	193	1234			josserand1983mixtec		chig11
18860	SanAgustinTlacotepecMixtec	SMOOTH	lisa, liso	ⁿǰiʔi	ⁿǰiʔi	193	1234			josserand1983mixtec		tlac11
18864	SantaMariaTonahuixtlaMixtec	SMOOTH	lisa, liso	ⁿǰiʔi	ⁿǰiʔi	193	1234			josserand1983mixtec		tona11
8170	SanSebastianTecomaxtlahuacaMixtec	PIMPLE	grano	ⁿǰīʔí	ⁿǰīʔí	36	1809			josserand1983mixtec		teco11
14812	SanCristobalJamiltepecMixtec	RIVER	río	ⁿǰu-ⁿǰuča	ⁿǰu-ⁿǰuča	139	666			josserand1983mixtec		cris11
11620	SanCristobalJamiltepecMixtec	CORN DOUGH	masa	ⁿǰuča̧	ⁿǰuča̧	91				josserand1983mixtec		cris11
12104	SanMiguelAmatitlanMixtec	BEAN	frijol(es)	ⁿǰuči	ⁿǰuči	96	832			josserand1983mixtec		amat11
12714	SanAndresNuxinoMixtec	HONEY	miel	ⁿǰuđi	ⁿǰuđi	103	942			josserand1983mixtec		nuxi11
15025	SanCristobalJamiltepecMixtec	MOUNTAIN OR HILL	cerro	ⁿǰuku	ⁿǰuku	141	2118			josserand1983mixtec		cris11
1794	SanAndresChicahuaxtla1890Triqui	SMALL (SINGULAR)	chico	Nliha	nliha	175				belmar1897ensayo		chic02
5951	SanAndresChicahuaxtlaTriqui	BED	cama, lecho	nna³	nna³	48	1663			good1978diccionario		chic12
5993	SanAndresChicahuaxtlaTriqui	CORN FIELD	milpa	nna³⁵	nna³⁵	88	449			good1978diccionario		chic12
1718	SanAndresChicahuaxtla1890Triqui	FAT (FROM ANIMALS)	grasa	Nnami	nnami	104	1282			belmar1897ensayo		chic02
18246	SanJuanTamazolaMixtec	TASTY	sabroso	Nna̧mi̧	nna̧mi̧	183	1813			josserand1983mixtec		tama11
6039	SanAndresChicahuaxtlaTriqui	NET	red, ayate	nnanj³	nnanj³	131	2963			good1978diccionario		chic12
1719	SanAndresChicahuaxtla1890Triqui	FAT (FROM ANIMALS)	manteca	Nnanúyaha	nnanúyaha	104	1282			belmar1897ensayo		chic02
6037	SanAndresChicahuaxtlaTriqui	ROPE	mecate, cuerda	nne'³e	nne'³e	129	1218			good1978diccionario		chic12
6047	SanAndresChicahuaxtlaTriqui	WATER	agua	nne³⁴	nne³⁴	137	948			good1978diccionario		chic12
5942	SanAndresChicahuaxtlaTriqui	URINE	orina	nne³⁴ ri'i'⁴	nne³⁴-ri'i'⁴	38	1142			good1978diccionario		chic12
6020	SanAndresChicahuaxtlaTriqui	MEAT	carne	nne³⁵	nne³⁵	114	634			good1978diccionario		chic12
1728	SanAndresChicahuaxtla1890Triqui	MEAT	carne	Nneé	nneé	114	634			belmar1897ensayo		chic02
1821	SanAndresChicahuaxtla1890Triqui	DREAM	sueño	Nneheha	nneheha	207	2374			belmar1897ensayo		chic02
6113	SanAndresChicahuaxtlaTriqui	DREAM	sueño	nnej³e	nnej³e	207	2374			good1978diccionario		chic12
1669	SanAndresChicahuaxtla1890Triqui	URINE	orina	Nnerihii	nnerihii	38	1142			belmar1897ensayo		chic02
1637	SanAndresChicahuaxtla1890Triqui	MOTHER	madre	Nni	nni	1	1216			belmar1897ensayo		chic02
5906	SanAndresChicahuaxtlaTriqui	MOTHER	madre	nni'²	nni'²	1	1216			good1978diccionario		chic12
6908	SanFranciscolasFloresMixtec	BLOOD	sangre	Nni̧i̧	nni̧i̧	17	946			josserand1983mixtec		flor11
7529	SanEstebanAtatlahucaMixtec	FINGERNAIL	uña	Nni̧i̧	nni̧i̧	28	1258			josserand1983mixtec		atat11
7608	SantaMariaTataltepecMixtec	FINGERNAIL	uña	Nni̧i̧	nni̧i̧	28	1258			josserand1983mixtec		tata11
7610	SanJuanTeitaMixtec	FINGERNAIL	uña	Nni̧ñi̧	nni̧ñi̧	28	1258			josserand1983mixtec		teit11
10182	SanJuanTeitaMixtec	RAT	rata	Nni̧ñi̧	nni̧ñi̧	60	1490			josserand1983mixtec		teit11
19744	SanJuanTeitaMixtec	WORKING OR WORK	trabajo	Nni̧ñu̧	nni̧ñu̧	204	2281			josserand1983mixtec		teit11
1484	SantiagoYosonduaMixtec	WORKING OR WORK	work	Nnīñū	nnīñū	204	2281			farris1992syntactic		yoso11
19742	SantaMariaTataltepecMixtec	WORKING OR WORK	trabajo	Nni̧o̧	nni̧o̧	204	2281			josserand1983mixtec		tata11
15922	SanJuanYutaMixtec	FOAM	espuma	Nni̧u̧	nni̧u̧	150	1768			josserand1983mixtec		yuta12
19655	SantaCatarinaAdequezMixtec	WORKING OR WORK	trabajo	Nni̧u̧	nni̧u̧	204	2281			josserand1983mixtec		adeq11
19740	SanJuanTamazolaMixtec	WORKING OR WORK	trabajo	Nni̧u̧	nni̧u̧	204	2281			josserand1983mixtec		tama11
19770	SanJuanYutaMixtec	WORKING OR WORK	trabajo	Nni̧u̧	nni̧u̧	204	2281			josserand1983mixtec		yuta12
10778	SanJuanTamazolaMixtec	FEATHER	pluma	Nnɨ̧mɨ̧	Nnɨ̧mɨ̧	77	1201			josserand1983mixtec		tama11
7606	SanJuanTamazolaMixtec	FINGERNAIL	uña	Nnɨ̧ñɨ̧	Nnɨ̧ñɨ̧	28	1258			josserand1983mixtec		tama11
7636	SanJuanYutaMixtec	FINGERNAIL	uña	Nnɨ̧ñɨ̧	Nnɨ̧ñɨ̧	28	1258			josserand1983mixtec		yuta12
10087	SanEstebanAtatlahucaMixtec	RAT	rata	Nnɨ̧ñɨ̧́	Nnɨ̧ñɨ̧́	60	1490			josserand1983mixtec		atat11
19805	CuilapamGuerreroMixtec	WORD	palabra	Nno̧ʔo̧	Nno̧ʔo̧	205	1599			josserand1983mixtec		cuil11
8936	SanJuanTamazolaMixtec	POST	horcón	Nnu̧-đɨ̧ʔɨ̧	Nnu̧-đɨ̧ʔɨ̧	46	281			josserand1983mixtec		tama11
1668	SanAndresChicahuaxtla1890Triqui	PIMPLE	grano	Nnuha	Nnuha	36	1809			belmar1897ensayo		chic02
1485	SantiagoYosonduaMixtec	WORD	word	Nnuhu	Nnuhu	205	1599			farris1992syntactic		yoso11
10807	SanJuanYutaMixtec	FEATHER	pluma	Nnu̧mi̧	Nnu̧mi̧	77	1201			josserand1983mixtec		yuta12
15489	SanEstebanAtatlahucaMixtec	IRON	fierro	Nnu̧ni̧	Nnu̧ni̧	145	621			josserand1983mixtec		atat11
15539	SanJuanTamazolaMixtec	IRON	fierro	Nnu̧ni̧	Nnu̧ni̧	145	621			josserand1983mixtec		tama11
15556	SantiagoYosonduaMixtec	IRON	fierro	Nnu̧ni̧	Nnu̧ni̧	145	621			josserand1983mixtec		yoso11
1447	SantiagoYosonduaMixtec	BLACK	black	Nnúú	Nnúú	155	163			farris1992syntactic		yoso11
7629	SantiagoYosonduaMixtec	FINGERNAIL	uña	Nnu̧u̧	Nnu̧u̧	28	1258			josserand1983mixtec		yoso11
10693	SantaCatarinaAdequezMixtec	FEATHER	pluma	Nnu̧u̧	Nnu̧u̧	77	1201			josserand1983mixtec		adeq11
10752	SanAgustinMonteLobosMixtec	FEATHER	pluma	Nnu̧u̧	Nnu̧u̧	77	1201			josserand1983mixtec		mont14
10780	SantaMariaTataltepecMixtec	FEATHER	pluma	Nnu̧u̧	Nnu̧u̧	77	1201			josserand1983mixtec		tata11
10800	SantiagoYosonduaMixtec	FEATHER	pluma	Nnu̧u̧	Nnu̧u̧	77	1201			josserand1983mixtec		yoso11
19762	SantiagoYosonduaMixtec	WORKING OR WORK	trabajo	Nnu̧u̧	Nnu̧u̧	204	2281			josserand1983mixtec		yoso11
10700	SanEstebanAtatlahucaMixtec	FEATHER	pluma	Nnū̧u̧	Nnū̧u̧	77	1201			josserand1983mixtec		atat11
7073	SantiagoYosonduaMixtec	TOOTH	diente	Nnu̧ʔu̧	Nnu̧ʔu̧	22	1380			josserand1983mixtec		yoso11
19776	SantaCatarinaAdequezMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		adeq11
19815	SanAntonioHuitepecMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		huit11
19860	SanJuanTamazolaMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		tama11
19862	SantaMariaTataltepecMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		tata11
19864	SanJuanTeitaMixtec	WORD	palabra	Nnu̧ʔu̧	Nnu̧ʔu̧	205	1599			josserand1983mixtec		teit11
