hu	hu
^huu	^huu
^gua	^gua
^hu	^hu
^N	^N
aa	aa
ghu	ghu
tr	tr
oo	oo
un	un
^yi	^yi
ii	ii
úú	úú
en	en
hi	hi
aá	aá
ee	ee
ií	ií
ooó	ooó
ôô	ôô
uú	uú
^hi	^hi
^ghu	^ghu
yi	yi
^Nn	^Nn
Nn	Nn
Ññ	Ññ
<̧>	<̧>
^tx	^tx
^ntx	^ntx
^kuà	^kuà
^kuì	^kuì
^kuè	^kuè
^nch	^nch
^kuí	^kuí
^kué	^kué
^kuá	^kuá
nch	nch
^kue	^kue
^kui	^kui
^tio̠	^tio̠
uu	uu
e³$	e³$
^shr	^shr
o³²$	o³²$
on	on
o⁴$	o⁴$
on³²$	on³²$
e⁴$	e⁴$
a³$	a³$
a⁴$	a⁴$
a¹$	a¹$
o²$	o²$
e¹³$	e¹³$
a³²$	a³²$
e³²$	e³²$
shr	shr
^ky	^ky
^xy	^xy
^kwy	^kwy
<y>	<y>
<d>	<d>
^nt	^nt
^nts	^nts
^jn	^jn
jn	jn
^dy	^dy
vu	vu
^qua	^qua
^hui	^hui
hua	hua
^hua	^hua
^cui	^cui
qua	qua
^vi	^vi
^kua	^kua
<g>	<g>
^kuaan	^kuaan
ēe	ēe
āa	āa
īi	īi
ée	ée
āá	āá
<ō>	<ō>
<ñ>	<ñ>
īí	īí
áa	áa
áan$	áan$
^ntsia	^ntsia
kuǐ	kuǐ
^tio	^tio
^tia	^tia
^tió	^tió
^kuáán$	^kuáán$
^tt	^tt
^cn	^cn
in	in
^ng	^ng
^kk	^kk
^cchr	^cchr
^bb	^bb
^cch	^cch
^kkw	^kkw
ty	ty
^ty	^ty
^ndy	^ndy
ndy	ndy
tsiâ	tsiâ
ntsiǎ	ntsiǎ
^kua̠	^kua̠
^cua	^cua
^cue	^cue
^cuaan$	^cuaan$
<³>	<³>
<⁴>	<⁴>
<¹>	<¹>
<x>	<x>
<²>	<²>
<c>	<c>
<h>	<h>
<'>	<'>
<b>	<b>
<j>	<j>
^chiuun$	^chiuun$
<ⁿ>	<ⁿ>
^đy	^đy
^ny	^ny
^mb	^mb
