Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
i	i	kiti, kisi	zaca11, ayut11, yucu16, alco11, ixta12, yolo11, mixt11, soso11, apoa11, mont12, alac11, pino11, cahu11, tlah11, xaya11, ndua11, sayu11, amat11, tama12, nuxa11, tepe11, prog12, jica12, nund12, yolo12, yoso14, yucu13, nuch11, adeq11, yucu17, chaz11, esta11, flor11, xoch11, caca11, flor12, jica11, brav11, coxc11, papa11, teit11, ocot11, tona11, sini11, prog11, joco11, cuat11, ixta13, abas11, nuxi11, yucu11, mica11, coso11, nuyo11, cuil11, pena11, pena12, chay12, nund11, tlal11, nund13, tejo11, zapo11, soya11, jica13, jate11, toto12, moli11, achi11, chig11, more11, apas11, chic11, pied12, atoy11, tida11, dura11, tepe12, ahue11, juxt11, coic11	100	U+0069
a	a	kaʔnu̧, kama	chic12, papa11, yolo11, chic02, tepe03, copa11, zaca11, chay11, yuta13, alac11, coat11, yoso14, alco11, pena11, ayut11, apoa11, colo11, ixta12, xaya11, amat11, yuta11, prog12, atat11, nund12, yucu16, aten11, adeq11, jami11, cris11, ocot11, sini11, abas11, tepo01, huen11, soso11, sind11, chal11, soya11, toto12, achi11, pied12, chic11, mont12, acat11, apas11, ahue11, jate11	100	U+0061
ʔ	ʔ	kaʔnu̧, káʔnū	coat11, nuxi11, atat11, prog12, diux11, pino11, peno11, gran11, chay11, ocot11, soya11, cahu11, prom01, mixt11, cuya11, cuau11, aten11, reye11, itun11, esta11, jami11, caca11, ixta13, guad11, mica11, nuyo11, lore11, metl11, ayut11, sind11, moli11, acat11, juxt11, coic11, ixta11, huaz11, nuch11, brav11, pied11, prog11, coso11, chal11, achi11, more11, apas11, ahue11, sayu11, jica12, nund12, flor11, cris11, coxc11, alco11, cuat11, mont13, pena12, chay12, este11, apoa11, mont12, atoy11, dura11, colo11, ixta12, ndua11, amat11, nuxa11, pino12, huit11, adeq11, chaz11, mech11, jica11, nuti11, sini11, joco11, tama11, cuil11, nund11, nund13, ixpa11, chig11, chic11, alac11, jate11	100	U+0294
u	u	ⁿduči, ⁿdutʸi	chic12, chic02, papa11, colo11, coat11, atat11, dura11, jami11, chay11, tepo01, ayut11, alac11, ixta12, tlah11, cahu11, cuya11, ixta11, amat11, cuau11, huaz11, tepe03, huit11, yucu17, adeq11, itun11, chaz11, esta11, flor12, caca11, brav11, coxc11, cris11, gran11, alco11, cuat11, ixta13, abas11, guad11, coso11, cuil11, diux11, chay12, copa11, mixt11, chal11, jate11, este11, achi11, ixpa11, chig11, pied12, apas11, mont12, pino11, apoa11, atoy11, chic11, acat11, coic11	100	U+0075
i$	i	kiti, kisi	abas11, prog12, alac11, tlah11, tepe03, yoso14, adeq11, yucu17, jami11, ocot11, pena11, huen11, mixt11, jica13, achi11, colo11, cahu11, xaya11, ndua11, sayu11, coat11, amat11, tama12, nuxa11, tepe11, dura11, jica12, nund12, yolo12, nuch11, yucu13, yucu16, reye11, chaz11, esta11, flor11, caca11, jica11, flor12, brav11, coxc11, teit11, tona11, zaca11, chay11, sini11, alco11, prog11, joco11, yucu11, cuat11, ixta13, mica11, coso11, tepo01, cuil11, pena12, chay12, nund11, tlal11, nund13, tejo11, ayut11, zapo11, jate11, toto12, yuta13, moli11, chig11, more11, apas11, pied12, mont12, acat11, atoy11, tida11, tepe12, ahue11, juxt11, coic11	100	U+0069 U+0024
t	t	kiti, kɨtɨ	ixta12, atat11, chay11, ocot11, diux11, apoa11, alac11, cahu11, coat11, peno11, jami11, caca11, gran11, jica11, alco11, colo11, mixt11, ayut11, chal11, metl11, moli11, chic11, mont12, cuya11, ixta11, ndua11, cuau11, nuxa11, dura11, jica12, huaz11, nund12, huit11, aten11, nuch11, adeq11, itun11, esta11, mech11, cris11, brav11, coxc11, nuti11, papa11, pied11, joco11, cuat11, abas11, conc11, nuyo11, lore11, cuil11, pena11, huen11, mont13, chay12, nund11, pena12, nund13, jica13, jate11, este11, achi11, ixpa11, more11, apas11, atoy11, acat11, ahue11, coic11	100	U+0074
n	n	kaʔnu̧, káʔnū	chic12, alac11, coat11, diux11, papa11, copa11, prog12, atat11, ocot11, chay11, ayut11, cahu11, jami11, zaca11, yoso11, alco11, yolo11, chal11, colo11, cuya11, peno11, amat11, cuau11, dura11, yoso14, tepe03, yucu16, aten11, adeq11, chaz11, xoch11, caca11, gran11, brav11, coxc11, cris11, prom01, cuat11, tama11, nuxi11, coso11, chic02, cuil11, pena11, chay12, mixt11, metl11, yuta13, achi11, chig11, pied12, acat11, apas11, apoa11, chic11, atoy11, ahue11, coic11	100	U+006e
a$	a	uwa, kama	chic02, tepo01, chay11, alac11, prog12, tepe03, jami11, ocot11, abas11, ixta12, yoso14, zaca11, yoso11, pena11, diux11, ayut11, apoa11, chic11, colo11, cahu11, xaya11, ixta11, coat11, yuta11, atat11, dura11, nund12, huaz11, adeq11, coic11, itun11, chaz11, chic12, esta11, caca11, cris11, brav11, coxc11, sini11, alco11, cuat11, guad11, coso11, huen11, mixt11, soso11, sind11, chal11, soya11, toto12, este11, achi11, ixpa11, chig11, pied12, acat11, apas11, atoy11, ahue11, jate11	100	U+0061 U+0024
