NUMBER	ENGLISH	SPANISH	ENGLISH_NEW	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	ANIMAL	animal	animal (cover term)	619	ANIMAL
2	AVOCADO	aguacate	avocado	3725	AVOCADO
3	BACK	espalda	back (body part)	1291	BACK
4	BANANA	plátano	banana (any kind)	868	BANANA
5	TORTILLA BASKET	tenate	a basket to store tortillas		
6	BELLY OR STOMACH	estómago	stomach (inside or outside)	819	STOMACH
7	BIG (PLURAL)	grande.PL	big of plural referents	1202	BIG
8	BIG (SINGULAR)	grande.SG	big of singular referents	1202	BIG
9	BIRD	pájaro	bird (cover term)	937	BIRD
10	BLACK	negro	black (color)	163	BLACK
11	BONE	hueso	bone	1394	BONE
12	BROTHER (OF MAN)	hermano de hombre	brother of a man	559	BROTHER (OF MAN)
13	CAT	gato	cat	1208	CAT
14	CHAYOTE	chayote	chayote squash		
15	CHILD (DESCENDANT)	hijo/hija	child	1801	CHILD (DESCENDANT)
16	CLOTH OR CLOTHES	tela, ropa	cloth or clothes (made of cloth)		
17	COOKING POT	olla	pot for cooking	3653	COOKING POT
18	CORN	maíz	corn (in grains)	506	MAIZE
19	CORN FIELD	milpa	corn field	449	CORN FIELD
20	CROSS-SEX SIBLING	hermana/hermano de otro genero	cross-sex sibling		
21	DAY (24 HOURS)	día	day, date	1260	DAY (24 HOURS)
22	ALL DAY	todo el día	timespan that covers a whole day		
23	DEER	venado	deer	1936	DEER
24	DEW	rocío	dew	1977	DEW
25	DISEASE	enfermedad	disease, illness, sickness	1986	DISEASE
26	DOG	perro	dog	2009	DOG
27	EGG	huevo	egg	744	EGG
28	EIGHT	ocho	eight	1705	EIGHT
29	FACE	cara	face	1560	FACE
30	FAR	lejos	far (away)	1406	FAR
31	FAT (FROM ANIMALS)	manteca	fat, lard, grease	1282	FAT (FROM ANIMALS)
32	FATHER	padre	father	1217	FATHER
33	FIFTEEN	quince	fifteen	1709	FIFTEEN
34	FISH	pez	fish	227	FISH
35	FIVE	cinco	five	493	FIVE
36	FLOWER	flor	flower	239	FLOWER
37	FOOT	pie	foot	1301	FOOT
38	FOUR	cuatro	four	1500	FOUR
39	GOOD	bueno	good	1035	GOOD
40	GRASS	zacate	grass, hay	606	GRASS
41	GRASSHOPPER	chapulín	grasshopper (cover term)	607	GRASSHOPPER
42	MIDDLE	medio, algunos	middle	1093	MIDDLE
43	HAND	mano	hand	1277	HAND
44	HEAVY	pesado	heavy	1210	HEAVY
45	HEN	gallina	hen, also chicken	1514	HEN
46	HOLE	hoyo	hole	1667	HOLE
47	HORN (ANATOMY)	cuerno	horn	1393	HORN (ANATOMY)
48	HOT	caliente	hot	1286	HOT
49	HOUSE	casa	house	1252	HOUSE
50	LONG (PLURAL)	largo.PL	long of plural referents	1203	LONG
51	LONG (SINGULAR)	largo.SG	long of singular referents	1203	LONG
52	LIME (MATERIAL)	cal	lime (the material, not the fruit)	2540	LIME (MATERIAL)
53	MAN	hombre	man	1554	MAN
54	MEAT	carne	meat	2615	FLESH OR MEAT
55	MEDICINE	medicina	medicine, remedy	1372	MEDICINE
56	METAL	metal	metal	2244	METAL
57	MONEY	dinero	money	1559	MONEY
58	MOTHER	madre	mother	1216	MOTHER
59	MOTHER VOCATIVE	mamá!	mother vocative		
60	MOUNTAIN OR HILL	monte	mountain or hill, typically with grass on it		
61	MOUTH	boca	mouth (body part)	674	MOUTH
62	MUD	lodo	mud	640	MUD
63	MOUSE	ratón	mouse	1491	MOUSE
64	MUSHROOM	hongo	mushroom	641	MUSHROOM
65	SONG	canción	song	1096	SONG
66	NEAR	cerca de, está cerca	near 	1942	NEAR
67	NIGHT TIME	de noche	nighttime, time period when it is dark		
68	NINE	nueve	nine	1483	NINE
69	NOSE	nariz	nose	1221	NOSE
70	NOW OR TODAY	ahora, hoy	now, today	1376	NOW
71	ONE	uno	one	1493	ONE
72	PAPER	papel, libro	paper	648	PAPER
73	PATH	camino	path, road	2252	PATH
74	PIG	marrano	pig	1337	PIG
75	PLATE	plato	plate	480	PLATE
76	POOR	pobre	poor	1674	POOR
77	POSSUM	tlacuache	possum, opossum	470	POSSUM
78	PRICKLY PEAR CACTUS	nopal	prickly pear cactus		
79	PRIEST	sacerdote	priest	852	PRIEST
80	PUMPKIN	calabaza	pumpkin, squash (cover term)	864	PUMPKIN
81	RABBIT	conejo	rabbit	1136	RABBIT
82	RAIN (PRECIPITATION)	lluvia	rain	658	RAIN (PRECIPITATION)
83	RED	rojo	red (color)	156	RED
84	RICH	rico	rich (having a lot of money, possessions)	712	RICH
85	ROOSTER	gallo	rooster	1511	ROOSTER
86	ROPE	mecate	rope	1218	ROPE
87	SALT	sal	salt	1274	SALT
88	SALTY	salado	salty	1091	SALTY
89	SCORPION	alacrán	scorpion	1538	SCORPION
90	SEVEN	siete	seven	1704	SEVEN
91	SHEEP	borrego	sheep	1331	SHEEP
92	SIX	seis	six	1703	SIX
93	SLOW	despacio	slow	701	SLOW
94	SMALL (SINGULAR)	chico.SG	small of singular referents	1246	SMALL
95	SNAKE	culebra	snake (cover term)	730	SNAKE
96	STONE OR ROCK	piedra	stone, rock	857	STONE
97	SUGAR CANE	caña	sugar cane	146	SUGAR CANE
98	TASTY	sabroso	tasty	1813	TASTY
99	TEN	diez	ten	1515	TEN
100	THREAD	hilo, hilado	thread	1161	THREAD
101	THREE	tres	three	492	THREE
102	TOMATO	jitomate	tomato	986	TOMATO
103	TORTILLA	tortilla	tortilla		
104	TOWN OR VILLAGE	pueblo	village, town	3609	TOWN OR VILLAGE
105	TREE	árbol, palo	tree	906	TREE
106	TWENTY	veinte	twenty	1710	TWENTY
107	TWO	dos	two	1498	TWO
108	UGLY	feo, bravo	ugly	1548	UGLY
109	WATER	agua	water	948	WATER
110	WHEN	cuándo	when (as a question)	1238	WHEN
111	WHITE	blanco	white, clear (color)	1335	WHITE
112	WING	ala	wing	1257	WING
113	WOMAN	mujer	woman	962	WOMAN
114	WORD	palabra	word	1599	WORD
115	WORKING OR WORK	trabajo	work (activity)	1086	WORK (ACTIVITY)
116	YEAR	año	year	1226	YEAR
117	YELLOW	amarillo	yellow (color)	1424	YELLOW
118	YESTERDAY	ayer	yesterday	1174	YESTERDAY
119	AUNT	tía	aunt	1272	AUNT
120	BASKET	canasta	basket, usually woven	1539	BASKET
121	BEAN	frijol	bean, beans	832	BEAN
122	BEESWAX	cera	wax	1931	BEESWAX
123	CHARCOAL	carbón	charcoal	1188	CHARCOAL
124	CHILI PEPPER	chile	chili pepper	919	CHILI PEPPER
125	CLOTH	tela	cloth	1616	CLOTH
126	CLOUD	nube	cloud	1489	CLOUD
127	COTTON	algodón	cotton	1850	COTTON
128	CUSTARD APPLE	chirimoya	custard apple 		
129	DAUGHTER	hija	daughter	1357	DAUGHTER
130	DAY (NOT NIGHT)	de día	daytime, the time when it is light outside	1225	DAY (NOT NIGHT)
131	EAR	oreja	ear (body part)	1247	EAR
