Grapheme	IPA	Frequency
^a	*a/a	1
m	m	18
a$	*a/a	33
^ā	a ³	2
s	s	13
i	*i/i	72
n	n	29
h$	ʔ	62
i̧	ĩ	17
ʔ$	ʔ	64
^ch	tʃ	3
ī	i ³	45
e$	*e/e	6
tya	tʲ a ¹	3
$	NULL	6
uun$	*uun/ũ ũ	1
^č	tʃ	3
ù̧	ũ ¹	3
ù̧$	ũ ¹	2
u̧	ũ	19
u̧$	ũ	11
^i	*i/i	21
ch	tʃ	5
^ī	i ³	4
h	ʔ	31
īn$	ĩ ³	3
^iʰ	i̥	4
k	k	28
u$	*u/u	17
ū	u ³	28
t	t	38
ū̧	ũ ³	4
ʔ	ʔ	49
-	+	19
ⁿd	ⁿd	2
u	*u/u	24
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	3
in$	*ĩ	5
^i̧	ĩ	2
^ì	i ¹	3
ì	i ¹	13
ñ	ɲ	9
^ī̧	ĩ ³	1
š	ʃ	16
a	*a/a	39
sh	ʃ	12
ā	a ³	42
o$	*o/o	9
à$	a ¹	8
ú̧	ũ ⁵	2
tʸ	tʲ	1
^k	k	30
à	a ¹	10
č	tʃ	7
āʰ	ḁ ³	2
á	a ⁵	8
ú	u ⁵	3
v	β	17
i̧$	ĩ	10
i$	*i/i	25
ì$	i ¹	4
ō	o ³	8
o	*o/o	15
ò	o ¹	1
ù	u ¹	7
í	i ⁵	3
w	β	9
^kʷ	kʷ	11
á̧	ã ⁵	1
á̧$	ã ⁵	1
ā̧	ã ³	2
ā̧$	ã ³	1
^kw	kʷ	9
āān	ã ³ ã ³	1
í$	i ⁵	2
l	l	5
á$	a ⁵	3
ē	e ³	4
ī$	i ³	5
ē$	e ³	1
ɛ$	e	6
y	j	10
^l	l	3
ú$	u ⁵	2
ū$	u ³	3
^m	m	4
ūn$	ũ ³	1
ī̧	ĩ ³	4
y$	j	2
^n	n	29
an	ã 	4
d	d	12
^ⁿd	ⁿd	18
kʷ	kʷ	4
e	*e/e	5
īʰ	i̥ ³	3
iʰ	i̥	3
a̧$	ã	6
à̧	ã ¹	1
ū̧$	ũ ³	1
^ñ	ɲ	16
a̧	ã	8
ù$	u ¹	2
ā$	a ³	2
^ō	o ³	1
^p	p	1
^s	s	26
^š	ʃ	13
aʰ	ḁ	1
^sh	ʃ	11
an$	*an/ã	1
un$	*un/ũ	3
nd	ⁿd	1
ò$	o ¹	2
è$	e ¹	2
̀	¹	1
uʰ	u̥	1
u̧ʰ	ũ̥	1
^t	t	29
ɛ	e	1
kw	kʷ	1
^tʸ	tʲ	4
^u	*u/u	2
ƀ	β	3
^ū	u ³	10
^u̧	ũ	3
nʸ	nʲ	1
ny	nʲ	1
^v	β	16
ⁿdʸ	ⁿdʲ	1
^vʸ	βʲ	1
^w	β	4
^y	j	29
ōʰ	o̥ ³	1
