Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																									
đ	ð	consonant			pike1967huajuapan	huaj11																																																									
ᵽ	f	consonant	loan		pike1967huajuapan	huaj11																																																									
ǥ	g	consonant	loan		pike1967huajuapan	huaj11																																																									
k	k	consonant			pike1967huajuapan	huaj11																																																									
kʷ	kʷ	consonant			pike1967huajuapan	huaj11																																																									
l	l	consonant			pike1967huajuapan	huaj11																																																									
m	m	consonant			pike1967huajuapan	huaj11																																																									
ᵐb	ᵐb	consonant	loan		pike1967huajuapan	huaj11																																																									
n	n	consonant			pike1967huajuapan	huaj11																																																									
ⁿd	ⁿd	consonant			pike1967huajuapan	huaj11																																																									
ñ	ɲ	consonant			pike1967huajuapan	huaj11																																																									
ᵑg	ᵑg	consonant	rare		pike1967huajuapan	huaj11																																																									
p	p	consonant	loan		pike1967huajuapan	huaj11																																																									
rr	r	consonant	loan		pike1967huajuapan	huaj11																																																									
r	ɾ	consonant	loan		pike1967huajuapan	huaj11																																																									
t	t	consonant			pike1967huajuapan	huaj11																																																									
č	t͡ʃ	consonant			pike1967huajuapan	huaj11																																																									
w	w	consonant	rare		pike1967huajuapan	huaj11																																																									
h	x	consonant	loan		pike1967huajuapan	huaj11																																																									
ž	ʒ	consonant			pike1967huajuapan	huaj11																																																									
ʔ	ʔ	consonant			pike1967huajuapan	huaj11																																																									
ƀ	β	consonant			pike1967huajuapan	huaj11																																																									
3	1	tone			pike1967huajuapan	huaj11																																																									
2	3	tone			pike1967huajuapan	huaj11																																																									
1	5	tone			pike1967huajuapan	huaj11																																																									
a	a	vowel			pike1967huajuapan	huaj11																																																									
a̢	ã	vowel			pike1967huajuapan	huaj11																																																									
e	e	vowel			pike1967huajuapan	huaj11																																																									
e̢	ẽ	vowel			pike1967huajuapan	huaj11																																																									
i	i	vowel			pike1967huajuapan	huaj11																																																									
i̢	ĩ	vowel			pike1967huajuapan	huaj11																																																									
o	o	vowel			pike1967huajuapan	huaj11																																																									
o̢	õ	vowel			pike1967huajuapan	huaj11																																																									
u	u	vowel			pike1967huajuapan	huaj11																																																									
