Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																									
j	?	consonant	loan	I think this only appears in Spanish loans	galindo-sanchez2009vocabulario	abas11																																																									
k	k	consonant			galindo-sanchez2009vocabulario	abas11																																																									
ku	kʷ	consonant		but only before vowels	galindo-sanchez2009vocabulario	abas11																																																									
l	l	consonant			galindo-sanchez2009vocabulario	abas11																																																									
m	m	consonant			galindo-sanchez2009vocabulario	abas11																																																									
n	n	consonant			galindo-sanchez2009vocabulario	abas11																																																									
nt	ⁿd	consonant			galindo-sanchez2009vocabulario	abas11																																																									
nts	ⁿd͡z	consonant			galindo-sanchez2009vocabulario	abas11																																																									
nch	ⁿd͡ʒ	consonant			galindo-sanchez2009vocabulario	abas11																																																									
ñ	ɲ	consonant			galindo-sanchez2009vocabulario	abas11																																																									
p	p	consonant			galindo-sanchez2009vocabulario	abas11																																																									
r	ɾ	consonant			galindo-sanchez2009vocabulario	abas11																																																									
s	s	consonant			galindo-sanchez2009vocabulario	abas11																																																									
x	ʃ	consonant		not entirely sure, but very likely	galindo-sanchez2009vocabulario	abas11																																																									
t	t	consonant			galindo-sanchez2009vocabulario	abas11																																																									
ts	t͡s	consonant			galindo-sanchez2009vocabulario	abas11																																																									
ch	t͡ʃ	consonant			galindo-sanchez2009vocabulario	abas11																																																									
y	ʒ	consonant		could also be j, no explanation is provided	galindo-sanchez2009vocabulario	abas11																																																									
'	ʔ	consonant			galindo-sanchez2009vocabulario	abas11																																																									
v	β	consonant			galindo-sanchez2009vocabulario	abas11																																																									
à	a1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
àn	ã1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
ààn	ã1ã1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
àan	ã1ã3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
àán	ã1ã5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
a	a3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
an	ã3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
aàn	ã3ã1	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
aan	ã3ã3	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
aán	ã3ã5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
á	a5	vowel and tone			galindo-sanchez2009vocabulario	abas11																																																									
