Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect																																																								
y		j	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
c		k	consonant			pankratz1967phonology	ayut11																																																								
k		k	consonant			hills1990syntactic	ayut11																																																								
qu		k	consonant			pankratz1967phonology	ayut11																																																								
ky		kʲ	consonant	rare		hills1990syntactic	ayut11																																																								
cu		kʷ	consonant		before vowels	pankratz1967phonology	ayut11																																																								
kw		kʷ	consonant			hills1990syntactic	ayut11																																																								
l		l	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
m		m	consonant	rare		pankratz1967phonology, hills1990syntactic	ayut11																																																								
mb		ᵐb	consonant	rare		hills1990syntactic	ayut11																																																								
n		n	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
nd		ⁿd	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
ndy		ⁿdʲ	consonant			hills1990syntactic	ayut11																																																								
ny		nʲ	consonant		not sure what the difference is	hills1990syntactic	ayut11																																																								
ñ		ɲ	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
ng		ᵑg	consonant	rare		pankratz1967phonology, hills1990syntactic	ayut11																																																								
ngw		ᵑgʷ	consonant	rare		hills1990syntactic	ayut11																																																								
p		p	consonant	rare		pankratz1967phonology, hills1990syntactic	ayut11																																																								
r		ɾ	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
s		s	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
sy		sʲ	consonant	rare		hills1990syntactic	ayut11																																																								
sh		ʃ	consonant			hills1990syntactic	ayut11																																																								
x		ʃ	consonant			pankratz1967phonology	ayut11																																																								
t		t	consonant			pankratz1967phonology, hills1990syntactic	ayut11																																																								
ty		tʲ	consonant			hills1990syntactic	ayut11																																																								
h		x	consonant		just described as spirant, not totally sure	pankratz1967phonology	ayut11																																																								
	x	x	consonant	rare		hills1990syntactic	ayut11																																																								
hʷ		xʷ	consonant	rare	just described as spirant, not totally sure	pankratz1967phonology	ayut11																																																								
ʔ		ʔ	consonant			pankratz1967phonology	ayut11																																																								
	h	ʔ	consonant			hills1990syntactic	ayut11																																																								
v		β	consonant		like Spanish	pankratz1967phonology, hills1990syntactic	ayut11																																																								
z		θ	consonant			pankratz1967phonology	ayut11																																																								
3		1	tone			pankratz1967phonology	ayut11																																																								
2		3	tone			pankratz1967phonology	ayut11																																																								
1		5	tone			pankratz1967phonology	ayut11																																																								
a		a	vowel			pankratz1967phonology	ayut11																																																								
a̢		ã	vowel			pankratz1967phonology	ayut11																																																								
e		e	vowel			pankratz1967phonology	ayut11																																																								
e̢		ẽ	vowel	rare		pankratz1967phonology	ayut11																																																								
i		i	vowel			pankratz1967phonology	ayut11																																																								
i̢		ĩ	vowel			pankratz1967phonology	ayut11																																																								
o		o	vowel			pankratz1967phonology	ayut11																																																								
u		u	vowel			pankratz1967phonology	ayut11																																																								
u̢		ũ	vowel			pankratz1967phonology	ayut11																																																								
		a1	vowel and tone			hills1990syntactic	ayut11																																																								
an		ã1	vowel and tone			hills1990syntactic	ayut11																																																								
aan		ã1ã1	vowel and tone			hills1990syntactic	ayut11																																																								
aān		ã1ã3	vowel and tone			hills1990syntactic	ayut11																																																								
aán		ã1ã5	vowel and tone			hills1990syntactic	ayut11																																																								
ā		a3	vowel and tone			hills1990syntactic	ayut11																																																								
ān		ã3	vowel and tone			hills1990syntactic	ayut11																																																								
āan		ã3ã1	vowel and tone			hills1990syntactic	ayut11																																																								
āān		ã3ã3	vowel and tone			hills1990syntactic	ayut11																																																								
āán		ã3ã5	vowel and tone			hills1990syntactic	ayut11																																																								
á		a5	vowel and tone			hills1990syntactic	ayut11																																																								
án		ã5	vowel and tone			hills1990syntactic	ayut11																																																								
áan		ã5ã1	vowel and tone			hills1990syntactic	ayut11																																																								
áān		ã5ã3	vowel and tone			hills1990syntactic	ayut11																																																								
áán		ã5ã5	vowel and tone			hills1990syntactic	ayut11																																																								
	e	e1	vowel and tone			hills1990syntactic	ayut11																																																								
en		ẽ1	vowel and tone			hills1990syntactic	ayut11																																																								
een		ẽ1ẽ1	vowel and tone			hills1990syntactic	ayut11																																																								
eēn		ẽ1ẽ3	vowel and tone			hills1990syntactic	ayut11																																																								
eén		ẽ1ẽ5	vowel and tone			hills1990syntactic	ayut11																																																								
ē		e3	vowel and tone			hills1990syntactic	ayut11																																																								
ēn		ẽ3	vowel and tone			hills1990syntactic	ayut11																																																								
ēen		ẽ3ẽ1	vowel and tone			hills1990syntactic	ayut11																																																								
ēēn		ẽ3ẽ3	vowel and tone			hills1990syntactic	ayut11																																																								
ēén		ẽ3ẽ5	vowel and tone			hills1990syntactic	ayut11																																																								
é		e5	vowel and tone			hills1990syntactic	ayut11																																																								
én		ẽ5	vowel and tone			hills1990syntactic	ayut11																																																								
éen		ẽ5ẽ1	vowel and tone			hills1990syntactic	ayut11																																																								
éēn		ẽ5ẽ3	vowel and tone			hills1990syntactic	ayut11																																																								
één		ẽ5ẽ5	vowel and tone			hills1990syntactic	ayut11																																																								
	i	i1	vowel and tone			hills1990syntactic	ayut11																																																								
in		ĩ1	vowel and tone			hills1990syntactic	ayut11																																																								
iin		ĩ1ĩ1	vowel and tone			hills1990syntactic	ayut11																																																								
iīn		ĩ1ĩ3	vowel and tone			hills1990syntactic	ayut11																																																								
iín		ĩ1ĩ5	vowel and tone			hills1990syntactic	ayut11																																																								
ī		i3	vowel and tone			hills1990syntactic	ayut11																																																								
īn		ĩ3	vowel and tone			hills1990syntactic	ayut11																																																								
īin		ĩ3ĩ1	vowel and tone			hills1990syntactic	ayut11																																																								
īīn		ĩ3ĩ3	vowel and tone			hills1990syntactic	ayut11																																																								
īín		ĩ3ĩ5	vowel and tone			hills1990syntactic	ayut11																																																								
í		i5	vowel and tone			hills1990syntactic	ayut11																																																								
ín		ĩ5	vowel and tone			hills1990syntactic	ayut11																																																								
íin		ĩ5ĩ1	vowel and tone			hills1990syntactic	ayut11																																																								
íīn		ĩ5ĩ3	vowel and tone			hills1990syntactic	ayut11																																																								
íín		ĩ5ĩ5	vowel and tone			hills1990syntactic	ayut11																																																								
	o	o1	vowel and tone			hills1990syntactic	ayut11																																																								
on		õ1	vowel and tone			hills1990syntactic	ayut11																																																								
oon		õ1õ1	vowel and tone			hills1990syntactic	ayut11																																																								
oōn		õ1õ3	vowel and tone			hills1990syntactic	ayut11																																																								
oón		õ1õ5	vowel and tone			hills1990syntactic	ayut11																																																								
ō		o3	vowel and tone			hills1990syntactic	ayut11																																																								
ōn		õ3	vowel and tone			hills1990syntactic	ayut11																																																								
ōon		õ3õ1	vowel and tone			hills1990syntactic	ayut11																																																								
ōōn		õ3õ3	vowel and tone			hills1990syntactic	ayut11																																																								
ōón		õ3õ5	vowel and tone			hills1990syntactic	ayut11																																																								
ó		o5	vowel and tone			hills1990syntactic	ayut11																																																								
ón		õ5	vowel and tone			hills1990syntactic	ayut11																																																								
óon		õ5õ1	vowel and tone			hills1990syntactic	ayut11																																																								
óōn		õ5õ3	vowel and tone			hills1990syntactic	ayut11																																																								
óón		õ5õ5	vowel and tone			hills1990syntactic	ayut11																																																								
	u	u1	vowel and tone			hills1990syntactic	ayut11																																																								
un		ũ1	vowel and tone			hills1990syntactic	ayut11																																																								
uun		ũ1ũ1	vowel and tone			hills1990syntactic	ayut11																																																								
uūn		ũ1ũ3	vowel and tone			hills1990syntactic	ayut11																																																								
uún		ũ1ũ5	vowel and tone			hills1990syntactic	ayut11																																																								
ū		u3	vowel and tone			hills1990syntactic	ayut11																																																								
ūn		ũ3	vowel and tone			hills1990syntactic	ayut11																																																								
