Grapheme	IPA	Class	Status	Comments

x	ʃ			
z	θ			
c	k			like Spanish
nd	ⁿd			like Spanish
ng	ᵑg			like Spanish
l	l			like Spanish
m	m			like Spanish
n	n			like Spanish
ñ	ɲ			like Spanish
p	p			like Spanish
qu	k			like Spanish
r	ɾ			like Spanish
s	s			like Spanish
t	t			like Spanish
v	β			like Spanish
y	j			like Spanish
cu	kʷ			before vowels
