Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect																																																								
īín		ĩ3ĩ5	vowel and tone			zylstra1991syntactic	alac11																																																								
í		i5	vowel and tone			zylstra1980phonology, zylstra1991syntactic	alac11																																																								
í̢		ĩ5	vowel and tone			zylstra1980phonology	alac11																																																								
ín		ĩ5	vowel and tone			zylstra1991syntactic	alac11																																																								
íin		ĩ5ĩ1	vowel and tone			zylstra1991syntactic	alac11																																																								
íīn		ĩ5ĩ3	vowel and tone			zylstra1991syntactic	alac11																																																								
íín		ĩ5ĩ5	vowel and tone			zylstra1991syntactic	alac11																																																								
	o	o1	vowel and tone			zylstra1991syntactic	alac11																																																								
ò		o1	vowel and tone			zylstra1980phonology	alac11																																																								
ò̢		õ1	vowel and tone			zylstra1980phonology	alac11																																																								
on		õ1	vowel and tone			zylstra1991syntactic	alac11																																																								
oon		õ1õ1	vowel and tone			zylstra1991syntactic	alac11																																																								
oōn		õ1õ3	vowel and tone			zylstra1991syntactic	alac11																																																								
oón		õ1õ5	vowel and tone			zylstra1991syntactic	alac11																																																								
o		o3	vowel and tone			zylstra1980phonology	alac11																																																								
ō		o3	vowel and tone			zylstra1991syntactic	alac11																																																								
o̢		õ3	vowel and tone			zylstra1980phonology	alac11																																																								
ōn		õ3	vowel and tone			zylstra1991syntactic	alac11																																																								
ōon		õ3õ1	vowel and tone			zylstra1991syntactic	alac11																																																								
ōōn		õ3õ3	vowel and tone			zylstra1991syntactic	alac11																																																								
ōón		õ3õ5	vowel and tone			zylstra1991syntactic	alac11																																																								
ó		o5	vowel and tone			zylstra1980phonology, zylstra1991syntactic	alac11																																																								
ó̢		õ5	vowel and tone			zylstra1980phonology	alac11																																																								
ón		õ5	vowel and tone			zylstra1991syntactic	alac11																																																								
óon		õ5õ1	vowel and tone			zylstra1991syntactic	alac11																																																								
óōn		õ5õ3	vowel and tone			zylstra1991syntactic	alac11																																																								
óón		õ5õ5	vowel and tone			zylstra1991syntactic	alac11																																																								
	u	u1	vowel and tone			zylstra1991syntactic	alac11																																																								
ù		u1	vowel and tone			zylstra1980phonology	alac11																																																								
ù̢		ũ1	vowel and tone			zylstra1980phonology	alac11																																																								
un		ũ1	vowel and tone			zylstra1991syntactic	alac11																																																								
uun		ũ1ũ1	vowel and tone			zylstra1991syntactic	alac11																																																								
uūn		ũ1ũ3	vowel and tone			zylstra1991syntactic	alac11																																																								
uún		ũ1ũ5	vowel and tone			zylstra1991syntactic	alac11																																																								
u		u3	vowel and tone			zylstra1980phonology	alac11																																																								
ū		u3	vowel and tone			zylstra1991syntactic	alac11																																																								
u̢		ũ3	vowel and tone			zylstra1980phonology	alac11																																																								
ūn		ũ3	vowel and tone			zylstra1991syntactic	alac11																																																								
ūun		ũ3ũ1	vowel and tone			zylstra1991syntactic	alac11																																																								
ūūn		ũ3ũ3	vowel and tone			zylstra1991syntactic	alac11																																																								
ūún		ũ3ũ5	vowel and tone			zylstra1991syntactic	alac11																																																								
ú		u5	vowel and tone			zylstra1980phonology, zylstra1991syntactic	alac11																																																								
ú̢		ũ5	vowel and tone			zylstra1980phonology	alac11																																																								
ún		ũ5	vowel and tone			zylstra1991syntactic	alac11																																																								
úun		ũ5ũ1	vowel and tone			zylstra1991syntactic	alac11																																																								
úūn		ũ5ũ3	vowel and tone			zylstra1991syntactic	alac11																																																								
úún		ũ5ũ5	vowel and tone			zylstra1991syntactic	alac11																																																								
