Doculect	Grapheme	IPA	Class	Status	Comments
prog12	d	ð	consonant		'pronounced like Spanish’
prog12	x	ʃ	consonant	loan	
prog12	z	θ	consonant	loan	
prog12	c	k	consonant	loan	like Spanish
prog12	nd	ⁿd	consonant		like Spanish
prog12	ng	ᵑg	consonant		like Spanish
prog12	l	l	consonant	loan	like Spanish
prog12	m	m	consonant		like Spanish
prog12	n	n	consonant		like Spanish
prog12	ñ	ɲ	consonant		like Spanish
prog12	p	p	consonant		like Spanish
prog12	qu	k	consonant		like Spanish
prog12	r	ɾ	consonant		like Spanish
prog12	s	s	consonant		like Spanish
prog12	t	t	consonant		like Spanish
prog12	v	β	consonant		like Spanish
prog12	y	j	consonant	loan	like Spanish
prog12	cu	kʷ	consonant		before vowels
prog12	s	s	consonant		'pronounced like Spanish’
prog12	z	s	consonant	loan	
prog12	x	ʃ	consonant		
prog12	t	t	consonant		
prog12	ch	tʃ͡	consonant		'pronounced like Spanish’
prog12	j	x	consonant		'pronounced like Spanish’
prog12	y	ʒ	consonant		
prog12	h	ʔ	consonant		
prog12	v	β	consonant		'pronounced like Spanish’
prog12	b	β	consonant	loan	
prog12	a̱	a1	vowel and tone		
prog12	a̱n	ã1	vowel and tone		
prog12	a̱a̱n	ã1ã1	vowel and tone		
prog12	a̱an	ã1ã3	vowel and tone		
prog12	a̱án	ã1ã5	vowel and tone		
prog12	a	a3	vowel and tone		
prog12	an	ã3	vowel and tone		
prog12	aa̱n	ã3ã1	vowel and tone		
prog12	aan	ã3ã3	vowel and tone		
prog12	aán	ã3ã5	vowel and tone		
prog12	á	a5	vowel and tone		
prog12	án	ã5	vowel and tone		
prog12	áa̱n	ã5ã1	vowel and tone		
prog12	áan	ã5ã3	vowel and tone		
prog12	áán	ã5ã5	vowel and tone		
prog12	e̱	e1	vowel and tone		
prog12	e̱n	ẽ1	vowel and tone		
prog12	e̱e̱n	ẽ1ẽ1	vowel and tone		
prog12	e̱en	ẽ1ẽ3	vowel and tone		
prog12	e̱én	ẽ1ẽ5	vowel and tone		
prog12	e	e3	vowel and tone		
prog12	en	ẽ3	vowel and tone		
prog12	ee̱n	ẽ3ẽ1	vowel and tone		
prog12	een	ẽ3ẽ3	vowel and tone		
prog12	eén	ẽ3ẽ5	vowel and tone		
prog12	é	e5	vowel and tone		
prog12	én	ẽ5	vowel and tone		
prog12	ée̱n	ẽ5ẽ1	vowel and tone		
prog12	éen	ẽ5ẽ3	vowel and tone		
prog12	één	ẽ5ẽ5	vowel and tone		
prog12	i̱	i1	vowel and tone		
prog12	i̱n	ĩ1	vowel and tone		
prog12	i̱i̱n	ĩ1ĩ1	vowel and tone		
prog12	i̱in	ĩ1ĩ3	vowel and tone		
prog12	i̱ín	ĩ1ĩ5	vowel and tone		
prog12	i	i3	vowel and tone		'pronounced like Spanish’
prog12	in	ĩ3	vowel and tone		
prog12	ii̱n	ĩ3ĩ1	vowel and tone		
prog12	iin	ĩ3ĩ3	vowel and tone		
prog12	iín	ĩ3ĩ5	vowel and tone		
prog12	í	i5	vowel and tone		
prog12	ín	ĩ5	vowel and tone		
prog12	íi̱n	ĩ5ĩ1	vowel and tone		
prog12	íin	ĩ5ĩ3	vowel and tone		
prog12	íín	ĩ5ĩ5	vowel and tone		
prog12	o̱	o1	vowel and tone		
prog12	u̱n	õ1	vowel and tone		
prog12	o̱o̱n	õ1õ1	vowel and tone		
prog12	o̱on	õ1õ3	vowel and tone		
prog12	o̱ón	õ1õ5	vowel and tone		
prog12	o	o3	vowel and tone		
prog12	un	õ3	vowel and tone		
prog12	oo̱n	õ3õ1	vowel and tone		
prog12	oon	õ3õ3	vowel and tone		
prog12	oón	õ3õ5	vowel and tone		
prog12	ó	o5	vowel and tone		
prog12	ón	õ5	vowel and tone		
prog12	óo̱n	õ5õ1	vowel and tone		
prog12	óon	õ5õ3	vowel and tone		
prog12	óón	õ5õ5	vowel and tone		
prog12	u̱	u1	vowel and tone		
prog12	o̱n	ũ1	vowel and tone		
prog12	u̱u̱n	ũ1ũ1	vowel and tone		
prog12	u̱un	ũ1ũ3	vowel and tone		
prog12	u̱ún	ũ1ũ5	vowel and tone		
prog12	u	u3	vowel and tone		phonetically ʉ
prog12	on	ũ3	vowel and tone		
prog12	uu̱n	ũ3ũ1	vowel and tone		
prog12	uun	ũ3ũ3	vowel and tone		
prog12	uún	ũ3ũ5	vowel and tone		
prog12	ú	u5	vowel and tone		
prog12	ún	ũ5	vowel and tone		
prog12	úu̱n	ũ5ũ1	vowel and tone		
prog12	úun	ũ5ũ3	vowel and tone		
prog12	úún	ũ5ũ5	vowel and tone		
