Doculect	Grapheme	IPA	Class	Status	Comments
cahu11	h	h	consonant	rare	
cahu11	y	j	consonant		
cahu11	k	k	consonant		
cahu11	ky	kʲ	consonant		
cahu11	ku	kʷ	consonant		before vowels
cahu11	l	l	consonant		
cahu11	m	m	consonant		
cahu11	n	n	consonant		
cahu11	nd	ⁿd	consonant		
cahu11	ny	ɲ	consonant		
cahu11	r	ɾ	consonant		
cahu11	s	s	consonant		
cahu11	š	ʃ	consonant		
cahu11	t	t	consonant		
cahu11	ty	tʲ	consonant		
cahu11	č	t͡ʃ	consonant		
cahu11	'	ʔ	consonant		
cahu11	w	β	consonant		
cahu11	↓	1	tone		
cahu11	↑	5	tone		
cahu11	a	a	vowel		
cahu11	ã	ã	vowel		
cahu11	ā	aa	vowel		
cahu11	e	e	vowel		
cahu11	ẽ	ẽ	vowel		
cahu11	ē	ee	vowel		
cahu11	i	i	vowel		
cahu11	ĩ	ĩ	vowel		
cahu11	ī	ii	vowel		
cahu11	ü	ɨ	vowel		described as [y], but it would be the only variety with this vowel
cahu11	ü̃	ɨ̃	vowel		
cahu11	o	o	vowel		
cahu11	õ	õ	vowel		
cahu11	ō	oo	vowel		
cahu11	u	u	vowel		
cahu11	̃ũ	ũ	vowel		
cahu11	ū	uu	vowel		
cahu11	ǖ	üü	vowel		
