Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
aán		ã3ã5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
á		a5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
án		ã5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
áān		ã5ã1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
áan		ã5ã3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
áán		ã5ã5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ē		e1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ēn		ẽ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ēēn		ẽ1ẽ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ēen		ẽ1ẽ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ēén		ẽ1ẽ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
e		e3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
en		ẽ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
eēn		ẽ3ẽ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
een		ẽ3ẽ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
eén		ẽ3ẽ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
é		e5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
én		ẽ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
éēn		ẽ5ẽ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
éen		ẽ5ẽ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
één		ẽ5ẽ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ī		i1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
īn		ĩ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
īīn		ĩ1ĩ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
īin		ĩ1ĩ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
īín		ĩ1ĩ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
i		i3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
in		ĩ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
iīn		ĩ3ĩ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
iin		ĩ3ĩ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
iín		ĩ3ĩ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
í		i5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ín		ĩ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
íīn		ĩ5ĩ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ́ɨ̄n		ĩ5ĩ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
íin		ĩ5ĩ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
íín		ĩ5ĩ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ̄		ɨ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ̄n		ɨ̃1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ̄ɨ̄n		ɨ̃1ɨ̃1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ̄ɨn		ɨ̃1ɨ̃3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ̄ɨ́n		ɨ̃1ɨ̃5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ		ɨ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨn		ɨ̃3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨɨ̄n		ɨ̃3ɨ̃1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨɨn		ɨ̃3ɨ̃3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨɨ́n		ɨ̃3ɨ̃5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ́		ɨ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ́n		ɨ̃5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ́ɨ̄n		ɨ̃5ɨ̃1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ́ɨn		ɨ̃5ɨ̃3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ɨ́ɨ́n		ɨ̃5ɨ̃5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ō		o1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ōn		õ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ōōn		õ1õ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ōon		õ1õ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ōón		õ1õ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
o		o3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
on		õ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
oōn		õ3õ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
oon		õ3õ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
oón		õ3õ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ó		o5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ón		õ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
óōn		õ5õ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
óon		õ5õ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
óón		õ5õ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ū		u1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ūn		ũ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ūūn		ũ1ũ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ūun		ũ1ũ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ūún		ũ1ũ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
u		u3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
un		ũ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
uūn		ũ3ũ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
uun		ũ3ũ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
uún		ũ3ũ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ú		u5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ún		ũ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
úūn		ũ5ũ1	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
úun		ũ5ũ3	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
úún		ũ5ũ5	vowel and tone			alexander1980gramatica	atat11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
