Doculect	Grapheme	IPA	Class	Status	Comments
dura11	x	ɕ	consonant		
dura11	k	k	consonant		
dura11	ku	kʷ	consonant		before vowels
dura11	l	l	consonant		
dura11	m	m	consonant		
dura11	n	n	consonant		
dura11	ñ	ɲ	consonant		
dura11	nt	ⁿd	consonant	loan	
dura11	ntx	ⁿd͡ʑ	consonant		
dura11	nch	ⁿd͡ʒ	consonant		
dura11	ñ	ɲ	consonant		
dura11	p	p	consonant	loan	
dura11	rr	r	consonant	loan	
dura11	r	ɾ	consonant		
dura11	s	s	consonant	loan	
dura11	sh	ʃ	consonant		
dura11	t	t	consonant		
dura11	tx	t͡ɕ	consonant		
dura11	ch	t͡ʃ	consonant		
dura11	gu	w	consonant	rare	
dura11	y	ʒ	consonant		
dura11	v	β	consonant		
dura11	à	a1	vowel and tone		
dura11	àn	ã1	vowel and tone		
dura11	ààn	ã1ã1	vowel and tone		
dura11	àan	ã1ã3	vowel and tone		
dura11	àán	ã1ã5	vowel and tone		
dura11	a	a3	vowel and tone		
dura11	an	ã3	vowel and tone		
dura11	aàn	ã3ã1	vowel and tone		
dura11	aan	ã3ã3	vowel and tone		
dura11	aán	ã3ã5	vowel and tone		
dura11	á	a5	vowel and tone		
dura11	án	ã5	vowel and tone		
dura11	áàn	ã5ã1	vowel and tone		
dura11	áan	ã5ã3	vowel and tone		
dura11	áán	ã5ã5	vowel and tone		
dura11	è	e1	vowel and tone		
dura11	èn	ẽ1	vowel and tone		
dura11	èèn	ẽ1ẽ1	vowel and tone		
dura11	èen	ẽ1ẽ3	vowel and tone		
dura11	èén	ẽ1ẽ5	vowel and tone		
dura11	e	e3	vowel and tone		
dura11	en	ẽ3	vowel and tone		
dura11	eèn	ẽ3ẽ1	vowel and tone		
dura11	een	ẽ3ẽ3	vowel and tone		
dura11	eén	ẽ3ẽ5	vowel and tone		
dura11	é	e5	vowel and tone		
dura11	én	ẽ5	vowel and tone		
dura11	éèn	ẽ5ẽ1	vowel and tone		
dura11	éen	ẽ5ẽ3	vowel and tone		
dura11	één	ẽ5ẽ5	vowel and tone		
dura11	ì	i1	vowel and tone		
dura11	ìn	ĩ1	vowel and tone		
dura11	ììn	ĩ1ĩ1	vowel and tone		
dura11	ìin	ĩ1ĩ3	vowel and tone		
dura11	ìín	ĩ1ĩ5	vowel and tone		
dura11	i	i3	vowel and tone		
dura11	in	ĩ3	vowel and tone		
dura11	iìn	ĩ3ĩ1	vowel and tone		
dura11	iin	ĩ3ĩ3	vowel and tone		
dura11	iín	ĩ3ĩ5	vowel and tone		
dura11	í	i5	vowel and tone		
dura11	ín	ĩ5	vowel and tone		
dura11	íìn	ĩ5ĩ1	vowel and tone		
dura11	íin	ĩ5ĩ3	vowel and tone		
dura11	íín	ĩ5ĩ5	vowel and tone		
dura11	ò	o1	vowel and tone		
dura11	ùn	õ1	vowel and tone		
dura11	òòn	õ1õ1	vowel and tone		
dura11	òon	õ1õ3	vowel and tone		
dura11	òón	õ1õ5	vowel and tone		
dura11	o	o3	vowel and tone		
dura11	un	õ3	vowel and tone		
dura11	oòn	õ3õ1	vowel and tone		
dura11	oon	õ3õ3	vowel and tone		
dura11	oón	õ3õ5	vowel and tone		
dura11	ó	o5	vowel and tone		
dura11	ón	õ5	vowel and tone		
dura11	óòn	õ5õ1	vowel and tone		
dura11	óon	õ5õ3	vowel and tone		
dura11	óón	õ5õ5	vowel and tone		
dura11	ù	u1	vowel and tone		
dura11	òn	ũ1	vowel and tone		
dura11	ùùn	ũ1ũ1	vowel and tone		
dura11	ùun	ũ1ũ3	vowel and tone		
dura11	ùún	ũ1ũ5	vowel and tone		
dura11	u	u3	vowel and tone		
dura11	on	ũ3	vowel and tone		
dura11	uùn	ũ3ũ1	vowel and tone		
dura11	uun	ũ3ũ3	vowel and tone		
dura11	uún	ũ3ũ5	vowel and tone		
dura11	ú	u5	vowel and tone		
dura11	ún	ũ5	vowel and tone		
dura11	úùn	ũ5ũ1	vowel and tone		
dura11	úun	ũ5ũ3	vowel and tone		
dura11	úún	ũ5ũ5	vowel and tone		
