Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
d	NA	ð	consonant	NA	NA	farris1992syntactic	yoso11
Nn	NA	ʰn	consonant	NA	NA	farris1992syntactic	yoso11
Ññ	NA	ʰɲ	consonant	NA	NA	farris1992syntactic	yoso11
y	NA	j	consonant	NA	described as voiced fricative	farris1992syntactic	yoso11
k	NA	k	consonant	NA	NA	farris1992syntactic	yoso11
kw	NA	kʷ	consonant	NA	before vowels	farris1992syntactic	yoso11
l	NA	l	consonant	NA	NA	farris1992syntactic	yoso11
m	NA	m	consonant	NA	NA	farris1992syntactic	yoso11
mb	NA	ᵐb	consonant	NA	NA	farris1992syntactic	yoso11
n	NA	n	consonant	NA	NA	farris1992syntactic	yoso11
nd	NA	ⁿd	consonant	NA	NA	farris1992syntactic	yoso11
nj	NA	ⁿdʒ	consonant	NA	NA	farris1992syntactic	yoso11
ñ	NA	ɲ	consonant	NA	NA	farris1992syntactic	yoso11
ng	NA	ᵑg	consonant	NA	NA	farris1992syntactic	yoso11
p	NA	p	consonant	NA	NA	farris1992syntactic	yoso11
r	NA	ɾ	consonant	NA	NA	farris1992syntactic	yoso11
s	NA	s	consonant	NA	NA	farris1992syntactic	yoso11
sy	NA	sʲ	consonant	NA	NA	farris1992syntactic	yoso11
sh	NA	ʃ	consonant	NA	NA	farris1992syntactic	yoso11
shy	NA	ʃʲ	consonant	NA	NA	farris1992syntactic	yoso11
t	NA	t	consonant	NA	NA	farris1992syntactic	yoso11
ch	NA	tʃ	consonant	NA	NA	farris1992syntactic	yoso11
w	NA	w	consonant	NA	NA	farris1992syntactic	yoso11
h	NA	ʔ	consonant	NA	NA	farris1992syntactic	yoso11
v	NA	β	consonant	NA	NA	farris1992syntactic	yoso11
a	NA	a¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
an	NA	ã¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
aan	NA	ã¹ã¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
aān	NA	ã¹ã³	vowel and tone	NA	NA	farris1992syntactic	yoso11
aán	NA	ã¹ã⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ā	NA	a³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ān	NA	ã³	vowel and tone	NA	NA	farris1992syntactic	yoso11
āan	NA	ã³ã¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
āān	NA	ã³ã³	vowel and tone	NA	NA	farris1992syntactic	yoso11
āán	NA	ã³ã⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
á	NA	a⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
án	NA	ã⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
áan	NA	ã⁵ã¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
áān	NA	ã⁵ã³	vowel and tone	NA	NA	farris1992syntactic	yoso11
áán	NA	ã⁵ã⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
e	NA	e¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
en	NA	ẽ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
een	NA	ẽ¹ẽ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
eēn	NA	ẽ¹ẽ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
eén	NA	ẽ¹ẽ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ē	NA	e³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ēn	NA	ẽ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ēen	NA	ẽ³ẽ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ēēn	NA	ẽ³ẽ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ēén	NA	ẽ³ẽ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
é	NA	e⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
én	NA	ẽ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
éen	NA	ẽ⁵ẽ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
éēn	NA	ẽ⁵ẽ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
één	NA	ẽ⁵ẽ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
i	NA	i¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
in	NA	ĩ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
iin	NA	ĩ¹ĩ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
iīn	NA	ĩ¹ĩ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
iín	NA	ĩ¹ĩ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ī	NA	i³	vowel and tone	NA	NA	farris1992syntactic	yoso11
īn	NA	ĩ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
īin	NA	ĩ³ĩ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
īīn	NA	ĩ³ĩ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
īín	NA	ĩ³ĩ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
í	NA	i⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ín	NA	ĩ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
íin	NA	ĩ⁵ĩ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
íīn	NA	ĩ⁵ĩ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
íín	NA	ĩ⁵ĩ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ	NA	ɨ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨn	NA	ɨ̃¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨɨn	NA	ɨ̃¹ɨ̃¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨɨ̄n	NA	ɨ̃¹ɨ̃³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨɨ́n	NA	ɨ̃¹ɨ̃⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ̄	NA	ɨ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ̄n	NA	ɨ̃³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ̄ɨn	NA	ɨ̃³ɨ̃¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ̄ɨ̄n	NA	ɨ̃³ɨ̃³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ̄ɨ́n	NA	ɨ̃³ɨ̃⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ́	NA	ɨ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ́n	NA	ɨ̃⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ́ɨn	NA	ɨ̃⁵ɨ̃¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ́ɨ̄n	NA	ɨ̃⁵ɨ̃³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ɨ́ɨ́n	NA	ɨ̃⁵ɨ̃⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
o	NA	o¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
on	NA	õ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
oon	NA	õ¹õ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
oōn	NA	õ¹õ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
oón	NA	õ¹õ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ō	NA	o³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ōn	NA	õ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ōon	NA	õ³õ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
ōōn	NA	õ³õ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
ōón	NA	õ³õ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ó	NA	o⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
ón	NA	õ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
óon	NA	õ⁵õ¹	vowel and tone	NA	NA	farris1992syntactic	yoso11
óōn	NA	õ⁵õ³	vowel and tone	NA	NA	farris1992syntactic	yoso11
óón	NA	õ⁵õ⁵	vowel and tone	NA	NA	farris1992syntactic	yoso11
