Doculect	Grapheme	IPA	Class	Status	Comments
jica11	ᵽ	f	consonant	loan	
jica11	x	ʃ	consonant		
jica11	z	θ	consonant		
jica11	c	k	consonant		like Spanish
jica11	nd	ⁿd	consonant		like Spanish
jica11	ng	ᵑg	consonant		like Spanish
jica11	l	l	consonant		like Spanish
jica11	m	m	consonant		like Spanish
jica11	n	n	consonant		like Spanish
jica11	ñ	ɲ	consonant		like Spanish
jica11	p	p	consonant		like Spanish
jica11	qu	k	consonant		like Spanish
jica11	r	ɾ	consonant		like Spanish
jica11	s	s	consonant		like Spanish
jica11	t	t	consonant		like Spanish
jica11	v	β	consonant		like Spanish
jica11	y	j	consonant		like Spanish
jica11	cu	kʷ	consonant		before vowels
jica11	č	t͡ʃ	consonant		
jica11	h	x	consonant	loan	
jica11	ʔ	ʔ	consonant		analyzed as a vowel feature
jica11	w	β	consonant		w in unstressed syllables
jica11	à	a1	vowel and tone		
jica11	à̢	ã1	vowel and tone		
jica11	ā	a3	vowel and tone		
jica11	ā̢	ã3	vowel and tone		
jica11	á	a5	vowel and tone		
jica11	á̢	ã5	vowel and tone		
jica11	è	e1	vowel and tone		
jica11	è̢	ẽ1	vowel and tone		
jica11	ē	e3	vowel and tone		
jica11	ē̢	ẽ3	vowel and tone		
jica11	é	e5	vowel and tone		
jica11	é̢	ẽ5	vowel and tone		
jica11	ì	i1	vowel and tone		
jica11	ì̢	ĩ1	vowel and tone		
jica11	ī	i3	vowel and tone		
jica11	ī̢	ĩ3	vowel and tone		
jica11	í	i5	vowel and tone		
jica11	í̢	ĩ5	vowel and tone		
jica11	ò	o1	vowel and tone		
jica11	ò̢	õ1	vowel and tone		
jica11	ō	o3	vowel and tone		
jica11	ō̢	õ3	vowel and tone		
jica11	ó	o5	vowel and tone		
jica11	ó̢	õ5	vowel and tone		
jica11	ù	u1	vowel and tone		
jica11	ù̢	ũ1	vowel and tone		
jica11	ū	u3	vowel and tone		
jica11	ū̢	ũ3	vowel and tone		
jica11	ú	u5	vowel and tone		
jica11	ú̢	ũ5	vowel and tone		
