Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
y	j	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
c	k	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
qu	k	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
cu	kʷ	consonant		before vowels	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
l	l	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
m	m	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
n	n	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
nd	ⁿd	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ñ	ɲ	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ng	ᵑg	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
p	p	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
r	ɾ	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
s	s	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
x	ʃ	consonant			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
t	t	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
h	ʔ	consonant			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
v	β	consonant		like Spanish	pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
z	θ	consonant			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
