Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
d	NA	ð	consonant	NA	NA	daly1977mixteco	peno11
f	NA	f	consonant	loan	NA	daly1977mixteco	peno11
k	NA	k	consonant	NA	NA	daly1977mixteco	peno11
kw	NA	kʷ	consonant	NA	NA	daly1977mixteco	peno11
l	NA	l	consonant	NA	NA	daly1977mixteco	peno11
m	NA	m	consonant	NA	NA	daly1977mixteco	peno11
mb	NA	ᵐb	consonant	NA	NA	daly1977mixteco	peno11
n	NA	n	consonant	NA	NA	daly1977mixteco	peno11
nd	NA	ⁿd	consonant	NA	NA	daly1977mixteco	peno11
nǰ	NA	ⁿdʒ	consonant	NA	best guess	daly1977mixteco	peno11
ñ	NA	ɲ	consonant	NA	NA	daly1977mixteco	peno11
ng	NA	ᵑg	consonant	NA	NA	daly1977mixteco	peno11
p	NA	p	consonant	NA	NA	daly1977mixteco	peno11
r̃	NA	r	consonant	NA	not sure, best guess	daly1977mixteco	peno11
ř	NA	ɾ	consonant	NA	not sure, best guess	daly1977mixteco	peno11
s	NA	s	consonant	NA	NA	daly1977mixteco	peno11
š	NA	ʃ	consonant	NA	NA	daly1977mixteco	peno11
t	NA	t	consonant	NA	NA	daly1977mixteco	peno11
č	NA	tʃ	consonant	NA	NA	daly1977mixteco	peno11
h	NA	x	consonant	NA	not sure, best guess	daly1977mixteco	peno11
ž	NA	ʒ	consonant	NA	NA	daly1977mixteco	peno11
ʔ	NA	ʔ	consonant	NA	NA	daly1977mixteco	peno11
b	NA	β	consonant	NA	NA	daly1977mixteco	peno11
à	NA	a¹	vowel and tone	NA	NA	daly1977mixteco	peno11
à̢	NA	ã¹	vowel and tone	NA	NA	daly1977mixteco	peno11
àà̢	NA	ã¹ã¹	vowel and tone	NA	NA	daly1977mixteco	peno11
àa̢	NA	ã¹ã³	vowel and tone	NA	NA	daly1977mixteco	peno11
àă̢	NA	ã¹ã³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
àá̢	NA	ã¹ã⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
a	NA	a³	vowel and tone	NA	NA	daly1977mixteco	peno11
a̢	NA	ã³	vowel and tone	NA	NA	daly1977mixteco	peno11
ă	NA	a³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ă̢	NA	ã³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ăà̢	NA	ã³⁵ã¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ăa̢	NA	ã³⁵ã³	vowel and tone	NA	NA	daly1977mixteco	peno11
ăă̢	NA	ã³⁵ã³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ăá̢	NA	ã³⁵ã⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
aà̢	NA	ã³ã¹	vowel and tone	NA	NA	daly1977mixteco	peno11
aa̢	NA	ã³ã³	vowel and tone	NA	NA	daly1977mixteco	peno11
aă̢	NA	ã³ã³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
aá̢	NA	ã³ã⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
á	NA	a⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
á̢	NA	ã⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
áà̢	NA	ã⁵ã¹	vowel and tone	NA	NA	daly1977mixteco	peno11
áa̢	NA	ã⁵ã³	vowel and tone	NA	NA	daly1977mixteco	peno11
áă̢	NA	ã⁵ã³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
áá̢	NA	ã⁵ã⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
è	NA	e¹	vowel and tone	NA	NA	daly1977mixteco	peno11
è̢	NA	ẽ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
èè̢	NA	ẽ¹ẽ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
èe̢	NA	ẽ¹ẽ³	vowel and tone	NA	NA	daly1977mixteco	peno11
èĕ̢	NA	ẽ¹ẽ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
èé̢	NA	ẽ¹ẽ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
e	NA	e³	vowel and tone	NA	NA	daly1977mixteco	peno11
e̢	NA	ẽ³	vowel and tone	NA	NA	daly1977mixteco	peno11
ĕ	NA	e³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ĕ̢	NA	ẽ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ĕè̢	NA	ẽ³⁵ẽ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ĕe̢	NA	ẽ³⁵ẽ³	vowel and tone	NA	NA	daly1977mixteco	peno11
ĕĕ̢	NA	ẽ³⁵ẽ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ĕé̢	NA	ẽ³⁵ẽ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
eè̢	NA	ẽ³ẽ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ee̢	NA	ẽ³ẽ³	vowel and tone	NA	NA	daly1977mixteco	peno11
eĕ̢	NA	ẽ³ẽ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
eé̢	NA	ẽ³ẽ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
é	NA	e⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
é̢	NA	ẽ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
éè̢	NA	ẽ⁵ẽ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ée̢	NA	ẽ⁵ẽ³	vowel and tone	NA	NA	daly1977mixteco	peno11
éĕ̢	NA	ẽ⁵ẽ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
éé̢	NA	ẽ⁵ẽ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ì	NA	i¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ì̢	NA	ĩ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ìì̢	NA	ĩ¹ĩ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ìi̢	NA	ĩ¹ĩ³	vowel and tone	NA	NA	daly1977mixteco	peno11
ìĭ̢	NA	ĩ¹ĩ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ìí̢	NA	ĩ¹ĩ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
i	NA	i³	vowel and tone	NA	NA	daly1977mixteco	peno11
i̢	NA	ĩ³	vowel and tone	NA	NA	daly1977mixteco	peno11
ĭ	NA	i³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ĭ̢	NA	ĩ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ĭì̢	NA	ĩ³⁵ĩ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ĭi̢	NA	ĩ³⁵ĩ³	vowel and tone	NA	NA	daly1977mixteco	peno11
ĭĭ̢	NA	ĩ³⁵ĩ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ĭí̢	NA	ĩ³⁵ĩ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
iì̢	NA	ĩ³ĩ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ii̢	NA	ĩ³ĩ³	vowel and tone	NA	NA	daly1977mixteco	peno11
iĭ̢	NA	ĩ³ĩ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ií̢	NA	ĩ³ĩ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
í	NA	i⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
í̢	NA	ĩ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
íì̢	NA	ĩ⁵ĩ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
íi̢	NA	ĩ⁵ĩ³	vowel and tone	NA	NA	daly1977mixteco	peno11
íĭ̢	NA	ĩ⁵ĩ³⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
íí̢	NA	ĩ⁵ĩ⁵	vowel and tone	NA	NA	daly1977mixteco	peno11
ɨ̀	NA	ɨ¹	vowel and tone	NA	NA	daly1977mixteco	peno11
ɨ̢̀	NA	ɨ̃¹	vowel and tone	NA	NA	daly1977mixteco	peno11
