Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
b	NA	β	consonant	loan	NA	north1976gramatica	prog12
c	NA	k	consonant	loan	NA	north1976gramatica	prog12
ch	NA	tʃ	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
cu	NA	kʷ	consonant	NA	before vowels	north1976gramatica	prog12
d	NA	ð	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
g	NA	g	consonant	loan	NA	shields1988syntactic	prog12
h	NA	ʔ	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
j	NA	x	consonant	NA	NA	north1976gramatica	prog12
k	NA	k	consonant	NA	NA	shields1988syntactic	prog12
kw	NA	kʷ	consonant	NA	NA	shields1988syntactic	prog12
l	NA	l	consonant	loan	NA	north1976gramatica, shields1988syntactic	prog12
m	NA	m	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
mb	NA	ᵐb	consonant	NA	NA	shields1988syntactic	prog12
n	NA	n	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
nd	NA	ⁿd	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
ng	NA	ᵑg	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
nj	NA	ⁿdʒ	consonant	NA	NA	shields1988syntactic	prog12
ñ	NA	ɲ	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
p	NA	p	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
qu	NA	k	consonant	NA	NA	north1976gramatica	prog12
r	NA	ɾ	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
s	NA	s	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
sh	NA	ʃ	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
t	NA	t	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
v	NA	β	consonant	NA	NA	north1976gramatica, shields1988syntactic	prog12
x	NA	ʃ	consonant	loan	NA	north1976gramatica	prog12
y	NA	j	consonant	loan	NA	north1976gramatica	prog12
z	NA	s	consonant	loan	NA	north1976gramatica	prog12
NA	x	x	consonant	NA	NA	shields1988syntactic	prog12
NA	y	ʒ	consonant	NA	NA	shields1988syntactic	prog12
a	NA	a³	vowel and tone	NA	NA	north1976gramatica	prog12
á	NA	a⁵	vowel and tone	NA	NA	north1976gramatica, shields1988syntactic	prog12
ā	NA	a³	vowel and tone	NA	NA	shields1988syntactic	prog12
a̱	NA	a¹	vowel and tone	NA	NA	north1976gramatica	prog12
aan	NA	ã³ã³	vowel and tone	NA	NA	north1976gramatica	prog12
aán	NA	ã³ã⁵	vowel and tone	NA	NA	north1976gramatica	prog12
aān	NA	ã¹ã³	vowel and tone	NA	NA	shields1988syntactic	prog12
aa̱n	NA	ã³ã¹	vowel and tone	NA	NA	north1976gramatica	prog12
áan	NA	ã⁵ã³	vowel and tone	NA	NA	north1976gramatica	prog12
áán	NA	ã⁵ã⁵	vowel and tone	NA	NA	north1976gramatica, shields1988syntactic	prog12
áān	NA	ã⁵ã³	vowel and tone	NA	NA	shields1988syntactic	prog12
áa̱n	NA	ã⁵ã¹	vowel and tone	NA	NA	north1976gramatica	prog12
āan	NA	ã³ã¹	vowel and tone	NA	NA	shields1988syntactic	prog12
āán	NA	ã³ã⁵	vowel and tone	NA	NA	shields1988syntactic	prog12
āān	NA	ã³ã³	vowel and tone	NA	NA	shields1988syntactic	prog12
a̱an	NA	ã¹ã³	vowel and tone	NA	NA	north1976gramatica	prog12
a̱án	NA	ã¹ã⁵	vowel and tone	NA	NA	north1976gramatica	prog12
a̱a̱n	NA	ã¹ã¹	vowel and tone	NA	NA	north1976gramatica	prog12
an	NA	ã³	vowel and tone	NA	NA	north1976gramatica	prog12
án	NA	ã⁵	vowel and tone	NA	NA	north1976gramatica, shields1988syntactic	prog12
ān	NA	ã³	vowel and tone	NA	NA	shields1988syntactic	prog12
a̱n	NA	ã¹	vowel and tone	NA	NA	north1976gramatica	prog12
e	NA	e³	vowel and tone	NA	NA	north1976gramatica	prog12
é	NA	e⁵	vowel and tone	NA	NA	north1976gramatica, shields1988syntactic	prog12
ē	NA	e³	vowel and tone	NA	NA	shields1988syntactic	prog12
e̱	NA	e¹	vowel and tone	NA	NA	north1976gramatica	prog12
een	NA	ẽ³ẽ³	vowel and tone	NA	NA	north1976gramatica	prog12
eén	NA	ẽ³ẽ⁵	vowel and tone	NA	NA	north1976gramatica	prog12
eēn	NA	ẽ¹ẽ³	vowel and tone	NA	NA	shields1988syntactic	prog12
ee̱n	NA	ẽ³ẽ¹	vowel and tone	NA	NA	north1976gramatica	prog12
éen	NA	ẽ⁵ẽ³	vowel and tone	NA	NA	north1976gramatica	prog12
één	NA	ẽ⁵ẽ⁵	vowel and tone	NA	NA	north1976gramatica, shields1988syntactic	prog12
éēn	NA	ẽ⁵ẽ³	vowel and tone	NA	NA	shields1988syntactic	prog12
ée̱n	NA	ẽ⁵ẽ¹	vowel and tone	NA	NA	north1976gramatica	prog12
ēen	NA	ẽ³ẽ¹	vowel and tone	NA	NA	shields1988syntactic	prog12
ēén	NA	ẽ³ẽ⁵	vowel and tone	NA	NA	shields1988syntactic	prog12
ēēn	NA	ẽ³ẽ³	vowel and tone	NA	NA	shields1988syntactic	prog12
e̱en	NA	ẽ¹ẽ³	vowel and tone	NA	NA	north1976gramatica	prog12
e̱én	NA	ẽ¹ẽ⁵	vowel and tone	NA	NA	north1976gramatica	prog12
e̱e̱n	NA	ẽ¹ẽ¹	vowel and tone	NA	NA	north1976gramatica	prog12
