Doculect	Grapheme	IPA	Class	Status	Comments
alac11	b	b	consonant	loan	
alac11	d	d	consonant	loan	
alac11	f	f	consonant	loan	
alac11	g	g	consonant	loan	
alac11	y	j	consonant		
alac11	k	k	consonant		
alac11	kw	kʷ	consonant		
alac11	l	l	consonant	loan	
alac11	m	m	consonant		
alac11	mb	ᵐb	consonant		
alac11	n	n	consonant		
alac11	nd	ⁿd	consonant		
alac11	ñ	ɲ	consonant		
alac11	r	ɾ	consonant		
alac11	s	s	consonant		
alac11	sh	ʃ	consonant		
alac11	t	t	consonant		
alac11	ch	tʃ͡	consonant		
alac11	x	x	consonant		
alac11	h	ʔ	consonant		
alac11	v	β	consonant		
alac11	a	a1	vowel and tone		
alac11	an	ã1	vowel and tone		
alac11	aan	ã1ã1	vowel and tone		
alac11	aān	ã1ã3	vowel and tone		
alac11	aán	ã1ã5	vowel and tone		
alac11	ā	a3	vowel and tone		
alac11	ān	ã3	vowel and tone		
alac11	āan	ã3ã1	vowel and tone		
alac11	āān	ã3ã3	vowel and tone		
alac11	āán	ã3ã5	vowel and tone		
alac11	á	a5	vowel and tone		
alac11	án	ã5	vowel and tone		
alac11	áan	ã5ã1	vowel and tone		
alac11	áān	ã5ã3	vowel and tone		
alac11	áán	ã5ã5	vowel and tone		
alac11	e	e1	vowel and tone		
alac11	en	ẽ1	vowel and tone		
alac11	een	ẽ1ẽ1	vowel and tone		
alac11	eēn	ẽ1ẽ3	vowel and tone		
alac11	eén	ẽ1ẽ5	vowel and tone		
alac11	ē	e3	vowel and tone		
alac11	ēn	ẽ3	vowel and tone		
alac11	ēen	ẽ3ẽ1	vowel and tone		
alac11	ēēn	ẽ3ẽ3	vowel and tone		
alac11	ēén	ẽ3ẽ5	vowel and tone		
alac11	é	e5	vowel and tone		
alac11	én	ẽ5	vowel and tone		
alac11	éen	ẽ5ẽ1	vowel and tone		
alac11	éēn	ẽ5ẽ3	vowel and tone		
alac11	één	ẽ5ẽ5	vowel and tone		
alac11	i	i1	vowel and tone		
alac11	in	ĩ1	vowel and tone		
alac11	iin	ĩ1ĩ1	vowel and tone		
alac11	iīn	ĩ1ĩ3	vowel and tone		
alac11	iín	ĩ1ĩ5	vowel and tone		
alac11	ī	i3	vowel and tone		
alac11	īn	ĩ3	vowel and tone		
alac11	īin	ĩ3ĩ1	vowel and tone		
alac11	īīn	ĩ3ĩ3	vowel and tone		
alac11	īín	ĩ3ĩ5	vowel and tone		
alac11	í	i5	vowel and tone		
alac11	ín	ĩ5	vowel and tone		
alac11	íin	ĩ5ĩ1	vowel and tone		
alac11	íīn	ĩ5ĩ3	vowel and tone		
alac11	íín	ĩ5ĩ5	vowel and tone		
alac11	o	o1	vowel and tone		
alac11	on	õ1	vowel and tone		
alac11	oon	õ1õ1	vowel and tone		
alac11	oōn	õ1õ3	vowel and tone		
alac11	oón	õ1õ5	vowel and tone		
alac11	ō	o3	vowel and tone		
alac11	ōn	õ3	vowel and tone		
alac11	ōon	õ3õ1	vowel and tone		
alac11	ōōn	õ3õ3	vowel and tone		
alac11	ōón	õ3õ5	vowel and tone		
alac11	ó	o5	vowel and tone		
alac11	ón	õ5	vowel and tone		
alac11	óon	õ5õ1	vowel and tone		
alac11	óōn	õ5õ3	vowel and tone		
alac11	óón	õ5õ5	vowel and tone		
alac11	u	u1	vowel and tone		
alac11	un	ũ1	vowel and tone		
alac11	uun	ũ1ũ1	vowel and tone		
alac11	uūn	ũ1ũ3	vowel and tone		
alac11	uún	ũ1ũ5	vowel and tone		
alac11	ū	u3	vowel and tone		
alac11	ūn	ũ3	vowel and tone		
alac11	ūun	ũ3ũ1	vowel and tone		
alac11	ūūn	ũ3ũ3	vowel and tone		
alac11	ūún	ũ3ũ5	vowel and tone		
alac11	ú	u5	vowel and tone		
alac11	ún	ũ5	vowel and tone		
alac11	úun	ũ5ũ1	vowel and tone		
alac11	úūn	ũ5ũ3	vowel and tone		
alac11	úún	ũ5ũ5	vowel and tone		
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
