Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
y	NA	j	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
c	NA	k	consonant	NA	NA	pankratz1967phonology	ayut11
k	NA	k	consonant	NA	NA	hills1990syntactic	ayut11
qu	NA	k	consonant	NA	NA	pankratz1967phonology	ayut11
ky	NA	kʲ	consonant	rare	NA	hills1990syntactic	ayut11
cu	NA	kʷ	consonant	NA	before vowels	pankratz1967phonology	ayut11
kw	NA	kʷ	consonant	NA	NA	hills1990syntactic	ayut11
l	NA	l	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
m	NA	m	consonant	rare	NA	pankratz1967phonology, hills1990syntactic	ayut11
mb	NA	ᵐb	consonant	rare	NA	hills1990syntactic	ayut11
n	NA	n	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
nd	NA	ⁿd	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
ndy	NA	ⁿdʲ	consonant	NA	NA	hills1990syntactic	ayut11
ny	NA	nʲ	consonant	NA	not sure what the difference is	hills1990syntactic	ayut11
ñ	NA	ɲ	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
ng	NA	ᵑg	consonant	rare	NA	pankratz1967phonology, hills1990syntactic	ayut11
ngw	NA	ᵑgʷ	consonant	rare	NA	hills1990syntactic	ayut11
p	NA	p	consonant	rare	NA	pankratz1967phonology, hills1990syntactic	ayut11
r	NA	ɾ	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
s	NA	s	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
sy	NA	sʲ	consonant	rare	NA	hills1990syntactic	ayut11
sh	NA	ʃ	consonant	NA	NA	hills1990syntactic	ayut11
x	NA	ʃ	consonant	NA	NA	pankratz1967phonology	ayut11
t	NA	t	consonant	NA	NA	pankratz1967phonology, hills1990syntactic	ayut11
ty	NA	tʲ	consonant	NA	NA	hills1990syntactic	ayut11
h	NA	x	consonant	NA	just described as spirant, not totally sure	pankratz1967phonology	ayut11
NA	x	x	consonant	rare	NA	hills1990syntactic	ayut11
hʷ	NA	xʷ	consonant	rare	just described as spirant, not totally sure	pankratz1967phonology	ayut11
ʔ	NA	ʔ	consonant	NA	NA	pankratz1967phonology	ayut11
NA	h	ʔ	consonant	NA	NA	hills1990syntactic	ayut11
v	NA	β	consonant	NA	like Spanish	pankratz1967phonology, hills1990syntactic	ayut11
z	NA	θ	consonant	NA	NA	pankratz1967phonology	ayut11
3	NA	¹	tone	NA	NA	pankratz1967phonology	ayut11
2	NA	³	tone	NA	NA	pankratz1967phonology	ayut11
1	NA	⁵	tone	NA	NA	pankratz1967phonology	ayut11
