Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
b		β	consonant	loan		north1976gramatica	prog12
c		k	consonant	loan		north1976gramatica	prog12
ch		tʃ͡	consonant			north1976gramatica, shields1988syntactic	prog12
cu		kʷ	consonant		before vowels	north1976gramatica	prog12
d		ð	consonant			north1976gramatica, shields1988syntactic	prog12
g		g	consonant	loan		shields1988syntactic	prog12
h		ʔ	consonant			north1976gramatica, shields1988syntactic	prog12
j		x	consonant			north1976gramatica	prog12
k		k	consonant			shields1988syntactic	prog12
kw		kʷ	consonant			shields1988syntactic	prog12
l		l	consonant	loan		north1976gramatica, shields1988syntactic	prog12
m		m	consonant			north1976gramatica, shields1988syntactic	prog12
mb		ᵐb	consonant			shields1988syntactic	prog12
n		n	consonant			north1976gramatica, shields1988syntactic	prog12
nd		ⁿd	consonant			north1976gramatica, shields1988syntactic	prog12
ng		ᵑg	consonant			north1976gramatica, shields1988syntactic	prog12
nj		ⁿd͡ʒ	consonant			shields1988syntactic	prog12
ñ		ɲ	consonant			north1976gramatica, shields1988syntactic	prog12
p		p	consonant			north1976gramatica, shields1988syntactic	prog12
qu		k	consonant			north1976gramatica	prog12
r		ɾ	consonant			north1976gramatica, shields1988syntactic	prog12
s		s	consonant			north1976gramatica, shields1988syntactic	prog12
sh		ʃ	consonant			north1976gramatica, shields1988syntactic	prog12
t		t	consonant			north1976gramatica, shields1988syntactic	prog12
v		β	consonant			north1976gramatica, shields1988syntactic	prog12
x		ʃ	consonant	loan		north1976gramatica	prog12
y		j	consonant	loan		north1976gramatica	prog12
z		s	consonant	loan		north1976gramatica	prog12
	x	x	consonant			shields1988syntactic	prog12
	y	ʒ	consonant			shields1988syntactic	prog12
a		a3	vowel and tone			north1976gramatica	prog12
á		a5	vowel and tone			north1976gramatica, shields1988syntactic	prog12
ā		a3	vowel and tone			shields1988syntactic	prog12
a̱		a1	vowel and tone			north1976gramatica	prog12
aan		ã3ã3	vowel and tone			north1976gramatica	prog12
aán		ã3ã5	vowel and tone			north1976gramatica	prog12
aān		ã1ã3	vowel and tone			shields1988syntactic	prog12
aa̱n		ã3ã1	vowel and tone			north1976gramatica	prog12
áan		ã5ã3	vowel and tone			north1976gramatica	prog12
áán		ã5ã5	vowel and tone			north1976gramatica, shields1988syntactic	prog12
áān		ã5ã3	vowel and tone			shields1988syntactic	prog12
áa̱n		ã5ã1	vowel and tone			north1976gramatica	prog12
āan		ã3ã1	vowel and tone			shields1988syntactic	prog12
āán		ã3ã5	vowel and tone			shields1988syntactic	prog12
āān		ã3ã3	vowel and tone			shields1988syntactic	prog12
a̱an		ã1ã3	vowel and tone			north1976gramatica	prog12
a̱án		ã1ã5	vowel and tone			north1976gramatica	prog12
a̱a̱n		ã1ã1	vowel and tone			north1976gramatica	prog12
an		ã3	vowel and tone			north1976gramatica	prog12
án		ã5	vowel and tone			north1976gramatica, shields1988syntactic	prog12
ān		ã3	vowel and tone			shields1988syntactic	prog12
a̱n		ã1	vowel and tone			north1976gramatica	prog12
e		e3	vowel and tone			north1976gramatica	prog12
é		e5	vowel and tone			north1976gramatica, shields1988syntactic	prog12
ē		e3	vowel and tone			shields1988syntactic	prog12
e̱		e1	vowel and tone			north1976gramatica	prog12
een		ẽ3ẽ3	vowel and tone			north1976gramatica	prog12
eén		ẽ3ẽ5	vowel and tone			north1976gramatica	prog12
eēn		ẽ1ẽ3	vowel and tone			shields1988syntactic	prog12
ee̱n		ẽ3ẽ1	vowel and tone			north1976gramatica	prog12
éen		ẽ5ẽ3	vowel and tone			north1976gramatica	prog12
één		ẽ5ẽ5	vowel and tone			north1976gramatica, shields1988syntactic	prog12
éēn		ẽ5ẽ3	vowel and tone			shields1988syntactic	prog12
ée̱n		ẽ5ẽ1	vowel and tone			north1976gramatica	prog12
ēen		ẽ3ẽ1	vowel and tone			shields1988syntactic	prog12
